Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,27.702,27.869,26.881,27.432,2873376,0
2015-01-05,27.229,27.337,26.492,26.823,3702603,0
2015-01-06,27.239,27.268,26.492,26.89,5738277,0
2015-01-07,27.229,27.492,27.074,27.229,3629925,0
2015-01-08,27.511,28.051,27.442,27.665,5931279,0
2015-01-09,27.702,27.918,27.327,27.356,2489104,0
2015-01-12,27.382,27.482,27.018,27.137,2623522,0
2015-01-13,26.601,26.629,24.962,25.217,11887952,0
2015-01-14,24.791,24.896,23.948,24.615,8862086,0
2015-01-15,24.741,24.791,23.744,23.774,5790589,0
2015-01-16,23.803,24.083,23.425,24.029,4970233,0
2015-01-20,24.053,24.2,23.715,24.122,3254672,0
2015-01-21,24.063,24.887,23.958,24.751,5578884,0
2015-01-22,25.197,25.496,24.942,25.11,3666306,0
2015-01-23,24.992,25.159,24.596,24.62,2140996,0
2015-01-26,24.674,25.169,24.548,25.12,2835000,0
2015-01-27,24.811,24.878,24.403,24.471,2784548,0
2015-01-28,23.93,24.249,23.115,23.202,6293668,0
2015-01-29,23.172,24.006,23.038,23.912,4584554,0
2015-01-30,23.726,23.795,23.436,23.523,4033018,0
2015-02-02,23.648,23.755,23.309,23.692,4357241,0
2015-02-03,23.892,24.454,23.843,23.912,5660444,0
2015-02-04,23.902,24.397,23.805,24.213,4504561,0
2015-02-05,24.387,24.444,24.194,24.242,3244465,0
2015-02-06,24.242,24.872,24.242,24.649,2818416,0
2015-02-09,24.629,25.027,24.484,24.927,3010857,0
2015-02-10,25.182,25.202,24.755,24.918,2635548,0
2015-02-11,24.977,25.571,24.937,25.231,4683456,0
2015-02-12,25.346,25.551,25.259,25.434,2787125,0
2015-02-13,25.474,25.591,25.115,25.145,4509188,0
2015-02-17,26.008,26.416,25.375,25.831,9513628,0
2015-02-18,25.85,26.61,25.774,26.58,5196033,0
2015-02-19,26.491,26.832,26.444,26.53,2927426,0
2015-02-20,26.416,26.948,26.008,26.871,3801672,0
2015-02-23,26.762,26.929,26.259,26.351,3591239,0
