Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,26.21,26.269,24.92,25.27,1439706,0
2015-01-05,25.28,25.6,24.91,25.09,1660682,0
2015-01-06,25.25,25.51,23.8,24.24,2426295,0
2015-01-07,24.45,24.96,24.17,24.35,1139498,0
2015-01-08,24.85,25.95,24.63,25.53,1478625,0
2015-01-09,25.68,25.89,25.0,25.13,818549,0
2015-01-12,25.05,25.22,24.03,24.22,1079310,0
2015-01-13,24.49,24.9,24.0,24.37,752537,0
2015-01-14,24.2,24.26,23.23,23.79,942073,0
2015-01-15,23.86,24.78,23.8,24.21,1139259,0
2015-01-16,24.09,24.236,23.51,24.1,1187280,0
2015-01-20,24.22,24.75,24.03,24.72,1018205,0
2015-01-21,24.92,25.36,24.38,25.23,807648,0
2015-01-22,25.8,26.28,25.04,25.9,1487068,0
2015-01-23,26.0,26.65,25.65,26.64,1327580,0
2015-01-26,27.03,27.62,26.7,27.49,1904418,0
2015-01-27,27.25,27.66,26.86,27.31,1432185,0
2015-01-28,27.62,27.65,25.33,25.63,2392227,0
2015-01-29,25.6,26.67,25.11,26.62,2178023,0
2015-01-30,21.36,22.0,18.59,19.44,12585677,0
2015-02-02,20.02,20.86,18.37,19.09,4986769,0
2015-02-03,19.15,19.39,18.38,18.72,4000138,0
2015-02-04,19.08,19.49,19.01,19.12,3264521,0
2015-02-05,19.24,19.29,18.52,18.95,2443091,0
2015-02-06,18.74,19.32,18.63,18.93,2366451,0
2015-02-09,18.75,18.99,18.44,18.84,1745415,0
2015-02-10,18.9,19.18,18.2,18.34,3710666,0
2015-02-11,18.46,19.0,18.46,18.7,2006202,0
2015-02-12,18.74,19.05,18.23,19.035,2306459,0
2015-02-13,18.77,18.99,18.36,18.72,1919058,0
2015-02-17,18.62,18.96,18.46,18.5,2650087,0
2015-02-18,18.62,18.74,18.01,18.71,2221353,0
2015-02-19,18.95,19.07,18.11,18.16,2816012,0
2015-02-20,18.3,18.79,18.14,18.75,2039399,0
2015-02-23,18.85,18.98,18.52,18.73,1774968,0
2015-02-24,18.48,19.52,18.46,19.44,1857956,0
2015-02-25,19.45,19.72,18.87,18.99,1862273,0
2015-02-26,19.06,19.35,18.8,18.99,1335651,0
2015-02-27,18.87,19.11,18.5,18.51,1424636,0
2015-03-02,18.5,18.93,18.5,18.61,1918900,0
2015-03-03,18.45,18.95,18.38,18.81,1907000,0
2015-03-04,18.67,18.94,18.5,18.55,1441900,0
2015-03-05,18.62,18.97,18.45,18.94,1177800,0
2015-03-06,18.72,19.41,18.68,19.02,1529500,0
2015-03-09,19.02,19.41,18.93,19.2,1443700,0
2015-03-10,19.05,19.3,18.59,18.81,1414700,0
2015-03-11,18.81,19.12,18.66,19.01,1282600,0
2015-03-12,19.02,19.34,18.98,19.19,1676700,0
2015-03-13,19.35,19.48,19.21,19.42,1492700,0
2015-03-16,19.6,19.75,19.44,19.56,2164500,0
2015-03-17,19.77,20.23,19.66,20.15,2111000,0
2015-03-18,20.19,21.14,20.19,21.08,2401700,0
2015-03-19,21.13,21.28,20.89,21.18,1864500,0
2015-03-20,21.12,21.17,20.61,21.03,1503700,0
2015-03-23,21.01,21.04,20.41,20.5,971100,0
2015-03-24,20.64,22.02,20.42,21.94,2489500,0
2015-03-25,22.49,22.49,21.15,21.19,1842000,0
2015-03-26,20.79,21.37,20.3,21.08,1162000,0
2015-03-27,21.11,22.04,21.11,21.89,1049000,0
2015-03-30,21.98,22.25,21.71,22.1,1307900,0
2015-03-31,22.0,22.168,21.6,22.025,1292079,0
2015-04-01,21.71,21.92,21.25,21.35,1092400,0
2015-04-02,21.35,21.9,21.26,21.47,814000,0
2015-04-06,21.18,21.35,20.88,21.02,867400,0
2015-04-07,21.09,21.64,20.86,21.38,871131,0
2015-04-08,21.48,22.03,21.22,21.98,715700,0
2015-04-09,21.91,22.13,21.05,21.32,1320846,0
2015-04-10,21.42,21.67,21.13,21.36,659500,0
2015-04-13,21.24,21.66,21.1,21.42,615400,0
2015-04-14,21.51,21.65,21.2,21.27,697500,0
2015-04-15,21.45,21.66,21.225,21.28,572128,0
2015-04-16,21.25,21.75,21.24,21.45,583952,0
2015-04-17,21.26,21.62,21.11,21.17,796300,0
2015-04-20,21.27,21.83,21.06,21.82,907933,0
2015-04-21,21.8,22.32,21.76,22.22,979789,0
2015-04-22,22.27,22.27,21.7,22.02,1331476,0
2015-04-23,21.85,22.0,21.28,21.5,2188500,0
2015-04-24,22.25,24.33,22.18,23.6,4035794,0
2015-04-27,23.88,24.55,23.58,23.9,1620600,0
