Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,33.059,33.204,32.041,32.845,14850,0
2015-01-05,32.099,32.845,32.099,32.478,17201,0
2015-01-06,32.72,32.72,31.17,31.209,39014,0
2015-01-07,31.14,31.964,30.776,31.314,13599,0
2015-01-08,31.46,31.982,31.102,31.363,17292,0
2015-01-09,32.999,36.323,32.999,33.959,130273,0
2015-01-12,33.999,35.906,33.989,35.646,24440,0
2015-01-13,36.323,37.233,34.782,35.259,18871,0
2015-01-14,35.259,36.11,34.715,35.74,24436,0
2015-01-15,35.286,35.578,34.038,34.637,12489,0
2015-01-16,34.521,35.111,34.367,35.082,12197,0
2015-01-20,35.111,36.431,34.569,36.091,37732,0
2015-01-21,34.908,36.583,34.908,36.186,25900,0
2015-01-22,35.636,37.242,35.636,37.213,28578,0
2015-01-23,36.982,37.444,36.943,37.07,16076,0
2015-01-26,37.05,37.05,35.984,36.294,17079,0
2015-01-27,35.712,35.936,35.199,35.325,13541,0
2015-01-28,35.291,35.325,34.162,34.473,16531,0
2015-01-29,34.501,35.151,34.288,35.151,17876,0
2015-01-30,35.47,35.47,33.979,33.979,15462,0
2015-02-02,33.979,35.214,33.805,34.822,16956,0
2015-02-03,35.111,36.515,35.111,36.441,24186,0
2015-02-04,36.515,37.164,35.568,35.684,14565,0
2015-02-05,36.294,36.294,35.373,35.664,12098,0
2015-02-06,35.49,35.828,35.344,35.694,12011,0
2015-02-09,35.421,36.798,34.87,35.053,19062,0
2015-02-10,34.511,35.102,33.775,33.824,17649,0
2015-02-11,33.601,33.775,32.555,33.378,22107,0
2015-02-12,33.707,34.268,33.591,34.239,10374,0
2015-02-13,34.104,34.561,33.697,34.211,15149,0
2015-02-17,34.406,34.406,33.271,33.348,7808,0
2015-02-18,32.912,33.437,32.817,33.388,16814,0
2015-02-19,33.204,34.588,33.204,34.328,12398,0
2015-02-20,34.406,34.406,33.659,34.143,19687,0
2015-02-23,34.569,34.569,33.823,34.182,13244,0
2015-02-24,34.426,34.705,34.221,34.406,14654,0
2015-02-25,34.059,34.481,33.756,33.881,13065,0
2015-02-26,33.785,34.048,33.756,33.775,14530,0
2015-02-27,33.805,33.939,32.989,33.059,18055,0
2015-03-02,33.176,33.92,33.176,33.92,12698,0
2015-03-03,33.853,33.862,33.659,33.785,12491,0
2015-03-04,33.649,33.872,33.059,33.378,11563,0
2015-03-05,33.62,34.182,33.252,33.485,22711,0
2015-03-06,33.059,33.059,28.583,28.778,114495,0
2015-03-09,28.573,29.184,27.334,28.001,52861,0
2015-03-10,27.953,28.302,27.702,28.15,24158,0
2015-03-11,28.159,28.748,27.876,27.982,19923,0
2015-03-12,28.379,29.882,28.379,29.832,30353,0
2015-03-13,30.075,30.075,28.787,29.232,40574,0
2015-03-16,29.222,29.91,29.165,29.312,25707,0
2015-03-17,29.262,29.262,28.778,28.962,16001,0
2015-03-18,29.038,30.851,28.758,30.57,31695,0
2015-03-19,30.365,30.919,30.046,30.423,24985,0
2015-03-20,30.472,31.402,30.472,31.121,30353,0
2015-03-23,31.083,32.613,30.423,30.462,43465,0
2015-03-24,30.357,31.005,29.774,29.93,21681,0
2015-03-25,29.842,30.027,29.641,29.92,20134,0
2015-03-26,30.581,30.581,29.96,30.503,16372,0
2015-03-27,30.396,31.367,29.803,31.337,32644,0
2015-03-30,31.794,31.95,31.415,31.931,22241,0
2015-03-31,31.931,32.329,31.765,31.978,18276,0
2015-04-01,32.533,32.533,31.483,32.405,18123,0
2015-04-02,32.26,33.485,32.213,32.95,28628,0
2015-04-06,32.717,33.95,32.717,33.882,17711,0
2015-04-07,33.62,33.834,32.047,32.339,36758,0
2015-04-08,32.066,32.92,32.066,32.687,18123,0
2015-04-09,32.786,32.985,31.923,32.61,17170,0
2015-04-10,32.756,33.367,32.756,32.997,15755,0
2015-04-13,32.997,33.543,32.687,33.241,21110,0
2015-04-14,33.116,33.213,32.94,32.987,14210,0
2015-04-15,32.853,33.175,32.825,32.96,14444,0
2015-04-16,32.91,33.185,32.63,33.037,16252,0
2015-04-17,32.58,32.901,32.349,32.475,29759,0
2015-04-20,32.736,32.969,32.134,32.485,43585,0
2015-04-21,32.533,32.796,32.134,32.387,36625,0
2015-04-22,32.144,32.91,31.853,32.796,33725,0
2015-04-23,32.825,32.92,31.755,32.105,41396,0
2015-04-24,32.27,32.533,31.708,32.329,27295,0
2015-04-27,32.26,32.58,32.193,32.571,25951,0
2015-04-28,32.853,33.193,32.649,32.806,23205,0
2015-04-29,32.465,32.727,32.213,32.523,16681,0
2015-04-30,32.61,32.61,31.425,31.425,19152,0
2015-05-01,31.473,31.959,30.376,31.582,17299,0
2015-05-04,31.327,31.553,31.037,31.386,19462,0
2015-05-05,31.105,31.562,30.424,30.853,25332,0
2015-05-06,30.793,31.523,30.405,30.706,15917,0
2015-05-07,30.823,31.143,30.075,31.017,10478,0
2015-05-08,31.29,31.638,30.931,31.513,18329,0
2015-05-11,31.377,32.455,31.377,32.144,16579,0
2015-05-12,32.144,32.435,31.425,32.085,26848,0
2015-05-13,31.988,32.523,31.784,32.047,8546,0
2015-05-14,32.28,32.28,31.969,32.232,14210,0
2015-05-15,32.075,32.677,32.047,32.114,7019,0
2015-05-18,32.203,32.495,31.628,32.114,17394,0
2015-05-19,32.329,32.485,32.124,32.27,15848,0
2015-05-20,32.523,32.533,31.638,32.435,12563,0
2015-05-21,32.455,32.533,32.251,32.349,6487,0
2015-05-22,32.251,32.668,31.998,32.193,26258,0
2015-05-26,31.678,31.998,31.095,31.765,16222,0
2015-05-27,32.085,33.007,31.843,32.969,9885,0
2015-05-28,32.979,32.979,32.299,32.415,14326,0
2015-05-29,32.571,32.806,32.28,32.465,21933,0
2015-06-01,32.64,32.853,32.223,32.465,21089,0
2015-06-02,32.677,32.796,32.27,32.465,11082,0
2015-06-03,32.659,32.873,32.504,32.835,21110,0
2015-06-04,32.853,32.853,32.114,32.6,14829,0
2015-06-05,33.017,33.203,31.678,33.203,23066,0
2015-06-08,33.027,33.155,32.64,32.64,15035,0
2015-06-09,32.997,33.081,32.415,32.513,23095,0
2015-06-10,33.057,33.727,32.94,33.601,51754,0
2015-06-11,33.901,33.901,32.96,33.165,14943,0
2015-06-12,33.223,33.795,32.92,33.552,29863,0
2015-06-15,33.534,33.534,32.523,33.017,28832,0
2015-06-16,32.825,33.377,31.833,33.337,32745,0
2015-06-17,33.213,33.844,32.815,33.436,24716,0
2015-06-18,33.27,33.941,33.036,33.892,22807,0
2015-06-19,33.932,33.971,33.465,33.581,30717,0
2015-06-22,33.708,33.806,33.231,33.504,26506,0
2015-06-23,33.446,33.776,32.986,33.64,19016,0
2015-06-24,33.308,33.961,33.308,33.698,28972,0
2015-06-25,33.718,34.214,33.387,34.195,28149,0
2015-06-26,34.097,34.818,34.097,34.769,39654,0
2015-06-29,34.272,34.751,33.455,33.485,22088,0
2015-06-30,33.688,34.03,33.192,33.698,24112,0
2015-07-01,34.41,34.593,33.698,33.728,20855,0
2015-07-02,33.951,34.214,33.446,33.922,16233,0
2015-07-06,33.543,34.195,33.543,34.01,19518,0
2015-07-07,34.05,34.204,32.794,33.669,23526,0
2015-07-08,33.407,34.05,32.814,33.446,29485,0
2015-07-09,33.883,34.04,33.465,33.485,22602,0
2015-07-10,33.922,34.4,33.748,34.243,43045,0
2015-07-13,34.682,34.682,33.552,34.04,24553,0
2015-07-14,34.272,34.302,33.922,34.195,43401,0
2015-07-15,34.088,34.467,33.698,33.786,80952,0
2015-07-16,34.535,34.682,33.855,33.855,38833,0
2015-07-17,33.855,34.555,33.855,34.185,41607,0
2015-07-20,34.41,34.545,33.991,34.136,28972,0
2015-07-21,34.03,34.39,33.416,33.679,29691,0
2015-07-22,33.591,33.892,32.705,32.986,24350,0
2015-07-23,32.881,33.095,31.548,31.578,30101,0
