Date,Open,High,Low,Close,Volume,OpenInt
2015-01-05,16.289,16.289,16.289,16.289,3077,0
2015-01-06,16.289,16.289,16.289,16.289,222,0
2015-01-07,16.395,16.552,16.358,16.358,11059,0
2015-01-08,16.424,16.424,16.289,16.289,3818,0
2015-01-09,16.21,16.395,16.21,16.395,615,0
2015-01-12,16.444,16.453,16.223,16.223,3148,0
2015-01-13,16.405,16.405,16.395,16.405,717,0
2015-01-14,16.308,16.308,16.308,16.308,982,0
2015-01-15,16.308,16.308,16.112,16.201,1792,0
2015-01-16,16.151,16.151,16.151,16.151,101,0
2015-01-21,16.171,16.259,16.171,16.259,1967,0
2015-01-23,16.308,16.308,16.308,16.308,595,0
2015-01-28,16.21,16.21,16.21,16.21,817,0
2015-01-29,16.318,16.415,16.308,16.415,4022,0
2015-01-30,16.21,16.259,16.21,16.259,23962,0
2015-02-03,16.21,16.454,16.21,16.434,3167,0
2015-02-04,16.121,16.308,16.121,16.308,521,0
2015-02-12,16.308,16.308,16.308,16.308,853,0
2015-02-17,16.307,16.308,16.307,16.308,645,0
2015-02-18,16.308,16.308,16.308,16.308,297,0
2015-02-19,16.444,16.513,16.444,16.513,1742,0
2015-02-20,16.367,16.377,16.358,16.358,1412,0
2015-02-23,16.424,16.424,16.424,16.424,210,0
2015-02-24,16.429,16.454,16.405,16.424,4396,0
2015-02-26,16.424,16.572,16.424,16.572,2986,0
2015-02-27,16.552,16.601,16.454,16.582,14349,0
2015-03-02,16.424,16.483,16.387,16.454,2866,0
2015-03-03,16.572,16.601,16.572,16.591,1229,0
2015-03-04,16.338,16.338,16.338,16.338,307,0
2015-03-09,16.542,16.552,16.542,16.552,615,0
2015-03-10,16.434,16.572,16.21,16.21,12904,0
2015-03-11,16.121,16.21,16.112,16.121,27035,0
2015-03-12,16.141,16.21,16.112,16.121,7270,0
2015-03-13,16.23,16.299,16.23,16.259,3482,0
2015-03-16,16.259,16.338,16.259,16.308,20994,0
2015-03-17,16.308,16.308,16.269,16.289,10446,0
2015-03-18,16.308,16.308,16.308,16.308,6349,0
2015-03-19,16.308,16.358,16.21,16.259,9933,0
2015-03-20,16.308,17.072,16.308,17.072,37832,0
2015-03-23,16.553,16.651,16.474,16.651,6024,0
2015-03-24,16.651,16.896,16.455,16.896,5820,0
2015-03-30,16.671,16.671,16.387,16.395,1531,0
2015-03-31,16.405,16.494,16.405,16.405,2725,0
