Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.5714,6.6974,6.4702,6.6218,7035,0
2015-01-05,6.6556,6.6556,6.4283,6.5628,7079,0
2015-01-06,6.4031,6.5628,6.4031,6.4283,17398,0
2015-01-07,6.5126,6.6974,6.4955,6.5126,11995,0
2015-01-08,6.5294,6.6887,6.4449,6.5714,13909,0
2015-01-09,6.4955,6.5714,6.4031,6.4788,9687,0
2015-01-12,6.4702,6.5294,6.4618,6.4618,8527,0
2015-01-13,6.504,6.504,6.4537,6.4618,2977,0
2015-01-14,6.4448,6.5128,6.4448,6.4957,6419,0
2015-01-15,6.3858,6.4957,6.3858,6.4367,18532,0
2015-01-16,6.4788,6.504,6.4788,6.4871,4812,0
2015-01-20,6.5128,6.521,6.4871,6.521,5360,0
2015-01-21,6.4367,6.589,6.4281,6.4957,35253,0
2015-01-22,6.538,6.5802,6.538,6.5802,10477,0
2015-01-23,6.6141,6.6141,6.4957,6.5128,12446,0
2015-01-26,6.5718,6.5718,6.538,6.5465,5186,0
2015-01-27,6.5632,6.5718,6.5128,6.5718,7495,0
2015-01-28,6.504,6.5465,6.504,6.5298,12368,0
2015-01-29,6.5465,6.5465,6.504,6.5128,13573,0
2015-01-30,6.5465,6.5718,6.521,6.5718,20856,0
2015-02-02,6.5718,6.6819,6.538,6.6479,34170,0
2015-02-03,6.5718,6.6141,6.5465,6.5972,22533,0
2015-02-04,6.7071,6.7071,6.5549,6.6141,35848,0
2015-02-05,6.69,6.7916,6.6226,6.6226,31657,0
2015-02-06,6.69,6.6989,6.6226,6.6819,27950,0
2015-02-09,6.6395,6.6731,6.5298,6.5465,22429,0
2015-02-10,6.6564,6.6564,6.5718,6.5802,10546,0
2015-02-11,6.5547,6.6483,6.5377,6.5717,26101,0
2015-02-12,6.5547,6.6227,6.5463,6.6143,17858,0
2015-02-13,6.6398,6.6398,6.5717,6.5717,9874,0
2015-02-17,6.6143,6.6143,6.5208,6.5208,17465,0
2015-02-18,6.5891,6.6313,6.5208,6.5295,24678,0
2015-02-19,6.5547,6.5717,6.5037,6.5377,12677,0
2015-02-20,6.5037,6.5717,6.5037,6.5631,3170,0
2015-02-23,6.5547,6.5891,6.5547,6.5802,6165,0
2015-02-24,6.5547,6.6568,6.5547,6.5717,2828,0
2015-02-25,6.5717,6.6653,6.5463,6.6227,30830,0
2015-02-26,6.6398,6.6398,6.5125,6.5463,42754,0
2015-02-27,6.5717,6.5802,6.5295,6.5295,18847,0
2015-03-02,6.5802,6.5802,6.5377,6.5463,23290,0
2015-03-03,6.5802,6.5802,6.5463,6.5463,3644,0
2015-03-04,6.5463,6.5463,6.5125,6.5125,18582,0
2015-03-05,6.5463,6.5463,6.5125,6.5377,10824,0
2015-03-06,6.5208,6.5295,6.5037,6.5037,7764,0
2015-03-09,6.5295,6.5295,6.5037,6.5037,6118,0
2015-03-10,6.5037,6.5037,6.4612,6.4784,15055,0
2015-03-11,6.5209,6.5381,6.4696,6.4868,10062,0
2015-03-12,6.5298,6.5807,6.4953,6.5635,14157,0
2015-03-13,6.5209,6.5209,6.4529,6.4868,15093,0
2015-03-16,6.5038,6.5298,6.5038,6.5298,820,0
2015-03-17,6.4868,6.5722,6.4529,6.4529,10648,0
2015-03-18,6.4868,6.5209,6.4529,6.4784,15329,0
2015-03-19,6.5038,6.5126,6.4529,6.4953,13575,0
2015-03-20,6.4357,6.4784,6.427,6.427,9125,0
2015-03-23,6.3841,6.4529,6.3841,6.4357,10999,0
2015-03-24,6.4357,6.4953,6.4185,6.4611,3749,0
2015-03-25,6.4014,6.4439,6.3841,6.4357,49023,0
2015-03-26,6.4611,6.4784,6.427,6.4696,9478,0
2015-03-27,6.4357,6.4784,6.4357,6.4439,8772,0
2015-03-30,6.427,6.4529,6.427,6.4357,16028,0
2015-03-31,6.427,6.4784,6.427,6.4784,15796,0
2015-04-01,6.41,6.4696,6.41,6.4357,16848,0
2015-04-02,6.4784,6.4868,6.4357,6.4439,5501,0
2015-04-06,6.4529,6.4529,6.427,6.4357,26794,0
2015-04-07,6.4439,6.4439,6.427,6.4439,7657,0
2015-04-08,6.4529,6.4529,6.4357,6.4357,21295,0
2015-04-09,6.4529,6.4784,6.4357,6.4784,10323,0
2015-04-10,6.4953,6.4953,6.4439,6.4611,7139,0
2015-04-13,6.4955,6.504,6.4697,6.504,20599,0
2015-04-14,6.5129,6.5129,6.4784,6.4955,31425,0
2015-04-15,6.5129,6.5129,6.4697,6.4869,43483,0
2015-04-16,6.5129,6.5213,6.4869,6.5129,11451,0
2015-04-17,6.504,6.504,6.4611,6.4697,4890,0
2015-04-20,6.5302,6.5302,6.5213,6.5213,5843,0
2015-04-21,6.4784,6.504,6.4611,6.4697,25394,0
2015-04-22,6.4784,6.5213,6.4784,6.5129,9775,0
2015-04-23,6.504,6.504,6.4869,6.4869,2795,0
2015-04-24,6.4869,6.4869,6.4869,6.4869,7800,0
2015-04-27,6.504,6.504,6.4869,6.4869,36780,0
2015-04-28,6.4955,6.4955,6.4784,6.4784,30611,0
2015-04-29,6.4869,6.504,6.4697,6.4784,93574,0
2015-04-30,6.4869,6.4869,6.4784,6.4869,64480,0
2015-05-01,6.4438,6.4697,6.4438,6.4697,79259,0
2015-05-04,6.4869,6.504,6.4697,6.4697,9661,0
2015-05-05,6.4784,6.4784,6.4438,6.4784,127796,0
2015-05-06,6.4697,6.4697,6.4528,6.4528,7279,0
2015-05-07,6.4357,6.4697,6.4183,6.4268,25136,0
2015-05-08,6.4869,6.4869,6.4268,6.4528,34682,0
2015-05-11,6.4784,6.4784,6.4438,6.4438,19786,0
2015-05-12,6.4611,6.4611,6.4438,6.4438,5198,0
2015-05-13,6.4095,6.4529,6.4095,6.4529,5678,0
2015-05-14,6.4786,6.4786,6.4612,6.4612,1852,0
2015-05-15,6.4699,6.4699,6.4612,6.4612,3564,0
2015-05-18,6.4356,6.4529,6.4356,6.4438,12088,0
2015-05-19,6.4181,6.4356,6.3834,6.3923,29867,0
2015-05-20,6.4181,6.4267,6.4007,6.4181,9493,0
2015-05-21,6.4181,6.4181,6.4181,6.4181,1965,0
2015-05-22,6.4181,6.4181,6.375,6.4095,22921,0
2015-05-26,6.3923,6.4095,6.3834,6.3923,41555,0
2015-05-27,6.4438,6.4438,6.4095,6.4438,36234,0
2015-05-28,6.3923,6.4356,6.3923,6.4356,22183,0
2015-05-29,6.4007,6.4267,6.4007,6.4267,17597,0
2015-06-01,6.4438,6.4529,6.4438,6.4529,19100,0
2015-06-02,6.4356,6.4612,6.4007,6.4181,35050,0
2015-06-03,6.4356,6.4612,6.4181,6.4267,10421,0
2015-06-04,6.4438,6.4699,6.4181,6.4181,14356,0
2015-06-05,6.375,6.4612,6.375,6.4356,14702,0
2015-06-08,6.3402,6.4438,6.3402,6.4181,17710,0
2015-06-09,6.4267,6.4267,6.3923,6.4095,7620,0
2015-06-10,6.4181,6.4181,6.3923,6.3923,23237,0
2015-06-11,6.4008,6.4008,6.3749,6.3833,8236,0
2015-06-12,6.3923,6.4096,6.3749,6.3749,13008,0
2015-06-15,6.314,6.4269,6.314,6.3749,26828,0
2015-06-16,6.3575,6.3749,6.3575,6.3749,3452,0
2015-06-17,6.3575,6.4269,6.3575,6.3575,26021,0
2015-06-18,6.3575,6.4183,6.3575,6.4008,5298,0
2015-06-19,6.3923,6.3923,6.3833,6.3923,6909,0
2015-06-22,6.4008,6.4183,6.3923,6.4183,33047,0
2015-06-23,6.366,6.4096,6.3487,6.3749,5156,0
2015-06-24,6.3833,6.3833,6.3833,6.3833,127,0
2015-06-25,6.4096,6.4096,6.2618,6.2618,12204,0
2015-06-26,6.2969,6.314,6.2705,6.2795,13358,0
2015-06-29,6.2533,6.2877,6.2533,6.2705,12091,0
2015-06-30,6.2618,6.2877,6.1665,6.2618,27549,0
2015-07-01,6.3316,6.3316,6.1839,6.2014,68508,0
2015-07-02,6.2095,6.2795,6.2095,6.2186,24410,0
2015-07-06,6.2795,6.2795,6.2533,6.2705,19574,0
2015-07-07,6.2705,6.3399,6.2705,6.3316,14969,0
2015-07-08,6.314,6.3575,6.314,6.314,6563,0
2015-07-09,6.3316,6.4008,6.3316,6.3749,18998,0
2015-07-10,6.3749,6.3749,6.3487,6.3749,5410,0
2015-07-13,6.3397,6.3659,6.3397,6.3574,5726,0
2015-07-14,6.3749,6.3834,6.3749,6.3834,4944,0
2015-07-15,6.3659,6.3749,6.3574,6.3574,998,0
2015-07-16,6.3749,6.3749,6.3659,6.3659,15002,0
2015-07-17,6.3485,6.3659,6.3485,6.3485,16148,0
2015-07-20,6.3485,6.3485,6.3313,6.3397,39049,0
2015-07-21,6.3313,6.3397,6.3313,6.3313,16601,0
2015-07-22,6.3749,6.3749,6.3222,6.3485,36297,0
2015-07-23,6.3137,6.3222,6.2964,6.2964,11452,0
2015-07-24,6.3049,6.3049,6.2872,6.2964,18440,0
2015-07-27,6.2964,6.3049,6.2438,6.2615,17520,0
2015-07-28,6.2262,6.2262,6.2003,6.2087,52790,0
2015-07-29,6.1739,6.2872,6.1739,6.2525,34811,0
