Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,32.83,32.83,32.2,32.25,130662,0
2015-01-05,32.25,32.25,31.2,31.22,120374,0
2015-01-06,32.05,32.23,31.5,31.6,113119,0
2015-01-07,31.78,31.82,31.5,31.65,84937,0
2015-01-08,33.15,33.43,33.03,33.28,106751,0
2015-01-09,33.41,33.63,33.33,33.56,137595,0
2015-01-12,33.1,33.1,32.48,32.63,118448,0
2015-01-13,33.15,33.4,32.81,33.1,93965,0
2015-01-14,33.4,33.57,33.11,33.32,101998,0
2015-01-15,33.71,33.72,33.31,33.49,127386,0
2015-01-16,33.32,33.58,33.18,33.58,212070,0
2015-01-20,33.7,33.74,33.51,33.63,96424,0
2015-01-21,34.01,34.38,33.96,34.32,132671,0
2015-01-22,34.25,34.92,34.25,34.85,158961,0
2015-01-23,34.68,34.83,34.56,34.81,125376,0
2015-01-26,35.12,35.44,35.11,35.43,89790,0
2015-01-27,34.76,34.82,34.53,34.61,86868,0
2015-01-28,33.64,33.95,33.25,33.3,226308,0
2015-01-29,33.71,33.92,33.62,33.9,97378,0
2015-01-30,33.13,33.89,33.12,33.75,373894,0
2015-02-02,33.86,34.48,33.85,34.42,226987,0
2015-02-03,34.68,34.98,34.66,34.74,507134,0
2015-02-04,34.96,35.17,34.69,34.81,287493,0
2015-02-05,33.5,34.6,33.38,34.48,193076,0
2015-02-06,34.15,34.46,34.11,34.31,139892,0
2015-02-09,33.96,33.96,33.5,33.74,103967,0
2015-02-10,33.81,33.84,33.55,33.72,105045,0
2015-02-11,33.62,33.69,33.26,33.46,166739,0
2015-02-12,33.45,33.64,33.4,33.52,115378,0
2015-02-13,34.24,34.63,34.2,34.48,90697,0
2015-02-17,34.54,34.77,34.45,34.68,113313,0
2015-02-18,34.57,34.8,34.42,34.67,127765,0
2015-02-19,34.43,34.55,34.16,34.21,106008,0
2015-02-20,34.29,34.93,34.19,34.84,62330,0
2015-02-23,34.95,34.95,34.54,34.65,67968,0
2015-02-24,34.83,35.27,34.66,35.21,61954,0
2015-02-25,35.48,35.57,35.39,35.39,91959,0
2015-02-26,36.06,36.26,35.81,35.94,148308,0
2015-02-27,35.5,35.66,35.41,35.63,69716,0
2015-03-02,34.67,34.7,34.37,34.66,167400,0
2015-03-03,34.44,34.64,34.26,34.38,93400,0
2015-03-04,34.46,34.55,34.37,34.5,108300,0
2015-03-05,34.24,34.33,34.1,34.24,69800,0
2015-03-06,33.3,33.39,32.91,33.12,171300,0
2015-03-09,33.2,33.2,33.06,33.06,85500,0
2015-03-10,32.74,32.88,32.55,32.57,128200,0
2015-03-11,32.52,32.57,32.4,32.49,71700,0
2015-03-12,34.19,34.25,34.03,34.17,65500,0
2015-03-13,34.11,34.11,33.61,33.75,106300,0
2015-03-16,33.92,34.0,33.8,33.85,70300,0
2015-03-17,34.51,34.55,34.21,34.46,76200,0
2015-03-18,34.31,35.22,34.31,35.15,82300,0
2015-03-19,35.45,35.45,34.84,35.07,83800,0
2015-03-20,35.54,36.14,35.54,35.97,78500,0
2015-03-23,35.92,36.09,35.8,35.9,58300,0
2015-03-24,35.15,35.39,35.15,35.22,46600,0
2015-03-25,34.61,34.78,34.26,34.3,81800,0
2015-03-26,35.14,35.22,34.9,34.96,93000,0
2015-03-27,34.72,34.74,34.48,34.69,66900,0
2015-03-30,35.04,35.26,35.0,35.24,177400,0
2015-03-31,35.32,35.34,35.14,35.14,58107,0
2015-04-01,35.09,35.28,34.98,35.27,36300,0
2015-04-02,35.31,35.47,35.28,35.34,102600,0
2015-04-06,35.44,35.66,35.35,35.48,42300,0
2015-04-07,34.74,34.88,34.68,34.72,56332,0
2015-04-08,34.8,34.84,34.52,34.55,61100,0
2015-04-09,33.89,33.95,33.49,33.69,91967,0
2015-04-10,34.41,34.64,34.32,34.61,80300,0
2015-04-13,34.92,34.92,34.51,34.53,109600,0
2015-04-14,37.03,37.19,36.47,37.07,127900,0
2015-04-15,36.64,37.09,36.61,37.08,108779,0
2015-04-16,37.11,37.8,37.03,37.78,203716,0
2015-04-17,37.28,37.81,37.15,37.66,133500,0
2015-04-20,37.93,38.01,37.54,37.72,147557,0
2015-04-21,37.51,37.73,37.51,37.69,63876,0
2015-04-22,37.31,37.54,37.05,37.42,109923,0
2015-04-23,37.9,38.42,37.83,38.2,111300,0
2015-04-24,38.86,38.86,38.46,38.57,78534,0
2015-04-27,38.05,38.25,37.68,37.94,109200,0
2015-04-28,38.29,38.39,37.46,37.71,135200,0
2015-04-29,37.9,38.58,37.9,38.41,93100,0
