Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.274,11.376,11.274,11.356,153746,0
2015-01-05,11.356,11.412,11.346,11.403,90768,0
2015-01-06,11.477,11.533,11.469,11.498,99237,0
2015-01-07,11.543,11.604,11.507,11.572,106952,0
2015-01-08,11.598,11.598,11.525,11.562,65716,0
2015-01-09,11.588,11.621,11.543,11.572,52265,0
2015-01-12,11.598,11.655,11.588,11.612,54952,0
2015-01-13,11.621,11.696,11.621,11.663,87442,0
2015-01-14,11.671,11.747,11.671,11.747,74647,0
2015-01-15,11.774,11.867,11.765,11.867,74327,0
2015-01-16,11.885,11.894,11.782,11.796,45457,0
2015-01-20,11.796,11.804,11.738,11.774,59719,0
2015-01-21,11.774,11.867,11.774,11.841,80203,0
2015-01-22,11.85,11.894,11.85,11.867,67603,0
2015-01-23,11.926,11.936,11.789,11.789,114176,0
2015-01-26,11.789,11.841,11.774,11.796,85529,0
2015-01-27,11.796,11.944,11.796,11.936,79286,0
2015-01-28,11.966,12.054,11.959,11.974,147308,0
2015-01-29,12.01,12.019,11.959,11.991,145107,0
2015-01-30,12.019,12.045,11.991,12.0,127649,0
2015-02-02,12.01,12.105,12.0,12.088,62796,0
2015-02-03,12.072,12.134,12.072,12.128,97945,0
2015-02-04,12.121,12.134,12.037,12.072,107008,0
2015-02-05,12.072,12.097,12.045,12.081,44757,0
2015-02-06,12.088,12.088,11.991,12.019,70599,0
2015-02-09,11.991,12.01,11.765,11.765,178003,0
2015-02-10,11.765,11.876,11.765,11.867,122675,0
2015-02-11,11.876,11.908,11.804,11.908,104018,0
2015-02-12,11.936,11.936,11.885,11.917,61977,0
2015-02-13,11.908,11.926,11.867,11.876,50683,0
2015-02-17,11.902,11.917,11.523,11.577,162325,0
2015-02-18,11.61,11.703,11.53,11.703,134164,0
2015-02-19,11.703,11.764,11.595,11.619,126563,0
2015-02-20,11.645,11.703,11.61,11.636,119204,0
2015-02-23,11.67,11.729,11.636,11.687,114289,0
2015-02-24,11.695,11.737,11.645,11.703,94523,0
2015-02-25,11.719,11.789,11.653,11.662,162820,0
2015-02-26,11.67,11.678,11.577,11.585,122389,0
2015-02-27,11.687,11.703,11.602,11.67,152091,0
2015-03-02,11.653,11.719,11.653,11.719,72509,0
2015-03-03,11.687,11.712,11.678,11.703,48026,0
2015-03-04,11.737,11.756,11.703,11.729,61499,0
2015-03-05,11.729,11.764,11.67,11.678,64194,0
2015-03-06,11.653,11.653,11.523,11.595,99452,0
2015-03-09,11.695,11.695,11.636,11.695,148419,0
2015-03-10,11.703,11.789,11.703,11.781,70753,0
2015-03-11,11.789,11.789,11.695,11.756,30808,0
2015-03-12,11.789,11.813,11.746,11.789,74852,0
2015-03-13,11.773,11.796,11.737,11.781,58453,0
2015-03-16,11.796,11.804,11.764,11.773,114567,0
2015-03-17,11.781,11.781,11.719,11.746,71691,0
2015-03-18,11.764,11.859,11.746,11.842,97663,0
2015-03-19,11.842,11.842,11.729,11.746,71677,0
2015-03-20,11.764,11.781,11.703,11.737,96156,0
2015-03-23,11.746,11.789,11.712,11.712,65036,0
2015-03-24,11.719,11.764,11.678,11.764,57340,0
2015-03-25,11.746,11.773,11.687,11.712,56408,0
2015-03-26,11.703,11.729,11.661,11.719,43238,0
2015-03-27,11.719,11.917,11.719,11.903,149296,0
2015-03-30,11.886,11.895,11.833,11.842,43586,0
2015-03-31,11.868,12.048,11.833,12.022,92336,0
2015-04-01,12.083,12.107,11.983,12.057,104308,0
2015-04-02,12.013,12.057,11.842,11.85,64215,0
2015-04-06,11.877,11.927,11.737,11.813,77272,0
2015-04-07,11.833,11.877,11.789,11.813,76677,0
2015-04-08,11.868,11.886,11.804,11.804,58737,0
2015-04-09,11.813,11.859,11.746,11.781,62655,0
2015-04-10,11.773,11.823,11.746,11.746,61765,0
2015-04-13,11.746,11.746,11.703,11.703,81232,0
2015-04-14,11.653,11.868,11.653,11.868,72026,0
2015-04-15,11.886,11.903,11.842,11.877,72844,0
2015-04-16,11.877,11.886,11.813,11.859,64017,0
2015-04-17,11.868,11.868,11.796,11.833,61803,0
2015-04-20,11.842,11.85,11.788,11.833,77184,0
2015-04-21,11.813,11.833,11.788,11.788,46543,0
2015-04-22,11.833,11.85,11.772,11.788,56972,0
2015-04-23,11.788,11.833,11.772,11.772,36065,0
2015-04-24,11.772,11.842,11.711,11.745,92480,0
2015-04-27,11.736,11.745,11.711,11.728,76068,0
2015-04-28,11.702,11.788,11.702,11.788,41627,0
2015-04-29,11.745,11.833,11.736,11.796,66327,0
2015-04-30,11.823,11.868,11.772,11.859,73400,0
2015-05-01,11.833,11.85,11.755,11.755,73749,0
2015-05-04,11.736,11.78,11.728,11.78,42557,0
2015-05-05,11.745,11.788,11.736,11.772,80705,0
2015-05-06,11.763,11.78,11.493,11.493,214965,0
2015-05-07,11.487,11.528,11.32,11.376,319707,0
2015-05-08,11.386,11.478,11.366,11.453,95545,0
2015-05-11,11.453,11.463,11.346,11.366,106795,0
2015-05-12,11.33,11.386,11.247,11.366,78579,0
2015-05-13,11.366,11.393,11.356,11.386,67255,0
2015-05-14,11.42,11.445,11.366,11.445,48789,0
2015-05-15,11.453,11.494,11.453,11.487,51329,0
2015-05-18,11.463,11.463,11.346,11.376,92166,0
2015-05-19,11.356,11.366,11.314,11.32,93540,0
2015-05-20,11.346,11.346,11.271,11.271,72434,0
2015-05-21,11.314,11.436,11.279,11.436,219723,0
2015-05-22,11.386,11.403,11.356,11.393,52940,0
2015-05-26,11.412,11.511,11.393,11.479,174996,0
2015-05-27,11.503,11.558,11.472,11.494,78662,0
2015-05-28,11.479,11.538,11.479,11.494,54395,0
2015-05-29,11.511,11.529,11.386,11.386,127680,0
2015-06-01,11.393,11.494,11.366,11.366,190683,0
2015-06-02,11.346,11.386,11.314,11.33,125274,0
2015-06-03,11.305,11.356,11.279,11.32,79471,0
2015-06-04,11.32,11.33,11.264,11.297,153979,0
2015-06-05,11.236,11.256,11.072,11.175,242099,0
2015-06-08,11.037,11.131,10.967,10.967,208305,0
2015-06-09,10.936,11.037,10.88,10.959,180265,0
2015-06-10,10.928,11.028,10.928,10.974,89019,0
2015-06-11,11.037,11.037,10.983,10.993,108282,0
2015-06-12,10.983,11.053,10.983,11.044,65514,0
