Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,16.738,16.738,16.232,16.321,20724,0
2015-01-05,16.174,16.408,15.37,15.457,29162,0
2015-01-06,15.486,15.486,14.761,15.09,29359,0
2015-01-07,15.187,15.427,15.021,15.389,28432,0
2015-01-08,15.536,15.756,15.437,15.709,16987,0
2015-01-09,15.691,15.776,15.594,15.663,10454,0
2015-01-12,15.614,16.174,15.614,15.835,42416,0
2015-01-13,15.835,16.125,15.38,15.536,27818,0
2015-01-14,15.407,15.407,14.914,15.342,20981,0
2015-01-15,15.08,15.322,14.756,15.197,25805,0
2015-01-16,15.109,15.255,14.829,15.226,25457,0
2015-01-20,15.255,15.255,14.79,15.099,44991,0
2015-01-21,15.099,15.292,15.099,15.167,15718,0
2015-01-22,15.216,15.506,15.187,15.496,25808,0
2015-01-23,15.427,15.719,15.362,15.37,54943,0
2015-01-26,15.427,15.72,15.302,15.389,19490,0
2015-01-27,15.302,15.389,15.236,15.283,10470,0
2015-01-28,15.135,15.29,14.786,14.825,30705,0
2015-01-29,14.92,15.539,14.92,15.534,9820,0
2015-01-30,15.524,15.524,15.223,15.33,16324,0
2015-02-02,15.445,15.718,15.425,15.573,31129,0
2015-02-03,15.622,15.642,15.415,15.612,39231,0
2015-02-04,15.494,15.689,15.378,15.494,27257,0
2015-02-05,15.564,15.785,15.435,15.544,24102,0
2015-02-06,15.642,15.873,15.612,15.775,32372,0
2015-02-09,15.785,15.932,15.632,15.699,31147,0
2015-02-10,15.661,15.737,15.602,15.642,11354,0
2015-02-11,15.582,15.694,15.474,15.504,12748,0
2015-02-12,15.651,15.834,15.415,15.445,15319,0
2015-02-13,15.514,15.514,15.144,15.388,10664,0
2015-02-17,15.32,15.728,15.281,15.474,32885,0
2015-02-18,15.465,15.709,15.465,15.564,11454,0
2015-02-19,15.592,15.737,15.445,15.573,19733,0
2015-02-20,15.612,15.737,15.445,15.602,22572,0
2015-02-23,15.554,15.737,15.514,15.592,47377,0
2015-02-24,15.544,15.873,15.544,15.689,19051,0
2015-02-25,15.651,15.824,15.425,15.494,21095,0
2015-02-26,15.445,15.834,15.445,15.564,25059,0
2015-02-27,15.326,15.642,15.326,15.554,16872,0
2015-03-02,15.544,15.795,15.415,15.435,16779,0
2015-03-03,15.34,15.455,15.243,15.262,6691,0
2015-03-04,15.252,15.544,15.144,15.204,20589,0
2015-03-05,15.204,15.378,14.786,15.154,22235,0
