Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,9.1,9.31,8.96,9.24,35529,0
2015-01-05,9.38,9.38,8.96,8.96,34075,0
2015-01-06,8.96,9.1,8.68,8.68,53402,0
2015-01-07,8.82,8.96,8.68,8.68,30944,0
2015-01-08,9.24,9.24,8.68,8.82,69937,0
2015-01-09,8.82,9.03,8.82,8.96,28607,0
2015-01-12,8.96,9.24,8.89,9.03,36730,0
2015-01-13,9.1,9.24,8.96,8.96,52756,0
2015-01-14,9.03,9.1,8.96,8.96,23814,0
2015-01-15,9.03,9.17,8.96,9.03,30547,0
2015-01-16,9.17,9.17,8.9607,9.03,32770,0
2015-01-20,8.96,9.03,8.89,8.89,63218,0
2015-01-21,8.89,8.89,8.68,8.75,64366,0
2015-01-22,8.68,8.89,8.645,8.68,24696,0
2015-01-23,8.82,8.82,8.54,8.54,42784,0
2015-01-26,8.47,8.96,8.47,8.61,33780,0
2015-01-27,8.61,8.82,8.54,8.54,34634,0
2015-01-28,8.68,8.75,8.54,8.54,25552,0
2015-01-29,8.61,8.82,8.61,8.68,38463,0
2015-01-30,8.61,8.89,8.61,8.89,40002,0
2015-02-02,9.1,9.1,8.61,8.82,54654,0
2015-02-03,8.68,8.68,7.56,7.84,174333,0
2015-02-04,7.84,7.91,7.0,7.49,91742,0
2015-02-05,5.817,6.65,5.3214,6.3707,338132,0
2015-02-06,6.44,6.9538,5.95,6.5639,101983,0
2015-02-09,6.58,7.35,6.58,7.35,104003,0
2015-02-10,7.42,7.7,7.35,7.7,75410,0
2015-02-11,7.77,8.05,7.7,8.05,106631,0
2015-02-12,8.12,8.19,7.84,7.91,95991,0
2015-02-13,7.91,7.98,7.77,7.77,50098,0
2015-02-17,7.77,7.84,6.65,6.86,83587,0
2015-02-18,7.0,7.28,6.86,7.0,48072,0
2015-02-19,7.0,7.0,6.72,6.72,20638,0
2015-02-20,6.86,7.0,6.7893,7.0,30565,0
2015-02-23,6.825,7.0,6.72,6.7235,23469,0
2015-02-24,6.93,7.0,6.72,6.79,24746,0
2015-02-25,7.0,7.0,6.7207,6.86,19122,0
2015-02-26,7.0,7.0,6.65,6.7186,41292,0
2015-02-27,6.86,7.0,6.65,6.86,28063,0
2015-03-02,6.86,6.86,6.44,6.58,26743,0
2015-03-03,6.51,6.58,6.16,6.23,57114,0
2015-03-04,6.23,6.23,6.09,6.23,51786,0
2015-03-05,6.23,6.23,6.02,6.09,18657,0
2015-03-06,5.95,6.09,5.53,5.6,54857,0
2015-03-09,5.6,5.88,5.32,5.53,58243,0
2015-03-10,5.6,5.6,5.11,5.25,76914,0
2015-03-11,5.18,5.46,4.9,5.25,83771,0
2015-03-12,5.18,5.6,5.18,5.53,42471,0
2015-03-13,5.53,5.53,5.32,5.53,45386,0
2015-03-16,5.53,5.88,5.39,5.6,77529,0
2015-03-17,5.53,5.81,5.53,5.74,16814,0
2015-03-18,5.74,5.95,5.53,5.74,36486,0
2015-03-19,5.95,6.02,5.6,5.81,24014,0
2015-03-20,5.95,5.95,5.6,5.6,52800,0
2015-03-23,5.6,5.95,5.6,5.6,45814,0
2015-03-24,5.6,5.74,5.53,5.6,36571,0
2015-03-25,5.6,5.74,5.46,5.6,26657,0
2015-03-26,5.6,5.6,5.46,5.53,7571,0
2015-03-27,5.6,5.67,5.46,5.67,21529,0
2015-03-30,5.46,5.67,5.25,5.67,60086,0
2015-03-31,5.67,5.67,5.46,5.53,44157,0
2015-04-01,5.6,5.6,5.25,5.46,26071,0
2015-04-02,5.32,5.53,5.32,5.39,16671,0
2015-04-06,5.39,5.6,5.32,5.53,17743,0
2015-04-07,5.3326,5.4593,5.32,5.32,27391,0
2015-04-08,4.9,5.32,4.55,4.76,109414,0
2015-04-09,4.62,5.04,4.585,4.69,66142,0
2015-04-10,4.55,4.83,4.2,4.83,46129,0
2015-04-13,4.83,5.11,4.83,5.11,39843,0
2015-04-14,4.9,5.25,4.9,5.04,19800,0
2015-04-15,5.04,5.39,4.9021,4.977,31250,0
2015-04-16,4.9,5.04,4.76,4.7614,26061,0
2015-04-17,4.55,4.9,4.55,4.76,49500,0
2015-04-20,4.76,5.1121,4.76,4.97,44934,0
2015-04-21,5.04,5.3228,4.9,5.11,51685,0
2015-04-22,5.32,5.5916,5.18,5.39,68565,0
2015-04-23,5.46,5.6,5.39,5.46,66386,0
2015-04-24,5.6,5.6,5.32,5.39,20729,0
2015-04-27,5.46,5.6,5.46,5.46,19986,0
2015-04-28,5.46,5.6,5.32,5.39,29643,0
2015-04-29,5.6,5.6,4.9,5.18,129386,0
2015-04-30,5.18,5.53,5.18,5.53,21057,0
2015-05-01,5.6,5.6,5.32,5.39,10157,0
2015-05-04,5.46,5.46,5.25,5.39,9071,0
2015-05-05,5.39,5.53,5.18,5.39,27100,0
2015-05-06,5.39,5.39,4.3981,4.76,71736,0
2015-05-07,4.76,5.25,4.76,5.04,24789,0
2015-05-08,5.11,5.18,4.55,5.04,59829,0
2015-05-11,5.18,5.18,4.76,5.04,14914,0
2015-05-12,5.068,5.068,4.921,5.04,25200,0
2015-05-13,4.97,5.11,4.9,5.04,40929,0
2015-05-14,4.9,5.18,4.9,4.9,63529,0
2015-05-15,4.9,4.9,4.83,4.8314,37625,0
2015-05-18,4.774,4.83,4.3379,4.41,68726,0
2015-05-19,4.48,4.55,4.41,4.48,112457,0
2015-05-20,4.48,4.62,4.48,4.62,42643,0
2015-05-21,4.69,4.76,4.62,4.69,19943,0
2015-05-22,4.69,4.83,4.62,4.69,38929,0
2015-05-26,4.69,4.69,4.48,4.4807,59338,0
2015-05-27,4.48,4.69,4.48,4.55,25100,0
2015-05-28,4.62,4.69,4.522,4.5514,5745,0
2015-05-29,4.55,4.76,4.55,4.69,40300,0
2015-06-01,4.69,4.76,4.55,4.55,12308,0
2015-06-02,4.515,4.522,4.27,4.41,63566,0
2015-06-03,4.34,4.69,4.34,4.48,56543,0
2015-06-04,4.55,4.69,4.2,4.27,36943,0
2015-06-05,4.27,4.41,3.99,4.2,68886,0
2015-06-08,3.99,4.41,3.99,4.2,51900,0
2015-06-09,4.13,4.2,3.85,3.99,52841,0
2015-06-10,3.85,4.06,3.374,3.5,265245,0
2015-06-11,3.43,3.7793,3.43,3.598,85397,0
2015-06-12,3.5,3.71,3.5,3.71,50243,0
2015-06-15,3.71,3.78,3.57,3.71,37100,0
2015-06-16,3.71,3.85,3.5,3.64,50429,0
2015-06-17,3.64,3.64,3.43,3.5,39114,0
2015-06-18,3.57,3.71,3.43,3.57,50029,0
2015-06-19,3.57,4.06,3.5,4.06,56943,0
2015-06-22,4.06,4.06,3.71,3.78,37486,0
2015-06-23,3.5,3.99,3.5,3.71,59785,0
2015-06-24,3.71,3.85,3.57,3.78,76414,0
2015-06-25,3.85,4.34,3.78,4.06,235486,0
2015-06-26,3.92,4.06,3.43,3.43,133200,0
2015-06-29,3.43,3.78,3.43,3.71,45157,0
2015-06-30,3.5175,3.822,3.5,3.71,19950,0
2015-07-01,3.5,3.78,3.5,3.71,15143,0
2015-07-02,3.78,3.92,3.71,3.92,95514,0
2015-07-06,3.57,3.92,3.57,3.71,35071,0
2015-07-07,3.92,3.92,3.64,3.78,23129,0
2015-07-08,3.85,3.99,3.78,3.85,50614,0
2015-07-09,3.99,3.99,3.57,3.78,37486,0
2015-07-10,3.78,3.92,3.64,3.78,14043,0
2015-07-13,3.92,3.92,3.64,3.78,21514,0
