Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.8361,6.8436,6.7455,6.8436,588416,0
2015-01-05,6.8287,6.8287,6.6325,6.6404,342390,0
2015-01-06,6.6252,6.6325,6.565,6.6325,277842,0
2015-01-07,6.6172,6.6628,6.5721,6.6628,119718,0
2015-01-08,6.6477,6.6551,6.6252,6.6404,140233,0
2015-01-09,6.6404,6.6551,6.61,6.6551,167418,0
2015-01-12,6.6551,6.6853,6.6477,6.6551,195279,0
2015-01-13,6.9729,7.0365,6.957,7.0365,147455,0
2015-01-14,6.9729,6.9729,6.9175,6.9334,312073,0
2015-01-15,6.9414,6.9414,6.822,6.83,430408,0
2015-01-16,6.822,6.8935,6.822,6.8855,124268,0
2015-01-20,6.8697,6.9175,6.8617,6.8855,229405,0
2015-01-21,6.8617,6.9414,6.8617,6.8935,186556,0
2015-01-22,6.9253,6.965,6.9093,6.9253,133954,0
2015-01-23,6.9414,6.9729,6.9334,6.9334,173775,0
2015-01-26,6.9334,6.9811,6.9334,6.9811,212451,0
2015-01-27,6.9491,6.9729,6.9414,6.965,132376,0
2015-01-28,6.957,6.9888,6.9334,6.9334,148981,0
2015-01-29,6.9414,6.9966,6.9414,6.9966,174014,0
2015-01-30,6.957,7.005,6.9491,6.965,227834,0
2015-02-02,6.965,6.9811,6.9491,6.9729,180403,0
2015-02-03,6.965,6.9966,6.965,6.9888,142024,0
2015-02-04,6.9729,6.9888,6.9253,6.9253,287084,0
2015-02-05,6.9253,6.957,6.9175,6.9414,251564,0
2015-02-06,6.9414,6.957,6.9093,6.9093,144257,0
2015-02-09,6.8935,6.9491,6.8935,6.9253,163543,0
2015-02-10,6.9093,6.9414,6.9015,6.9414,162040,0
2015-02-11,6.9253,6.9491,6.9093,6.9414,119171,0
2015-02-12,6.957,6.965,6.9253,6.9414,122062,0
2015-02-13,7.0127,7.0762,7.005,7.0762,447813,0
2015-02-17,7.0404,7.0641,7.0166,7.0563,217911,0
2015-02-18,7.0404,7.0563,6.9924,7.0079,266000,0
2015-02-19,7.0002,7.0404,7.0002,7.0079,138417,0
2015-02-20,7.0002,7.0804,7.0002,7.0804,201460,0
2015-02-23,7.0404,7.0641,7.0242,7.0322,166537,0
2015-02-24,7.0322,7.0958,7.0322,7.0958,113666,0
2015-02-25,7.0958,7.1042,7.0483,7.0804,118611,0
2015-02-26,7.072,7.1202,7.072,7.1042,126248,0
2015-02-27,7.112,7.1597,7.0804,7.1597,202757,0
2015-03-02,7.168,7.184,7.1443,7.184,130416,0
2015-03-03,7.152,7.168,7.0958,7.1443,291529,0
2015-03-04,7.1202,7.1443,7.0958,7.1443,172387,0
2015-03-05,7.128,7.1356,7.0958,7.1356,132923,0
2015-03-06,7.112,7.1597,7.0804,7.1597,121520,0
2015-03-09,7.1443,7.1759,7.1042,7.1597,202079,0
2015-03-10,7.112,7.1443,7.0483,7.0804,87194,0
2015-03-11,7.0882,7.0882,7.0322,7.0483,143194,0
2015-03-12,7.0563,7.0641,7.0322,7.0483,129541,0
2015-03-13,7.0563,7.0882,7.0322,7.0882,124026,0
2015-03-16,7.0641,7.072,7.0166,7.0483,134802,0
2015-03-17,7.0285,7.0602,7.0285,7.0602,80766,0
2015-03-18,7.0443,7.0602,7.0198,7.0521,81264,0
2015-03-19,7.0362,7.0443,6.9319,7.0198,201169,0
2015-03-20,7.0121,7.0924,7.0121,7.0924,125870,0
2015-03-23,7.0764,7.0764,7.0521,7.0684,132121,0
2015-03-24,7.0841,7.1003,7.0602,7.0602,302504,0
2015-03-25,7.0684,7.1082,7.0684,7.1082,220864,0
2015-03-26,7.0764,7.1165,7.0684,7.1165,201547,0
2015-03-27,7.0924,7.148,7.0841,7.1244,155801,0
2015-03-30,7.1244,7.148,7.1165,7.1244,58706,0
2015-03-31,7.1003,7.1165,7.0602,7.0602,255228,0
2015-04-01,7.0602,7.0841,7.0521,7.0602,182354,0
2015-04-02,7.0521,7.1328,7.0443,7.0602,691014,0
2015-04-06,7.0443,7.0764,7.0443,7.0521,68428,0
2015-04-07,7.0521,7.1003,7.0521,7.1003,60885,0
2015-04-08,7.0764,7.1082,7.0684,7.0841,79146,0
2015-04-09,7.0841,7.1082,7.0841,7.1082,77278,0
2015-04-10,7.1082,7.1328,7.0841,7.1244,91486,0
2015-04-13,7.1082,7.1567,7.1082,7.148,187092,0
2015-04-14,7.1526,7.1768,7.1526,7.1602,137157,0
2015-04-15,7.1602,7.209,7.1526,7.209,148428,0
2015-04-16,7.209,7.233,7.209,7.2251,119865,0
2015-04-17,7.2251,7.2494,7.2172,7.2412,207224,0
2015-04-20,7.2412,7.2654,7.2251,7.2412,184757,0
2015-04-21,7.2412,7.2654,7.2412,7.2573,99201,0
2015-04-22,7.2573,7.2896,7.2573,7.2896,116241,0
2015-04-23,7.2896,7.2976,7.2815,7.2896,100573,0
2015-04-24,7.2815,7.3378,7.2735,7.3378,162566,0
2015-04-27,7.3058,7.3138,7.2815,7.2976,93134,0
2015-04-28,7.3058,7.3058,7.233,7.2573,155508,0
2015-04-29,7.2412,7.2494,7.209,7.233,98217,0
2015-04-30,7.2494,7.2494,7.2009,7.2251,221239,0
2015-05-01,7.2251,7.2412,7.1768,7.233,211316,0
2015-05-04,7.2172,7.2412,7.1687,7.1768,118680,0
2015-05-05,7.1602,7.2172,7.1449,7.2172,137282,0
2015-05-06,7.1928,7.1928,7.1449,7.1687,85004,0
2015-05-07,7.1449,7.1526,7.1204,7.136,78676,0
2015-05-08,7.1526,7.1928,7.1449,7.1928,202140,0
2015-05-11,7.1768,7.1848,7.1526,7.1526,90651,0
2015-05-12,7.1585,7.1746,7.1421,7.1746,127062,0
2015-05-13,7.1746,7.1829,7.1178,7.1665,132548,0
2015-05-14,7.1665,7.1829,7.15,7.1665,93906,0
2015-05-15,7.1665,7.1829,7.1585,7.1829,107607,0
2015-05-18,7.1665,7.1829,7.1585,7.1829,69597,0
2015-05-19,7.1829,7.2152,7.1665,7.1829,167504,0
2015-05-20,7.1908,7.2234,7.1746,7.2234,106456,0
2015-05-21,7.2071,7.2234,7.1908,7.2234,73844,0
2015-05-22,7.2966,7.2966,7.2071,7.2476,150147,0
2015-05-26,7.2152,7.2397,7.2071,7.2397,114082,0
2015-05-27,7.2397,7.2476,7.2152,7.2476,105226,0
2015-05-28,7.2397,7.2476,7.2234,7.2314,73350,0
2015-05-29,7.2314,7.2476,7.2152,7.2314,174271,0
2015-06-01,7.2476,7.2885,7.2234,7.2885,113324,0
2015-06-02,7.2721,7.2966,7.2558,7.2966,88197,0
2015-06-03,7.2721,7.2721,7.2234,7.2397,79261,0
2015-06-04,7.2152,7.2234,7.1746,7.2234,172177,0
2015-06-05,7.2234,7.2234,7.1908,7.1989,95138,0
2015-06-08,7.1989,7.2071,7.1585,7.1908,178332,0
2015-06-09,7.1829,7.1829,7.1017,7.15,239025,0
2015-06-10,7.1178,7.1585,7.1017,7.1585,217700,0
2015-06-11,7.1585,7.1585,7.1257,7.1339,160018,0
2015-06-12,7.0932,7.1339,7.0448,7.1017,131564,0
2015-06-15,7.0608,7.1257,7.0608,7.1257,132058,0
2015-06-16,7.1068,7.1317,7.0908,7.1232,114074,0
2015-06-17,7.115,7.115,7.066,7.0987,154746,0
2015-06-18,7.066,7.0908,7.0494,7.0822,148883,0
2015-06-19,7.066,7.1068,7.066,7.0908,78412,0
2015-06-22,7.0987,7.115,7.0822,7.1068,99176,0
2015-06-23,7.0822,7.0908,7.0577,7.066,142435,0
2015-06-24,7.0577,7.1232,7.0413,7.115,132028,0
2015-06-25,7.1232,7.1317,7.1068,7.1068,112490,0
2015-06-26,7.115,7.115,7.0494,7.0987,96485,0
2015-06-29,7.066,7.066,6.8694,6.8777,148028,0
2015-06-30,6.9677,7.025,6.9023,6.9347,291974,0
2015-07-01,6.9347,7.025,6.9347,6.9838,167570,0
2015-07-02,6.9838,7.033,6.9838,7.0082,41771,0
2015-07-06,6.9759,7.0082,6.9677,7.0082,110901,0
2015-07-07,6.9923,7.0577,6.9923,7.0577,152182,0
2015-07-08,7.0004,7.025,6.9923,7.025,88179,0
2015-07-09,7.025,7.0494,7.025,7.0494,111997,0
2015-07-10,7.0577,7.066,7.0004,7.066,165984,0
2015-07-13,7.0413,7.066,7.0004,7.066,137765,0
2015-07-14,7.0459,7.0792,7.0377,7.0624,237008,0
2015-07-15,7.0705,7.1285,7.0624,7.104,190721,0
2015-07-16,7.1119,7.1119,7.0377,7.0792,251257,0
2015-07-17,7.0543,7.0873,7.0543,7.0873,77449,0
2015-07-20,7.0792,7.0792,7.0377,7.0377,49573,0
2015-07-21,7.0543,7.0543,6.9962,7.0459,97450,0
2015-07-22,7.0377,7.0377,6.9716,6.9881,123386,0
2015-07-23,7.005,7.005,6.914,6.9388,109808,0
2015-07-24,6.922,6.9554,6.823,6.8313,127143,0
2015-07-27,6.8151,6.8399,6.7242,6.7324,227739,0
2015-07-28,6.7656,6.823,6.7242,6.8067,195504,0
2015-07-29,6.8313,6.9058,6.823,6.8975,96237,0
2015-07-30,6.881,6.9388,6.8644,6.9388,120477,0
2015-07-31,6.9634,6.9881,6.9388,6.9468,154415,0
2015-08-03,6.9468,7.0207,6.922,6.922,155923,0
2015-08-04,6.8561,6.914,6.8561,6.914,111872,0
2015-08-05,6.8975,6.9554,6.8975,6.9388,116357,0
2015-08-06,6.914,6.9554,6.8893,6.9468,125627,0
2015-08-07,6.9388,6.9881,6.9058,6.9388,153324,0
2015-08-10,6.9554,6.9634,6.8481,6.8481,107509,0
2015-08-11,6.8399,6.8727,6.8399,6.8727,82173,0
2015-08-12,6.8481,7.0207,6.8399,6.922,103387,0
2015-08-13,6.8975,6.922,6.8893,6.9058,67512,0
2015-08-14,6.9058,6.9306,6.8893,6.922,24238,0
2015-08-17,6.9306,6.9306,6.8067,6.8313,119505,0
2015-08-18,6.8105,6.8438,6.8105,6.8275,80927,0
2015-08-19,6.8275,6.8438,6.8105,6.8438,63496,0
2015-08-20,6.8105,6.8438,6.7774,6.7774,96322,0
2015-08-21,6.7939,6.8024,6.6859,6.7108,161622,0
2015-08-24,6.47,6.6194,5.7462,6.6028,633256,0
2015-08-25,6.6528,6.7357,6.6194,6.7192,178578,0
2015-08-26,6.7275,6.7357,6.6859,6.7108,181102,0
2015-08-27,6.7108,6.7608,6.7108,6.7608,131436,0
2015-08-28,6.7275,6.8105,6.7275,6.8024,122781,0
2015-08-31,6.8024,6.8105,6.7024,6.7357,222949,0
2015-09-01,6.7108,6.8189,6.7108,6.8105,113280,0
2015-09-02,6.7858,6.8275,6.7774,6.8275,72152,0
2015-09-03,6.8356,6.8521,6.8356,6.8521,88504,0
2015-09-04,6.8024,6.8356,6.7608,6.7608,106421,0
2015-09-08,6.7774,6.7939,6.7108,6.7108,288609,0
2015-09-09,6.7192,6.7275,6.6693,6.6859,104018,0
2015-09-10,6.7024,6.7357,6.6859,6.6943,79181,0
2015-09-11,6.7108,6.7275,6.7024,6.7275,88386,0
2015-09-14,6.7357,6.7357,6.6775,6.6859,229927,0
2015-09-15,6.689,6.7059,6.647,6.6639,258167,0
2015-09-16,6.6807,6.7059,6.6554,6.6724,100136,0
2015-09-17,6.6639,6.7896,6.6554,6.7896,131405,0
2015-09-18,6.7142,6.7563,6.7142,6.7311,54995,0
2015-09-21,6.7563,6.7812,6.7477,6.7477,72417,0
2015-09-22,6.7225,6.7896,6.7142,6.7812,149007,0
2015-09-23,6.773,6.7979,6.7563,6.7563,88282,0
2015-09-24,6.7393,6.7896,6.689,6.7477,310796,0
2015-09-25,6.7645,6.815,6.7393,6.7477,109878,0
2015-09-28,6.7477,6.7477,6.6303,6.6303,111684,0
2015-09-29,6.6139,6.639,6.5133,6.5551,180262,0
2015-09-30,6.5803,6.6139,6.4877,6.4963,295142,0
2015-10-01,6.4543,6.5383,6.4376,6.4963,395358,0
2015-10-02,6.4626,6.4963,6.4039,6.4877,164276,0
2015-10-05,6.5046,6.5716,6.4713,6.5133,454124,0
