Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,10.0,10.05,9.03,9.74,5404490,0
2015-01-05,9.65,10.07,9.56,9.78,1308910,0
2015-01-06,9.38,9.59,8.92,9.52,2719342,0
2015-01-07,9.59,9.66,9.34,9.66,1360060,0
2015-01-08,9.8,9.8,9.41,9.5,1225943,0
2015-01-09,9.46,9.64,9.19,9.27,2230634,0
2015-01-12,9.25,9.48,8.78,8.79,1800202,0
2015-01-13,8.8,8.995,8.52,8.79,1156497,0
2015-01-14,8.68,8.88,8.6,8.64,576066,0
2015-01-15,8.68,8.75,8.19,8.37,1174898,0
2015-01-16,8.35,8.74,8.2,8.69,1328307,0
2015-01-20,8.74,8.8,8.34,8.455,826083,0
2015-01-21,8.38,8.5225,8.2516,8.36,619280,0
2015-01-22,8.4,8.65,8.14,8.55,610337,0
2015-01-23,8.53,8.75,8.465,8.7,420569,0
2015-01-26,8.62,8.625,8.35,8.62,822811,0
2015-01-27,8.49,8.71,8.22,8.51,817620,0
2015-01-28,8.65,8.666,8.35,8.37,575371,0
2015-01-29,8.36,8.58,8.31,8.5,556273,0
2015-01-30,8.42,8.58,8.15,8.15,632511,0
2015-02-02,8.2,8.31,7.92,8.07,566427,0
2015-02-03,8.08,8.34,7.97,8.32,542295,0
2015-02-04,8.25,8.375,7.95,8.25,1093469,0
2015-02-05,8.25,8.49,8.222,8.32,1070158,0
2015-02-06,8.33,8.43,8.11,8.22,896347,0
2015-02-09,8.23,8.46,8.1,8.16,540472,0
2015-02-10,8.24,8.3,8.06,8.08,411672,0
2015-02-11,8.19,8.34,8.09,8.3,488520,0
2015-02-12,8.48,8.48,8.22,8.42,388847,0
2015-02-13,8.45,8.69,8.24,8.65,629324,0
2015-02-17,8.78,8.85,8.54,8.79,652452,0
2015-02-18,8.83,9.07,8.71,9.02,1025915,0
2015-02-19,9.0,9.43,8.9601,9.38,1442428,0
2015-02-20,9.96,9.98,9.63,9.855,1919345,0
2015-02-23,9.86,9.949,9.51,9.6,762729,0
2015-02-24,9.59,9.65,9.42,9.55,573736,0
2015-02-25,9.6,9.76,9.4,9.52,596950,0
2015-02-26,9.89,10.49,9.54,10.48,1562064,0
2015-02-27,10.38,10.6,10.18,10.35,997599,0
2015-03-02,10.3,10.43,10.08,10.25,960800,0
2015-03-03,10.23,10.25,9.84,10.2,861300,0
2015-03-04,10.14,10.17,9.68,10.02,1088000,0
2015-03-05,10.05,10.44,10.01,10.33,817500,0
2015-03-06,10.22,10.44,9.8,9.81,1417700,0
2015-03-09,9.87,10.17,9.8,10.15,818900,0
2015-03-10,9.82,9.96,9.65,9.74,483500,0
2015-03-11,9.81,9.91,9.67,9.76,388200,0
2015-03-12,9.81,9.98,9.75,9.91,459700,0
2015-03-13,9.91,10.0,9.74,9.84,483300,0
2015-03-16,9.86,10.12,9.83,10.12,460400,0
