Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.637,11.693,11.628,11.658,62747,0
2015-01-05,11.685,11.685,11.62,11.637,81377,0
2015-01-06,11.685,11.73,11.667,11.693,105921,0
2015-01-07,11.721,11.792,11.667,11.766,175362,0
2015-01-08,11.747,11.792,11.701,11.756,94821,0
2015-01-09,11.775,11.835,11.73,11.782,106013,0
2015-01-12,11.818,11.835,11.756,11.756,53187,0
2015-01-13,11.809,11.875,11.792,11.867,109280,0
2015-01-14,11.893,11.971,11.867,11.925,106540,0
2015-01-15,11.971,12.049,11.935,12.006,88826,0
2015-01-16,12.033,12.049,11.979,11.997,29114,0
2015-01-20,12.063,12.099,11.979,12.014,83528,0
2015-01-21,12.052,12.052,11.957,12.011,45751,0
2015-01-22,11.975,12.037,11.975,11.984,68045,0
2015-01-23,12.011,12.037,11.967,12.001,74477,0
2015-01-26,12.001,12.046,11.992,12.011,68470,0
2015-01-27,12.058,12.113,12.058,12.104,78408,0
2015-01-28,12.12,12.328,12.12,12.276,145112,0
2015-01-29,12.294,12.303,12.037,12.068,222367,0
2015-01-30,12.128,12.199,12.113,12.146,98077,0
2015-02-02,12.153,12.217,12.137,12.217,56443,0
2015-02-03,12.181,12.207,12.153,12.162,59379,0
2015-02-04,12.153,12.172,12.052,12.172,101085,0
2015-02-05,12.162,12.19,12.12,12.153,42188,0
2015-02-06,12.12,12.153,12.068,12.146,69653,0
2015-02-09,12.137,12.137,12.011,12.019,68374,0
2015-02-10,11.939,12.086,11.939,12.058,110923,0
2015-02-11,12.077,12.128,12.058,12.104,75610,0
2015-02-12,12.113,12.128,12.068,12.094,48618,0
2015-02-13,12.086,12.128,12.077,12.113,57154,0
2015-02-17,12.113,12.128,11.778,11.786,166087,0
2015-02-18,11.825,11.9,11.728,11.9,131501,0
2015-02-19,11.774,11.998,11.774,11.791,191727,0
2015-02-20,11.825,12.091,11.8,11.817,102582,0
2015-02-23,11.875,11.926,11.825,11.875,94338,0
2015-02-24,11.907,12.075,11.883,12.042,102734,0
2015-02-25,12.057,12.126,12.007,12.025,132589,0
2015-02-26,12.075,12.075,11.98,12.034,109823,0
2015-02-27,12.042,12.119,12.034,12.119,114643,0
2015-03-02,12.119,12.126,11.998,11.998,86009,0
2015-03-03,12.049,12.242,12.042,12.242,184368,0
2015-03-04,12.255,12.386,12.255,12.353,94781,0
2015-03-05,12.36,12.36,12.275,12.326,79196,0
2015-03-06,12.249,12.275,12.169,12.214,120063,0
2015-03-09,12.214,12.284,12.196,12.265,49645,0
2015-03-10,12.255,12.353,12.255,12.335,39135,0
2015-03-11,12.367,12.367,12.16,12.178,121451,0
2015-03-12,12.196,12.275,12.196,12.232,59919,0
2015-03-13,12.242,12.249,12.151,12.196,37755,0
2015-03-16,12.223,12.223,12.075,12.083,76425,0
2015-03-17,12.091,12.091,12.015,12.034,98014,0
2015-03-18,12.079,12.202,12.012,12.193,68830,0
2015-03-19,12.193,12.193,12.038,12.052,90087,0
2015-03-20,12.07,12.229,12.06,12.21,81528,0
2015-03-23,12.21,12.246,12.13,12.13,57569,0
2015-03-24,12.13,12.202,12.096,12.13,118470,0
2015-03-25,12.149,12.175,12.13,12.175,60555,0
2015-03-26,12.175,12.21,12.096,12.202,74001,0
2015-03-27,12.229,12.358,12.219,12.35,105367,0
2015-03-30,12.333,12.365,12.289,12.297,67679,0
2015-03-31,12.314,12.341,12.271,12.341,72763,0
2015-04-01,12.35,12.401,12.314,12.323,33093,0
2015-04-02,12.341,12.358,12.175,12.175,96520,0
2015-04-06,12.229,12.271,12.175,12.175,44355,0
2015-04-07,12.156,12.289,12.156,12.254,51964,0
2015-04-08,12.254,12.289,12.219,12.219,63656,0
2015-04-09,12.219,12.28,12.202,12.21,64454,0
2015-04-10,12.229,12.323,12.219,12.261,97786,0
2015-04-13,12.271,12.305,12.193,12.219,69061,0
2015-04-14,12.238,12.314,12.229,12.297,52742,0
2015-04-15,12.337,12.362,12.276,12.293,74041,0
2015-04-16,12.31,12.31,12.178,12.293,150635,0
2015-04-17,12.266,12.31,12.266,12.31,45637,0
2015-04-20,12.328,12.416,12.302,12.416,45088,0
2015-04-21,12.416,12.513,12.378,12.46,118584,0
2015-04-22,12.476,12.486,12.397,12.441,49129,0
2015-04-23,12.467,12.486,12.441,12.467,76863,0
2015-04-24,12.494,12.537,12.45,12.513,85321,0
2015-04-27,12.546,12.546,12.494,12.504,37627,0
2015-04-28,12.521,12.537,12.504,12.504,69883,0
2015-04-29,12.467,12.486,12.354,12.432,88186,0
2015-04-30,12.45,12.537,12.432,12.486,71829,0
2015-05-01,12.504,12.504,12.345,12.354,46665,0
2015-05-04,12.337,12.416,12.337,12.354,72288,0
2015-05-05,12.369,12.423,12.319,12.423,80522,0
2015-05-06,12.416,12.416,12.188,12.188,89915,0
