Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,14.731,15.286,14.631,15.09,6938226,0
2015-01-05,14.784,14.784,13.96,14.032,9002876,0
2015-01-06,13.95,14.094,13.54,13.808,12381357,0
2015-01-07,13.97,14.059,13.414,13.825,9203320,0
2015-01-08,13.988,14.246,13.798,14.13,7573789,0
2015-01-09,14.345,14.551,13.915,14.471,7973794,0
2015-01-12,14.256,14.329,13.611,14.238,8075454,0
2015-01-13,14.246,14.695,14.192,14.436,10306579,0
2015-01-14,14.374,14.685,13.701,14.256,11647931,0
2015-01-15,14.561,14.695,13.95,13.988,7440994,0
2015-01-16,14.086,14.775,14.086,14.767,8177905,0
2015-01-20,14.685,14.704,14.076,14.498,6779037,0
2015-01-21,14.659,15.484,14.498,15.394,8432715,0
2015-01-22,15.519,15.654,14.846,15.206,6252947,0
2015-01-23,15.171,15.411,14.794,14.812,5200943,0
2015-01-26,14.91,15.206,14.749,15.081,5947557,0
2015-01-27,14.991,15.627,14.935,15.411,6964767,0
2015-01-28,15.322,15.322,14.3,14.319,10817991,0
2015-01-29,14.309,14.345,13.845,14.283,6581301,0
2015-01-30,14.13,14.749,13.944,14.534,9985550,0
2015-02-02,14.821,15.457,14.48,15.403,10618532,0
2015-02-03,15.654,16.245,15.654,16.102,10551722,0
2015-02-04,15.734,15.878,14.927,15.349,9488753,0
2015-02-05,15.43,16.039,15.045,15.922,12739158,0
2015-02-06,16.194,16.897,16.138,16.65,9981041,0
2015-02-09,16.759,17.822,16.696,17.648,11822554,0
2015-02-10,17.538,17.538,16.522,16.889,10804360,0
2015-02-11,16.587,16.587,15.909,16.476,7445561,0
2015-02-12,16.852,17.274,16.614,16.696,6649047,0
2015-02-13,17.135,17.182,16.769,16.971,5966674,0
2015-02-17,16.852,17.849,16.714,17.83,8993085,0
2015-02-18,17.465,17.905,17.355,17.566,7452626,0
2015-02-19,17.035,17.941,16.954,17.858,8012166,0
2015-02-20,17.905,17.959,17.264,17.437,6678753,0
2015-02-23,17.035,17.347,16.705,17.052,6773067,0
2015-02-24,17.144,17.29,16.157,16.321,9279135,0
2015-02-25,16.376,16.467,15.935,16.321,7013192,0
2015-02-26,16.321,16.339,15.113,15.195,9687508,0
2015-02-27,15.295,15.543,15.123,15.231,7559211,0
2015-03-02,15.14,15.14,14.206,14.591,11013049,0
2015-03-03,14.307,15.068,14.252,14.893,8999612,0
2015-03-04,14.929,14.937,14.573,14.846,5560274,0
2015-03-05,14.792,14.865,14.499,14.617,9044075,0
2015-03-06,14.536,14.681,13.886,13.904,8584579,0
2015-03-09,13.822,13.959,13.126,13.145,12821536,0
2015-03-10,12.971,13.273,12.934,13.061,8178506,0
2015-03-11,13.08,13.089,12.541,12.897,8445069,0
2015-03-12,12.971,13.061,12.138,12.138,8696908,0
2015-03-13,12.788,12.861,12.138,12.412,10740366,0
2015-03-16,12.238,12.623,12.037,12.623,8385204,0
2015-03-17,12.458,12.623,12.366,12.531,6985848,0
2015-03-18,12.412,13.172,12.312,13.099,7932151,0
2015-03-19,12.832,12.87,12.375,12.402,6654391,0
2015-03-20,12.677,12.852,12.43,12.559,17985676,0
2015-03-23,12.577,13.374,12.577,13.217,11490025,0
2015-03-24,13.209,13.318,12.788,12.907,7039052,0
2015-03-25,13.061,13.657,13.016,13.41,7501061,0
2015-03-26,13.676,13.849,13.227,13.427,6914291,0
2015-03-27,13.273,13.273,12.924,13.108,5556997,0
2015-03-30,13.162,13.338,12.732,12.989,7747523,0
2015-03-31,12.842,13.318,12.742,13.07,4869971,0
2015-04-01,13.108,13.427,13.016,13.227,7573710,0
2015-04-02,13.089,13.555,13.007,13.51,7976945,0
2015-04-06,13.676,14.336,13.629,14.298,9306271,0
2015-04-07,14.215,14.655,14.088,14.462,7506395,0
