Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.87,11.922,11.87,11.87,157468,0
2015-01-05,11.931,11.965,11.888,11.922,325743,0
2015-01-06,11.956,12.076,11.956,12.031,171342,0
2015-01-07,12.041,12.137,12.041,12.101,195166,0
2015-01-08,12.117,12.127,12.059,12.085,226544,0
2015-01-09,12.076,12.215,12.076,12.154,203467,0
2015-01-12,12.215,12.241,12.172,12.206,243800,0
2015-01-13,12.258,12.282,12.214,12.214,216845,0
2015-01-14,12.258,12.266,12.17,12.18,242294,0
2015-01-15,12.17,12.305,12.17,12.291,194107,0
2015-01-16,12.291,12.313,12.221,12.221,199580,0
2015-01-20,12.258,12.332,12.17,12.18,303980,0
2015-01-21,12.18,12.19,12.099,12.099,305451,0
2015-01-22,12.092,12.142,12.074,12.074,411417,0
2015-01-23,12.108,12.142,12.067,12.074,225265,0
2015-01-26,12.108,12.125,12.084,12.125,200232,0
2015-01-27,12.125,12.19,12.125,12.18,154662,0
2015-01-28,12.205,12.275,12.205,12.258,127903,0
2015-01-29,12.258,12.296,12.24,12.296,144473,0
2015-01-30,12.313,12.351,12.296,12.341,149301,0
2015-02-02,12.341,12.384,12.332,12.368,137537,0
2015-02-03,12.384,12.384,12.332,12.36,206144,0
2015-02-04,12.322,12.322,12.275,12.291,166349,0
2015-02-05,12.291,12.305,12.24,12.275,178932,0
2015-02-06,12.23,12.23,12.125,12.152,217205,0
2015-02-09,12.19,12.205,12.084,12.084,198259,0
2015-02-10,12.057,12.067,11.954,11.963,444756,0
2015-02-11,11.991,12.007,11.926,11.999,228972,0
2015-02-12,12.007,12.007,11.971,11.971,214681,0
2015-02-13,11.999,12.007,11.9,11.9,152972,0
2015-02-17,11.891,11.9,11.587,11.63,881687,0
2015-02-18,11.595,11.798,11.573,11.798,366701,0
2015-02-19,11.821,11.875,11.762,11.78,297605,0
2015-02-20,11.839,11.909,11.839,11.847,214039,0
2015-02-23,11.909,11.943,11.839,11.9,239536,0
2015-02-24,11.891,11.961,11.83,11.961,188782,0
2015-02-25,11.981,12.02,11.961,11.999,145101,0
2015-02-26,11.999,12.013,11.926,11.981,204224,0
2015-02-27,11.981,12.038,11.971,12.013,141253,0
2015-03-02,12.038,12.056,11.991,12.047,240906,0
2015-03-03,12.029,12.074,12.013,12.056,152067,0
2015-03-04,12.098,12.134,12.074,12.134,148263,0
2015-03-05,12.134,12.134,12.091,12.124,155761,0
2015-03-06,12.074,12.083,11.961,11.981,238140,0
2015-03-09,11.991,12.02,11.961,12.007,154494,0
2015-03-10,12.013,12.074,12.013,12.02,135914,0
2015-03-11,12.012,12.046,11.989,12.018,120204,0
2015-03-12,12.055,12.074,11.979,11.989,185186,0
2015-03-13,12.005,12.005,11.898,11.933,122730,0
2015-03-16,11.933,11.95,11.889,11.889,180710,0
2015-03-17,11.889,11.889,11.818,11.881,86108,0
2015-03-18,11.889,12.005,11.873,11.998,108726,0
2015-03-19,12.012,12.012,11.863,11.863,165555,0
2015-03-20,11.916,12.046,11.907,12.037,172439,0
2015-03-23,12.037,12.037,11.925,11.979,254991,0
2015-03-24,11.969,12.005,11.916,12.005,88058,0
2015-03-25,11.998,12.005,11.933,11.969,113430,0
2015-03-26,11.933,11.959,11.873,11.898,225485,0
2015-03-27,11.933,11.989,11.916,11.969,126636,0
2015-03-30,11.989,11.989,11.925,11.979,94369,0
2015-03-31,11.959,12.065,11.941,12.065,72023,0
2015-04-01,12.106,12.113,12.037,12.065,106080,0
2015-04-02,12.065,12.065,11.979,12.012,92652,0
2015-04-06,12.037,12.055,12.005,12.037,144201,0
2015-04-07,12.037,12.097,12.028,12.055,92303,0
2015-04-08,12.055,12.09,12.037,12.046,109296,0
2015-04-09,12.055,12.074,12.046,12.074,118323,0
2015-04-10,12.082,12.133,12.082,12.113,129849,0
2015-04-13,12.15,12.15,12.08,12.096,95847,0
2015-04-14,12.122,12.168,12.104,12.113,144633,0
2015-04-15,12.122,12.15,12.122,12.122,90079,0
2015-04-16,12.14,12.159,12.113,12.159,133725,0
2015-04-17,12.14,12.178,12.122,12.178,66146,0
2015-04-20,12.168,12.213,12.132,12.132,85609,0
2015-04-21,12.132,12.204,12.122,12.195,112930,0
2015-04-22,12.188,12.195,12.08,12.122,163519,0
2015-04-23,12.113,12.178,12.096,12.14,136522,0
2015-04-24,12.188,12.204,12.104,12.188,162654,0
2015-04-27,12.168,12.229,12.159,12.168,115273,0
2015-04-28,12.188,12.257,12.188,12.239,109481,0
2015-04-29,12.204,12.257,12.188,12.229,128636,0
2015-04-30,12.213,12.274,12.195,12.257,244482,0
2015-05-01,12.257,12.257,12.178,12.188,106359,0
2015-05-04,12.195,12.213,12.122,12.213,165881,0
2015-05-05,12.188,12.195,12.14,12.168,97675,0
2015-05-06,12.15,12.178,11.922,11.931,400537,0
2015-05-07,11.913,11.939,11.85,11.895,273934,0
2015-05-08,11.922,12.003,11.913,11.987,183819,0
2015-05-11,11.931,11.977,11.895,11.939,153313,0
2015-05-12,11.913,11.939,11.824,11.922,181768,0
2015-05-13,11.921,11.956,11.868,11.878,165214,0
2015-05-14,11.911,11.921,11.849,11.886,281899,0
2015-05-15,11.878,11.966,11.878,11.947,94717,0
2015-05-18,11.947,11.966,11.858,11.858,132533,0
2015-05-19,11.841,11.878,11.782,11.806,290738,0
2015-05-20,11.799,11.831,11.782,11.792,152954,0
2015-05-21,11.792,11.814,11.792,11.792,132879,0
2015-05-22,11.763,11.782,11.701,11.736,187325,0
2015-05-26,11.708,11.745,11.674,11.717,128673,0
2015-05-27,11.708,11.763,11.708,11.745,132420,0
2015-05-28,11.763,11.782,11.736,11.736,99599,0
2015-05-29,11.763,11.782,11.727,11.745,90024,0
2015-06-01,11.799,11.831,11.755,11.799,122167,0
2015-06-02,11.755,11.799,11.745,11.792,130714,0
2015-06-03,11.755,11.755,11.684,11.692,230974,0
2015-06-04,11.692,11.692,11.571,11.578,264733,0
2015-06-05,11.524,11.543,11.28,11.41,486503,0
2015-06-08,11.367,11.386,11.28,11.306,422390,0
2015-06-09,11.252,11.288,11.171,11.228,558247,0
2015-06-10,11.21,11.306,11.171,11.234,343258,0
2015-06-11,11.283,11.32,11.247,11.311,233881,0
2015-06-12,11.311,11.407,11.301,11.328,155730,0
2015-06-15,11.338,11.397,11.338,11.362,97711,0
2015-06-16,11.39,11.443,11.39,11.433,120785,0
2015-06-17,11.424,11.433,11.372,11.407,159575,0
2015-06-18,11.362,11.443,11.362,11.443,206851,0
2015-06-19,11.45,11.486,11.424,11.468,146909,0
2015-06-22,11.477,11.477,11.397,11.459,183331,0
2015-06-23,11.414,11.477,11.414,11.45,101634,0
2015-06-24,11.443,11.494,11.443,11.494,94547,0
2015-06-25,11.459,11.468,11.424,11.424,71702,0
