Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,16.677,16.695,16.382,16.501,85473,0
2015-01-05,16.478,16.492,16.092,16.173,214408,0
2015-01-06,16.27,16.301,15.883,16.044,353300,0
2015-01-07,16.261,16.261,16.07,16.092,238863,0
2015-01-08,16.229,16.34,16.196,16.34,233085,0
2015-01-09,16.382,16.382,16.221,16.334,89479,0
2015-01-12,16.365,16.365,16.188,16.229,70170,0
2015-01-13,16.301,16.453,16.18,16.221,118718,0
2015-01-14,16.076,16.196,16.013,16.196,137973,0
2015-01-15,16.173,16.236,16.021,16.035,107225,0
2015-01-16,16.061,16.277,16.061,16.27,111130,0
2015-01-20,16.357,16.357,16.11,16.301,74389,0
2015-01-21,16.236,16.405,16.18,16.325,72430,0
2015-01-22,16.453,16.508,16.35,16.501,116838,0
2015-01-23,16.462,16.566,16.445,16.478,61400,0
2015-01-26,16.501,16.517,16.422,16.429,83434,0
2015-01-27,16.277,16.317,16.221,16.221,87288,0
2015-01-28,16.317,16.317,16.005,16.005,95923,0
2015-01-29,16.035,16.18,15.908,16.18,97871,0
2015-01-30,16.076,16.188,16.044,16.053,59115,0
2015-02-02,16.053,16.18,16.035,16.11,112262,0
2015-02-03,16.124,16.27,16.118,16.196,275260,0
2015-02-04,16.18,16.317,16.149,16.157,170685,0
2015-02-05,16.165,16.261,16.165,16.245,204277,0
2015-02-06,16.229,16.253,16.124,16.124,413352,0
2015-02-09,16.092,16.14,16.005,16.044,233395,0
2015-02-10,16.092,16.149,16.029,16.132,194509,0
2015-02-11,16.14,16.157,16.044,16.061,117864,0
2015-02-12,16.157,16.188,16.118,16.18,144631,0
2015-02-13,16.213,16.317,16.188,16.317,67642,0
2015-02-17,16.317,16.34,16.206,16.34,92834,0
2015-02-18,16.301,16.382,16.293,16.34,62092,0
2015-02-19,16.34,16.422,16.317,16.365,102308,0
2015-02-20,16.325,16.445,16.317,16.422,49984,0
2015-02-23,16.422,16.478,16.388,16.439,95800,0
2015-02-24,16.429,16.527,16.373,16.488,62984,0
2015-02-25,16.501,16.536,16.478,16.527,55862,0
2015-02-26,16.527,16.566,16.492,16.541,77475,0
2015-02-27,16.541,16.566,16.501,16.536,48241,0
2015-03-02,16.492,16.536,16.468,16.517,98603,0
2015-03-03,16.527,16.541,16.413,16.501,78783,0
