Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.527,11.587,11.518,11.527,21258,0
2015-01-05,11.527,11.596,11.527,11.577,18304,0
2015-01-06,11.596,11.72,11.596,11.661,25159,0
2015-01-07,11.677,11.711,11.669,11.704,38087,0
2015-01-08,11.687,11.905,11.642,11.772,129164,0
2015-01-09,11.746,11.81,11.738,11.801,7449,0
2015-01-12,11.86,11.923,11.801,11.843,37702,0
2015-01-13,11.834,11.94,11.802,11.878,34171,0
2015-01-14,11.95,11.969,11.834,11.853,38984,0
2015-01-15,11.869,12.003,11.869,11.933,42136,0
2015-01-16,11.959,12.031,11.878,11.888,27316,0
2015-01-20,11.888,11.959,11.888,11.933,35003,0
2015-01-21,11.888,12.049,11.888,12.039,31189,0
2015-01-22,12.003,12.084,11.986,12.031,70306,0
2015-01-23,12.039,12.039,11.95,12.003,29347,0
2015-01-26,11.977,12.031,11.95,11.95,14208,0
2015-01-27,11.977,12.058,11.977,11.994,30732,0
2015-01-28,12.039,12.276,12.031,12.18,42934,0
2015-01-29,12.304,12.391,12.18,12.313,88912,0
2015-01-30,12.313,12.391,12.285,12.381,31939,0
2015-02-02,12.381,12.578,12.357,12.416,54845,0
2015-02-03,12.322,12.4,12.322,12.381,35091,0
2015-02-04,12.349,12.349,12.189,12.214,39124,0
2015-02-05,12.268,12.268,12.134,12.152,11122,0
2015-02-06,12.134,12.161,12.134,12.134,6674,0
2015-02-09,12.126,12.134,12.058,12.091,37285,0
2015-02-10,12.091,12.099,11.959,11.969,40847,0
2015-02-11,12.012,12.078,12.012,12.078,5989,0
2015-02-12,12.078,12.078,11.97,11.97,18456,0
2015-02-13,11.978,11.995,11.941,11.941,26602,0
2015-02-17,11.96,11.96,11.792,11.792,22238,0
2015-02-18,11.792,11.934,11.792,11.897,16949,0
2015-02-19,11.853,11.96,11.853,11.907,9610,0
2015-02-20,11.907,11.941,11.861,11.897,12754,0
2015-02-23,11.96,11.978,11.934,11.978,5107,0
2015-02-24,11.941,12.032,11.934,11.995,4900,0
2015-02-25,12.086,12.118,11.987,12.109,42503,0
2015-02-26,12.068,12.1,11.96,12.059,34587,0
2015-02-27,12.068,12.1,11.97,12.1,48011,0
2015-03-02,12.1,12.1,12.059,12.059,29324,0
2015-03-03,12.004,12.04,11.96,12.04,19854,0
2015-03-04,12.022,12.078,12.022,12.068,15339,0
2015-03-05,12.04,12.05,11.879,12.05,67566,0
2015-03-06,11.978,11.978,11.802,11.81,27748,0
2015-03-09,11.889,11.987,11.889,11.889,12294,0
2015-03-10,11.907,12.004,11.897,11.907,27635,0
2015-03-11,11.942,11.942,11.835,11.908,17293,0
2015-03-12,11.917,11.942,11.871,11.871,18527,0
2015-03-13,11.917,11.926,11.853,11.898,16615,0
2015-03-16,11.898,11.934,11.889,11.898,7411,0
2015-03-17,11.917,11.97,11.889,11.934,67706,0
2015-03-18,11.917,12.014,11.889,12.014,6625,0
2015-03-19,12.005,12.005,11.889,11.934,15046,0
2015-03-20,11.926,12.093,11.926,12.093,23807,0
2015-03-23,12.061,12.07,12.034,12.034,7860,0
2015-03-24,12.061,12.061,12.034,12.052,2690,0
2015-03-25,12.183,12.191,12.13,12.147,32899,0
2015-03-26,12.11,12.165,12.024,12.024,11225,0
2015-03-27,12.08,12.147,11.996,12.07,29419,0
2015-03-30,12.088,12.156,11.889,11.934,77700,0
2015-03-31,11.917,12.101,11.917,12.101,38333,0
