Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,36.356,36.472,35.841,36.079,948708,0
2015-01-05,35.958,35.975,35.509,35.662,1215528,0
2015-01-06,35.583,35.729,34.966,35.04,2451020,0
2015-01-07,35.347,35.546,35.069,35.251,3967624,0
2015-01-08,35.412,36.079,35.337,36.069,2153868,0
2015-01-09,36.175,36.205,35.565,35.691,1313542,0
2015-01-12,35.765,35.811,35.337,35.528,983301,0
2015-01-13,35.783,36.278,35.328,35.774,1962632,0
2015-01-14,35.403,35.9,35.203,35.861,1812345,0
2015-01-15,35.958,36.433,35.681,36.003,2667358,0
2015-01-16,36.04,36.414,35.691,36.366,1484767,0
2015-01-20,36.348,36.604,35.729,36.166,1817468,0
2015-01-21,36.012,36.261,35.793,35.975,1528360,0
2015-01-22,36.214,36.472,35.975,36.308,3031116,0
2015-01-23,35.939,36.119,35.442,35.652,3187291,0
2015-01-26,35.632,36.261,35.518,36.243,1673051,0
2015-01-27,35.821,35.9,35.022,35.622,2515623,0
2015-01-28,35.851,35.92,35.462,35.518,1870320,0
2015-01-29,35.528,36.214,35.251,36.185,3131995,0
2015-01-30,36.308,36.948,35.069,35.136,4220102,0
2015-02-02,35.203,35.9,34.621,35.802,3589241,0
2015-02-03,35.92,36.384,35.583,36.328,3013637,0
2015-02-04,36.308,36.555,35.851,35.89,3522455,0
2015-02-05,36.04,36.233,35.92,36.166,1667998,0
2015-02-06,36.288,36.737,36.089,36.214,2020555,0
2015-02-09,36.003,36.069,35.774,35.88,1462179,0
2015-02-10,35.88,36.356,35.793,36.251,2155692,0
2015-02-11,36.214,36.977,36.205,36.861,1715669,0
2015-02-12,37.128,37.454,36.948,37.405,2095995,0
2015-02-13,37.396,37.719,37.215,37.71,1420584,0
2015-02-17,37.49,38.28,37.434,38.024,1781381,0
2015-02-18,38.004,38.464,37.986,38.318,1458004,0
2015-02-19,38.148,38.299,37.863,37.9,951177,0
2015-02-20,37.738,38.262,37.528,38.234,1351005,0
2015-02-23,38.119,38.225,37.881,38.109,926512,0
2015-02-24,38.053,38.168,37.835,37.967,1396077,0
2015-02-25,38.159,38.169,37.784,37.881,1468675,0
2015-02-26,37.929,38.13,37.755,37.9,1042557,0
2015-02-27,37.929,38.14,37.604,37.624,1507837,0
2015-03-02,37.814,38.09,37.718,37.967,1488901,0
2015-03-03,37.774,37.824,37.544,37.718,1144688,0
2015-03-04,37.843,37.977,37.335,37.412,1284003,0
2015-03-05,37.526,37.709,37.441,37.67,864601,0
2015-03-06,37.574,37.614,36.836,36.915,1637927,0
2015-03-09,36.915,37.249,36.855,37.076,1234712,0
2015-03-10,36.789,36.789,36.244,36.396,1680638,0
2015-03-11,36.435,36.521,35.958,36.225,1556782,0
2015-03-12,36.386,36.798,36.386,36.798,1435222,0
2015-03-13,36.733,37.018,36.406,36.962,1598556,0
2015-03-16,37.067,37.584,37.028,37.325,1504044,0
2015-03-17,37.202,37.363,36.865,37.221,1751339,0
2015-03-18,37.239,37.957,37.047,37.737,1645446,0
2015-03-19,37.661,37.709,37.325,37.584,984594,0
