Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,49.667,49.923,47.218,47.391,400949,0
2015-01-05,47.493,47.493,45.76,46.356,279411,0
2015-01-06,46.351,46.865,44.408,44.923,293005,0
2015-01-07,44.913,45.558,44.705,45.305,274096,0
2015-01-08,45.725,46.617,45.115,45.504,301300,0
2015-01-09,45.696,45.924,44.763,44.829,324734,0
2015-01-12,44.763,45.562,44.143,44.79,291628,0
2015-01-13,45.217,47.056,45.217,46.18,213917,0
2015-01-14,45.334,46.171,44.324,44.857,250283,0
2015-01-15,45.038,45.067,43.772,44.609,236961,0
2015-01-16,44.477,45.543,44.234,44.905,249573,0
2015-01-20,45.096,46.286,44.82,46.238,396401,0
2015-01-21,45.514,47.523,45.514,47.484,455487,0
2015-01-22,48.312,50.123,46.885,49.627,1066049,0
2015-01-23,49.751,50.16,49.094,49.741,671586,0
2015-01-26,49.751,50.118,48.705,49.841,323890,0
2015-01-27,49.437,50.722,48.994,50.456,324080,0
2015-01-28,50.607,50.752,48.201,48.559,676460,0
2015-01-29,48.667,48.866,47.542,48.77,291531,0
2015-01-30,48.439,49.181,47.18,47.508,414267,0
2015-02-02,47.436,47.969,45.818,47.542,378700,0
2015-02-03,47.96,49.531,47.591,48.932,329809,0
2015-02-04,48.667,50.36,48.667,49.676,151839,0
2015-02-05,49.667,49.667,48.38,48.477,127084,0
2015-02-06,48.38,50.076,48.285,49.506,197309,0
2015-02-09,49.179,50.14,48.559,49.487,155310,0
2015-02-10,49.713,50.104,48.38,49.657,248749,0
2015-02-11,48.902,50.135,48.526,49.989,216290,0
2015-02-12,50.536,51.299,49.938,51.223,427056,0
2015-02-13,51.185,51.54,50.601,51.242,177418,0
2015-02-17,50.774,51.852,50.391,51.28,135699,0
2015-02-18,51.167,52.466,50.831,52.266,358642,0
2015-02-19,52.025,52.581,51.091,51.119,235123,0
2015-02-20,51.119,52.16,50.18,51.807,253552,0
2015-02-23,51.549,52.571,51.194,52.141,191959,0
2015-02-24,52.256,52.419,51.481,51.941,210058,0
2015-02-25,51.807,52.17,51.386,51.863,294816,0
2015-02-26,56.814,56.814,51.52,52.581,1239699,0
2015-02-27,52.656,53.516,51.653,52.111,469227,0
2015-03-02,51.921,52.591,51.137,52.371,320511,0
2015-03-03,52.025,53.402,52.025,53.04,413433,0
2015-03-04,52.762,53.163,52.246,52.752,278656,0
2015-03-05,52.972,53.698,52.4,53.497,308165,0
2015-03-06,53.325,55.092,53.325,53.919,401609,0
2015-03-09,54.043,54.291,53.584,54.014,297596,0
2015-03-10,53.173,53.994,52.561,52.703,240776,0
2015-03-11,52.904,52.904,52.111,52.513,195991,0
2015-03-12,52.962,54.549,52.4,53.843,602725,0
2015-03-13,53.642,54.569,52.839,54.301,304398,0
2015-03-16,54.559,55.494,54.014,55.41,553021,0
2015-03-17,55.209,55.611,54.406,55.333,226964,0
2015-03-18,55.122,55.428,54.644,55.082,250088,0
2015-03-19,54.672,55.428,54.367,54.78,202060,0
2015-03-20,55.2,55.428,54.559,54.635,433315,0
2015-03-23,54.635,54.95,53.965,54.271,349394,0
2015-03-24,54.271,54.653,53.852,54.243,136032,0
2015-03-25,54.07,54.348,53.325,53.764,341022,0
2015-03-26,53.497,53.955,52.992,53.23,164599,0
2015-03-27,53.23,54.53,53.221,54.472,145240,0
2015-03-30,55.476,55.858,54.672,55.467,174018,0
2015-03-31,55.122,55.611,54.501,54.682,274779,0
2015-04-01,54.482,55.238,54.243,55.16,172550,0
2015-04-02,55.275,56.116,55.055,55.209,238998,0
2015-04-06,55.878,56.89,55.821,55.906,239101,0
2015-04-07,56.059,56.345,55.284,55.333,227392,0
2015-04-08,55.504,56.079,55.323,55.677,258983,0
2015-04-09,55.802,56.049,54.96,55.694,180951,0
2015-04-10,55.848,56.5,55.621,55.792,156751,0
2015-04-13,56.249,56.249,55.37,55.438,148170,0
2015-04-14,55.504,55.667,54.788,55.447,206351,0
2015-04-15,55.753,56.24,55.247,56.204,195938,0
2015-04-16,55.982,56.403,55.639,56.089,180647,0
2015-04-17,55.649,55.649,53.909,54.482,336941,0
2015-04-20,55.18,55.953,54.672,55.303,296817,0
2015-04-21,55.37,55.925,54.702,54.788,149797,0
2015-04-22,54.587,55.513,53.994,55.418,191568,0
2015-04-23,55.418,56.355,55.418,56.031,247891,0
2015-04-24,55.888,56.564,55.543,56.222,188692,0
2015-04-27,56.384,57.541,56.24,56.948,293411,0
2015-04-28,56.525,57.004,56.04,56.546,196529,0
2015-04-29,56.632,56.795,55.783,55.992,173911,0
2015-04-30,55.743,56.278,55.238,55.868,352949,0
2015-05-01,56.079,56.164,55.209,55.677,216709,0
2015-05-04,55.753,56.67,55.428,56.384,265158,0
2015-05-05,56.345,56.795,54.702,55.925,296863,0
2015-05-06,56.413,56.413,54.496,54.845,336017,0
2015-05-07,54.11,56.021,53.307,54.214,295550,0
2015-05-08,54.31,55.504,53.574,53.708,307118,0
2015-05-11,53.66,54.539,52.885,53.05,206245,0
2015-05-12,52.6,52.992,51.471,52.513,359256,0
2015-05-13,53.079,53.079,51.919,52.061,178941,0
2015-05-14,52.198,52.419,51.688,52.227,142756,0
2015-05-15,52.208,52.734,51.612,52.476,156614,0
2015-05-18,52.581,53.712,52.478,53.529,159652,0
2015-05-19,53.491,53.838,52.803,52.914,118949,0
2015-05-20,53.098,54.056,52.954,53.933,138065,0
2015-05-21,54.039,54.989,53.857,54.959,187595,0
2015-05-22,54.68,55.37,54.479,55.008,238275,0
2015-05-26,54.778,55.495,54.2,55.045,210103,0
2015-05-27,55.073,55.785,54.585,55.592,239317,0
2015-05-28,55.238,55.592,54.815,55.573,160728,0
2015-05-29,55.573,55.823,54.461,54.556,404288,0
2015-06-01,55.2,56.455,54.556,55.755,483605,0
2015-06-02,55.554,55.823,55.265,55.4,245785,0
2015-06-03,55.735,56.234,55.41,55.705,241716,0
2015-06-04,55.563,55.85,54.536,54.969,158190,0
2015-06-05,55.008,55.592,54.164,55.323,135353,0
2015-06-08,56.225,56.225,54.056,54.345,188640,0
2015-06-09,54.164,54.824,52.905,53.905,207056,0
2015-06-10,54.125,54.67,53.808,54.125,138846,0
2015-06-11,54.451,54.891,53.876,54.527,148093,0
2015-06-12,54.422,54.651,54.155,54.432,129408,0
2015-06-15,53.896,54.72,53.788,54.076,145156,0
2015-06-16,53.923,54.72,53.627,54.374,174560,0
2015-06-17,54.595,55.064,54.239,54.489,140670,0
2015-06-18,54.633,55.705,54.633,54.921,190305,0
2015-06-19,54.317,55.091,54.009,54.614,247869,0
2015-06-22,54.872,55.495,54.67,54.748,271435,0
2015-06-23,54.536,55.081,54.355,54.886,272053,0
2015-06-24,54.911,55.045,54.145,54.872,278213,0
2015-06-25,54.852,55.477,54.661,55.363,330144,0
2015-06-26,55.544,56.197,55.008,55.554,465289,0
2015-06-29,55.247,55.563,53.76,53.847,263929,0
2015-06-30,53.876,54.21,53.023,53.702,282420,0
2015-07-01,54.183,54.661,53.491,53.683,178628,0
2015-07-02,53.828,54.336,52.934,53.319,113559,0
2015-07-06,52.812,53.588,52.484,52.859,133477,0
2015-07-07,53.098,53.098,51.181,51.458,529420,0
2015-07-08,50.903,51.392,49.549,49.867,297505,0
2015-07-09,50.539,51.016,49.254,49.667,409814,0
2015-07-10,50.412,51.247,49.8,51.114,660601,0
2015-07-13,51.631,52.466,51.325,52.033,240881,0
2015-07-14,52.217,52.429,51.305,52.189,384483,0
2015-07-15,52.32,53.798,51.622,53.482,1509507,0
2015-07-16,54.096,55.17,53.76,54.852,605021,0
2015-07-17,55.045,55.228,54.2,55.045,270393,0
2015-07-20,55.111,56.647,54.355,56.339,587712,0
2015-07-21,56.339,57.836,55.602,56.109,402097,0
2015-07-22,55.86,57.318,55.755,57.107,459034,0
2015-07-23,57.376,57.808,55.87,56.109,283115,0
2015-07-24,55.745,56.857,54.786,54.834,147449,0
2015-07-27,54.642,54.71,53.375,53.989,184155,0
2015-07-28,54.345,54.345,53.511,53.876,264971,0
2015-07-29,53.933,53.933,52.466,53.558,223988,0
2015-07-30,53.272,54.267,52.6,54.183,185199,0
2015-07-31,54.039,55.017,53.712,55.008,254752,0
2015-08-03,55.265,55.495,54.155,55.073,231842,0
2015-08-04,55.256,55.458,53.588,53.663,259860,0
2015-08-05,54.307,54.307,51.641,51.727,289892,0
2015-08-06,55.622,56.857,46.567,49.82,1214233,0
2015-08-07,49.8,52.676,49.254,51.843,503664,0
2015-08-10,52.447,54.969,52.053,52.812,385100,0
2015-08-11,52.438,53.07,51.593,51.87,157906,0
2015-08-12,51.776,52.468,50.938,51.545,367637,0
2015-08-13,51.515,51.929,50.774,51.275,268404,0
2015-08-14,51.023,51.649,50.379,50.88,391957,0
2015-08-17,50.59,51.631,50.59,51.427,413153,0
2015-08-18,51.573,52.322,50.57,51.053,261441,0
2015-08-19,50.706,51.063,49.476,50.457,270483,0
2015-08-20,49.9,50.908,47.222,47.232,444430,0
2015-08-21,46.058,47.145,45.451,45.625,798147,0
2015-08-24,43.46,45.451,42.392,42.95,1020111,0
2015-08-25,44.172,44.481,42.266,42.295,372732,0
2015-08-26,43.076,44.115,41.574,43.46,546785,0
2015-08-27,44.027,44.981,42.758,43.7,514468,0
2015-08-28,43.421,44.942,43.421,44.835,368369,0
2015-08-31,44.693,45.53,44.22,44.73,320569,0
2015-09-01,43.729,44.422,42.236,42.536,345298,0
2015-09-02,43.008,43.644,41.842,42.43,315477,0
2015-09-03,42.518,43.008,41.941,42.439,407126,0
2015-09-04,41.767,43.104,41.728,42.295,285137,0
2015-09-08,42.758,43.21,41.555,42.266,571308,0
2015-09-09,42.613,42.816,41.699,42.122,493581,0
2015-09-10,42.236,42.334,41.038,41.516,672978,0
2015-09-11,41.256,41.67,40.429,41.14,256975,0
2015-09-14,41.14,41.488,40.621,41.256,280666,0
2015-09-15,41.468,42.556,41.113,42.285,437676,0
2015-09-16,42.401,43.315,42.354,43.277,343843,0
2015-09-17,43.384,45.308,43.384,44.75,437493,0
2015-09-18,44.269,46.771,44.23,45.924,577230,0
2015-09-21,46.348,46.752,45.182,45.375,244815,0
2015-09-22,44.962,45.577,44.316,44.817,211877,0
2015-09-23,44.835,45.182,43.786,43.97,181675,0
2015-09-24,43.46,44.047,42.95,43.97,315333,0
2015-09-25,44.539,44.539,42.719,42.843,379383,0
2015-09-28,42.921,45.596,41.812,41.872,1147261,0
2015-09-29,43.132,45.577,42.364,45.22,1406965,0
2015-09-30,45.817,46.366,44.663,45.567,1002229,0
2015-10-01,45.712,46.348,44.037,44.779,666593,0
2015-10-02,44.076,45.442,43.325,45.299,518103,0
2015-10-05,45.596,46.983,45.442,46.789,392452,0
2015-10-06,46.644,47.501,46.492,46.733,299370,0
2015-10-07,46.733,50.534,46.212,50.467,892290,0
2015-10-08,50.619,50.619,47.954,49.669,533898,0
2015-10-09,49.86,50.59,48.869,50.59,416168,0
2015-10-12,50.659,51.216,49.254,49.436,732706,0
2015-10-13,49.379,50.467,48.782,48.907,519973,0
2015-10-14,48.792,49.697,48.012,48.196,356731,0
2015-10-15,48.696,49.86,48.215,49.792,507713,0
2015-10-16,49.57,50.908,48.772,50.89,428428,0
2015-10-19,50.561,51.293,49.33,50.196,323870,0
2015-10-20,50.111,50.505,49.541,50.196,170228,0
2015-10-21,50.312,50.764,48.772,48.801,233386,0
2015-10-22,49.023,50.147,48.686,49.85,234321,0
2015-10-23,50.58,51.023,49.743,50.958,238166,0
2015-10-26,51.063,51.64,49.919,50.216,161168,0
2015-10-27,50.072,50.157,48.475,49.466,326594,0
2015-10-28,49.821,51.573,49.312,51.573,372108,0
2015-10-29,51.372,51.919,50.552,51.023,316516,0
2015-10-30,50.918,51.535,49.456,51.225,289810,0
2015-11-02,51.399,52.16,49.33,51.899,400048,0
2015-11-03,53.228,54.256,51.409,54.084,531198,0
2015-11-04,54.191,54.993,50.869,52.579,437234,0
2015-11-05,53.108,53.108,51.323,52.83,345063,0
2015-11-06,52.944,55.069,51.565,54.781,498332,0
2015-11-09,54.442,54.442,52.084,53.274,247960,0
2015-11-10,52.134,53.602,51.67,53.582,266254,0
2015-11-11,53.94,56.219,53.93,55.041,492016,0
2015-11-12,55.041,56.016,54.635,55.369,516353,0
2015-11-13,55.097,56.296,54.558,55.918,578386,0
2015-11-16,55.601,57.078,55.041,56.615,466022,0
2015-11-17,56.865,58.439,56.373,56.74,1020486,0
2015-11-18,57.299,58.044,56.798,57.841,641972,0
2015-11-19,57.551,57.927,56.663,57.56,325595,0
2015-11-20,58.024,58.478,57.454,58.217,602205,0
