Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,13.736,13.822,13.464,13.626,3660015,0
2015-01-05,13.55,13.644,13.361,13.439,4881147,0
2015-01-06,13.43,13.489,13.198,13.275,6021172,0
2015-01-07,13.361,13.479,13.284,13.446,5021443,0
2015-01-08,13.55,13.686,13.505,13.677,3700870,0
2015-01-09,13.677,13.703,13.43,13.455,6326232,0
2015-01-12,13.472,13.55,13.334,13.455,4335563,0
2015-01-13,13.497,13.634,13.284,13.361,3779362,0
2015-01-14,13.25,13.326,13.037,13.146,5560052,0
2015-01-15,13.181,13.217,13.037,13.037,3297308,0
2015-01-16,13.046,13.207,13.01,13.207,3305301,0
2015-01-20,13.224,13.275,13.087,13.131,2554698,0
2015-01-21,13.114,13.241,13.037,13.155,2156031,0
2015-01-22,13.25,13.677,13.224,13.677,4310373,0
2015-01-23,13.634,13.677,13.42,13.479,3023572,0
2015-01-26,13.532,13.619,13.343,13.574,3088822,0
2015-01-27,13.42,13.565,13.394,13.439,3870079,0
2015-01-28,13.505,13.505,13.165,13.165,3845087,0
2015-01-29,13.284,13.294,12.884,13.258,6422946,0
2015-01-30,13.131,13.38,13.131,13.207,4707554,0
2015-02-02,13.275,13.532,13.181,13.532,5321654,0
2015-02-03,13.583,13.728,13.55,13.696,4333316,0
2015-02-04,13.658,13.763,13.619,13.686,4519160,0
2015-02-05,13.696,13.799,13.668,13.737,3839788,0
2015-02-06,13.807,13.981,13.764,13.877,3807489,0
2015-02-09,13.851,13.929,13.764,13.833,2272492,0
2015-02-10,13.92,13.964,13.807,13.955,2192955,0
2015-02-11,13.937,13.955,13.851,13.912,2646243,0
2015-02-12,13.964,14.242,13.894,14.155,3521934,0
2015-02-13,14.189,14.258,14.12,14.215,3161417,0
2015-02-17,14.258,14.346,14.189,14.285,2273741,0
2015-02-18,14.25,14.312,14.12,14.173,2860017,0
2015-02-19,14.128,14.232,13.989,14.18,2500308,0
2015-02-20,14.207,14.354,14.076,14.346,2855295,0
2015-02-23,14.302,14.329,14.128,14.232,3071965,0
2015-02-24,14.242,14.371,14.225,14.354,2847812,0
2015-02-25,14.312,14.329,14.25,14.285,2170744,0
2015-02-26,14.258,14.363,14.232,14.354,2724991,0
2015-02-27,14.329,14.458,14.32,14.424,3966695,0
2015-03-02,14.424,14.502,14.371,14.484,2221603,0
2015-03-03,14.432,14.519,14.381,14.519,2657470,0
2015-03-04,14.458,14.476,14.346,14.432,2815927,0
2015-03-05,14.414,14.555,14.292,14.546,2931083,0
2015-03-06,14.519,14.686,14.312,14.432,4092439,0
2015-03-09,14.476,14.642,14.442,14.642,3836789,0
2015-03-10,14.502,14.511,14.268,14.268,3044281,0
2015-03-11,14.285,14.346,14.199,14.32,3559723,0
2015-03-12,14.406,14.735,14.363,14.686,4970738,0
2015-03-13,14.624,14.656,14.424,14.572,2682804,0
2015-03-16,14.624,14.676,14.563,14.616,3058563,0
2015-03-17,14.597,14.694,14.511,14.694,3836677,0
2015-03-18,14.633,14.686,14.546,14.633,3661865,0
2015-03-19,14.607,14.607,14.45,14.563,3353823,0
2015-03-20,14.656,14.702,14.572,14.686,5334518,0
2015-03-23,14.686,14.726,14.597,14.616,3433281,0
2015-03-24,14.616,14.656,14.519,14.597,2249699,0
2015-03-25,14.642,14.642,14.381,14.414,4052135,0
2015-03-26,14.398,14.484,14.242,14.442,2436371,0
2015-03-27,14.432,14.484,14.32,14.414,1734490,0
2015-03-30,14.467,14.754,14.467,14.686,2866019,0
2015-03-31,14.536,14.607,14.458,14.528,4213577,0
2015-04-01,14.476,14.528,14.354,14.502,2529533,0
2015-04-02,14.528,14.597,14.467,14.597,1923922,0
2015-04-06,14.502,14.745,14.424,14.694,4652675,0
2015-04-07,14.656,14.771,14.642,14.648,2611737,0
2015-04-08,14.642,14.867,14.587,14.823,4235116,0
2015-04-09,14.797,14.859,14.676,14.813,3507074,0
2015-04-10,14.813,14.813,14.666,14.764,4638164,0
2015-04-13,14.771,14.849,14.719,14.797,3121091,0
2015-04-14,14.805,14.901,14.676,14.754,2801302,0
2015-04-15,14.771,14.875,14.711,14.797,2361008,0
2015-04-16,14.78,14.823,14.719,14.771,2527464,0
2015-04-17,14.702,14.754,14.493,14.572,3674304,0
2015-04-20,14.607,14.754,14.607,14.694,1815559,0
2015-04-21,14.771,14.911,14.686,14.735,2970094,0
2015-04-22,14.771,14.789,14.597,14.764,2068396,0
2015-04-23,14.719,14.859,14.694,14.764,2493372,0
2015-04-24,14.764,14.78,14.624,14.676,2718280,0
2015-04-27,14.711,14.735,14.511,14.563,2910814,0
2015-04-28,14.597,14.702,14.502,14.694,3502949,0
2015-04-29,14.633,14.901,14.616,14.859,3497421,0
2015-04-30,14.867,15.145,14.823,14.928,5153377,0
2015-05-01,14.952,15.058,14.797,14.797,3758483,0
2015-05-04,14.789,14.98,14.78,14.971,2756851,0
2015-05-05,14.98,15.093,14.911,14.952,3223350,0
2015-05-06,14.988,15.102,14.919,15.102,4154426,0
2015-05-07,15.039,15.109,14.855,14.917,4986055,0
2015-05-08,14.969,15.023,14.864,14.995,2916187,0
2015-05-11,14.979,15.163,14.943,15.137,3580963,0
2015-05-12,15.137,15.269,14.979,15.216,4116174,0
2015-05-13,15.225,15.286,15.137,15.277,4077415,0
2015-05-14,15.305,15.365,15.251,15.277,2935253,0
2015-05-15,15.286,15.295,15.085,15.146,1964718,0
2015-05-18,15.118,15.409,15.118,15.365,3750825,0
2015-05-19,15.401,15.63,15.375,15.602,5703434,0
2015-05-20,15.567,15.612,15.445,15.577,3083146,0
2015-05-21,15.567,15.602,15.418,15.498,3656214,0
2015-05-22,15.523,15.594,15.472,15.48,2433352,0
2015-05-26,15.488,15.498,15.286,15.418,3074075,0
2015-05-27,15.48,15.64,15.428,15.612,2768295,0
2015-05-28,15.594,15.64,15.488,15.612,2940326,0
2015-05-29,15.602,15.673,15.48,15.63,4140863,0
2015-06-01,15.656,15.681,15.523,15.594,2939604,0
2015-06-02,15.602,15.806,15.577,15.761,3849236,0
2015-06-03,15.78,16.008,15.761,15.886,3639303,0
2015-06-04,15.814,15.903,15.727,15.78,2658879,0
2015-06-05,15.814,15.957,15.771,15.957,3814662,0
2015-06-08,15.877,16.018,15.842,15.938,2801209,0
2015-06-09,15.938,16.062,15.832,16.035,2704112,0
2015-06-10,16.08,16.326,16.052,16.221,3406854,0
2015-06-11,16.23,16.317,16.142,16.211,4003630,0
2015-06-12,16.183,16.247,16.149,16.238,2418598,0
2015-06-15,16.113,16.262,16.042,16.238,2899956,0
2015-06-16,16.193,16.361,16.158,16.342,2930146,0
2015-06-17,16.397,16.422,16.08,16.149,4033604,0
2015-06-18,16.211,16.317,16.132,16.272,3194718,0
2015-06-19,16.281,16.326,16.221,16.23,4382960,0
2015-06-22,16.352,16.387,16.281,16.361,3043989,0
2015-06-23,16.441,16.493,16.387,16.458,2701710,0
