Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,32.564,32.694,31.975,32.161,387165,0
2015-01-05,31.92,32.409,31.81,32.161,494340,0
2015-01-06,32.243,32.417,31.341,31.542,356663,0
2015-01-07,31.792,32.225,31.672,32.216,331635,0
2015-01-08,32.538,32.778,32.364,32.713,552909,0
2015-01-09,32.62,32.703,32.417,32.538,268434,0
2015-01-12,32.603,32.75,32.335,32.564,356779,0
2015-01-13,32.841,33.137,32.409,32.722,376731,0
2015-01-14,32.383,32.703,32.225,32.435,182675,0
2015-01-15,32.511,32.511,31.747,31.817,411788,0
2015-01-16,31.817,32.235,31.653,32.186,279916,0
2015-01-20,32.281,32.335,31.637,31.856,199858,0
2015-01-21,31.856,31.92,31.533,31.774,298185,0
2015-01-22,32.023,32.703,31.599,32.694,522724,0
2015-01-23,32.564,32.684,32.325,32.529,201116,0
2015-01-26,32.445,32.73,32.104,32.73,252894,0
2015-01-27,32.484,32.889,32.345,32.73,301595,0
2015-01-28,32.934,33.092,31.965,32.059,253750,0
2015-01-29,32.179,32.297,31.866,32.235,298606,0
2015-01-30,32.114,32.252,31.499,31.533,261298,0
2015-02-02,31.718,32.059,31.184,31.957,285683,0
2015-02-03,32.243,32.399,32.023,32.325,308345,0
2015-02-04,32.243,32.65,32.206,32.307,301556,0
2015-02-05,32.492,33.045,32.464,32.962,266159,0
2015-02-06,33.137,33.487,32.814,32.952,516534,0
2015-02-09,32.943,33.054,32.556,32.703,413742,0
2015-02-10,32.879,32.998,32.62,32.971,484628,0
2015-02-11,32.998,33.119,32.75,32.988,341942,0
2015-02-12,33.211,33.211,32.879,33.127,327403,0
2015-02-13,33.173,33.339,32.841,33.156,439212,0
2015-02-17,33.33,33.369,32.824,32.824,602646,0
2015-02-18,32.556,33.027,31.542,32.068,924218,0
2015-02-19,32.023,32.059,31.431,31.884,681980,0
2015-02-20,31.866,32.435,31.525,32.426,498414,0
2015-02-23,32.399,32.659,32.096,32.65,512031,0
2015-02-24,32.668,32.916,32.538,32.879,336769,0
2015-02-25,32.797,32.934,32.668,32.916,342573,0
2015-02-26,32.859,33.119,32.824,33.072,295591,0
2015-02-27,32.926,33.045,32.788,32.85,293876,0
2015-03-02,32.934,33.22,32.74,33.054,238918,0
2015-03-03,32.907,32.907,32.373,32.546,364622,0
2015-03-04,32.417,32.538,32.096,32.216,375477,0
2015-03-05,32.216,32.281,31.68,31.738,586821,0
2015-03-06,31.525,31.579,30.944,31.175,506060,0
2015-03-09,31.249,31.331,31.017,31.184,401636,0
2015-03-10,30.842,31.065,30.65,30.787,351269,0
