Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,8.6964,9.2156,8.6581,9.1963,2000374,0
2015-01-05,9.512,9.512,9.1194,9.502,2478388,0
2015-01-06,9.59,9.919,9.4557,9.841,3236100,0
2015-01-07,9.57,9.928,9.493,9.696,2841569,0
2015-01-08,9.686,9.945,9.4762,9.502,1900260,0
2015-01-09,9.61,9.884,9.61,9.87,2049922,0
2015-01-12,9.899,10.426,9.87,10.281,2603929,0
2015-01-13,10.473,10.512,9.86,10.004,2698392,0
2015-01-14,10.176,10.224,9.677,9.919,2467389,0
2015-01-15,10.426,10.473,10.215,10.301,2635146,0
2015-01-16,10.532,10.754,10.377,10.571,3199339,0
2015-01-20,10.908,10.994,10.695,10.918,3596960,0
2015-01-21,11.116,11.175,10.581,10.975,4922592,0
2015-01-22,11.117,11.225,10.888,10.994,2504725,0
2015-01-23,10.858,10.918,10.587,10.744,2373650,0
2015-01-26,10.493,11.126,10.368,11.061,2228807,0
2015-01-27,11.09,11.483,11.052,11.453,2522849,0
2015-01-28,11.225,11.426,10.696,10.85,2546389,0
2015-01-29,10.6,10.764,10.426,10.676,2093852,0
2015-01-30,10.695,11.32,10.581,11.205,3100108,0
2015-02-02,10.994,11.463,10.956,11.359,2063725,0
2015-02-03,11.251,11.426,10.903,11.09,2130489,0
2015-02-04,11.185,11.526,11.032,11.369,1834108,0
2015-02-05,11.243,11.483,11.205,11.473,1970473,0
2015-02-06,11.042,11.329,10.868,11.012,1999862,0
2015-02-09,11.136,11.31,11.052,11.195,1609320,0
2015-02-10,11.042,11.126,10.868,11.012,1367266,0
2015-02-11,11.012,11.098,10.744,11.003,1723017,0
2015-02-12,11.126,11.32,11.022,11.215,2091650,0
2015-02-13,11.396,11.579,11.369,11.386,1673821,0
2015-02-17,11.08,11.234,10.754,10.812,2117069,0
2015-02-18,10.822,11.085,10.686,11.032,2349605,0
2015-02-19,10.898,11.003,10.185,10.271,2670995,0
2015-02-20,10.137,10.281,9.61,9.61,3505753,0
2015-02-23,9.521,9.61,9.33,9.485,3210556,0
2015-02-24,9.3787,9.57,9.3017,9.33,2146368,0
2015-02-25,9.485,9.61,9.292,9.512,2505070,0
2015-02-26,9.753,9.753,9.3132,9.3232,2287547,0
2015-02-27,9.489,9.546,9.3527,9.4161,1468139,0
2015-03-02,9.421,9.546,9.3427,9.421,1936642,0
2015-03-03,9.4111,9.586,9.1485,9.1872,1842830,0
2015-03-04,9.1677,9.275,9.0219,9.1872,1963461,0
2015-03-05,9.2358,9.3718,9.1388,9.1872,1281712,0
2015-03-06,8.9634,9.0413,8.7591,8.8468,3293568,0
2015-03-09,8.798,8.8758,8.5741,8.5839,2307470,0
2015-03-10,8.545,8.7591,8.4184,8.4963,2307776,0
2015-03-11,8.4865,8.8468,8.2628,8.7786,2613050,0
2015-03-12,8.798,8.8758,8.5937,8.72,1919997,0
2015-03-13,8.7884,8.8175,8.5256,8.7689,1759809,0
2015-03-16,8.8271,8.8271,8.4672,8.652,2411453,0
2015-03-17,8.4865,8.6812,8.4282,8.5937,2026036,0
2015-03-18,8.5256,9.0804,8.5059,9.0024,2380423,0
2015-03-19,8.866,9.0219,8.798,8.9828,1683569,0
2015-03-20,9.0804,9.3527,9.0608,9.2456,3884075,0
2015-03-23,9.333,9.4697,9.2652,9.3816,1955036,0
2015-03-24,9.3527,9.421,9.1485,9.1872,1859991,0
2015-03-25,9.2263,9.3915,9.1872,9.2068,1223658,0
2015-03-26,9.3915,9.4308,8.8468,8.944,1989765,0
2015-03-27,8.8468,8.9927,8.6422,8.8857,1982163,0
2015-03-30,8.6325,8.798,8.5839,8.6909,1845604,0
2015-03-31,8.6812,8.7591,8.4575,8.5354,1316412,0
2015-04-01,8.652,8.9828,8.6227,8.9343,1838310,0
2015-04-02,8.8953,8.9343,8.6034,8.7299,1474059,0
2015-04-06,9.0219,9.1677,8.9634,9.1485,1442619,0
