Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,14.91,15.5,14.46,14.65,186906,0
2015-01-05,14.5,14.835,14.37,14.58,172251,0
2015-01-06,14.59,14.59,13.59,13.63,230172,0
2015-01-07,13.81,13.81,13.31,13.58,218226,0
2015-01-08,17.05,17.67,16.85,17.58,1273901,0
2015-01-09,17.68,17.71,17.22,17.5,316441,0
2015-01-12,17.5,17.75,16.88,16.94,251876,0
2015-01-13,17.14,17.57,16.57,17.08,270959,0
2015-01-14,16.89,17.22,16.48,16.62,185636,0
2015-01-15,16.39,16.76,15.85,16.04,156451,0
2015-01-16,16.0,16.4,15.78,15.99,391360,0
2015-01-20,16.31,16.31,15.86,16.21,492751,0
2015-01-21,15.892,16.43,15.892,16.17,127497,0
2015-01-22,16.41,17.04,16.14,17.0,323153,0
2015-01-23,16.74,17.42,16.71,17.22,177565,0
2015-01-26,17.25,17.3,16.74,16.82,131910,0
2015-01-27,16.6,16.8,16.26,16.74,187599,0
2015-01-28,16.88,16.93,16.52,16.69,398883,0
2015-01-29,16.73,17.65,16.576,17.54,326937,0
2015-01-30,17.37,17.66,16.55,16.62,660175,0
2015-02-02,16.57,17.035,16.3,16.89,371545,0
2015-02-03,17.0,17.36,16.76,17.21,269916,0
2015-02-04,17.19,17.48,16.95,16.99,298947,0
2015-02-05,17.06,17.46,17.06,17.39,272447,0
2015-02-06,17.6,18.48,16.95,17.48,344290,0
2015-02-09,17.39,17.7,17.06,17.52,166496,0
2015-02-10,17.4,17.69,17.0,17.57,414195,0
2015-02-11,17.5,18.68,17.32,18.52,618304,0
2015-02-12,18.21,18.505,17.66,18.27,430166,0
2015-02-13,18.26,18.77,17.981,18.31,177895,0
2015-02-17,18.18,18.39,17.95,18.35,169799,0
2015-02-18,18.29,18.33,17.82,17.97,192484,0
2015-02-19,17.96,18.24,17.6,17.67,105152,0
2015-02-20,17.68,17.97,17.54,17.68,99783,0
2015-02-23,17.77,17.84,17.42,17.81,299046,0
2015-02-24,17.78,18.17,17.63,18.0,161230,0
2015-02-25,17.68,18.79,17.68,18.19,332709,0
2015-02-26,18.15,18.8,18.08,18.77,199617,0
2015-02-27,18.68,18.78,17.98,18.14,274916,0
2015-03-02,18.25,18.54,18.03,18.4,124200,0
2015-03-03,18.3,18.54,18.03,18.2,141600,0
2015-03-04,18.42,18.42,17.94,18.07,115700,0
2015-03-05,18.06,18.2,17.77,18.0,165700,0
2015-03-06,17.85,18.42,17.83,18.0,175400,0
2015-03-09,17.99,18.19,17.79,17.81,137600,0
2015-03-10,17.58,18.22,17.45,18.02,257300,0
2015-03-11,17.88,18.18,17.27,17.82,223900,0
2015-03-12,17.81,18.24,17.52,18.06,225600,0
2015-03-13,18.0,18.41,17.79,18.35,173400,0
2015-03-16,18.37,18.48,17.98,18.04,126000,0
2015-03-17,17.92,18.48,17.92,18.25,118400,0
2015-03-18,18.29,18.44,17.72,18.21,211300,0
2015-03-19,18.08,18.42,18.06,18.26,216700,0
2015-03-20,18.35,18.37,18.19,18.26,201800,0
2015-03-23,18.18,18.46,18.18,18.35,152200,0
2015-03-24,18.31,18.58,18.23,18.35,188000,0
2015-03-25,18.35,18.35,17.5,17.5,93300,0
2015-03-26,17.47,17.78,17.11,17.5,110200,0
2015-03-27,17.48,17.82,17.4,17.71,68100,0
2015-03-30,17.78,17.94,17.72,17.8,68300,0
2015-03-31,17.69,18.2,17.69,17.92,503208,0
2015-04-01,17.82,18.17,17.4,17.91,110600,0
2015-04-02,17.91,18.08,17.75,17.86,120300,0
2015-04-06,17.68,18.19,17.59,18.13,61100,0
2015-04-07,18.15,18.42,18.1,18.2,53206,0
2015-04-08,18.19,19.04,18.19,19.0,357000,0
2015-04-09,18.93,19.03,18.57,18.8,123031,0
2015-04-10,18.88,19.03,18.78,18.85,45000,0
2015-04-13,18.76,19.06,18.65,18.67,138600,0
2015-04-14,18.58,18.98,18.43,18.8,61200,0
