Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,9.2605,9.3813,9.1966,9.3234,31643,0
2015-01-05,9.2819,9.3567,9.1516,9.2352,47752,0
2015-01-06,9.2207,9.3901,9.1966,9.3901,22038,0
2015-01-07,9.4605,9.583,9.4439,9.558,42635,0
2015-01-08,9.51,9.669,9.4675,9.662,43303,0
2015-01-09,9.607,9.72,9.558,9.697,39607,0
2015-01-12,9.669,9.848,9.598,9.848,44890,0
2015-01-13,9.777,9.777,9.583,9.583,24082,0
2015-01-14,9.576,9.639,9.535,9.598,17768,0
2015-01-15,9.639,9.728,9.607,9.697,27324,0
2015-01-16,9.662,9.832,9.662,9.762,25058,0
2015-01-20,9.711,9.848,9.697,9.84,40717,0
2015-01-21,9.793,9.857,9.793,9.835,12862,0
2015-01-22,9.857,9.885,9.816,9.877,16206,0
2015-01-23,9.809,9.826,9.748,9.809,21457,0
2015-01-26,9.809,9.826,9.748,9.809,26178,0
2015-01-27,9.809,9.902,9.809,9.843,23206,0
2015-01-28,9.857,9.948,9.857,9.941,17800,0
2015-01-29,9.98,9.989,9.948,9.948,30578,0
2015-01-30,10.004,10.08,9.885,9.911,44058,0
2015-02-02,9.92,9.955,9.809,9.911,29338,0
2015-02-03,9.893,10.004,9.893,9.933,28537,0
2015-02-04,9.924,9.98,9.893,9.98,13372,0
2015-02-05,9.98,10.039,9.948,9.963,20810,0
2015-02-06,9.996,10.057,9.924,9.924,32316,0
2015-02-09,9.941,10.08,9.924,10.08,35407,0
2015-02-10,10.065,10.142,10.011,10.119,30947,0
2015-02-11,10.109,10.109,10.057,10.088,15749,0
2015-02-12,10.08,10.134,10.08,10.088,22384,0
2015-02-13,10.119,10.345,9.4675,10.065,72078,0
2015-02-17,10.1,10.211,9.996,10.021,43435,0
2015-02-18,10.068,10.121,9.958,10.014,31178,0
2015-02-19,10.104,10.121,10.024,10.089,18117,0
2015-02-20,10.033,10.075,9.949,9.949,23629,0
2015-02-23,9.999,10.075,9.941,9.983,53036,0
2015-02-24,10.024,10.041,9.966,9.966,13310,0
2015-02-25,10.014,10.075,9.966,9.991,15732,0
2015-02-26,9.999,10.041,9.983,10.033,18776,0
2015-02-27,10.113,10.113,10.006,10.051,29802,0
2015-03-02,10.089,10.113,10.075,10.104,29133,0
2015-03-03,10.113,10.121,10.041,10.06,19214,0
2015-03-04,10.041,10.075,10.006,10.014,20071,0
2015-03-05,10.006,10.068,10.006,10.051,11997,0
2015-03-06,10.006,10.068,9.852,9.921,49205,0
2015-03-09,9.921,9.999,9.886,9.904,28516,0
2015-03-10,9.935,9.935,9.844,9.852,15912,0
2015-03-11,9.904,9.975,9.852,9.958,17385,0
2015-03-12,9.949,10.006,9.949,9.958,4285,0
2015-03-13,9.983,10.06,9.958,10.006,12609,0
2015-03-16,10.096,10.171,9.966,10.068,22401,0
2015-03-17,10.075,10.089,10.024,10.083,12726,0
2015-03-18,10.068,10.228,10.068,10.228,15423,0
2015-03-19,10.214,10.304,10.214,10.304,17259,0
2015-03-20,10.376,10.469,10.216,10.297,21296,0
2015-03-23,10.314,10.314,10.106,10.246,26284,0
2015-03-24,10.19,10.207,10.076,10.076,30058,0
2015-03-25,10.068,10.165,10.068,10.097,14480,0
2015-03-26,10.13,10.13,10.06,10.115,9126,0
2015-03-27,10.09,10.09,10.015,10.068,15698,0
2015-03-30,10.025,10.165,10.006,10.123,37479,0
2015-03-31,10.182,10.279,10.006,10.006,16127,0
2015-04-01,10.034,10.14,10.025,10.106,40402,0
2015-04-02,10.157,10.182,10.076,10.084,17769,0
2015-04-06,10.229,10.229,10.042,10.123,14480,0
2015-04-07,10.115,10.173,10.115,10.13,24542,0
2015-04-08,10.148,10.324,10.148,10.306,23855,0
2015-04-09,10.297,10.376,10.27,10.343,17069,0
2015-04-10,10.368,10.368,10.324,10.324,4505,0
2015-04-13,10.361,10.368,10.297,10.306,21660,0
2015-04-14,10.361,10.421,10.297,10.352,28475,0
2015-04-15,10.352,10.469,10.314,10.421,23826,0
2015-04-16,10.421,10.43,10.376,10.394,11896,0
2015-04-17,10.343,10.438,10.324,10.438,22877,0
2015-04-20,10.462,10.469,10.438,10.445,21563,0
2015-04-21,10.448,10.546,10.338,10.537,16631,0
2015-04-22,10.504,10.504,10.338,10.406,29546,0
2015-04-23,10.44,10.479,10.338,10.406,11980,0
2015-04-24,10.479,10.479,10.424,10.44,4515,0
2015-04-27,10.448,10.486,10.37,10.379,24684,0
2015-04-28,10.432,10.495,10.338,10.354,37511,0
2015-04-29,10.345,10.397,10.334,10.362,12825,0
2015-04-30,10.406,10.406,10.334,10.338,11494,0
2015-05-01,10.379,10.504,10.334,10.362,44528,0
2015-05-04,10.354,10.362,10.208,10.231,62434,0
2015-05-05,10.272,10.272,10.025,10.042,59169,0
2015-05-06,10.098,10.098,9.792,9.8,73229,0
2015-05-07,9.817,9.886,9.668,9.753,35350,0
2015-05-08,9.792,9.975,9.792,9.92,19842,0
2015-05-11,9.886,9.886,9.753,9.792,18872,0
2015-05-12,9.753,9.967,9.668,9.886,42173,0
2015-05-13,9.941,9.941,9.817,9.852,18511,0
2015-05-14,9.844,10.084,9.844,9.999,40778,0
2015-05-15,10.052,10.06,9.893,9.903,11701,0
2015-05-18,9.95,9.959,9.886,9.925,24027,0
2015-05-19,9.977,10.287,9.977,10.029,39807,0
2015-05-20,10.038,10.11,10.038,10.038,12148,0
2015-05-21,9.986,10.087,9.986,10.01,21288,0
2015-05-22,10.055,10.268,10.038,10.127,23334,0
2015-05-26,10.218,10.268,10.11,10.179,39641,0
2015-05-27,10.226,10.235,10.169,10.204,17436,0
2015-05-28,10.218,10.226,10.079,10.11,21429,0
2015-05-29,10.186,10.186,10.019,10.038,8660,0
2015-06-01,10.101,10.162,9.937,10.038,20211,0
2015-06-02,10.079,10.093,9.986,10.087,12310,0
2015-06-03,10.055,10.093,9.937,10.01,13105,0
2015-06-04,9.922,9.977,9.811,9.888,38481,0
2015-06-05,9.829,9.888,9.748,9.819,24894,0
2015-06-08,9.786,9.922,9.661,9.748,47864,0
2015-06-09,9.721,9.779,9.563,9.678,40193,0
2015-06-10,9.678,9.697,9.3371,9.4133,128398,0
2015-06-11,9.4874,9.54,9.3715,9.504,48769,0
2015-06-12,9.4212,9.513,9.2951,9.3127,64459,0
2015-06-15,9.2217,9.4212,9.2063,9.2951,64819,0
2015-06-16,9.2653,9.3813,9.2653,9.3813,27781,0
2015-06-17,9.3459,9.3636,9.2951,9.3204,22129,0
2015-06-18,9.3901,9.3901,9.2951,9.3459,59290,0
2015-06-19,9.3313,9.4486,9.3157,9.4486,28671,0
2015-06-22,9.4004,9.4241,9.2237,9.2488,32378,0
2015-06-23,9.2731,9.3157,9.2488,9.281,25714,0
2015-06-24,9.2731,9.3234,9.2731,9.2892,13382,0
2015-06-25,9.2892,9.3058,9.1224,9.1314,33095,0
2015-06-26,9.0824,9.2072,8.9299,8.9799,67387,0
2015-06-29,8.9799,8.9799,8.5878,8.7633,132739,0
2015-06-30,8.8635,8.9205,8.7878,8.897,42392,0
2015-07-01,8.9392,9.0824,8.9055,8.9723,59142,0
2015-07-02,8.9647,9.0824,8.9647,9.0385,14813,0
2015-07-06,9.0063,9.0385,8.9799,8.9799,35009,0
2015-07-07,8.9647,8.9969,8.9564,8.9969,20432,0
2015-07-08,8.9564,8.9647,8.7962,8.9055,20191,0
2015-07-09,8.9893,8.9893,8.8887,8.9055,27480,0
2015-07-10,8.8635,9.048,8.8635,8.9893,40384,0
2015-07-13,8.9055,9.0575,8.9055,8.9969,54362,0
2015-07-14,8.9969,9.0575,8.9969,9.0385,14740,0
2015-07-15,9.065,9.0967,8.9969,9.0063,52436,0
2015-07-16,9.0738,9.14,9.065,9.1139,66432,0
2015-07-17,9.1535,9.1535,9.048,9.065,28313,0
2015-07-20,9.091,9.091,8.897,8.897,29992,0
2015-07-21,8.9475,8.9893,8.897,8.9647,17208,0
2015-07-22,8.9827,8.9827,8.9233,8.942,15427,0
2015-07-23,8.9325,8.9325,8.8487,8.9325,23971,0
2015-07-24,8.9583,8.9583,8.7136,8.8072,62892,0
2015-07-27,8.8321,8.8321,8.494,8.6458,56723,0
2015-07-28,8.7394,8.7394,8.5109,8.6969,34765,0
2015-07-29,8.6891,8.7712,8.6293,8.7485,37971,0
2015-07-30,8.7485,8.7803,8.7222,8.7803,25514,0
2015-07-31,8.7803,8.7979,8.7222,8.7559,25632,0
2015-08-03,8.7056,8.8227,8.7056,8.7712,54121,0
2015-08-04,8.7712,8.8227,8.7712,8.7888,20294,0
2015-08-05,8.7888,8.8654,8.7888,8.8227,17920,0
2015-08-06,8.8227,8.8487,8.7712,8.8414,17104,0
2015-08-07,8.8072,8.8414,8.7136,8.8146,36667,0
2015-08-10,8.7888,8.8321,8.7888,8.8072,36785,0
2015-08-11,8.7633,8.8227,8.7633,8.8227,19169,0
2015-08-12,8.7633,8.8072,8.7559,8.7803,32157,0
2015-08-13,8.8072,8.8072,8.7056,8.7394,31447,0
2015-08-14,8.7394,8.8072,8.7394,8.7803,26701,0
2015-08-17,8.7394,8.8487,8.7394,8.8414,47226,0
2015-08-18,8.7979,8.8414,8.7888,8.8414,32988,0
2015-08-19,8.8227,8.9084,8.7803,8.8487,43670,0
2015-08-20,8.8256,8.8591,8.8256,8.8256,24274,0
2015-08-21,8.8256,8.8591,8.7074,8.7154,58330,0
2015-08-24,8.5707,8.5887,7.0606,8.4017,234284,0
2015-08-25,8.494,8.494,8.325,8.4017,58684,0
2015-08-26,8.5279,8.6467,8.4092,8.6467,42070,0
2015-08-27,8.6467,8.7578,8.503,8.6987,43012,0
2015-08-28,8.6987,8.8006,8.6987,8.7641,14964,0
2015-08-31,8.7731,8.8006,8.6814,8.7731,28756,0
2015-09-01,8.7154,8.8091,8.6909,8.8006,47137,0
