Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,14.362,14.751,14.362,14.362,157496,0
2015-01-05,14.313,14.456,13.958,14.196,187872,0
2015-01-06,14.274,14.343,14.032,14.215,68008,0
2015-01-07,14.362,14.422,14.221,14.401,78650,0
2015-01-08,14.726,14.726,14.446,14.476,104067,0
2015-01-09,14.59,14.719,14.468,14.7,77485,0
2015-01-12,14.694,14.694,14.476,14.694,40345,0
2015-01-13,14.7,14.7,14.514,14.564,43901,0
2015-01-14,14.522,14.558,14.403,14.44,43497,0
2015-01-15,14.476,14.522,14.411,14.458,80078,0
2015-01-16,14.534,14.668,14.446,14.514,61560,0
2015-01-20,14.646,14.646,14.452,14.506,90242,0
2015-01-21,14.458,14.617,14.419,14.506,44242,0
2015-01-22,14.522,14.694,14.522,14.638,39936,0
2015-01-23,14.707,14.875,14.617,14.861,66390,0
2015-01-26,14.861,14.861,14.564,14.726,58998,0
2015-01-27,14.651,14.831,14.558,14.756,43229,0
2015-01-28,14.884,15.119,14.685,14.914,73120,0
2015-01-29,15.01,15.247,14.921,15.247,49704,0
2015-01-30,15.247,15.35,15.054,15.35,73726,0
2015-02-02,15.381,15.381,15.196,15.326,66053,0
2015-02-03,15.41,15.755,15.326,15.755,77616,0
2015-02-04,15.742,15.915,15.667,15.829,60612,0
2015-02-05,15.93,16.216,15.824,15.93,126837,0
2015-02-06,15.937,16.114,15.788,15.951,67848,0
2015-02-09,15.93,15.963,15.66,15.813,100111,0
2015-02-10,15.821,15.842,15.723,15.799,38319,0
2015-02-11,15.744,16.045,15.669,15.911,71057,0
2015-02-12,15.949,16.064,15.918,16.038,53131,0
2015-02-13,16.08,16.393,16.08,16.162,65126,0
2015-02-17,16.215,16.253,16.111,16.185,57794,0
2015-02-18,16.128,16.351,16.128,16.327,44584,0
2015-02-19,16.327,16.551,16.247,16.5,43194,0
2015-02-20,16.5,16.89,16.461,16.827,97903,0
2015-02-23,16.785,17.136,16.751,17.129,77488,0
2015-02-24,17.142,17.171,16.785,17.171,72353,0
2015-02-25,17.158,17.435,17.104,17.208,46364,0
2015-02-26,17.297,17.477,17.208,17.368,59421,0
2015-02-27,17.271,17.464,17.192,17.255,62707,0
2015-03-02,17.353,17.435,17.271,17.409,55670,0
2015-03-03,17.361,17.518,17.304,17.457,80291,0
2015-03-04,17.409,17.518,17.345,17.5,37202,0
2015-03-05,17.523,17.562,17.387,17.53,40549,0
2015-03-06,17.5,17.673,17.416,17.444,130210,0
2015-03-09,17.545,17.552,17.435,17.464,45683,0
2015-03-10,17.504,17.504,17.074,17.142,87363,0
2015-03-11,17.136,17.249,16.903,16.939,61872,0
2015-03-12,17.007,17.193,16.726,17.112,85511,0
2015-03-13,17.119,17.209,17.007,17.201,33323,0
2015-03-16,17.104,17.249,16.819,16.895,64930,0
2015-03-17,16.929,17.158,16.65,16.871,37574,0
2015-03-18,16.845,17.209,16.806,17.08,53775,0
2015-03-19,17.015,17.112,16.91,16.992,32000,0
2015-03-20,17.074,17.074,16.615,16.798,74352,0
2015-03-23,16.798,16.939,16.66,16.781,52977,0
2015-03-24,16.819,16.819,16.629,16.635,27618,0
2015-03-25,16.635,16.65,16.53,16.608,37309,0
2015-03-26,16.57,16.774,16.524,16.726,54173,0
2015-03-27,16.79,16.916,16.726,16.838,25759,0
2015-03-30,16.813,16.929,16.79,16.824,23233,0
2015-03-31,16.798,16.91,16.714,16.766,31367,0
2015-04-01,16.871,16.947,16.845,16.91,29077,0
2015-04-02,16.91,17.209,16.91,17.193,37442,0
2015-04-06,17.249,17.39,16.952,17.242,33060,0
2015-04-07,17.322,17.565,17.036,17.565,36082,0
2015-04-08,17.513,17.513,17.322,17.382,53242,0
2015-04-09,17.272,17.379,15.987,16.556,213628,0
2015-04-10,16.437,16.618,16.207,16.565,109062,0
2015-04-13,16.565,16.886,16.565,16.597,28323,0
2015-04-14,16.625,16.838,16.591,16.746,23975,0
2015-04-15,16.843,17.28,16.817,17.08,52284,0
2015-04-16,17.08,17.357,17.08,17.249,23091,0
2015-04-17,17.194,17.342,16.983,17.095,36222,0
2015-04-20,17.227,17.307,17.151,17.28,29147,0
2015-04-21,17.299,17.384,17.08,17.244,32384,0
2015-04-22,17.364,17.364,17.044,17.299,11094,0
