Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,12.879,13.151,12.797,13.038,183102,0
2015-01-05,13.045,13.076,12.953,12.998,176551,0
2015-01-06,13.068,13.068,12.858,12.967,220406,0
2015-01-07,12.992,13.076,12.892,13.029,115843,0
2015-01-08,13.015,13.082,12.858,12.863,277097,0
2015-01-09,12.858,12.871,12.491,12.541,421924,0
2015-01-12,12.516,12.593,12.491,12.547,203294,0
2015-01-13,12.516,12.653,12.45,12.563,121047,0
2015-01-14,12.466,12.555,12.466,12.494,142688,0
2015-01-15,12.563,12.563,12.262,12.45,160770,0
2015-01-16,12.516,12.516,12.458,12.472,68254,0
2015-01-20,12.494,12.908,12.466,12.682,546607,0
2015-01-21,12.706,12.887,12.69,12.803,105823,0
2015-01-22,12.803,12.916,12.783,12.81,102636,0
2015-01-23,12.831,12.858,12.714,12.759,56944,0
2015-01-26,12.797,12.887,12.532,12.563,101942,0
2015-01-27,12.547,12.69,12.516,12.57,120820,0
2015-01-28,12.608,12.623,12.516,12.541,70834,0
2015-01-29,12.541,12.541,12.481,12.516,71060,0
2015-01-30,12.494,12.7,12.491,12.69,94743,0
2015-02-02,12.64,12.887,12.547,12.751,85208,0
2015-02-03,12.751,12.803,11.58,11.804,913672,0
2015-02-04,10.903,11.18,10.451,10.931,1062328,0
2015-02-05,10.887,10.96,10.55,10.587,473159,0
2015-02-06,10.518,10.518,10.045,10.209,991238,0
2015-02-09,10.045,10.789,10.045,10.578,399388,0
2015-02-10,10.578,10.887,10.578,10.87,173293,0
2015-02-11,10.903,11.188,10.644,10.707,222730,0
2015-02-12,10.707,10.887,10.679,10.887,116171,0
2015-02-13,10.856,10.922,10.796,10.887,131439,0
2015-02-17,10.927,10.975,10.588,10.588,243032,0
2015-02-18,10.572,10.919,10.572,10.837,159134,0
2015-02-19,10.76,10.867,10.637,10.746,194374,0
2015-02-20,10.7,10.852,10.7,10.807,122865,0
2015-02-23,10.7,10.807,10.637,10.723,186996,0
2015-02-24,10.681,10.737,10.519,10.695,226588,0
2015-02-25,10.655,10.723,10.556,10.588,171570,0
2015-02-26,10.588,10.673,10.556,10.646,129080,0
2015-02-27,10.727,10.76,10.617,10.76,104447,0
2015-03-02,10.716,10.76,10.609,10.76,231188,0
2015-03-03,10.716,10.798,10.664,10.71,105039,0
2015-03-04,10.655,10.798,10.646,10.784,131824,0
2015-03-05,10.737,10.892,10.737,10.867,128790,0
2015-03-06,10.777,10.791,10.609,10.646,235273,0
2015-03-09,10.637,10.822,10.629,10.822,125360,0
2015-03-10,10.695,10.76,10.609,10.673,129055,0
2015-03-11,10.664,10.7,10.646,10.655,107544,0
2015-03-12,10.646,10.695,10.629,10.681,82471,0
2015-03-13,10.705,10.726,10.669,10.705,74995,0
2015-03-16,10.705,10.733,10.528,10.682,197103,0
2015-03-17,10.612,10.641,10.43,10.46,181529,0
2015-03-18,10.399,10.46,10.207,10.33,327852,0
2015-03-19,10.277,10.3,10.033,10.083,246444,0
2015-03-20,10.126,10.313,10.126,10.231,131271,0
2015-03-23,10.175,10.217,10.033,10.134,322879,0
2015-03-24,10.092,10.155,9.796,10.001,224719,0
2015-03-25,9.965,9.965,9.688,9.73,405329,0
2015-03-26,9.704,9.734,9.3963,9.566,513046,0
2015-03-27,9.515,9.665,9.515,9.603,267780,0
2015-03-30,9.659,9.879,9.65,9.803,239510,0
2015-03-31,9.762,9.835,9.756,9.835,204908,0
2015-04-01,9.858,9.934,9.803,9.916,158103,0
2015-04-02,9.866,10.009,9.866,10.001,190689,0
2015-04-06,9.98,10.1,9.98,10.053,132315,0
2015-04-07,10.063,10.083,9.98,9.98,219244,0
2015-04-08,9.98,10.001,9.94,9.965,98291,0
2015-04-09,9.957,9.986,9.829,9.894,184642,0
2015-04-10,9.835,9.94,9.821,9.901,177341,0
2015-04-13,9.898,9.953,9.716,9.743,254895,0
2015-04-14,9.743,9.832,9.743,9.798,141522,0
2015-04-15,9.807,9.889,9.807,9.874,136138,0
2015-04-16,9.869,9.874,9.832,9.869,96596,0
2015-04-17,9.869,9.869,9.836,9.861,97287,0
2015-04-20,9.874,9.944,9.874,9.929,78744,0
2015-04-21,9.937,9.99,9.929,9.953,80926,0
2015-04-22,9.944,9.998,9.937,9.937,111514,0
2015-04-23,9.937,9.978,9.929,9.953,69009,0
2015-04-24,9.937,10.08,9.903,10.045,106416,0
2015-04-27,10.038,10.089,10.023,10.023,79383,0
2015-04-28,10.03,10.098,10.023,10.03,69401,0
2015-04-29,9.982,10.023,9.953,9.99,196135,0
2015-04-30,10.014,10.023,9.944,9.978,193148,0
2015-05-01,9.97,10.06,9.944,10.038,88595,0
2015-05-04,9.998,10.089,9.982,10.06,134774,0
2015-05-05,10.045,10.06,9.898,9.937,253334,0
2015-05-06,9.883,10.051,9.883,10.006,92215,0
2015-05-07,10.03,10.03,9.874,9.874,215096,0
2015-05-08,9.758,9.903,9.751,9.844,288100,0
2015-05-11,9.807,9.836,9.676,9.682,408871,0
2015-05-12,9.635,9.751,9.598,9.716,230406,0
2015-05-13,9.716,9.92,9.716,9.79,159941,0
2015-05-14,9.832,9.889,9.832,9.861,132958,0
2015-05-15,9.886,10.004,9.857,9.958,121800,0
2015-05-18,9.981,10.02,9.935,9.949,130244,0
2015-05-19,9.894,9.996,9.886,9.958,104513,0
2015-05-20,10.004,10.004,9.941,10.004,105411,0
2015-05-21,9.975,10.065,9.925,10.011,177141,0
2015-05-22,9.981,10.035,9.949,9.987,81759,0
2015-05-26,10.02,10.02,9.857,9.886,108247,0
2015-05-27,9.908,9.917,9.755,9.755,102071,0
2015-05-28,9.755,9.828,9.732,9.794,109242,0
2015-05-29,9.84,9.879,9.747,9.794,105026,0
2015-06-01,9.76,9.82,9.726,9.76,157228,0
2015-06-02,9.732,9.802,9.726,9.726,68564,0
2015-06-03,9.726,9.747,9.685,9.71,124309,0
2015-06-04,9.685,9.726,9.621,9.646,115183,0
2015-06-05,9.586,9.637,9.4561,9.481,205810,0
2015-06-08,9.524,9.529,9.2903,9.3883,438231,0
2015-06-09,9.3572,9.4383,9.3572,9.3953,143698,0
2015-06-10,9.4452,9.4502,9.3745,9.3745,184772,0
2015-06-11,9.366,9.3953,9.3484,9.3484,121127,0
2015-06-12,9.2903,9.3484,9.2903,9.2971,143590,0
2015-06-15,9.2942,9.3621,9.2436,9.3376,196318,0
2015-06-16,9.3082,9.3376,9.1269,9.1823,334582,0
2015-06-17,9.1518,9.19,9.0809,9.1604,345785,0
2015-06-18,9.1269,9.1604,8.9374,8.9701,362973,0
2015-06-19,8.9374,8.9788,8.8762,8.9701,377866,0
2015-06-22,8.9608,9.096,8.9608,9.0317,164233,0
2015-06-23,8.9862,9.1269,8.9701,9.1269,153851,0
2015-06-24,9.1442,9.2612,9.1442,9.2354,306700,0
2015-06-25,9.2515,9.2942,9.0894,9.096,163219,0
2015-06-26,9.0722,9.1027,8.9374,8.9788,150867,0
2015-06-29,8.8917,8.9552,8.6782,8.852,258191,0
2015-06-30,8.9075,9.1356,8.9075,9.1356,392422,0
2015-07-01,9.1662,9.19,9.1356,9.19,155072,0
2015-07-02,9.1662,9.2708,9.096,9.1977,114453,0
2015-07-06,9.096,9.1356,9.0722,9.0809,130499,0
2015-07-07,9.1027,9.2122,9.0393,9.2122,137369,0
2015-07-08,9.19,9.19,9.0317,9.1027,172256,0
2015-07-09,9.1269,9.1269,9.0393,9.0469,78555,0
2015-07-10,9.1113,9.1518,9.0554,9.1356,106051,0
2015-07-13,9.1604,9.1823,9.0554,9.1823,160671,0
2015-07-14,9.1442,9.1604,9.0894,9.1604,98136,0
2015-07-15,9.17,9.1939,9.1221,9.1939,99647,0
2015-07-16,9.2161,9.2257,9.1634,9.1634,124039,0
2015-07-17,9.1939,9.1939,9.0846,9.0932,74750,0
2015-07-20,9.1056,9.1056,8.9477,8.9637,116348,0
2015-07-21,8.9391,8.9976,8.7272,8.7344,223754,0
2015-07-22,8.7566,8.7566,8.6628,8.6772,181648,0
2015-07-23,8.7344,8.7344,8.6457,8.6457,127448,0
2015-07-24,8.6457,8.672,8.4331,8.4643,199173,0
2015-07-27,8.4331,8.4874,8.3774,8.4331,202826,0
2015-07-28,8.471,8.672,8.4418,8.6152,132993,0
2015-07-29,8.6398,8.7102,8.6063,8.7102,128959,0
2015-07-30,8.7029,8.8066,8.6152,8.7344,184672,0
2015-07-31,8.7739,8.798,8.6539,8.7428,132993,0
2015-08-03,8.7029,8.7896,8.6948,8.7648,185655,0
2015-08-04,8.7482,8.853,8.7482,8.8354,171692,0
2015-08-05,8.828,8.9084,8.828,8.8772,126563,0
2015-08-06,8.8772,8.9084,8.8354,8.8858,201789,0
2015-08-07,8.8858,8.9391,8.853,8.8772,129714,0
2015-08-10,8.8772,8.8858,8.6772,8.7029,133620,0
2015-08-11,8.6457,8.7344,8.6063,8.7029,125218,0
2015-08-12,8.7566,8.7566,8.6539,8.7183,118874,0
2015-08-13,8.7272,8.7566,8.6948,8.7428,143709,0
2015-08-14,8.7447,8.7695,8.6573,8.7447,97798,0
2015-08-17,8.7056,8.7229,8.6006,8.6179,135849,0
2015-08-18,8.6486,8.6486,8.6179,8.627,40915,0
2015-08-19,8.6179,8.6416,8.5773,8.5944,76966,0
2015-08-20,8.545,8.5862,8.4498,8.4498,102915,0
2015-08-21,8.434,8.545,8.2962,8.3136,172145,0
2015-08-24,7.9449,8.1611,7.8154,7.9205,373972,0
2015-08-25,8.2419,8.3932,8.1367,8.1772,270191,0
2015-08-26,8.3214,8.4248,8.233,8.4248,134597,0
2015-08-27,8.434,8.545,8.3854,8.5371,192106,0
2015-08-28,8.545,8.7787,8.545,8.7382,171023,0
2015-08-31,8.7447,8.7447,8.627,8.6664,171401,0
2015-09-01,8.6089,8.7149,8.6089,8.6416,130855,0
2015-09-02,8.6892,8.7149,8.5693,8.6985,92808,0
2015-09-03,8.7787,8.7942,8.6573,8.6573,86073,0
2015-09-04,8.6486,8.6664,8.5693,8.6089,72226,0
2015-09-08,8.6892,8.6985,8.5773,8.6573,98047,0
2015-09-09,8.6573,8.6811,8.6006,8.6089,72850,0
2015-09-10,8.6342,8.7056,8.6089,8.6342,95912,0
2015-09-11,8.6486,8.6573,8.6089,8.6486,107779,0
2015-09-14,8.6892,8.7149,8.5862,8.5944,114762,0
2015-09-15,8.5908,8.5908,8.5006,8.5407,140928,0
2015-09-16,8.5657,8.5819,8.4918,8.5325,139869,0
2015-09-17,8.5738,8.6457,8.4918,8.6398,106020,0
2015-09-18,8.6223,8.7291,8.5908,8.7029,46274,0
2015-09-21,8.7029,8.7363,8.672,8.6948,101193,0
2015-09-22,8.672,8.7122,8.6135,8.6457,107609,0
2015-09-23,8.6858,8.7363,8.5575,8.6223,120197,0
