Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,23.11,23.189,22.93,23.016,187490,0
2015-01-05,22.93,22.93,22.565,22.622,234991,0
2015-01-06,22.547,22.565,22.208,22.333,156337,0
2015-01-07,22.412,22.527,22.228,22.44,72059,0
2015-01-08,22.537,22.765,22.537,22.717,188304,0
2015-01-09,22.832,22.841,22.632,22.717,250354,0
2015-01-12,22.785,22.785,22.592,22.632,120945,0
2015-01-13,22.775,22.939,22.547,22.699,154803,0
2015-01-14,22.507,22.699,22.497,22.671,108673,0
2015-01-15,22.707,22.785,22.622,22.68,125916,0
2015-01-16,22.602,22.861,22.565,22.832,114184,0
2015-01-20,22.949,23.006,22.765,22.832,74688,0
2015-01-21,22.881,22.997,22.881,22.987,75194,0
2015-01-22,22.939,23.14,22.891,23.054,63816,0
2015-01-23,23.073,23.11,22.939,22.958,128887,0
2015-01-26,23.092,23.304,23.092,23.217,97419,0
2015-01-27,23.189,23.332,23.12,23.294,46504,0
2015-01-28,23.217,23.284,22.881,22.901,74042,0
2015-01-29,23.054,23.18,22.958,23.18,104064,0
2015-01-30,23.034,23.092,22.891,22.911,89380,0
2015-02-02,22.93,23.092,22.851,23.083,154026,0
2015-02-03,23.15,23.398,23.11,23.361,249829,0
2015-02-04,23.208,23.304,23.101,23.101,114118,0
2015-02-05,23.398,23.504,23.313,23.504,87896,0
2015-02-06,23.323,23.379,23.14,23.227,232977,0
2015-02-09,23.083,23.227,23.073,23.12,185072,0
2015-02-10,23.265,23.428,23.265,23.398,94024,0
2015-02-11,23.284,23.313,23.13,23.255,61319,0
2015-02-12,23.611,23.717,23.544,23.697,119362,0
2015-02-13,23.707,23.707,23.582,23.648,141745,0
2015-02-17,23.658,23.754,23.572,23.727,76773,0
2015-02-18,23.744,23.89,23.727,23.87,53191,0
2015-02-19,23.813,23.985,23.813,23.87,65506,0
2015-02-20,23.813,24.187,23.813,24.138,170442,0
2015-02-23,24.148,24.244,24.128,24.224,134184,0
2015-02-24,24.244,24.34,24.138,24.33,76376,0
2015-02-25,24.379,24.503,24.33,24.446,80098,0
2015-02-26,24.464,24.493,24.36,24.428,56659,0
2015-02-27,24.474,24.579,24.438,24.446,73852,0
2015-03-02,24.456,24.561,24.456,24.552,217966,0
2015-03-03,24.522,24.522,24.311,24.34,167436,0
2015-03-04,24.138,24.311,24.081,24.282,251307,0
2015-03-05,24.302,24.418,24.282,24.35,114715,0
2015-03-06,24.168,24.194,23.917,23.955,99919,0
2015-03-09,23.965,24.033,23.926,24.023,52097,0
2015-03-10,23.735,23.744,23.544,23.553,120758,0
2015-03-11,23.534,23.639,23.447,23.524,81268,0
2015-03-12,23.783,23.783,23.658,23.727,165039,0
2015-03-13,23.534,23.62,23.466,23.611,93458,0
2015-03-16,23.744,23.945,23.744,23.917,83040,0
2015-03-17,23.744,23.861,23.688,23.822,43969,0
2015-03-18,23.822,24.428,23.803,24.33,71997,0
2015-03-19,24.052,24.187,24.052,24.119,111381,0
2015-03-20,24.474,24.638,24.36,24.512,142221,0
2015-03-23,24.532,24.579,24.418,24.522,147639,0
2015-03-24,24.552,24.695,24.552,24.599,130134,0
2015-03-25,24.646,24.646,24.302,24.34,104191,0
2015-03-26,24.187,24.187,23.9,24.138,155244,0
2015-03-27,24.168,24.177,24.091,24.138,64598,0
2015-03-30,24.194,24.273,24.168,24.204,116277,0
2015-03-31,23.851,23.985,23.803,23.89,151001,0
2015-04-01,24.004,24.004,23.764,23.917,220885,0
2015-04-02,24.081,24.234,23.926,24.224,291631,0
2015-04-06,24.244,24.579,24.234,24.464,112111,0
2015-04-07,24.418,24.532,24.398,24.408,148237,0
2015-04-08,24.532,24.579,24.408,24.493,75538,0
2015-04-09,24.57,24.57,24.456,24.561,171266,0
2015-04-10,24.599,24.695,24.579,24.695,124612,0
2015-04-13,24.561,24.618,24.474,24.522,134406,0
2015-04-14,24.676,24.695,24.618,24.676,73871,0
2015-04-15,24.714,24.781,24.608,24.753,121535,0
2015-04-16,24.763,24.819,24.646,24.743,374332,0
2015-04-17,24.379,24.379,24.148,24.263,235159,0
2015-04-20,24.446,24.464,24.35,24.388,316382,0
2015-04-21,24.695,24.772,24.646,24.724,412095,0
2015-04-22,24.838,24.838,24.676,24.791,111940,0
2015-04-23,24.705,24.954,24.666,24.925,259852,0
2015-04-24,24.964,25.022,24.857,24.954,182630,0
2015-04-27,25.166,25.213,25.069,25.089,240890,0
2015-04-28,25.012,25.061,24.857,25.061,124053,0
2015-04-29,24.887,25.022,24.811,24.925,183167,0
2015-04-30,24.753,24.753,24.579,24.618,135345,0
2015-05-01,24.608,24.772,24.608,24.772,203381,0
2015-05-04,24.743,24.828,24.743,24.828,110547,0
2015-05-05,24.811,24.811,24.522,24.579,102941,0
2015-05-06,24.646,24.686,24.418,24.493,81356,0
2015-05-07,24.483,24.656,24.483,24.646,82313,0
2015-05-08,25.108,25.185,25.061,25.147,124195,0
2015-05-11,25.089,25.157,25.031,25.041,63556,0
2015-05-12,24.906,24.964,24.838,24.925,96944,0
2015-05-13,25.252,25.318,25.166,25.203,369904,0
2015-05-14,25.309,25.453,25.299,25.443,105233,0
2015-05-15,25.492,25.674,25.462,25.674,162705,0
2015-05-18,25.549,25.597,25.462,25.558,173728,0
2015-05-19,25.54,25.597,25.512,25.549,116572,0
2015-05-20,25.137,25.147,24.983,25.069,110249,0
2015-05-21,24.811,24.944,24.801,24.925,355500,0
2015-05-22,24.733,24.819,24.705,24.743,116694,0
2015-05-26,24.646,24.646,24.36,24.428,79315,0
2015-05-27,24.428,24.608,24.408,24.599,67724,0
