Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,8.22,8.91,8.22,8.8,22968,0
2015-01-05,8.67,9.1,8.26,8.97,27980,0
2015-01-06,8.74,9.55,8.61,9.43,43601,0
2015-01-07,9.15,9.3,8.95,9.0,7697,0
2015-01-08,8.86,9.55,8.82,9.46,35865,0
2015-01-09,9.2,9.96,9.2,9.55,55101,0
2015-01-12,9.6,9.62,9.11,9.39,29363,0
2015-01-13,9.5,9.55,9.11,9.36,13820,0
2015-01-14,9.48,9.57,9.22,9.43,23520,0
2015-01-15,9.6,9.94,9.4,9.94,15352,0
2015-01-16,9.75,9.75,9.75,9.75,1070,0
2015-01-20,9.56,9.56,9.0,9.2,2701,0
2015-01-21,9.01,9.41,9.01,9.27,8500,0
2015-01-22,9.15,9.31,8.9,9.31,21200,0
2015-01-23,9.18,9.18,9.18,9.18,100,0
2015-01-26,9.25,9.25,8.95,8.95,1902,0
2015-01-27,8.73,8.99,8.71,8.99,9431,0
2015-01-28,8.71,8.83,8.71,8.8,19500,0
2015-01-29,8.65,9.08,8.51,8.71,33906,0
2015-01-30,8.7,9.62,8.7,9.58,57272,0
2015-02-02,9.54,9.68,9.2,9.59,49193,0
2015-02-03,9.5,9.75,9.41,9.45,33828,0
2015-02-04,9.45,9.6,9.35,9.58,27503,0
2015-02-05,9.57,9.6,9.25,9.46,25496,0
2015-02-06,9.45,9.51,9.36,9.36,14246,0
2015-02-09,9.42,9.48,9.25,9.29,16267,0
2015-02-10,9.3,9.43,9.24,9.28,6100,0
2015-02-11,9.28,9.45,9.24,9.27,11945,0
2015-02-12,9.47,9.47,9.26,9.28,13240,0
2015-02-13,9.34,9.34,9.05,9.09,9804,0
2015-02-17,9.16,9.16,8.78,9.02,12578,0
2015-02-18,8.93,9.13,8.93,9.0,3647,0
2015-02-19,9.1,9.1,9.0,9.0,711,0
2015-02-20,9.1,9.15,9.0,9.0,5819,0
2015-02-23,9.0,9.0,8.65,8.65,2722,0
2015-02-24,8.95,8.95,8.8,8.8,2709,0
2015-02-25,8.76,8.88,8.66,8.68,1879,0
2015-02-26,8.64,8.91,8.64,8.9,18527,0
2015-02-27,8.77,8.77,8.65,8.65,2957,0
2015-03-02,8.85,8.85,8.47,8.65,19000,0
2015-03-03,8.65,8.65,8.34,8.49,24500,0
2015-03-04,8.45,8.83,8.45,8.61,37100,0
2015-03-05,8.62,8.67,8.5,8.54,65400,0
2015-03-06,8.55,8.6,8.37,8.46,2300,0
2015-03-09,8.45,8.45,8.2,8.35,3900,0
