Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,16.753,17.021,16.554,16.942,1603861,0
2015-01-05,16.902,16.942,16.594,16.773,2098661,0
2015-01-06,16.802,16.852,15.974,16.504,4091400,0
2015-01-07,16.574,16.664,15.165,15.824,15888582,0
2015-01-08,15.874,16.014,15.625,15.685,5405674,0
2015-01-09,15.625,15.734,15.495,15.565,3361533,0
2015-01-12,15.595,15.655,15.375,15.465,2550597,0
2015-01-13,15.575,15.834,15.425,15.665,4905137,0
2015-01-14,15.515,15.884,15.415,15.854,4360533,0
2015-01-15,15.844,15.894,15.625,15.754,3341033,0
2015-01-16,15.714,16.054,15.655,15.914,3590997,0
2015-01-20,16.124,16.254,15.914,15.954,2402111,0
2015-01-21,15.854,16.074,15.774,15.974,1664387,0
2015-01-22,16.094,16.404,15.974,16.314,1911897,0
2015-01-23,16.324,16.504,16.204,16.304,1086478,0
2015-01-26,16.254,16.614,16.194,16.594,2104185,0
2015-01-27,16.344,16.484,16.284,16.394,3109312,0
2015-01-28,16.484,16.524,15.954,16.004,2188611,0
2015-01-29,15.984,16.154,15.904,16.094,2233819,0
2015-01-30,16.014,16.034,15.695,15.734,2057276,0
2015-02-02,15.784,16.074,15.675,16.014,1621714,0
2015-02-03,16.074,16.683,16.054,16.634,2566725,0
2015-02-04,16.544,16.882,16.494,16.683,2898571,0
2015-02-05,16.683,16.892,16.664,16.862,1376794,0
2015-02-06,16.961,17.121,16.912,16.932,2189859,0
2015-02-09,16.852,16.961,16.664,16.703,1731974,0
2015-02-10,16.802,16.952,16.464,16.852,1682140,0
2015-02-11,16.792,16.902,16.584,16.674,2767875,0
2015-02-12,16.226,16.915,15.876,16.506,5648214,0
2015-02-13,16.466,16.596,15.996,16.076,4428326,0
2015-02-17,16.076,16.126,15.816,16.006,4140821,0
2015-02-18,15.996,15.996,15.527,15.856,5837827,0
2015-02-19,15.856,15.886,15.617,15.716,3119647,0
2015-02-20,15.716,15.806,15.647,15.786,2647721,0
2015-02-23,15.706,15.786,15.627,15.746,2172093,0
2015-02-24,15.766,15.946,15.657,15.886,3379759,0
2015-02-25,15.916,15.976,15.806,15.886,1844265,0
2015-02-26,15.866,15.946,15.776,15.926,1839290,0
2015-02-27,15.876,15.916,15.786,15.786,1106445,0
2015-03-02,15.806,16.006,15.706,15.996,1776901,0
2015-03-03,16.006,16.466,15.976,16.206,3359907,0
