Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,19.83,20.41,19.66,20.1,266905,0
2015-01-05,19.86,20.98,19.84,20.47,329036,0
2015-01-06,20.47,20.66,19.53,19.86,322443,0
2015-01-07,19.8,20.1,19.72,19.92,405242,0
2015-01-08,20.16,24.81,20.11,24.52,1218374,0
2015-01-09,24.68,24.74,23.59,24.24,465446,0
2015-01-12,24.54,25.99,24.14,25.3,539423,0
2015-01-13,25.61,25.915,24.68,25.03,371676,0
2015-01-14,24.65,25.34,24.32,24.6,300276,0
2015-01-15,24.8,25.05,24.19,24.77,336651,0
2015-01-16,24.7,25.87,24.58,25.83,280968,0
2015-01-20,25.93,25.963,24.643,25.78,522783,0
2015-01-21,25.3,25.43,24.15,24.59,497166,0
2015-01-22,24.81,24.81,23.631,24.4,307825,0
2015-01-23,24.34,25.0,24.28,24.8,229610,0
2015-01-26,24.71,25.305,24.63,25.21,264615,0
2015-01-27,24.87,25.79,24.81,25.47,217258,0
2015-01-28,25.45,25.45,24.401,24.56,228063,0
2015-01-29,24.6,25.11,24.2,24.96,205307,0
2015-01-30,21.45,24.81,21.45,24.29,375005,0
2015-02-02,24.42,24.65,23.69,23.99,252007,0
2015-02-03,24.01,24.11,22.439,23.01,463971,0
2015-02-04,22.68,24.02,22.03,23.73,295140,0
2015-02-05,23.79,24.16,23.46,23.79,191940,0
2015-02-06,23.86,24.4,23.6,23.79,208404,0
2015-02-09,23.59,23.96,23.32,23.37,179462,0
2015-02-10,23.64,24.26,23.24,24.04,222849,0
2015-02-11,23.93,25.0,23.93,24.86,343841,0
2015-02-12,25.02,25.75,24.35,25.5,323754,0
2015-02-13,25.43,25.43,24.44,24.77,192558,0
2015-02-17,24.86,25.07,24.35,24.93,316740,0
2015-02-18,24.81,25.7,24.81,25.51,330065,0
2015-02-19,25.55,25.63,25.09,25.47,336177,0
2015-02-20,25.48,25.56,25.11,25.45,233378,0
2015-02-23,25.41,26.7,25.32,25.74,444984,0
2015-02-24,25.7,26.06,24.68,24.98,264400,0
2015-02-25,24.98,26.13,24.8,25.88,162319,0
2015-02-26,25.63,26.25,25.45,26.2,170275,0
2015-02-27,26.13,26.18,25.38,25.71,274500,0
2015-03-02,25.79,26.89,25.45,25.47,367400,0
2015-03-03,25.45,25.66,24.62,24.91,422900,0
2015-03-04,24.75,25.56,24.24,25.11,293200,0
2015-03-05,24.99,26.59,24.99,25.78,332000,0
2015-03-06,26.82,26.82,25.01,25.07,168100,0
2015-03-09,25.26,25.79,24.8,25.52,205900,0
2015-03-10,25.21,26.04,24.75,25.48,156100,0
2015-03-11,25.47,25.95,24.96,25.83,257200,0
2015-03-12,26.05,26.99,25.66,26.82,353700,0
2015-03-13,26.69,32.19,26.55,31.31,2227100,0
2015-03-16,31.55,31.98,30.68,30.81,859400,0
2015-03-17,30.95,31.55,29.87,31.35,685400,0
2015-03-18,31.38,33.24,30.86,32.29,716500,0
2015-03-19,32.4,33.64,32.36,33.41,564200,0
2015-03-20,33.71,34.15,31.9,32.32,966300,0
2015-03-23,32.2,32.27,30.81,31.75,407500,0
2015-03-24,31.73,31.9,30.53,30.6,291000,0
2015-03-25,30.51,30.94,28.48,28.58,407400,0
2015-03-26,28.45,29.39,27.5,28.57,433900,0
2015-03-27,28.29,30.82,28.29,30.57,326700,0
2015-03-30,30.81,31.25,30.44,30.81,283200,0
2015-03-31,30.74,30.88,30.02,30.36,456560,0
2015-04-01,30.24,30.5,28.88,29.39,587100,0
2015-04-02,29.32,30.59,29.02,30.25,291700,0
2015-04-06,30.24,30.24,28.95,29.12,397900,0
2015-04-07,29.21,30.67,29.21,29.61,408582,0
2015-04-08,29.72,30.78,29.41,30.71,382700,0
2015-04-09,30.56,31.05,29.8,30.35,388783,0
2015-04-10,30.09,30.74,30.04,30.5,306800,0
2015-04-13,30.5,33.19,30.48,32.12,539100,0
2015-04-14,32.41,32.67,31.11,31.4,380500,0
2015-04-15,31.54,32.33,31.34,32.05,270316,0
2015-04-16,32.05,32.58,31.6,32.3,236694,0
2015-04-17,32.04,32.4,31.68,32.09,333900,0
2015-04-20,32.2,33.28,31.77,33.18,363942,0
2015-04-21,33.41,33.49,32.83,32.86,362569,0
2015-04-22,32.74,33.55,32.61,33.37,270842,0
2015-04-23,33.74,35.47,33.38,35.0,597000,0
2015-04-24,35.16,35.16,34.46,34.75,273883,0
2015-04-27,34.93,35.04,32.42,32.57,433900,0
2015-04-28,32.7,33.1,31.5,31.87,437253,0
2015-04-29,31.83,32.24,30.72,31.3,345700,0
2015-04-30,31.01,31.42,29.42,29.51,461600,0
2015-05-01,30.04,31.61,29.77,31.49,330900,0
2015-05-04,30.92,32.13,30.76,31.12,348000,0
2015-05-05,31.03,31.32,30.11,31.1,330000,0
2015-05-06,31.54,32.1,30.89,31.98,400506,0
2015-05-07,32.1,37.55,32.1,37.55,1026296,0
2015-05-08,37.5,38.73,36.64,37.39,635000,0
2015-05-11,37.5,39.41,37.5,38.66,461500,0
2015-05-12,38.95,40.45,38.0,39.88,790733,0
2015-05-13,40.13,40.74,39.39,40.01,480300,0
2015-05-14,40.05,41.48,39.77,41.37,352600,0
2015-05-15,41.5,41.73,40.93,41.63,308528,0
2015-05-18,41.6,42.25,41.19,41.73,374277,0
2015-05-19,41.89,42.406,41.53,41.71,390170,0
2015-05-20,41.67,42.43,41.1,41.99,438100,0
2015-05-21,41.98,41.99,40.66,41.19,427300,0
