Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,44.946,45.245,43.663,43.744,220097,0
2015-01-05,43.58,43.77,43.085,43.227,190446,0
2015-01-06,43.193,43.636,42.55,42.643,187330,0
2015-01-07,42.831,42.877,42.098,42.793,152560,0
2015-01-08,42.993,43.608,42.921,43.489,168087,0
2015-01-09,43.454,43.626,42.606,42.867,165449,0
2015-01-12,42.839,43.111,42.504,43.03,131451,0
2015-01-13,43.309,44.233,43.309,44.177,308239,0
2015-01-14,43.653,44.304,43.173,43.734,114074,0
2015-01-15,43.761,43.824,42.903,43.119,119428,0
2015-01-16,43.056,44.077,43.056,44.033,139987,0
2015-01-20,44.158,44.158,43.165,43.69,108470,0
2015-01-21,43.598,43.851,43.193,43.527,106430,0
2015-01-22,43.997,44.773,43.355,44.702,126928,0
2015-01-23,44.792,44.891,44.233,44.584,78734,0
2015-01-26,44.438,44.764,44.041,44.755,94977,0
2015-01-27,45.09,45.09,43.971,44.431,137971,0
2015-01-28,44.638,44.846,42.957,43.155,198893,0
2015-01-29,43.128,43.7,42.758,43.7,108211,0
2015-01-30,43.247,43.418,42.334,42.399,178002,0
2015-02-02,42.596,44.158,42.145,44.122,235716,0
2015-02-03,43.842,45.063,43.708,44.26,280410,0
2015-02-04,44.007,44.855,44.007,44.367,124273,0
2015-02-05,44.438,45.09,44.403,45.0,99739,0
2015-02-06,45.0,45.507,44.594,44.801,152657,0
2015-02-09,44.846,44.855,43.981,44.007,116224,0
2015-02-10,44.241,44.367,43.69,44.233,92218,0
2015-02-11,44.05,44.54,44.033,44.241,55950,0
2015-02-12,44.638,44.638,44.131,44.375,65414,0
2015-02-13,44.367,44.901,44.269,44.801,114840,0
2015-02-17,44.818,44.891,44.241,44.357,102687,0
2015-02-18,44.177,44.566,44.014,44.54,73039,0
2015-02-19,44.52,44.638,44.312,44.52,77334,0
2015-02-20,44.584,44.584,43.645,44.33,157544,0
2015-02-23,44.33,44.33,43.814,44.177,76340,0
2015-02-24,44.186,44.476,43.943,44.251,90311,0
2015-02-25,44.196,44.413,43.877,43.996,103303,0
2015-02-26,43.905,44.439,43.877,44.432,61218,0
2015-02-27,44.26,44.321,43.813,43.896,84208,0
2015-03-02,43.97,44.33,43.524,43.896,124570,0
2015-03-03,43.804,44.076,43.433,43.933,77611,0
2015-03-04,43.868,43.97,43.415,43.896,152570,0
2015-03-05,44.049,44.603,43.643,44.548,169437,0
2015-03-06,44.168,45.101,43.841,44.032,154443,0
2015-03-09,44.131,44.432,43.905,44.177,108034,0
2015-03-10,43.924,43.924,43.215,43.533,123576,0
2015-03-11,43.568,44.803,43.379,44.567,176050,0
2015-03-12,44.904,46.01,44.685,45.926,219044,0
2015-03-13,46.01,46.01,44.82,45.583,132065,0
2015-03-16,45.783,46.842,45.493,46.562,189611,0
2015-03-17,46.4,47.017,46.182,46.934,183327,0
2015-03-18,46.934,47.416,46.445,47.233,220698,0
2015-03-19,47.17,47.416,46.916,47.388,121484,0
2015-03-20,47.678,48.214,47.215,48.14,372055,0
2015-03-23,48.069,48.368,47.788,48.304,200414,0
2015-03-24,48.14,48.359,47.996,48.149,129862,0
2015-03-25,48.114,48.232,47.17,47.243,88633,0
2015-03-26,47.151,47.388,46.925,47.027,81355,0
2015-03-27,46.916,47.161,46.698,46.916,109467,0
2015-03-30,47.178,48.186,47.055,47.959,157200,0
2015-03-31,47.733,48.013,47.425,47.541,150296,0
2015-04-01,47.407,47.633,46.916,47.326,152018,0
2015-04-02,47.252,47.788,47.036,47.17,124459,0
2015-04-06,47.036,47.434,46.916,47.17,135594,0
2015-04-07,47.271,47.524,46.571,46.644,147797,0
2015-04-08,46.625,47.124,46.5,46.827,133278,0
2015-04-09,46.842,46.888,45.991,46.101,192041,0
2015-04-10,46.082,46.653,46.01,46.598,316055,0
2015-04-13,46.718,47.397,46.68,47.107,119828,0
2015-04-14,47.134,47.453,46.746,47.117,99766,0
2015-04-15,47.289,47.643,47.08,47.379,109914,0
2015-04-16,47.369,47.506,47.161,47.298,101707,0
2015-04-17,46.961,46.961,45.474,45.609,184759,0
2015-04-20,45.982,46.698,45.926,46.263,160392,0
2015-04-21,45.484,45.655,43.706,44.04,337935,0
2015-04-22,44.224,44.34,43.542,44.233,127923,0
2015-04-23,44.086,45.066,44.086,45.057,151798,0
2015-04-24,45.147,45.194,44.685,45.128,105764,0
2015-04-27,45.465,45.81,45.039,45.592,292132,0
2015-04-28,45.691,46.345,45.493,46.301,194239,0
2015-04-29,46.164,46.263,45.636,45.691,168223,0
2015-04-30,45.529,45.7,44.993,45.047,238997,0
2015-05-01,45.311,45.484,45.02,45.24,156649,0
2015-05-04,45.293,45.446,45.092,45.157,106933,0
2015-05-05,44.985,45.446,44.251,44.567,134051,0
2015-05-06,44.829,44.829,44.196,44.613,105567,0
2015-05-07,44.513,45.221,44.458,45.003,104917,0
2015-05-08,45.354,45.354,44.439,44.63,139892,0
2015-05-11,44.548,44.866,44.423,44.667,98111,0
2015-05-12,44.521,44.521,43.952,44.251,86385,0
2015-05-13,44.423,44.63,43.651,44.131,123138,0
2015-05-14,44.423,44.81,43.942,44.775,78047,0
2015-05-15,44.904,45.092,44.158,44.513,95513,0
2015-05-18,44.385,45.101,44.376,44.959,120055,0
2015-05-19,45.047,45.185,44.613,44.975,107372,0
2015-05-20,45.128,45.354,44.585,45.328,106601,0
2015-05-21,45.364,45.529,44.912,45.073,128978,0
2015-05-22,45.092,45.664,44.594,44.613,69229,0
2015-05-26,44.64,44.64,43.905,44.158,109513,0
2015-05-27,44.386,44.777,44.086,44.687,92020,0
2015-05-28,44.687,44.725,44.205,44.706,74115,0
2015-05-29,44.632,45.096,44.269,44.322,83567,0
2015-06-01,44.55,44.805,43.969,44.358,67234,0
2015-06-02,44.305,44.787,44.039,44.45,76988,0
2015-06-03,44.659,45.425,44.433,45.297,120459,0
2015-06-04,45.023,45.087,44.141,44.405,74339,0
2015-06-05,44.533,44.813,44.066,44.787,93665,0
2015-06-08,44.642,45.077,44.596,44.822,116286,0
2015-06-09,44.952,45.061,44.523,44.805,66804,0
2015-06-10,45.17,46.208,44.969,46.036,181884,0
2015-06-11,45.933,46.224,45.807,46.208,88080,0
2015-06-12,46.099,46.109,45.717,45.952,131990,0
2015-06-15,45.78,46.598,45.132,46.382,171739,0
2015-06-16,46.252,46.945,46.109,46.775,146264,0
2015-06-17,47.029,47.029,46.362,46.571,111236,0
2015-06-18,46.88,47.628,46.554,47.6,219288,0
2015-06-19,47.638,47.965,47.246,47.757,237188,0
2015-06-22,47.938,48.23,47.518,47.92,129024,0
2015-06-23,47.901,48.575,47.683,48.521,109638,0
2015-06-24,48.503,48.512,47.81,48.039,122875,0
2015-06-25,48.357,48.357,47.665,47.702,139675,0
2015-06-26,47.765,48.048,47.448,47.948,359074,0
2015-06-29,47.702,48.058,46.809,46.88,155487,0
2015-06-30,47.283,47.302,46.755,46.801,141234,0
2015-07-01,47.628,48.183,47.029,47.784,212698,0
2015-07-02,47.93,48.127,47.665,47.784,117934,0
2015-07-06,47.438,47.92,47.438,47.854,148021,0
2015-07-07,47.892,48.102,47.392,47.819,677845,0
2015-07-08,47.509,47.873,47.075,47.448,220604,0
2015-07-09,48.127,48.127,47.382,47.49,224777,0
2015-07-10,48.174,48.293,47.73,48.02,433304,0
2015-07-13,48.33,48.557,47.938,48.146,182172,0
2015-07-14,48.058,48.531,48.058,48.366,124951,0
2015-07-15,48.34,48.594,48.202,48.376,119751,0
2015-07-16,48.722,49.005,48.458,48.612,137921,0
2015-07-17,48.741,49.05,48.183,48.393,338540,0
2015-07-20,48.465,48.703,47.975,48.03,158234,0
2015-07-21,47.975,51.71,47.975,51.553,300875,0
2015-07-22,51.635,51.999,51.345,51.525,233234,0
2015-07-23,51.88,52.154,50.688,50.761,314711,0
2015-07-24,50.678,51.015,50.525,50.724,226425,0
2015-07-27,50.243,50.987,50.124,50.442,183929,0
2015-07-28,50.543,50.916,49.878,50.014,279243,0
2015-07-29,50.088,50.379,49.942,50.142,146154,0
2015-07-30,50.023,50.442,49.668,50.215,155159,0
2015-07-31,50.415,50.688,50.16,50.298,158124,0
2015-08-03,50.553,51.126,50.233,51.126,130579,0
2015-08-04,51.197,51.835,50.871,50.933,135283,0
2015-08-05,51.09,51.181,50.543,50.879,111454,0
2015-08-06,50.925,50.979,50.177,50.624,184589,0
2015-08-07,50.288,50.743,49.86,50.643,87627,0
2015-08-10,50.906,51.39,50.624,50.761,128586,0
2015-08-11,50.597,51.525,50.597,50.771,167957,0
2015-08-12,50.487,50.543,49.532,50.097,92131,0
2015-08-13,50.133,50.497,49.769,50.224,161639,0
2015-08-14,50.051,50.987,49.878,50.916,64459,0
2015-08-17,50.525,51.317,50.315,51.243,112225,0
2015-08-18,50.97,51.109,50.59,50.898,67970,0
2015-08-19,50.534,51.053,50.26,50.624,70388,0
2015-08-20,50.097,50.487,49.887,49.906,90702,0
2015-08-21,48.967,49.896,47.584,48.939,174266,0
2015-08-24,47.154,48.23,46.39,47.066,179084,0
2015-08-25,48.048,48.048,47.137,47.264,208855,0
2015-08-26,48.048,48.093,46.954,47.965,116726,0
2015-08-27,48.285,48.514,47.454,48.067,114446,0
2015-08-28,48.184,48.341,47.344,47.791,118055,0
2015-08-31,47.664,47.737,47.079,47.627,98470,0
2015-09-01,46.858,47.299,46.631,47.025,126371,0
2015-09-02,47.592,48.103,47.17,48.094,102081,0
2015-09-03,48.67,48.953,48.294,48.505,204054,0
2015-09-04,47.864,48.495,47.783,48.103,66851,0
2015-09-08,48.743,49.302,48.341,49.226,142236,0
2015-09-09,49.565,49.756,49.217,49.374,157991,0
2015-09-10,49.374,49.985,49.226,49.602,89332,0
2015-09-11,49.455,50.132,49.18,49.766,79870,0
2015-09-14,49.756,50.012,49.464,49.519,93766,0
2015-09-15,49.556,50.379,49.445,50.36,123635,0
2015-09-16,50.36,50.543,50.049,50.351,197925,0
2015-09-17,50.351,51.557,50.351,50.817,154394,0
2015-09-18,50.46,50.864,50.269,50.59,239941,0
2015-09-21,50.981,51.45,50.625,50.809,129873,0
2015-09-22,50.351,50.873,49.976,50.324,183265,0
2015-09-23,50.324,50.644,50.149,50.405,149458,0
