Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,38.664,38.995,37.923,38.492,33739,0
2015-01-05,38.245,38.272,37.343,37.677,32609,0
2015-01-06,37.686,37.992,36.812,37.021,56606,0
2015-01-07,37.4,37.495,36.67,37.098,46895,0
2015-01-08,37.343,38.264,37.144,37.885,85841,0
2015-01-09,37.953,37.953,36.46,36.548,39601,0
2015-01-12,36.359,36.378,35.467,35.703,87072,0
2015-01-13,35.826,35.94,34.136,34.317,307131,0
2015-01-14,34.156,34.498,33.92,34.193,46538,0
2015-01-15,34.213,34.679,33.891,34.451,88638,0
2015-01-16,34.63,35.688,34.63,35.495,108938,0
2015-01-20,35.551,35.722,34.98,35.228,37830,0
2015-01-21,35.106,35.57,34.97,35.359,58196,0
2015-01-22,35.268,37.468,35.059,37.4,118958,0
2015-01-23,37.638,37.638,36.225,36.388,53457,0
2015-01-26,36.025,36.518,36.016,36.31,41237,0
2015-01-27,36.178,36.945,36.168,36.766,64115,0
2015-01-28,36.586,36.707,35.636,35.636,89020,0
2015-01-29,36.101,36.12,35.731,36.034,97150,0
2015-01-30,36.025,36.101,35.397,35.504,66142,0
2015-02-02,35.846,37.051,35.683,36.917,61200,0
2015-02-03,36.907,37.706,36.737,37.182,44406,0
2015-02-04,37.191,37.571,36.207,36.935,31417,0
2015-02-05,37.172,37.686,36.992,37.468,40466,0
2015-02-06,37.609,38.606,37.478,38.397,47749,0
2015-02-09,38.446,38.616,37.21,37.26,32392,0
2015-02-10,37.599,37.619,37.011,37.515,30672,0
2015-02-11,37.515,37.599,37.001,37.031,25585,0
2015-02-12,37.41,38.416,37.362,38.226,139800,0
2015-02-13,38.226,38.463,37.667,37.677,34794,0
2015-02-17,37.856,37.953,37.609,37.762,26126,0
2015-02-18,37.753,37.753,37.21,37.42,37735,0
2015-02-19,37.163,37.667,37.059,37.27,63830,0
2015-02-20,37.362,38.045,37.001,37.753,50320,0
2015-02-23,37.789,38.015,37.43,37.846,25783,0
2015-02-24,37.953,38.601,37.677,38.254,37602,0
2015-02-25,38.282,38.567,38.132,38.446,74027,0
2015-02-26,38.397,38.995,38.226,38.891,64867,0
2015-02-27,38.899,39.043,38.691,38.853,69073,0
2015-03-02,38.824,40.066,38.824,39.847,69982,0
2015-03-03,39.639,39.926,39.298,39.829,128586,0
2015-03-04,39.765,39.944,39.43,39.736,50485,0
2015-03-05,39.896,40.086,39.346,40.076,39841,0
2015-03-06,39.726,40.8,39.726,40.39,107717,0
2015-03-09,40.551,40.8,40.23,40.72,56705,0
2015-03-10,40.124,40.551,40.02,40.285,70091,0
2015-03-11,40.322,40.8,40.22,40.76,37100,0
2015-03-12,41.16,41.924,40.809,41.876,247514,0
2015-03-13,41.781,42.447,41.533,42.285,132196,0
2015-03-16,42.334,42.562,41.98,42.247,68877,0
2015-03-17,42.228,42.247,41.943,42.114,69819,0
2015-03-18,42.181,42.381,41.886,42.114,124544,0
2015-03-19,42.162,42.305,41.953,42.114,57974,0
2015-03-20,42.305,43.058,42.305,42.878,101165,0
2015-03-23,42.829,43.01,42.315,42.372,66885,0
2015-03-24,42.447,42.447,42.199,42.352,91941,0
2015-03-25,42.228,43.478,42.199,43.01,156413,0
2015-03-26,43.019,43.277,42.466,42.762,122447,0
2015-03-27,42.762,43.258,42.085,43.107,100326,0
2015-03-30,43.431,44.242,43.154,43.563,101374,0
2015-03-31,43.267,43.906,42.515,43.373,674674,0
2015-04-01,43.545,43.696,42.8,43.211,66675,0
2015-04-02,43.107,43.867,43.058,43.706,68142,0
2015-04-06,43.555,43.658,42.955,43.078,89740,0
2015-04-07,43.068,43.24,42.878,43.087,56386,0
2015-04-08,43.116,43.326,42.809,42.897,92988,0
2015-04-09,43.019,43.154,42.209,42.506,47350,0
2015-04-10,42.668,42.809,42.171,42.687,28724,0
2015-04-13,42.534,43.183,42.534,42.687,64578,0
2015-04-14,42.791,42.8,42.028,42.209,70030,0
2015-04-15,42.315,42.878,42.315,42.629,122647,0
2015-04-16,42.791,42.926,42.154,42.8,61915,0
2015-04-17,42.506,42.848,41.561,41.714,76529,0
2015-04-20,41.818,42.496,41.781,42.237,81385,0
2015-04-21,42.466,42.668,42.056,42.295,81568,0
2015-04-22,42.305,42.439,41.59,42.199,100950,0
2015-04-23,42.43,42.43,40.818,41.064,140792,0
2015-04-24,41.543,41.914,41.035,41.674,130289,0
2015-04-27,41.924,42.4,41.474,41.933,170985,0
2015-04-28,42.008,42.209,41.781,42.124,116856,0
2015-04-29,41.971,42.381,41.752,42.018,130729,0
2015-04-30,42.018,42.114,41.533,41.733,221724,0
2015-05-01,42.028,42.362,41.017,41.142,168365,0
2015-05-04,41.199,41.866,41.074,41.714,86383,0
