Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,21.541,21.618,20.028,20.481,382849,0
2015-01-05,20.355,20.779,20.24,20.365,172397,0
2015-01-06,20.365,20.423,19.43,19.613,254244,0
2015-01-07,19.835,20.153,19.613,20.134,142112,0
2015-01-08,20.346,20.529,20.085,20.404,144852,0
2015-01-09,20.471,20.558,19.951,20.008,132828,0
2015-01-12,19.97,20.037,19.604,19.893,93687,0
2015-01-13,20.114,20.876,19.854,20.22,188012,0
2015-01-14,19.941,20.105,19.257,19.883,189267,0
2015-01-15,19.922,19.922,18.861,19.334,192658,0
2015-01-16,19.228,19.825,19.228,19.796,157759,0
2015-01-20,19.758,19.758,19.112,19.555,162212,0
2015-01-21,19.459,19.546,19.17,19.401,191389,0
2015-01-22,19.642,19.922,19.382,19.816,188032,0
2015-01-23,19.69,20.259,19.555,20.201,247947,0
2015-01-26,20.163,20.49,19.825,20.317,202420,0
2015-01-27,20.008,20.278,19.748,20.057,108952,0
2015-01-28,20.259,20.461,19.565,19.71,163929,0
2015-01-29,19.816,19.97,19.411,19.97,147795,0
2015-01-30,19.758,19.96,18.958,19.016,195554,0
2015-02-02,19.131,19.44,18.881,19.401,140907,0
2015-02-03,19.604,20.134,19.604,19.845,175463,0
2015-02-04,19.71,20.326,19.71,20.037,117400,0
2015-02-05,20.037,20.24,19.257,19.343,218850,0
2015-02-06,19.411,19.989,19.382,19.661,133335,0
2015-02-09,19.507,20.076,19.507,19.681,104322,0
2015-02-10,19.931,20.076,19.43,19.96,121657,0
2015-02-11,19.951,20.23,19.661,19.767,85870,0
2015-02-12,19.883,20.066,19.575,19.7,142211,0
2015-02-13,19.719,20.355,19.719,20.153,167487,0
2015-02-17,20.105,20.529,20.105,20.23,122623,0
2015-02-18,20.085,20.963,20.085,20.828,168255,0
2015-02-19,20.818,20.953,20.461,20.847,139845,0
2015-02-20,20.857,21.464,20.49,21.348,172621,0
2015-02-23,21.801,22.09,21.493,21.975,533451,0
2015-02-24,22.042,22.418,21.83,22.254,317133,0
2015-02-25,22.264,22.534,22.158,22.447,289406,0
2015-02-26,22.389,22.63,22.109,22.312,272694,0
2015-02-27,22.206,22.408,22.187,22.225,212365,0
2015-03-02,22.167,22.582,22.167,22.389,196515,0
2015-03-03,22.235,22.495,22.158,22.331,329427,0
2015-03-04,22.1,22.688,21.83,22.129,388465,0
2015-03-05,22.081,22.35,21.811,22.341,245799,0
2015-03-06,22.129,22.668,22.129,22.64,264683,0
2015-03-09,22.611,23.305,22.562,23.237,324862,0
2015-03-10,23.015,23.382,22.958,23.256,265306,0
2015-03-11,23.189,23.468,22.726,23.247,345925,0
2015-03-12,23.526,24.471,23.449,24.104,456425,0
2015-03-13,24.133,24.712,23.979,24.673,274229,0
2015-03-16,24.972,25.685,24.741,25.309,505606,0
2015-03-17,25.242,25.926,25.01,25.733,406103,0
2015-03-18,25.762,26.003,25.502,25.849,406622,0
2015-03-19,25.83,25.878,25.406,25.55,357753,0
2015-03-20,25.647,26.1,25.579,26.013,460472,0
2015-03-23,25.955,26.032,25.415,25.608,332229,0
2015-03-24,25.666,25.897,25.444,25.637,260637,0
2015-03-25,25.733,26.254,25.579,25.695,410772,0
2015-03-26,25.637,25.82,25.251,25.396,428619,0
2015-03-27,25.386,26.254,25.386,26.225,383069,0
2015-03-30,26.447,27.246,26.379,27.054,425091,0
2015-03-31,27.092,27.661,26.495,27.41,2472923,0
2015-04-01,25.38,25.38,23.4,24.15,1607300,0
2015-04-02,24.04,25.69,24.04,25.41,762200,0
2015-04-06,25.28,25.9,24.64,24.88,926100,0
2015-04-07,24.84,24.92,24.08,24.11,514832,0
2015-04-08,23.98,24.2,23.24,23.54,886000,0
2015-04-09,23.56,23.77,23.02,23.5,504730,0
2015-04-10,23.63,23.69,23.36,23.64,404100,0
2015-04-13,23.58,23.63,22.81,22.97,357900,0
2015-04-14,22.89,23.24,22.81,23.24,295700,0
2015-04-15,23.37,23.37,22.86,23.06,290505,0
2015-04-16,23.06,23.63,23.06,23.59,349705,0
2015-04-17,23.36,23.37,22.93,22.96,313600,0
2015-04-20,23.07,23.34,22.67,23.11,374092,0
2015-04-21,23.29,23.48,23.16,23.39,284987,0
2015-04-22,23.4,23.64,23.05,23.52,263504,0
2015-04-23,23.43,23.56,23.08,23.34,377200,0
2015-04-24,23.4,23.57,23.18,23.52,305550,0
2015-04-27,23.63,24.21,23.52,23.81,313300,0
2015-04-28,23.86,24.2,23.56,24.16,291604,0
2015-04-29,24.03,24.15,23.77,23.96,299500,0
2015-04-30,23.88,24.26,23.18,23.29,540900,0
2015-05-01,23.37,23.71,23.03,23.66,252700,0
2015-05-04,23.68,24.39,23.61,24.06,376000,0
2015-05-05,24.09,24.39,23.52,23.65,322900,0
2015-05-06,23.88,24.04,23.49,23.83,289864,0
2015-05-07,23.84,24.1,23.5,23.86,327120,0
2015-05-08,23.1,23.93,22.58,23.67,554400,0
2015-05-11,23.67,23.99,23.44,23.5,427700,0
2015-05-12,23.3,23.35,22.81,23.03,422637,0
2015-05-13,23.12,23.27,22.52,22.77,399769,0
2015-05-14,22.9,22.95,21.74,21.77,1123400,0
2015-05-15,21.84,22.0,21.48,21.73,419995,0
2015-05-18,21.66,21.97,21.45,21.74,632847,0
2015-05-19,21.75,22.03,21.63,21.88,336094,0
2015-05-20,21.95,22.27,21.87,22.15,308362,0
2015-05-21,22.12,22.23,21.73,21.92,677400,0
2015-05-22,21.83,22.43,21.75,22.03,389100,0
2015-05-26,22.04,22.37,21.91,22.27,255368,0
2015-05-27,22.36,22.82,22.21,22.53,276500,0
2015-05-28,22.56,23.18,22.56,23.16,548458,0
2015-05-29,23.11,23.53,22.96,23.43,433700,0
2015-06-01,23.45,23.6,22.38,22.98,745828,0
2015-06-02,22.89,23.38,22.86,22.98,661267,0
2015-06-03,23.11,23.81,23.11,23.71,595600,0
2015-06-04,23.65,23.72,22.9,22.99,456800,0
2015-06-05,22.93,24.12,22.81,24.11,519700,0
2015-06-08,24.12,24.25,23.96,24.1,357600,0
2015-06-09,24.11,24.3,23.79,24.16,380404,0
2015-06-10,24.2,24.5,24.2,24.44,526739,0
2015-06-11,24.67,24.92,23.98,24.42,660465,0
2015-06-12,24.22,24.26,23.42,23.82,683100,0
2015-06-15,23.73,24.29,23.21,23.5,667900,0
2015-06-16,23.51,24.27,23.51,24.17,310100,0
2015-06-17,24.3,24.66,24.19,24.33,338400,0
2015-06-18,24.44,24.72,24.16,24.59,740000,0
2015-06-19,24.73,25.02,24.47,24.49,1704700,0
2015-06-22,24.33,24.65,24.33,24.41,720100,0
2015-06-23,24.46,24.5,24.17,24.28,350294,0
2015-06-24,24.27,24.34,23.83,23.9,329200,0
2015-06-25,23.98,24.11,23.73,23.91,360400,0
2015-06-26,23.93,24.24,23.79,24.18,1133800,0
2015-06-29,23.93,24.25,22.96,22.97,478400,0
2015-06-30,23.04,23.04,22.38,22.85,774084,0
2015-07-01,22.92,23.01,22.63,22.92,432800,0
2015-07-02,23.0,23.0,22.37,22.4,475100,0
2015-07-06,22.22,22.39,21.94,22.04,430700,0
2015-07-07,22.07,22.16,20.97,21.61,530500,0
2015-07-08,21.44,21.47,20.9,20.94,777000,0
2015-07-09,21.07,21.21,20.78,20.92,953400,0
2015-07-10,21.27,21.62,20.98,21.54,306500,0
2015-07-13,21.72,21.98,21.49,21.55,237600,0
2015-07-14,21.57,22.18,21.47,21.85,733224,0
2015-07-15,21.91,22.42,21.83,22.38,367645,0
2015-07-16,22.49,22.73,22.18,22.43,530200,0
2015-07-17,22.4,22.55,21.88,22.06,288400,0
2015-07-20,22.14,22.61,21.96,22.57,293700,0
2015-07-21,22.58,23.04,22.43,22.76,530500,0
