Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,42.394,42.566,41.793,42.107,1168264,0
2015-01-05,41.863,41.963,40.778,41.174,1892995,0
2015-01-06,40.868,40.967,39.791,40.311,2175327,0
2015-01-07,40.445,40.877,39.891,40.177,1789184,0
2015-01-08,40.365,40.59,40.134,40.383,1227989,0
2015-01-09,40.293,40.293,39.585,39.765,1771620,0
2015-01-12,39.387,39.513,38.785,39.037,2138974,0
2015-01-13,39.081,39.718,38.417,38.964,2613828,0
2015-01-14,38.381,38.417,37.601,38.005,3625302,0
2015-01-15,38.095,38.166,37.429,37.447,4389126,0
2015-01-16,37.349,37.807,37.154,37.637,3398374,0
2015-01-20,37.672,37.789,37.251,37.378,3172745,0
2015-01-21,37.349,37.601,36.792,37.07,4123810,0
2015-01-22,37.341,37.754,37.135,37.502,3114878,0
2015-01-23,37.62,38.185,37.573,37.906,2268882,0
2015-01-26,38.005,38.021,37.628,37.78,1683014,0
2015-01-27,37.735,37.87,37.341,37.789,1886480,0
2015-01-28,37.914,38.012,36.659,36.695,2687126,0
2015-01-29,36.479,36.792,35.895,36.758,2114386,0
2015-01-30,35.867,36.327,35.509,35.753,3488834,0
2015-02-02,36.146,36.776,36.128,36.668,2726844,0
2015-02-03,37.206,38.365,36.998,38.249,3239248,0
2015-02-04,38.005,38.059,37.395,37.555,1893067,0
2015-02-05,37.897,38.93,37.764,38.785,2584915,0
2015-02-06,38.993,39.567,38.706,38.856,2086218,0
2015-02-09,38.912,39.611,38.894,39.289,1971633,0
2015-02-10,39.449,39.477,38.894,38.983,1728222,0
2015-02-11,38.833,39.21,38.785,39.072,1392850,0
2015-02-12,39.496,39.989,39.416,39.881,1988497,0
2015-02-13,39.952,40.339,39.891,40.006,1436408,0
2015-02-17,40.302,40.5,39.933,40.33,1258012,0
2015-02-18,40.06,40.088,39.359,39.467,1722068,0
2015-02-19,39.072,39.233,38.455,39.081,1975572,0
2015-02-20,39.046,39.2,38.328,38.633,2651361,0
2015-02-23,38.256,38.417,37.88,38.176,2319817,0
2015-02-24,37.834,38.399,37.709,38.275,2689430,0
2015-02-25,38.813,39.2,38.553,38.993,2660254,0
2015-02-26,39.271,39.638,37.7,39.064,2360408,0
2015-02-27,39.152,39.863,39.119,39.359,2457281,0
2015-03-02,39.539,39.567,39.011,39.091,1606487,0
2015-03-03,39.289,39.416,38.785,38.955,1664421,0
2015-03-04,38.706,39.181,38.464,39.136,1927786,0
2015-03-05,39.037,39.487,38.849,38.884,1803010,0
2015-03-06,38.615,39.001,38.338,38.623,2249416,0
2015-03-09,38.795,38.921,38.578,38.641,1586659,0
2015-03-10,38.399,38.426,37.502,37.637,2407950,0
2015-03-11,37.645,37.924,37.429,37.645,1849355,0
2015-03-12,38.005,38.381,38.005,38.04,1454195,0
2015-03-13,37.861,37.924,37.206,37.573,1759897,0
2015-03-16,37.682,38.22,37.502,37.906,1598467,0
2015-03-17,37.861,38.122,37.502,38.021,2234601,0
2015-03-18,37.854,38.651,37.672,38.57,2767015,0
2015-03-19,38.176,38.21,37.655,37.7,1939818,0
2015-03-20,38.085,38.759,38.05,38.651,2453404,0
2015-03-23,38.84,39.037,38.651,38.856,2205414,0
2015-03-24,38.921,39.28,38.669,39.11,2076847,0
2015-03-25,39.191,39.324,38.651,38.74,2129099,0
2015-03-26,38.921,39.028,38.455,38.623,1597353,0
2015-03-27,38.525,38.687,37.906,37.914,1756552,0
2015-03-30,37.979,38.148,37.655,37.789,1858379,0
2015-03-31,37.682,38.506,37.331,38.464,2358289,0
2015-04-01,38.525,38.849,38.22,38.804,2629427,0
2015-04-02,38.995,39.238,38.949,39.114,2069192,0
2015-04-06,39.285,39.64,39.221,39.395,2055649,0
2015-04-07,39.414,39.848,39.405,39.64,1467482,0
2015-04-08,39.812,40.14,39.486,39.585,1663499,0
2015-04-09,39.557,39.957,39.53,39.877,1947629,0
2015-04-10,39.794,39.986,39.794,39.922,1120853,0
2015-04-13,39.903,40.012,39.794,39.957,886907,0
2015-04-14,40.175,40.438,40.175,40.249,1368012,0
2015-04-15,40.193,41.483,40.147,41.284,2132216,0
2015-04-16,41.447,41.946,41.202,41.729,2280015,0
2015-04-17,41.539,41.747,41.147,41.401,1546692,0
2015-04-20,41.509,41.873,41.465,41.738,1439972,0
2015-04-21,41.673,41.673,41.156,41.382,1332541,0
2015-04-22,41.374,41.519,40.92,41.492,1086584,0
2015-04-23,41.32,42.12,41.275,41.92,1143642,0
2015-04-24,42.055,42.147,41.692,41.882,824600,0
2015-04-27,42.12,42.256,42.02,42.147,840117,0
2015-04-28,42.12,42.428,41.956,42.382,1059862,0
2015-04-29,42.272,42.492,42.219,42.428,1184817,0
2015-04-30,42.13,42.155,41.657,41.929,1682764,0
2015-05-01,41.848,41.965,41.692,41.83,1177329,0
2015-05-04,41.991,42.182,41.848,42.155,868409,0
2015-05-05,42.21,42.272,41.639,41.863,1189770,0
2015-05-06,42.1,42.192,41.291,41.629,1318708,0
2015-05-07,41.429,41.557,40.865,41.411,1601059,0
2015-05-08,41.729,41.901,41.592,41.792,1200009,0
2015-05-11,41.783,42.03,41.582,41.72,903861,0
2015-05-12,41.682,42.047,41.647,41.839,1389944,0
2015-05-13,42.02,42.172,41.701,41.982,784850,0
2015-05-14,42.164,42.247,41.848,42.01,770319,0
2015-05-15,41.81,41.863,41.565,41.83,785566,0
2015-05-18,41.619,41.711,41.465,41.539,587847,0
2015-05-19,41.192,41.783,40.948,41.664,1328489,0
2015-05-20,41.747,41.873,41.529,41.61,1112376,0
2015-05-21,41.557,41.982,41.519,41.773,1019018,0
2015-05-22,41.549,41.692,41.382,41.501,1150358,0
2015-05-26,41.248,41.311,40.438,40.684,1578611,0
2015-05-27,40.73,40.984,40.538,40.83,1169844,0
2015-05-28,40.684,40.884,40.038,40.475,1852996,0
2015-05-29,40.021,40.085,39.405,39.575,2587728,0
2015-06-01,39.567,39.567,38.758,39.314,1650194,0
2015-06-02,39.539,39.976,39.43,39.803,1314612,0
2015-06-03,39.658,40.094,39.595,40.002,1056670,0
2015-06-04,39.704,40.012,39.385,39.52,1508380,0
2015-06-05,39.414,39.947,39.221,39.704,1204963,0
2015-06-08,39.794,39.848,38.995,39.195,1377260,0
2015-06-09,39.447,40.131,39.195,40.067,1966364,0
2015-06-10,40.593,40.811,40.302,40.403,1551080,0
2015-06-11,40.412,40.511,39.994,40.366,1394856,0
2015-06-12,40.03,40.03,39.704,39.828,1458286,0
2015-06-15,39.575,40.048,39.466,39.994,1039495,0
2015-06-16,39.922,40.067,39.757,40.048,735968,0
2015-06-17,40.131,40.239,39.658,39.986,1310214,0
2015-06-18,40.239,40.366,39.728,39.812,1687500,0
2015-06-19,39.395,39.648,39.04,39.186,3708251,0
2015-06-22,39.439,39.777,39.439,39.557,1270469,0
2015-06-23,39.585,39.895,39.495,39.877,3829506,0
2015-06-24,39.786,39.986,39.595,39.768,1060303,0
2015-06-25,39.976,40.147,39.903,39.929,1387939,0
2015-06-26,39.812,40.085,39.686,40.057,953403,0
2015-06-29,39.439,39.495,38.875,38.904,1940162,0
2015-06-30,38.995,39.14,38.569,38.613,1608244,0
2015-07-01,38.823,39.104,38.521,38.686,988191,0
2015-07-02,38.485,38.576,38.068,38.45,1588087,0
2015-07-06,38.078,38.541,38.059,38.268,1429224,0
2015-07-07,37.992,38.175,37.43,38.13,1853653,0
2015-07-08,37.807,37.845,37.524,37.569,1795435,0
2015-07-09,38.009,38.146,37.32,37.378,1870663,0
2015-07-10,37.669,37.872,37.588,37.845,1466831,0
2015-07-13,38.046,38.046,37.707,37.744,1731983,0
2015-07-14,37.679,37.679,37.258,37.534,2361918,0
2015-07-15,37.504,37.605,36.954,37.378,2781162,0
2015-07-16,37.669,37.898,37.55,37.679,1591122,0
2015-07-17,37.744,37.744,37.277,37.43,1236023,0
2015-07-20,37.422,37.534,37.065,37.192,1670165,0
2015-07-21,37.139,37.414,36.964,37.148,1479370,0
2015-07-22,36.946,37.019,36.652,36.808,1385390,0
2015-07-23,36.946,36.946,36.469,36.662,1935097,0
2015-07-24,36.587,36.633,36.295,36.405,1395202,0
2015-07-27,36.349,36.367,35.698,35.863,1613034,0
2015-07-28,36.074,36.514,35.459,36.295,2781682,0
2015-07-29,36.357,37.349,36.276,37.249,2319958,0
2015-07-30,37.028,37.192,36.753,37.1,1362166,0
2015-07-31,37.294,37.524,36.954,37.065,1387133,0
2015-08-03,36.954,36.964,36.523,36.662,976150,0
2015-08-04,36.798,37.082,36.505,36.773,1393129,0
2015-08-05,37.048,37.184,36.826,36.999,1274183,0
2015-08-06,37.028,37.073,36.725,36.927,1378182,0
2015-08-07,36.773,37.048,36.495,36.615,1144116,0
2015-08-10,36.699,37.605,36.642,37.569,1247362,0
2015-08-11,37.139,37.176,36.533,37.048,1368270,0
2015-08-12,37.028,37.192,36.753,37.192,1387787,0
2015-08-13,37.091,37.091,36.413,36.542,1668311,0
2015-08-14,36.487,36.689,36.357,36.367,1529411,0
2015-08-17,36.194,36.285,35.789,36.247,1410465,0
2015-08-18,36.185,36.773,36.047,36.753,2084243,0
2015-08-19,36.596,36.743,36.056,36.367,1902499,0
2015-08-20,36.12,36.128,35.688,35.698,1450368,0
2015-08-21,35.496,35.679,34.992,35.0,2627737,0
2015-08-24,33.112,34.836,32.955,33.964,4217213,0
2015-08-25,35.148,35.358,34.543,34.562,3550423,0
2015-08-26,35.284,35.643,34.744,35.635,3431584,0
2015-08-27,36.341,36.818,35.946,36.514,3372602,0
2015-08-28,36.175,36.725,35.992,36.68,2610948,0
2015-08-31,36.45,36.615,35.735,36.505,2330751,0
2015-09-01,35.881,36.166,35.25,35.515,2500393,0
2015-09-02,35.744,35.836,35.358,35.515,2537681,0
2015-09-03,35.679,36.267,35.525,35.964,1597771,0
2015-09-04,35.568,35.617,35.166,35.342,1288245,0
2015-09-08,35.846,36.137,35.761,36.083,1658935,0
2015-09-09,36.405,36.662,35.863,35.926,1718790,0
2015-09-10,35.836,36.405,35.754,36.128,1680578,0
2015-09-11,35.936,36.074,35.617,35.871,1316376,0
2015-09-14,35.909,36.056,35.744,35.789,1527995,0
2015-09-15,35.863,36.093,35.735,36.037,1197756,0
2015-09-16,35.956,37.019,35.956,37.009,1820510,0
2015-09-17,36.89,37.11,36.561,36.624,2415652,0
2015-09-18,36.523,36.542,35.789,35.89,2183348,0
2015-09-21,36.065,36.432,35.956,36.396,1457018,0
2015-09-22,35.744,36.018,35.385,35.635,1854090,0
2015-09-23,35.617,35.717,34.954,35.148,1444590,0
2015-09-24,34.798,35.313,34.615,35.166,1553074,0
2015-09-25,35.568,35.754,35.423,35.525,1296970,0
2015-09-28,35.376,35.534,35.02,35.038,1545252,0
2015-09-29,35.073,35.156,34.883,35.111,1804920,0
2015-09-30,35.487,36.156,35.487,36.156,1738088,0
2015-10-01,36.533,36.552,36.212,36.46,2204064,0
2015-10-02,36.311,36.422,35.967,36.422,2164591,0
2015-10-05,36.886,37.491,36.794,37.286,2091649,0
2015-10-06,37.286,37.713,37.184,37.64,1600411,0
2015-10-07,37.854,38.261,37.816,38.029,3580098,0
2015-10-08,38.085,38.252,37.956,38.225,1242983,0
2015-10-09,38.401,38.448,37.917,38.077,1153546,0
2015-10-12,38.095,38.245,37.816,37.892,741609,0
2015-10-13,37.621,37.984,37.574,37.778,1265583,0
2015-10-14,37.926,38.085,37.509,37.621,1112538,0
2015-10-15,37.788,37.956,37.545,37.752,1213492,0
2015-10-16,37.742,37.844,37.555,37.713,1297872,0
2015-10-19,37.611,37.824,37.537,37.704,1049122,0
2015-10-20,37.859,38.28,37.742,38.029,849110,0
2015-10-21,38.038,38.215,37.649,37.676,1240938,0
2015-10-22,37.946,38.439,37.926,38.347,1314123,0
2015-10-23,38.448,38.578,38.28,38.356,1352224,0
2015-10-26,38.521,38.642,38.187,38.225,960893,0
2015-10-27,38.048,38.521,37.993,38.448,1470399,0
2015-10-28,38.587,39.079,38.448,38.976,1395166,0
2015-10-29,38.67,38.958,38.569,38.912,1092089,0
2015-10-30,38.941,38.958,38.103,38.113,1942343,0
2015-11-02,38.103,38.419,37.965,38.401,1912257,0
2015-11-03,38.298,38.587,38.048,38.503,1163555,0
2015-11-04,38.419,38.597,38.067,38.245,1547681,0
2015-11-05,38.298,38.56,38.067,38.15,2248002,0
2015-11-06,37.993,38.317,37.854,38.187,1644431,0
2015-11-09,38.225,38.245,37.806,38.077,1582890,0
2015-11-10,37.956,38.494,37.752,38.458,2872022,0
2015-11-11,38.521,38.68,38.15,38.337,816780,0
2015-11-12,37.908,38.002,37.658,37.77,1085740,0
2015-11-13,37.63,37.713,37.036,37.211,1263216,0
2015-11-16,37.081,37.64,36.989,37.611,1650458,0
2015-11-17,37.796,38.15,37.621,37.917,1509145,0
2015-11-18,37.965,38.103,37.844,38.011,1288510,0
2015-11-19,38.15,38.347,38.019,38.187,905034,0
2015-11-20,38.29,38.409,37.974,38.019,1037524,0
2015-11-23,37.892,38.187,37.844,37.863,1329623,0
2015-11-24,37.863,38.327,37.806,38.029,1472657,0
2015-11-25,38.113,38.159,37.834,37.965,1207035,0
2015-11-27,37.854,37.926,37.64,37.816,862846,0
2015-11-30,37.892,38.15,37.806,37.926,1234481,0
2015-12-01,38.095,38.56,37.863,38.429,1377083,0
2015-12-02,38.365,38.439,38.103,38.271,2004075,0
2015-12-03,38.468,38.476,37.565,37.761,2501857,0
2015-12-04,37.796,38.245,37.482,38.113,2112501,0
2015-12-07,37.565,37.732,36.895,37.148,1595998,0
2015-12-08,36.572,36.803,36.227,36.33,1526660,0
2015-12-09,36.515,37.443,36.515,36.83,1966989,0
2015-12-10,36.813,37.24,36.757,36.813,1204239,0
2015-12-11,36.496,36.534,35.976,36.041,1592448,0
2015-12-14,36.116,36.34,35.634,35.995,1800614,0
2015-12-15,36.273,36.692,36.191,36.45,2021449,0
2015-12-16,36.626,37.1,36.395,37.1,1675534,0
2015-12-17,36.915,37.138,36.33,36.543,1990453,0
2015-12-18,36.33,36.767,36.293,36.441,2367468,0
2015-12-21,36.701,36.878,36.152,36.45,2313333,0
2015-12-22,36.562,36.581,36.098,36.404,1265329,0
2015-12-23,36.665,36.886,36.506,36.776,1434342,0
2015-12-24,36.701,37.017,36.701,36.915,775631,0
2015-12-28,36.84,36.84,36.432,36.655,1064727,0
2015-12-29,36.886,37.259,36.83,37.184,1185139,0
2015-12-30,36.961,36.97,36.635,36.794,954600,0
2015-12-31,36.674,36.701,36.366,36.395,1257661,0
2016-01-04,35.892,35.902,35.438,35.828,1678114,0
2016-01-05,35.864,35.976,35.297,35.548,1701763,0
2016-01-06,35.17,35.247,34.71,34.759,1626347,0
2016-01-07,34.186,34.607,33.96,33.98,1737162,0
2016-01-08,34.354,34.421,33.806,33.829,1455000,0
2016-01-11,34.148,34.167,33.604,33.857,1708084,0
2016-01-12,34.289,34.607,33.97,34.458,3168094,0
2016-01-13,34.795,34.795,33.511,33.67,2278846,0
2016-01-14,33.68,33.792,33.013,33.473,2357318,0
2016-01-15,32.686,32.799,31.896,31.935,2674742,0
2016-01-19,32.366,32.731,32.085,32.403,3096227,0
2016-01-20,31.851,32.234,31.414,31.972,3822241,0
2016-01-21,32.225,33.013,32.095,32.947,2370687,0
2016-01-22,33.726,34.251,33.641,34.233,2378207,0
2016-01-25,34.092,34.092,32.933,32.976,2276626,0
2016-01-26,33.557,34.055,33.399,33.886,1786250,0
2016-01-27,33.872,34.693,33.837,34.364,2087957,0
2016-01-28,34.974,35.238,34.552,35.199,1979807,0
2016-01-29,35.49,35.603,34.754,35.5,2059145,0
2016-02-01,35.35,35.367,34.815,35.199,1560316,0
2016-02-02,34.673,34.693,34.195,34.665,2174268,0
2016-02-03,35.264,35.461,34.467,35.358,2057692,0
2016-02-04,35.583,36.126,35.583,35.912,1568105,0
2016-02-05,35.726,35.819,35.209,35.341,1480804,0
2016-02-08,34.795,34.833,34.402,34.683,1947226,0
2016-02-09,34.241,34.665,33.651,33.989,2635351,0
2016-02-10,34.224,34.514,33.425,33.473,1942509,0
2016-02-11,32.882,33.164,32.583,33.06,2028727,0
2016-02-12,33.455,34.421,33.379,34.383,1996053,0
2016-02-16,34.945,35.076,34.336,35.057,1703724,0
2016-02-17,35.386,36.043,35.273,35.969,1927196,0
2016-02-18,36.231,36.278,35.574,35.893,1414704,0
2016-02-19,35.396,35.761,35.012,35.706,1543517,0
2016-02-22,36.175,36.353,35.701,35.77,1692311,0
2016-02-23,35.667,35.987,35.386,35.564,1798870,0
2016-02-24,34.918,35.254,33.97,35.125,2545825,0
2016-02-25,35.48,36.091,35.336,35.94,1855940,0
2016-02-26,36.315,36.504,35.893,36.278,2624164,0
2016-02-29,36.362,36.475,36.08,36.268,2196870,0
2016-03-01,36.615,37.44,36.605,37.291,1777095,0
2016-03-02,37.066,37.302,36.634,37.18,1859645,0
2016-03-03,37.196,37.582,37.093,37.45,1504761,0
2016-03-04,37.527,37.845,37.422,37.797,1685818,0
2016-03-07,37.582,38.333,37.489,38.323,1608878,0
2016-03-08,37.825,38.303,37.807,38.183,1440992,0
2016-03-09,38.295,39.056,38.295,38.848,1620748,0
2016-03-10,38.839,38.999,38.022,38.406,1579981,0
2016-03-11,38.924,39.158,38.773,39.074,1679079,0
2016-03-14,38.831,39.074,38.699,38.905,1422404,0
2016-03-15,38.548,38.886,38.483,38.876,1034412,0
2016-03-16,38.793,39.797,38.754,39.626,1635691,0
2016-03-17,40.096,40.603,39.872,40.396,2209832,0
2016-03-18,40.499,40.583,39.832,39.881,2013697,0
2016-03-21,39.814,40.115,39.674,39.908,1094960,0
2016-03-22,39.656,39.994,39.599,39.881,1565071,0
2016-03-23,39.665,39.739,39.124,39.413,1343810,0
2016-03-24,38.999,39.206,38.754,39.187,1233212,0
2016-03-28,39.344,39.71,39.206,39.656,1094123,0
2016-03-29,39.515,40.115,39.251,40.049,1674110,0
2016-03-30,40.36,40.847,40.237,40.735,1637569,0
2016-03-31,40.762,41.129,40.396,40.463,1783335,0
2016-04-01,40.031,40.434,39.739,40.434,1211377,0
2016-04-04,40.546,40.565,40.142,40.302,1836495,0
2016-04-05,39.739,39.985,39.477,39.891,1647391,0
2016-04-06,39.892,40.052,39.256,39.72,1575055,0
2016-04-07,39.436,39.436,38.835,39.038,1743075,0
2016-04-08,39.635,40.005,39.541,39.749,1544661,0
2016-04-11,39.929,40.41,39.929,39.967,1183087,0
2016-04-12,40.081,40.944,40.015,40.83,1647659,0
