Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,112.76,113.06,111.01,111.87,159372,0
2015-01-05,109.11,110.64,108.47,109.42,326555,0
2015-01-06,109.32,109.71,107.0,107.9,416500,0
2015-01-07,109.06,109.62,108.1,108.75,359091,0
2015-01-08,108.75,109.67,108.74,109.31,511778,0
2015-01-09,109.27,109.44,108.81,108.95,275705,0
2015-01-12,108.87,109.09,108.09,108.18,293492,0
2015-01-13,108.32,109.89,107.69,108.37,300691,0
2015-01-14,107.9,108.67,107.23,108.34,220007,0
2015-01-15,108.34,108.94,107.04,107.84,243667,0
2015-01-16,107.33,108.54,106.71,107.59,364687,0
2015-01-20,108.71,108.71,106.78,108.08,497008,0
2015-01-21,107.8,108.68,106.88,107.76,318994,0
2015-01-22,108.25,108.76,106.83,108.52,362071,0
2015-01-23,108.34,109.95,108.29,109.02,202421,0
2015-01-26,109.02,110.09,108.36,110.08,266773,0
2015-01-27,108.64,109.53,108.3,109.05,195130,0
2015-01-28,109.72,109.74,107.89,108.26,144856,0
2015-01-29,108.48,109.25,107.34,109.16,139053,0
2015-01-30,108.73,109.05,106.44,106.9,214461,0
2015-02-02,106.98,107.7,104.85,106.89,225132,0
2015-02-03,107.31,108.21,106.49,107.75,293615,0
2015-02-04,107.26,108.23,106.84,107.27,184048,0
2015-02-05,107.45,108.41,106.36,108.14,155033,0
2015-02-06,108.24,109.12,107.2,107.83,236667,0
2015-02-09,107.36,107.4,106.39,106.75,153940,0
2015-02-10,107.06,107.77,106.17,107.46,302817,0
2015-02-11,107.39,109.26,107.39,108.62,297861,0
2015-02-12,109.29,109.29,108.18,108.91,218194,0
2015-02-13,108.78,109.64,108.38,109.36,191526,0
2015-02-17,110.12,111.77,109.85,111.73,304314,0
2015-02-18,111.81,113.56,111.33,113.45,357219,0
2015-02-19,113.1,113.52,112.5,113.35,293210,0
2015-02-20,115.06,117.28,113.02,117.23,544008,0
2015-02-23,118.26,120.11,117.41,118.61,710771,0
2015-02-24,118.61,120.05,118.55,120.02,422385,0
2015-02-25,119.94,120.07,117.51,118.06,441224,0
2015-02-26,118.15,118.92,117.16,118.28,168935,0
2015-02-27,118.14,119.54,117.96,119.07,186779,0
2015-03-02,118.86,120.34,118.86,120.27,163719,0
2015-03-03,119.51,120.21,119.06,119.78,204904,0
2015-03-04,118.94,119.94,118.24,118.57,241693,0
2015-03-05,118.84,119.59,118.14,119.34,199180,0
2015-03-06,119.69,119.69,117.45,118.06,186611,0
2015-03-09,118.03,118.39,117.34,118.24,150944,0
2015-03-10,117.31,118.47,116.46,117.3,229023,0
2015-03-11,117.52,117.65,116.45,116.8,209399,0
2015-03-12,117.4,118.33,116.84,117.41,270410,0
2015-03-13,117.03,117.78,115.43,116.38,276031,0
2015-03-16,116.99,117.9,116.92,117.49,280119,0
2015-03-17,117.41,117.67,116.68,117.29,209603,0
2015-03-18,117.12,117.67,116.65,117.19,393046,0
2015-03-19,117.16,117.59,116.75,117.32,265301,0
2015-03-20,117.83,117.83,117.03,117.39,430655,0
2015-03-23,117.27,117.59,116.74,117.12,349919,0
2015-03-24,116.86,118.73,116.68,118.4,436479,0
2015-03-25,118.73,119.29,117.46,117.57,270003,0
2015-03-26,117.39,117.39,115.81,116.61,308529,0
2015-03-27,116.61,117.67,116.38,117.3,195296,0
2015-03-30,118.03,118.85,117.01,118.43,274704,0
2015-03-31,118.27,118.63,117.52,118.23,689934,0
2015-04-01,117.93,118.86,116.32,117.03,251097,0
2015-04-02,117.16,119.18,116.94,118.15,349613,0
2015-04-06,117.64,119.4,117.64,119.1,545420,0
2015-04-07,119.94,119.94,118.33,118.34,159841,0
2015-04-08,118.31,118.86,117.92,118.39,191925,0
2015-04-09,118.21,118.86,117.96,118.86,160933,0
2015-04-10,118.92,119.24,117.92,118.55,131628,0
2015-04-13,118.49,119.25,118.09,118.36,170973,0
2015-04-14,117.88,118.27,116.71,117.19,517213,0
2015-04-15,117.31,117.82,116.5,116.93,330042,0
2015-04-16,117.1,117.42,116.29,117.42,270049,0
2015-04-17,117.05,117.62,116.43,117.58,220539,0
2015-04-20,117.64,119.12,117.64,118.91,182971,0
2015-04-21,119.49,120.16,118.6,120.12,340004,0
2015-04-22,119.91,120.49,119.15,120.38,138573,0
2015-04-23,120.27,122.1,120.11,121.17,315887,0
2015-04-24,121.57,122.7,120.46,122.3,509651,0
2015-04-27,122.27,122.32,119.87,120.63,362185,0
2015-04-28,120.3,121.1,118.79,120.65,228407,0
2015-04-29,120.52,120.87,118.27,119.31,338883,0
2015-04-30,119.13,121.78,119.13,120.32,414609,0
2015-05-01,120.62,121.43,118.76,119.98,298106,0
2015-05-04,119.93,121.95,119.87,121.93,350329,0
2015-05-05,121.17,122.31,120.02,120.4,429632,0
2015-05-06,120.79,120.79,119.35,120.08,323803,0
2015-05-07,119.72,120.99,119.23,120.15,401934,0
2015-05-08,121.21,121.82,120.45,121.62,560240,0
2015-05-11,121.33,122.76,121.33,122.59,285230,0
2015-05-12,121.93,124.39,121.48,123.76,573321,0
2015-05-13,123.78,124.7,122.9,124.21,513772,0
2015-05-14,124.86,127.1,124.07,126.84,785895,0
2015-05-15,126.5,126.74,125.65,125.95,707360,0
2015-05-18,125.56,126.67,125.45,126.21,229078,0
2015-05-19,126.55,127.03,125.17,125.59,320432,0
2015-05-20,125.2,126.22,124.83,125.26,287511,0
2015-05-21,125.34,126.64,124.72,126.48,265091,0
2015-05-22,127.37,127.82,126.46,127.29,248987,0
2015-05-26,126.66,127.36,124.78,125.05,283768,0
2015-05-27,125.57,126.77,124.9,126.57,181924,0
2015-05-28,125.67,127.25,125.67,126.37,317437,0
2015-05-29,125.91,127.13,125.59,126.31,233904,0
2015-06-01,126.32,127.39,125.27,126.95,214828,0
2015-06-02,126.69,126.83,125.71,126.59,145733,0
2015-06-03,126.38,127.25,126.37,126.66,257040,0
2015-06-04,126.65,127.18,126.23,127.11,354677,0
2015-06-05,127.08,129.5,126.32,128.73,887713,0
2015-06-08,128.41,129.64,127.84,128.25,296177,0
2015-06-09,128.44,128.91,127.45,128.63,327181,0
2015-06-10,129.0,129.64,128.67,129.22,311311,0
2015-06-11,129.5,130.61,128.82,129.25,204908,0
2015-06-12,128.92,128.99,127.64,128.45,194766,0
2015-06-15,127.95,128.62,126.68,128.52,180906,0
2015-06-16,128.77,129.32,128.13,129.09,238897,0
2015-06-17,129.5,130.34,128.78,129.94,195480,0
2015-06-18,130.36,130.98,129.85,130.75,246133,0
2015-06-19,131.13,132.13,130.71,131.87,347746,0
2015-06-22,132.48,133.23,132.06,133.11,259892,0
2015-06-23,132.95,134.23,132.65,133.42,273001,0
2015-06-24,133.26,134.33,131.84,132.37,336534,0
2015-06-25,132.85,133.16,131.51,132.04,273449,0
2015-06-26,132.44,134.71,131.97,134.18,496241,0
2015-06-29,133.18,134.36,132.39,132.56,297397,0
2015-06-30,133.54,134.3,132.27,132.9,191067,0
2015-07-01,133.47,133.94,132.91,133.72,377202,0
2015-07-02,133.76,133.92,132.46,133.3,300457,0
2015-07-06,132.87,135.32,132.87,134.98,514382,0
2015-07-07,135.51,135.51,132.95,134.32,393201,0
2015-07-08,133.61,134.83,131.36,132.41,614265,0
2015-07-09,133.4,134.08,131.88,131.96,161642,0
2015-07-10,133.45,133.61,132.33,133.39,146966,0
2015-07-13,134.56,135.66,133.9,135.56,162560,0
2015-07-14,135.36,136.25,134.78,135.27,246231,0
2015-07-15,135.01,135.39,133.91,134.33,442490,0
2015-07-16,135.12,135.12,133.71,133.92,222692,0
2015-07-17,134.1,134.38,132.99,134.27,283128,0
2015-07-20,134.34,135.11,133.39,134.77,241445,0
2015-07-21,134.92,135.64,134.71,135.33,207404,0
2015-07-22,134.9,136.57,134.9,136.06,257548,0
2015-07-23,136.24,136.86,135.5,135.91,200473,0
2015-07-24,135.64,136.37,135.18,135.37,287409,0
2015-07-27,134.78,135.58,134.36,134.95,209544,0
2015-07-28,135.1,136.27,134.21,136.17,293526,0
2015-07-29,136.24,137.85,135.67,137.62,344179,0
2015-07-30,136.39,136.39,130.82,130.89,488395,0
2015-07-31,131.98,132.47,130.76,131.47,391265,0
2015-08-03,131.62,132.59,130.01,130.72,190171,0
2015-08-04,130.72,131.56,130.02,130.54,104467,0
2015-08-05,131.19,131.97,130.32,131.45,181823,0
