Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,77.987,78.545,76.645,77.231,1110338,0
2015-01-05,76.591,76.902,75.186,75.456,1303835,0
2015-01-06,75.997,76.265,73.591,74.123,2235007,0
2015-01-07,74.268,75.296,74.007,75.213,1407067,0
2015-01-08,75.761,76.222,75.473,76.105,1355839,0
2015-01-09,76.158,76.367,74.933,75.523,1061603,0
2015-01-12,75.761,75.761,74.133,74.683,1077557,0
2015-01-13,75.608,76.401,74.296,74.799,1789350,0
2015-01-14,74.152,74.422,72.834,73.631,1740080,0
2015-01-15,73.636,74.016,72.709,72.97,1390089,0
2015-01-16,72.233,73.422,71.323,73.395,2301251,0
2015-01-20,73.78,74.061,72.637,73.268,1810032,0
2015-01-21,72.843,73.998,72.07,73.133,2540966,0
2015-01-22,73.674,75.286,72.943,74.889,2933411,0
2015-01-23,74.933,75.366,73.925,73.969,1238935,0
2015-01-26,73.726,76.745,73.221,74.673,1269017,0
2015-01-27,73.871,74.394,73.068,73.817,1492244,0
2015-01-28,72.918,72.933,71.323,71.352,3218923,0
2015-01-29,71.132,71.864,70.207,71.314,2614550,0
2015-01-30,70.422,71.882,70.24,70.89,3171636,0
2015-02-02,71.033,72.187,70.791,72.052,2116262,0
2015-02-03,72.592,73.196,71.216,73.171,1743253,0
2015-02-04,73.016,73.618,72.481,72.993,1240213,0
2015-02-05,73.448,74.016,73.068,73.618,1286512,0
2015-02-06,73.978,74.771,73.749,74.123,1866744,0
2015-02-09,73.978,73.978,73.212,73.347,1921464,0
2015-02-10,74.025,74.336,73.25,74.042,1229232,0
2015-02-11,73.852,74.187,73.618,73.935,1659730,0
2015-02-12,74.042,74.422,73.679,74.094,1611556,0
2015-02-13,74.152,74.575,73.871,74.249,1031273,0
2015-02-17,73.825,74.355,73.601,74.296,1147228,0
2015-02-18,73.944,74.169,73.268,73.582,958519,0
2015-02-19,74.025,75.339,73.196,74.717,2402563,0
2015-02-20,74.296,75.37,73.8,75.222,1672514,0
2015-02-23,75.087,75.151,74.239,74.827,1595578,0
2015-02-24,74.566,75.797,74.548,75.663,1420288,0
2015-02-25,75.059,75.601,74.978,75.213,1332327,0
2015-02-26,75.366,75.491,74.726,75.034,841063,0
2015-02-27,74.843,74.978,74.229,74.384,1598443,0
2015-03-02,74.296,75.095,74.169,75.095,1299001,0
2015-03-03,74.735,74.836,74.179,74.607,1012618,0
2015-03-04,74.025,74.49,73.745,74.229,1000736,0
2015-03-05,74.365,74.818,74.187,74.743,771430,0
2015-03-06,74.566,75.556,73.899,73.96,1488780,0
2015-03-09,74.025,74.709,73.988,74.48,992629,0
2015-03-10,73.692,73.852,73.086,73.086,1587942,0
2015-03-11,73.203,73.835,73.096,73.558,1397721,0
2015-03-12,73.9,75.314,73.656,75.161,1699645,0
2015-03-13,75.106,75.161,73.963,74.478,1384410,0
2015-03-16,75.113,75.713,75.106,75.704,1040817,0
2015-03-17,74.969,75.938,74.962,75.732,1170464,0
2015-03-18,75.668,76.329,74.986,76.02,1424022,0
2015-03-19,75.676,75.976,74.78,75.07,1460322,0
2015-03-20,75.386,76.32,75.07,76.121,3154230,0
2015-03-23,76.13,76.475,75.487,75.495,1556757,0
2015-03-24,75.369,75.767,75.096,75.395,1265687,0
2015-03-25,75.567,75.567,73.9,73.938,1026475,0
2015-03-26,73.267,74.273,73.201,73.558,1581361,0
2015-03-27,73.455,73.755,73.229,73.601,1270320,0
2015-03-30,74.036,74.582,73.909,74.08,1289851,0
2015-03-31,73.774,74.0,73.364,73.394,1624526,0
2015-04-01,73.549,74.098,73.032,73.954,1667868,0
2015-04-02,74.127,74.39,73.685,74.283,1050529,0
2015-04-06,73.693,74.633,73.364,74.428,1118825,0
2015-04-07,74.609,74.817,73.396,73.432,1329945,0
2015-04-08,73.738,75.03,73.58,74.881,2455942,0
2015-04-09,75.011,75.913,74.539,75.652,2115818,0
2015-04-10,75.512,75.718,74.861,75.224,1509156,0
2015-04-13,75.151,76.071,74.881,75.615,1696575,0
2015-04-14,75.141,76.507,74.909,76.238,1730592,0
2015-04-15,76.572,77.102,76.422,76.905,1350514,0
2015-04-16,76.552,77.313,76.126,77.151,2025117,0
2015-04-17,76.74,76.74,76.153,76.562,2084978,0
2015-04-20,76.86,77.583,76.86,77.102,1691740,0
2015-04-21,77.492,77.564,76.784,76.914,1630331,0
2015-04-22,77.521,77.521,75.396,76.72,2232555,0
2015-04-23,76.702,76.702,75.903,76.238,1775374,0
2015-04-24,76.209,76.793,76.014,76.702,1181024,0
2015-04-27,76.793,77.156,76.359,76.542,1088348,0
2015-04-28,76.256,76.905,75.884,76.892,1238611,0
2015-04-29,76.265,76.981,75.708,76.117,1475462,0
2015-04-30,75.728,76.321,75.104,75.411,1849115,0
2015-05-01,75.661,75.792,75.206,75.698,973808,0
2015-05-04,75.913,76.247,75.763,76.098,1081891,0
2015-05-05,75.718,76.293,75.448,75.606,1047873,0
2015-05-06,75.783,76.061,74.47,74.89,1207764,0
2015-05-07,74.843,75.206,74.583,75.011,2413092,0
2015-05-08,75.55,76.117,75.467,75.875,1231846,0
2015-05-11,75.988,76.265,75.783,75.848,1095238,0
2015-05-12,75.531,75.606,74.619,75.364,1079880,0
2015-05-13,75.113,75.563,74.89,75.411,1474447,0
2015-05-14,75.875,76.265,75.448,76.153,860451,0
2015-05-15,76.229,76.378,75.533,75.754,1689380,0
2015-05-18,75.708,76.48,75.689,76.293,770885,0
2015-05-19,76.46,76.637,75.948,76.126,1137047,0
2015-05-20,76.061,76.293,75.698,75.978,912578,0
2015-05-21,75.728,76.014,75.531,75.884,893606,0
2015-05-22,75.818,76.136,75.55,75.773,956152,0
2015-05-26,75.652,75.833,74.567,74.937,1511196,0
2015-05-27,75.281,75.8,74.919,75.494,1308711,0
2015-05-28,75.346,75.56,75.136,75.502,1068555,0
2015-05-29,75.271,75.502,74.928,74.956,1272754,0
2015-06-01,75.196,75.448,74.446,75.067,1386796,0
2015-06-02,74.697,74.881,74.149,74.576,1722794,0
2015-06-03,74.827,75.057,73.897,74.289,3011312,0
2015-06-04,73.961,74.249,73.337,73.571,1752875,0
2015-06-05,73.979,74.045,73.266,73.589,1406779,0
2015-06-08,73.441,73.944,72.977,73.024,1477292,0
2015-06-09,72.846,73.321,72.522,72.548,1888827,0
2015-06-10,73.024,73.396,72.921,73.266,1631914,0
2015-06-11,73.853,74.061,73.47,73.844,1584856,0
2015-06-12,73.649,73.713,73.077,73.246,1111543,0
2015-06-15,72.591,73.246,72.386,72.965,1674589,0
2015-06-16,72.872,73.741,72.611,73.668,1171110,0
2015-06-17,73.844,74.095,73.518,73.639,1288638,0
2015-06-18,73.901,74.77,73.901,74.469,1468297,0
2015-06-19,74.322,74.566,73.731,73.731,1980760,0
2015-06-22,74.135,74.629,73.77,73.94,1441029,0
2015-06-23,74.095,74.182,73.672,73.825,2003149,0
2015-06-24,73.853,74.182,73.572,73.619,1791260,0
2015-06-25,73.565,73.835,72.92,72.993,1569144,0
