Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,13.008,13.116,12.796,12.796,204403,0
2015-01-05,12.768,13.002,12.708,12.877,187638,0
2015-01-06,12.901,12.994,12.563,12.632,180741,0
2015-01-07,12.655,12.901,12.44,12.541,147340,0
2015-01-08,12.632,12.693,12.549,12.625,176002,0
2015-01-09,12.601,12.755,12.555,12.748,154979,0
2015-01-12,12.806,12.893,12.639,12.67,139909,0
2015-01-13,12.739,13.015,12.7,12.962,347998,0
2015-01-14,12.854,13.049,12.716,12.908,240203,0
2015-01-15,12.979,13.055,12.806,12.97,937875,0
2015-01-16,12.954,13.086,12.893,13.023,287088,0
2015-01-20,13.156,13.162,13.008,13.055,218423,0
2015-01-21,13.041,13.185,12.946,13.078,1049908,0
2015-01-22,13.138,13.146,12.908,13.049,186528,0
2015-01-23,13.049,13.049,12.924,13.049,148620,0
2015-01-26,13.049,13.485,12.984,13.447,431619,0
2015-01-27,13.329,13.546,13.223,13.538,406503,0
2015-01-28,13.53,13.538,13.162,13.27,290991,0
2015-01-29,13.237,13.575,13.223,13.515,160715,0
2015-01-30,13.575,13.614,13.354,13.415,256878,0
2015-02-02,13.462,13.462,13.276,13.455,409630,0
2015-02-03,13.538,13.663,13.345,13.663,177033,0
2015-02-04,13.583,13.63,13.276,13.309,576223,0
2015-02-05,13.401,13.583,13.27,13.438,183516,0
2015-02-06,13.467,13.614,13.354,13.538,221160,0
2015-02-09,13.567,13.622,13.401,13.592,253241,0
2015-02-10,13.622,13.622,13.283,13.447,366283,0
2015-02-11,13.462,13.554,13.156,13.283,284680,0
2015-02-12,13.315,13.614,13.3,13.592,196688,0
2015-02-13,13.683,13.683,13.53,13.646,210752,0
2015-02-17,13.701,13.701,13.438,13.663,152881,0
2015-02-18,13.63,13.683,13.508,13.663,215048,0
2015-02-19,13.691,13.691,13.467,13.622,231241,0
2015-02-20,13.562,13.663,13.508,13.575,216737,0
2015-02-23,13.508,13.663,13.485,13.663,149737,0
2015-02-24,13.669,13.669,13.53,13.6,159497,0
2015-02-25,13.708,14.198,13.63,14.198,367795,0
2015-02-26,14.235,14.282,14.029,14.183,246758,0
2015-02-27,14.235,14.235,14.09,14.227,357553,0
2015-03-02,14.275,14.275,14.122,14.198,338395,0
2015-03-03,14.122,14.198,13.89,14.129,226464,0
2015-03-04,14.061,14.137,13.915,14.005,188939,0
2015-03-05,13.961,14.021,13.883,13.915,243016,0
2015-03-06,13.915,14.036,13.798,14.021,149715,0
2015-03-09,13.967,14.075,13.791,13.876,195843,0
2015-03-10,13.928,14.068,13.713,13.721,123267,0
2015-03-11,13.767,13.907,13.607,13.729,243405,0
2015-03-12,13.721,13.859,13.622,13.708,88084,0
2015-03-13,13.654,13.907,13.607,13.747,196626,0
2015-03-16,13.753,13.844,13.654,13.713,130561,0
2015-03-17,13.674,13.837,13.654,13.691,99941,0
2015-03-18,13.637,13.876,13.63,13.747,125087,0
2015-03-19,13.683,13.945,13.683,13.814,68540,0
2015-03-20,13.907,13.907,13.798,13.814,512220,0
