Date,Open,High,Low,Close,Volume,OpenInt
2015-01-21,21.454,21.864,21.354,21.77,1881257,0
2015-01-22,21.947,23.11,21.809,22.475,2051265,0
2015-01-23,22.156,22.227,21.544,21.729,7103596,0
2015-01-26,21.643,22.519,21.625,21.735,2574968,0
2015-01-27,21.571,22.091,20.342,21.472,3318446,0
2015-01-28,21.07,22.317,21.054,21.178,2043881,0
2015-01-29,21.07,22.1,20.969,21.937,1471904,0
2015-01-30,21.78,22.056,21.498,21.625,911017,0
2015-02-02,21.253,21.729,21.079,21.525,1575034,0
2015-02-03,21.633,21.898,21.26,21.898,1012976,0
2015-02-04,21.563,22.007,21.446,21.828,1210174,0
2015-02-05,21.864,22.391,21.571,22.356,1160316,0
2015-02-06,22.237,22.619,21.908,22.007,653106,0
2015-02-09,22.064,22.383,21.61,21.89,513541,0
2015-02-10,21.864,22.191,21.743,22.126,495784,0
2015-02-11,22.056,22.309,21.864,22.036,299842,0
2015-02-12,22.036,22.173,21.845,22.126,996343,0
2015-02-13,22.255,22.721,21.972,22.291,781754,0
2015-02-17,22.418,22.692,21.871,21.898,353709,0
2015-02-18,21.991,22.117,21.854,21.982,550515,0
2015-02-19,21.763,22.309,21.763,21.963,749736,0
2015-02-20,21.854,22.291,21.828,21.999,536533,0
2015-02-23,22.091,22.435,21.871,21.999,726201,0
2015-02-24,22.081,22.265,21.653,21.789,859549,0
2015-02-25,21.789,21.947,21.69,21.729,657170,0
2015-02-26,21.789,21.991,21.68,21.753,1499252,0
2015-02-27,21.662,21.927,21.416,21.809,671049,0
2015-03-02,21.753,21.955,21.662,21.864,804976,0
2015-03-03,21.7,21.78,21.454,21.72,812437,0
2015-03-04,21.462,21.69,21.253,21.491,1060417,0
2015-03-05,21.544,21.963,21.507,21.78,266861,0
2015-03-06,21.729,21.77,21.317,21.436,960633,0
2015-03-09,21.554,22.056,21.244,21.963,600793,0
2015-03-10,21.854,22.546,21.498,21.729,970514,0
2015-03-11,21.72,21.999,21.563,21.61,523074,0
2015-03-12,21.653,22.233,21.581,21.663,325783,0
2015-03-13,21.729,21.883,21.61,21.672,451940,0
2015-03-16,21.653,21.93,21.534,21.553,441817,0
2015-03-17,21.534,21.911,21.404,21.601,397733,0
2015-03-18,21.672,22.397,21.571,21.994,424947,0
2015-03-19,21.744,22.068,21.618,21.94,557196,0
2015-03-20,21.966,22.223,21.811,21.911,1571230,0
2015-03-23,21.994,22.517,21.901,22.204,690755,0
2015-03-24,22.104,22.49,22.068,22.343,276366,0
2015-03-25,22.397,22.5,21.711,21.763,292585,0
2015-03-26,21.811,22.095,21.729,22.059,623484,0
2015-03-27,21.985,22.305,21.643,21.729,582776,0
2015-03-30,21.892,22.021,21.691,21.847,259495,0
2015-03-31,22.002,22.002,21.701,21.772,882108,0
2015-04-01,21.691,21.901,21.633,21.772,589090,0
2015-04-02,21.729,21.865,21.581,21.721,380643,0
2015-04-06,21.61,22.095,21.61,22.068,1122012,0
2015-04-07,22.021,22.314,21.791,21.901,311397,0
2015-04-08,21.873,22.131,21.763,21.994,256339,0
2015-04-09,22.05,22.113,21.462,21.772,346678,0
2015-04-10,21.772,22.261,21.763,22.04,408617,0
2015-04-13,21.958,22.177,21.856,21.856,936860,0
2015-04-14,21.911,22.068,21.711,21.975,130075,0
2015-04-15,21.949,22.204,21.721,21.791,290831,0
2015-04-16,21.729,21.782,21.377,21.701,190490,0
2015-04-17,21.601,21.763,21.506,21.653,122454,0
2015-04-20,21.711,21.711,21.497,21.601,417286,0
2015-04-21,21.618,21.735,21.524,21.672,158373,0
2015-04-22,21.633,21.672,21.414,21.653,282688,0
2015-04-23,21.625,21.729,21.453,21.581,129530,0
2015-04-24,21.553,21.735,21.471,21.497,104385,0
2015-04-27,21.49,21.543,21.284,21.377,234133,0
2015-04-28,21.334,21.48,21.084,21.344,288339,0
2015-04-29,21.259,21.352,20.955,21.065,664956,0
2015-04-30,20.919,21.049,20.569,20.791,325456,0
2015-05-01,20.762,20.929,20.488,20.672,673119,0
2015-05-04,20.707,20.955,20.579,20.643,224554,0
2015-05-05,20.543,20.598,20.039,20.157,326437,0
2015-05-06,20.174,20.231,19.844,20.111,717256,0
2015-05-07,20.001,20.652,20.001,20.182,1043883,0
2015-05-08,20.423,20.681,20.267,20.303,540760,0
2015-05-11,20.56,20.643,19.742,19.991,1080323,0
2015-05-12,20.063,20.221,19.837,20.02,519970,0
2015-05-13,20.001,20.267,19.837,19.881,625880,0
2015-05-14,20.091,20.267,19.889,20.192,427666,0
2015-05-15,20.267,20.488,20.192,20.349,1109590,0
2015-05-18,20.267,20.506,20.174,20.379,433141,0
2015-05-19,20.379,20.469,20.211,20.386,817560,0
2015-05-20,20.369,20.533,20.303,20.404,206268,0
2015-05-21,20.349,20.432,20.211,20.321,378467,0
2015-05-22,20.33,20.543,20.192,20.321,682047,0
2015-05-26,20.231,20.349,20.101,20.192,719543,0
2015-05-27,20.174,20.33,20.14,20.303,602040,0
2015-05-28,20.276,20.369,20.111,20.202,419458,0
2015-05-29,20.174,20.293,19.698,19.844,1239567,0
2015-06-01,19.881,20.131,19.727,20.039,511261,0
2015-06-02,19.946,20.131,19.817,20.101,336635,0
2015-06-03,20.039,20.121,19.946,20.046,521167,0
2015-06-04,19.971,20.202,19.871,20.14,469138,0
2015-06-05,20.029,20.148,19.769,20.101,565032,0
2015-06-08,19.853,20.258,19.808,20.182,357023,0
2015-06-09,20.121,20.24,19.962,20.01,286529,0
2015-06-10,20.029,20.34,20.029,20.293,358872,0
2015-06-11,20.33,20.525,20.285,20.525,307262,0
2015-06-12,20.814,20.832,20.481,20.805,333188,0
2015-06-15,20.685,20.897,20.276,20.415,427031,0
2015-06-16,20.38,20.515,20.239,20.35,738432,0
2015-06-17,20.451,20.738,20.285,20.685,327364,0
2015-06-18,20.748,20.979,20.729,20.935,325638,0
2015-06-19,21.063,21.147,20.702,20.767,1341817,0
2015-06-22,20.97,21.193,20.646,20.656,535434,0
2015-06-23,20.646,20.787,20.38,20.72,651264,0
2015-06-24,20.729,20.832,20.37,20.424,418616,0
2015-06-25,20.461,20.461,20.156,20.201,616222,0
2015-06-26,20.191,20.191,19.905,19.969,5992548,0
2015-06-29,19.988,20.499,19.378,19.387,977780,0
2015-06-30,19.471,19.488,19.117,19.274,912714,0
2015-07-01,19.32,19.395,19.088,19.368,716212,0
2015-07-02,19.451,19.692,19.293,19.451,561858,0
2015-07-06,19.395,19.542,19.248,19.451,483658,0
2015-07-07,19.488,19.756,19.359,19.702,360696,0
2015-07-08,19.654,19.721,19.48,19.514,570919,0
2015-07-09,19.702,19.737,19.461,19.488,394779,0
2015-07-10,19.635,19.822,19.461,19.672,446767,0
2015-07-13,19.813,19.905,19.654,19.832,427139,0
2015-07-14,19.774,19.959,19.711,19.886,436147,0
