Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,0.87,0.88,0.85,0.85,195636,0
2015-01-05,0.87,0.9,0.85,0.85,285639,0
2015-01-06,0.85,0.87,0.85,0.85,193630,0
2015-01-07,0.85,0.87,0.84,0.86,368634,0
2015-01-08,0.86,0.89,0.86,0.88,250593,0
2015-01-09,0.86,0.9,0.85,0.86,125037,0
2015-01-12,0.85,0.88,0.85,0.85,144525,0
2015-01-13,0.85,0.87,0.83,0.84,240275,0
2015-01-14,0.82,0.84,0.78,0.83,719600,0
2015-01-15,0.83,0.84,0.78,0.8,163239,0
2015-01-16,0.81,0.83,0.79,0.83,95407,0
2015-01-20,0.81,0.83,0.79,0.82,158422,0
2015-01-21,0.82,0.83,0.8,0.81,124781,0
2015-01-22,0.81,0.81,0.79,0.79,195566,0
2015-01-23,0.81,0.81,0.77,0.78,271277,0
2015-01-26,0.77,0.81,0.77,0.8,172018,0
2015-01-27,0.8,0.8,0.79,0.8,173128,0
2015-01-28,0.79,0.81,0.78,0.78,286971,0
2015-01-29,0.81,0.81,0.77,0.8,279572,0
2015-01-30,0.77,0.78,0.75,0.76,328406,0
2015-02-02,0.78,0.8,0.76,0.8,193172,0
2015-02-03,0.79,0.83,0.78,0.82,285958,0
2015-02-04,0.8,0.82,0.78,0.8,70410,0
2015-02-05,0.81,0.85,0.81,0.85,213621,0
2015-02-06,0.86,0.92,0.85,0.89,791667,0
2015-02-09,0.86,0.92,0.86,0.91,202292,0
2015-02-10,0.91,0.92,0.89,0.9,221199,0
2015-02-11,0.9,0.9,0.85,0.86,180708,0
2015-02-12,0.88,0.89,0.86,0.87,77608,0
2015-02-13,0.87,0.89,0.87,0.88,81474,0
2015-02-17,0.86,0.95,0.86,0.94,531676,0
2015-02-18,0.94,0.96,0.92,0.94,106922,0
2015-02-19,0.91,0.92,0.89,0.9,207951,0
2015-02-20,0.89,0.93,0.89,0.93,105868,0
2015-02-23,0.93,0.93,0.88,0.91,237113,0
