Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,5.8778,6.0709,5.8502,6.0158,35108,0
2015-01-05,6.0342,6.0709,5.8964,5.9329,25469,0
2015-01-06,5.9238,5.9514,5.5558,5.5743,45394,0
2015-01-07,5.5835,5.611,5.4547,5.4731,35275,0
2015-01-08,5.4547,5.519,5.3902,5.4547,33594,0
2015-01-09,5.4547,5.464,5.3718,5.4547,18204,0
2015-01-12,5.4271,5.4271,5.1695,5.2429,32406,0
2015-01-13,5.234,5.2523,5.1603,5.2429,25054,0
2015-01-14,5.1878,5.1878,5.0775,5.1603,24741,0
2015-01-15,5.0685,5.1328,5.0685,5.1145,15500,0
2015-01-16,5.0592,5.1603,5.0592,5.142,25496,0
2015-01-20,4.9949,5.0499,4.8568,4.8935,54728,0
2015-01-21,4.8201,4.8935,4.7924,4.8844,16537,0
2015-01-22,4.8844,5.0775,4.8844,5.0775,16875,0
2015-01-23,5.0775,5.0867,5.0317,5.0867,10079,0
2015-01-26,5.1233,5.3261,5.0775,5.3073,34456,0
2015-01-27,5.381,5.381,5.1328,5.3169,25984,0
2015-01-28,5.3169,5.4087,5.2706,5.4087,29104,0
2015-01-29,5.3351,5.3718,5.2429,5.2429,6008,0
2015-01-30,5.2983,5.3351,5.2429,5.2616,10916,0
2015-02-02,5.2429,5.2429,5.0499,5.1052,23755,0
2015-02-03,5.096,5.3718,5.096,5.3626,21824,0
2015-02-04,5.2706,5.4363,5.1787,5.2523,10352,0
2015-02-05,5.2155,5.4179,5.2065,5.4087,13185,0
2015-02-06,5.4087,5.4087,5.3073,5.3261,29969,0
2015-02-09,5.28,5.4822,5.2065,5.4363,35111,0
2015-02-10,5.4731,5.6201,5.3169,5.3351,46072,0
2015-02-11,5.2429,5.3902,5.2429,5.3902,17963,0
2015-02-12,5.5097,5.5284,5.3995,5.5008,17496,0
2015-02-13,5.5467,5.5467,5.3995,5.4363,28507,0
2015-02-17,5.4455,5.7029,5.4179,5.6294,18596,0
2015-02-18,5.6201,5.7307,5.5743,5.6571,26813,0
2015-02-19,5.6294,5.8778,5.6294,5.8778,27313,0
2015-02-20,5.8595,5.8964,5.795,5.8964,24903,0
2015-02-23,5.8502,5.8869,5.7766,5.8225,30100,0
2015-02-24,5.7859,5.8225,5.7307,5.8043,28483,0
2015-02-25,5.8043,5.8778,5.795,5.8502,21215,0
2015-02-26,5.841,5.8869,5.6755,5.8595,34725,0
2015-02-27,5.9055,5.9055,5.7583,5.7583,8520,0
2015-03-02,5.7674,5.8778,5.7674,5.8778,19134,0
2015-03-03,5.8043,5.841,5.7583,5.7766,19786,0
2015-03-04,5.7583,5.795,5.7214,5.7674,22068,0
2015-03-05,5.7766,5.8136,5.7306,5.8044,23275,0
2015-03-06,5.7766,5.8412,5.7491,5.7951,25034,0
2015-03-09,5.8227,5.8412,5.7306,5.7306,19397,0
2015-03-10,5.7029,5.7674,5.6568,5.6568,13979,0
2015-03-11,5.6844,5.6936,5.5551,5.6383,15606,0
2015-03-12,5.6568,5.7029,5.6012,5.6844,9646,0
2015-03-13,5.6752,5.7029,5.5922,5.5922,20913,0
2015-03-16,5.5551,5.6568,5.4446,5.583,49849,0
2015-03-17,5.6012,5.7029,5.5645,5.6289,30992,0
2015-03-18,5.6012,5.666,5.4259,5.5277,84093,0
2015-03-19,5.5182,5.5922,5.4722,5.4905,41290,0
2015-03-20,5.4722,5.5368,5.3614,5.389,79866,0
2015-03-23,5.3982,5.5277,5.2783,5.343,44647,0
2015-03-24,5.2969,5.4722,5.2969,5.306,28394,0
2015-03-25,5.343,5.5182,5.306,5.306,30560,0
2015-03-26,5.3522,5.5645,5.2783,5.3982,31860,0
2015-03-27,5.3982,5.6844,5.3982,5.6475,123431,0
2015-03-30,5.6289,5.7212,5.6105,5.6936,59276,0
2015-03-31,5.7029,5.786,5.666,5.7491,39859,0
2015-04-01,5.6844,5.9798,5.6844,5.832,60684,0
2015-04-02,5.6936,5.8873,5.6936,5.8598,21349,0
2015-04-06,5.8782,5.906,5.7674,5.906,21892,0
2015-04-07,5.8598,5.906,5.8412,5.8689,24162,0
2015-04-08,5.8598,5.8689,5.8136,5.8598,20265,0
2015-04-09,5.8873,6.0257,5.8136,5.8782,70661,0
2015-04-10,5.8689,5.9798,5.8227,5.8689,28285,0
2015-04-13,5.9243,6.0443,5.9151,6.0351,26876,0
2015-04-14,6.0443,6.0443,5.9706,5.9981,19831,0
2015-04-15,5.9611,6.0443,5.8966,5.9611,39940,0
2015-04-16,6.0166,6.1643,5.9611,6.0904,67818,0
2015-04-17,6.0811,6.0904,5.9334,5.9427,33378,0
2015-04-20,5.9519,6.3395,5.9334,6.2195,173842,0
2015-04-21,6.1827,6.3395,6.1274,6.2104,85233,0
2015-04-22,6.229,6.3118,6.1274,6.192,18758,0
2015-04-23,6.3028,6.3581,6.2011,6.2104,41395,0
2015-04-24,6.229,6.229,6.1366,6.2104,15449,0
2015-04-27,6.1734,6.2657,6.1643,6.2657,22757,0
2015-04-28,6.2841,6.2841,5.9706,6.1181,38687,0
2015-04-29,6.0904,6.229,6.0904,6.192,19397,0
2015-04-30,6.0533,6.2011,5.9798,6.0257,27417,0
2015-05-01,5.9981,6.1457,5.9981,6.0996,21240,0
2015-05-04,6.0811,6.1734,6.0533,6.1551,11379,0
2015-05-05,6.1274,6.1274,5.9706,5.9981,23083,0
2015-05-06,6.0811,6.0811,5.9981,6.0074,14377,0
2015-05-07,6.0257,6.0719,5.8505,6.0257,28122,0
2015-05-08,6.0074,6.0074,5.7951,5.9611,32944,0
2015-05-11,5.8873,5.9519,5.8044,5.9334,17013,0
2015-05-12,5.8136,6.0811,5.8136,6.0166,11105,0
2015-05-13,6.0719,6.0719,5.9519,5.9981,20481,0
2015-05-14,6.0351,6.0351,5.9334,5.9427,24707,0
2015-05-15,5.9981,6.0443,5.8689,6.0257,16554,0
2015-05-18,5.9889,6.1551,5.8873,6.0996,73975,0
2015-05-19,6.0443,6.1457,5.9611,6.0443,64587,0
2015-05-20,5.9981,6.0904,5.9981,6.0074,13764,0
2015-05-21,6.0629,6.1181,5.8782,5.8873,29909,0
2015-05-22,5.8873,5.9151,5.7951,5.8227,22975,0
2015-05-26,5.7212,5.9889,5.6289,5.7491,85947,0
2015-05-27,5.6936,5.8598,5.6936,5.7029,23515,0
2015-05-28,5.7029,5.9151,5.7029,5.8505,47988,0
2015-05-29,5.8782,6.0443,5.832,5.8966,39122,0
2015-06-01,5.8966,5.9519,5.786,5.8136,18075,0
2015-06-02,5.786,5.9798,5.7766,5.8782,30005,0
2015-06-03,5.8873,5.8873,5.7491,5.7766,21892,0
2015-06-04,5.7674,5.8229,5.721,5.7396,17067,0
2015-06-05,5.7396,5.8229,5.7119,5.7766,17715,0
2015-06-08,5.8044,5.8229,5.721,5.7304,10046,0
2015-06-09,5.7952,5.8137,5.7304,5.7396,11917,0
2015-06-10,5.7674,5.8229,5.7582,5.8137,11470,0
2015-06-11,5.8137,5.9896,5.6933,5.9433,55164,0
2015-06-12,5.9339,5.9339,5.9064,5.9064,10802,0
2015-06-15,6.11,6.7766,6.0637,6.5729,385093,0
2015-06-16,6.5635,6.7858,6.2487,6.4618,422470,0
2015-06-17,6.4061,6.619,6.2951,6.4802,96572,0
2015-06-18,6.4894,6.5452,6.2951,6.4433,82420,0
2015-06-19,6.397,6.4248,6.2209,6.2951,48177,0
2015-06-22,6.3229,6.3784,6.1654,6.2025,77451,0
2015-06-23,6.2304,6.2951,6.1654,6.2487,65275,0
2015-06-24,6.2672,6.2672,5.9524,6.0729,53578,0
2015-06-25,6.11,6.1284,5.9804,6.1284,157926,0
2015-06-26,6.1378,6.1469,5.6748,5.8692,1356634,0
2015-06-29,5.9433,5.9617,5.5452,5.6099,113637,0
2015-06-30,5.536,5.6933,5.2212,5.2398,171413,0
2015-07-01,5.2491,5.2768,4.8231,4.9157,183851,0
2015-07-02,4.9157,4.9528,4.6658,4.6842,82313,0
2015-07-06,4.6473,4.7491,4.2585,4.4621,241318,0
2015-07-07,4.1752,4.4158,4.1103,4.3601,231922,0
2015-07-08,4.3232,4.3973,4.1936,4.2399,68268,0
