Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,10.677,10.739,10.677,10.739,159347,0
2015-01-05,10.755,10.829,10.73,10.822,200588,0
2015-01-06,10.838,10.916,10.838,10.863,98967,0
2015-01-07,10.89,10.971,10.872,10.951,120413,0
2015-01-08,10.934,10.941,10.872,10.934,170275,0
2015-01-09,10.89,10.998,10.89,10.971,183504,0
2015-01-12,10.996,11.056,10.996,11.033,99597,0
2015-01-13,11.05,11.084,11.033,11.084,129518,0
2015-01-14,11.084,11.127,11.065,11.119,166360,0
2015-01-15,11.127,11.228,11.101,11.173,282012,0
2015-01-16,11.173,11.228,11.135,11.157,463719,0
2015-01-20,11.193,11.228,11.101,11.11,81478,0
2015-01-21,11.144,11.144,11.084,11.127,80399,0
2015-01-22,11.135,11.149,11.127,11.149,137758,0
2015-01-23,11.165,11.183,11.149,11.149,52208,0
2015-01-26,11.173,11.173,11.11,11.11,157266,0
2015-01-27,11.149,11.183,11.149,11.183,96624,0
2015-01-28,11.183,11.287,11.183,11.287,152840,0
2015-01-29,11.271,11.33,11.238,11.279,176777,0
2015-01-30,11.336,11.353,11.287,11.287,213508,0
2015-02-02,11.312,11.362,11.287,11.296,193341,0
2015-02-03,11.303,11.312,11.261,11.312,106891,0
2015-02-04,11.279,11.279,11.165,11.193,185492,0
2015-02-05,11.193,11.219,11.157,11.157,138310,0
2015-02-06,11.119,11.165,11.11,11.144,96188,0
2015-02-09,11.144,11.144,11.092,11.11,121099,0
2015-02-10,11.084,11.101,11.006,11.006,146219,0
2015-02-11,11.004,11.021,10.902,10.931,190158,0
2015-02-12,10.902,10.947,10.902,10.947,120987,0
2015-02-13,10.96,10.96,10.885,10.902,181586,0
2015-02-17,10.911,10.911,10.732,10.742,202796,0
2015-02-18,10.773,10.851,10.742,10.851,150418,0
2015-02-19,10.842,10.955,10.79,10.808,167436,0
2015-02-20,10.833,10.902,10.825,10.842,110237,0
2015-02-23,10.885,10.893,10.851,10.851,138659,0
2015-02-24,10.857,10.893,10.817,10.893,170062,0
2015-02-25,10.911,10.938,10.876,10.885,182220,0
2015-02-26,10.921,10.921,10.817,10.842,247118,0
2015-02-27,10.876,10.902,10.842,10.893,407501,0
2015-03-02,10.911,10.921,10.876,10.893,135898,0
2015-03-03,10.893,10.931,10.833,10.857,111804,0
2015-03-04,10.866,10.947,10.866,10.947,108531,0
2015-03-05,10.938,10.947,10.902,10.931,99524,0
2015-03-06,10.885,10.893,10.781,10.817,127826,0
2015-03-09,10.842,10.866,10.798,10.866,77655,0
2015-03-10,10.866,10.911,10.857,10.902,128998,0
2015-03-11,10.919,10.919,10.831,10.849,109697,0
2015-03-12,10.9,10.9,10.815,10.815,69448,0
2015-03-13,10.805,10.84,10.805,10.831,66425,0
2015-03-16,10.831,10.849,10.787,10.84,145174,0
2015-03-17,10.823,10.823,10.747,10.755,93177,0
2015-03-18,10.755,10.929,10.755,10.929,96671,0
2015-03-19,10.9,10.919,10.805,10.849,96671,0
2015-03-20,10.892,10.929,10.849,10.919,137036,0
2015-03-23,10.945,10.953,10.874,10.9,78171,0
2015-03-24,10.9,10.937,10.849,10.929,94573,0
2015-03-25,10.929,10.953,10.892,10.909,83293,0
2015-03-26,10.919,10.929,10.865,10.874,89458,0
2015-03-27,10.9,10.966,10.892,10.96,78057,0
2015-03-30,10.953,10.953,10.892,10.919,82942,0
2015-03-31,10.937,11.003,10.9,11.003,149378,0
2015-04-01,11.03,11.055,11.011,11.03,98994,0
2015-04-02,11.011,11.03,10.945,10.96,68866,0
2015-04-06,10.994,11.011,10.96,10.96,47111,0
2015-04-07,10.984,11.011,10.966,10.975,90933,0
2015-04-08,11.003,11.011,10.96,10.96,92944,0
2015-04-09,10.983,11.01,10.917,10.952,106938,0
2015-04-10,10.952,10.973,10.907,10.907,98578,0
2015-04-13,10.927,10.964,10.881,10.898,79722,0
2015-04-14,10.952,11.001,10.943,11.001,83192,0
2015-04-15,11.018,11.018,10.943,10.959,123516,0
2015-04-16,10.959,10.992,10.943,10.959,85278,0
2015-04-17,10.943,10.964,10.943,10.959,56463,0
2015-04-20,10.973,11.001,10.959,10.973,47226,0
2015-04-21,10.983,10.992,10.943,10.959,69106,0
2015-04-22,10.952,10.964,10.907,10.959,148161,0
2015-04-23,10.959,10.983,10.959,10.959,146833,0
2015-04-24,10.952,10.973,10.952,10.959,118288,0
2015-04-27,10.943,10.983,10.943,10.959,123111,0
2015-04-28,10.964,11.018,10.959,11.018,76483,0
2015-04-29,10.983,10.983,10.959,10.964,88864,0
2015-04-30,10.973,10.992,10.936,10.943,125889,0
2015-05-01,10.964,10.973,10.871,10.89,135727,0
2015-05-04,10.898,10.907,10.828,10.871,175643,0
2015-05-05,10.871,10.89,10.838,10.89,94185,0
2015-05-06,10.881,10.881,10.76,10.784,137432,0
2015-05-07,10.784,10.802,10.753,10.802,101012,0
2015-05-08,10.854,10.854,10.82,10.854,59588,0
2015-05-11,10.879,10.879,10.724,10.724,118187,0
2015-05-12,10.715,10.724,10.637,10.715,158748,0
2015-05-13,10.733,10.742,10.654,10.679,120950,0
2015-05-14,10.715,10.774,10.706,10.742,68933,0
