Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,65.276,66.718,65.019,65.805,998813,0
2015-01-05,65.128,65.227,63.684,63.985,913206,0
2015-01-06,63.881,64.97,63.152,63.843,703936,0
2015-01-07,64.155,65.168,63.917,65.048,541867,0
2015-01-08,65.688,67.437,65.638,67.084,1407938,0
2015-01-09,67.2,67.378,66.426,67.094,860777,0
2015-01-12,66.886,67.25,66.101,67.054,1153082,0
2015-01-13,67.809,67.878,65.158,66.18,989891,0
2015-01-14,65.188,66.699,64.225,66.553,822992,0
2015-01-15,66.946,67.084,64.785,65.058,1037498,0
2015-01-16,65.098,66.161,65.009,65.718,1513286,0
2015-01-20,65.863,66.277,64.96,65.815,1044095,0
2015-01-21,65.541,66.846,65.188,66.787,872354,0
2015-01-22,67.546,68.772,66.562,68.693,1825651,0
2015-01-23,68.644,69.136,67.967,68.516,1130073,0
2015-01-26,68.605,69.334,67.838,69.284,841618,0
2015-01-27,68.194,69.195,67.731,68.999,1193874,0
2015-01-28,69.676,69.704,68.762,68.802,1361116,0
2015-01-29,69.047,70.304,68.311,70.09,1352376,0
2015-01-30,69.441,70.491,68.624,69.274,1168665,0
2015-02-02,69.923,70.63,68.872,70.188,1331563,0
2015-02-03,70.737,70.737,69.943,70.561,1278825,0
2015-02-04,70.001,71.642,69.833,70.217,1569135,0
2015-02-05,72.084,74.038,71.828,72.713,2167910,0
2015-02-06,73.223,75.64,72.997,73.912,2702275,0
2015-02-09,73.892,75.464,73.842,74.835,1631592,0
2015-02-10,75.561,76.78,75.474,76.399,1809881,0
2015-02-11,76.16,77.911,76.13,76.632,1771949,0
2015-02-12,77.103,78.479,76.889,78.016,1278503,0
2015-02-13,78.263,78.587,77.614,78.469,1115398,0
2015-02-17,78.499,79.471,78.273,79.345,926872,0
2015-02-18,79.226,79.778,78.921,79.649,586520,0
2015-02-19,79.559,80.797,79.266,79.834,865628,0
2015-02-20,79.825,79.983,78.518,79.559,1016426,0
2015-02-23,79.589,79.768,78.479,78.815,1070629,0
2015-02-24,78.96,79.679,78.666,79.316,983802,0
2015-02-25,79.462,81.241,79.216,81.037,1831447,0
2015-02-26,81.648,82.128,80.889,81.047,1313289,0
2015-02-27,81.047,81.832,80.869,81.648,866795,0
2015-03-02,82.148,83.16,81.409,83.121,1206178,0
2015-03-03,82.728,83.417,82.09,83.388,1366900,0
2015-03-04,82.906,83.603,82.629,83.219,1865842,0
2015-03-05,83.358,83.969,83.072,83.583,1180561,0
2015-03-06,83.14,84.4,82.965,83.368,1697292,0
2015-03-09,83.68,83.68,82.748,82.975,1821519,0
2015-03-10,82.265,82.412,81.066,81.086,1100249,0
2015-03-11,81.231,82.07,80.929,81.881,901711,0
2015-03-12,82.363,83.91,82.265,83.71,1160533,0
2015-03-13,83.534,83.563,82.482,83.228,929260,0
2015-03-16,83.238,83.969,83.238,83.72,728587,0
2015-03-17,83.18,84.202,83.14,83.71,739464,0
2015-03-18,83.238,84.843,82.629,84.371,774231,0
2015-03-19,84.172,84.48,82.59,82.827,945426,0
2015-03-20,83.238,83.86,82.639,82.679,1278662,0
2015-03-23,82.679,83.85,82.57,82.936,1102792,0
2015-03-24,83.101,84.115,82.827,83.75,1455446,0
2015-03-25,84.086,84.616,82.57,82.57,1135426,0
2015-03-26,82.099,82.945,81.667,82.639,750647,0
2015-03-27,82.422,83.248,82.422,82.797,574776,0
2015-03-30,83.199,84.242,83.121,83.998,611375,0
2015-03-31,83.613,84.076,82.926,82.926,861480,0
2015-04-01,82.985,83.082,82.099,82.846,1168972,0
2015-04-02,82.787,83.623,82.295,82.936,885242,0
2015-04-06,82.689,83.661,82.679,83.091,611579,0
2015-04-07,83.121,83.437,81.763,81.871,1127931,0
2015-04-08,81.618,81.871,80.397,81.842,1494177,0
2015-04-09,81.479,82.246,80.968,81.439,780152,0
2015-04-10,81.734,82.295,81.194,81.981,799546,0
2015-04-13,81.648,82.207,80.77,81.676,869586,0
2015-04-14,82.886,82.995,81.174,81.891,1110620,0
2015-04-15,82.138,83.358,81.802,82.442,843548,0
2015-04-16,82.334,82.372,81.018,81.399,1167272,0
2015-04-17,80.682,81.251,79.964,80.593,1016586,0
2015-04-20,80.809,81.124,80.2,80.437,662627,0
2015-04-21,80.553,80.799,79.875,80.041,636034,0
2015-04-22,80.17,80.327,79.266,79.589,820476,0
2015-04-23,79.559,81.251,79.345,80.988,1068329,0
2015-04-24,81.104,82.128,80.779,82.108,1124323,0
2015-04-27,82.59,82.659,81.568,81.763,700734,0
2015-04-28,81.429,81.782,80.485,81.734,882031,0
2015-04-29,81.086,82.021,80.447,81.715,735906,0
2015-04-30,81.725,84.824,81.725,84.125,1969533,0
2015-05-01,84.714,87.124,84.291,86.89,1890443,0
2015-05-04,86.802,88.108,86.535,86.662,1893086,0
2015-05-05,84.145,86.092,83.338,84.105,1802814,0
2015-05-06,85.069,86.564,83.77,85.925,1013838,0
2015-05-07,85.532,88.464,85.424,88.041,1446103,0
2015-05-08,88.532,89.614,88.206,88.994,962808,0
2015-05-11,88.66,90.294,88.512,89.802,994017,0
2015-05-12,89.172,89.702,88.68,88.756,1059808,0
2015-05-13,89.092,90.036,88.65,89.386,1113051,0
2015-05-14,90.075,91.336,89.299,91.207,1124242,0
2015-05-15,91.306,91.552,89.948,90.489,875140,0
2015-05-18,90.055,91.031,90.055,90.675,912755,0
2015-05-19,90.695,91.227,90.391,90.834,863741,0
2015-05-20,90.884,90.884,90.105,90.44,523622,0
2015-05-21,90.459,90.834,89.947,90.45,554350,0
2015-05-22,90.695,91.297,90.134,90.184,592328,0
2015-05-26,89.524,90.194,88.549,88.904,1165469,0
