Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,99.74,100.97,98.4,100.31,381584,0
2015-01-05,98.91,99.16,95.59,96.01,527946,0
2015-01-06,96.02,96.88,91.95,94.0,602491,0
2015-01-07,94.91,96.0,93.75,95.66,524060,0
2015-01-08,96.64,99.03,96.29,98.46,415160,0
2015-01-09,98.77,100.35,98.0,98.81,755585,0
2015-01-12,98.53,99.25,95.7,96.99,332655,0
2015-01-13,98.01,98.37,95.98,96.94,431298,0
2015-01-14,95.71,97.61,95.23,97.23,266642,0
2015-01-15,96.87,97.66,93.3,93.46,350909,0
2015-01-16,91.62,94.29,90.75,93.24,822500,0
2015-01-20,93.15,93.7,91.72,92.54,367355,0
2015-01-21,92.14,93.45,90.92,91.47,517140,0
2015-01-22,92.02,93.49,91.34,91.64,816790,0
2015-01-23,91.5,94.76,91.45,94.13,290986,0
2015-01-26,94.12,95.63,93.03,95.37,233506,0
2015-01-27,93.89,95.0,93.35,94.36,265224,0
2015-01-28,95.11,95.11,91.82,92.16,269506,0
2015-01-29,92.18,93.36,91.0,93.08,295306,0
2015-01-30,92.34,92.86,91.45,92.05,433582,0
2015-02-02,92.25,94.21,91.2,93.94,500112,0
2015-02-03,95.15,99.29,95.15,98.99,514828,0
2015-02-04,98.61,99.32,96.53,97.2,380251,0
2015-02-05,97.14,98.13,96.71,98.06,324660,0
2015-02-06,97.91,100.04,97.39,98.09,478009,0
2015-02-09,96.92,100.32,94.69,99.49,637741,0
2015-02-10,100.58,100.58,97.05,98.77,774367,0
2015-02-11,98.71,100.85,98.49,100.32,457059,0
2015-02-12,101.42,104.11,101.12,104.06,585222,0
2015-02-13,104.19,104.85,103.5,104.53,333311,0
2015-02-17,104.5,106.66,103.71,106.55,479999,0
2015-02-18,106.12,106.95,105.41,105.79,311693,0
2015-02-19,105.1,105.78,102.85,103.57,549434,0
2015-02-20,103.42,105.11,102.22,104.98,262111,0
2015-02-23,104.72,104.81,103.75,104.75,210679,0
2015-02-24,104.89,105.75,104.15,105.64,241027,0
2015-02-25,105.77,107.23,105.19,107.07,408725,0
2015-02-26,106.78,107.55,105.91,107.04,320681,0
2015-02-27,107.15,107.78,106.31,106.99,305119,0
2015-03-02,106.89,108.53,106.67,107.57,283800,0
2015-03-03,107.12,107.61,105.77,106.63,228500,0
2015-03-04,106.01,106.64,105.24,106.04,195200,0
2015-03-05,106.36,107.11,105.66,106.87,188900,0
2015-03-06,105.85,107.06,103.81,103.96,242500,0
2015-03-09,104.09,105.56,104.03,104.71,336500,0
2015-03-10,104.05,104.36,102.7,102.88,289700,0
2015-03-11,102.85,103.7,102.51,103.59,332400,0
2015-03-12,104.29,106.26,103.51,106.11,207300,0
2015-03-13,105.75,105.75,102.65,103.75,199900,0
2015-03-16,104.12,105.79,103.17,104.03,247000,0
2015-03-17,103.66,103.93,102.27,102.7,464400,0
2015-03-18,102.31,105.33,102.11,104.59,466200,0
2015-03-19,104.03,105.5,103.45,103.91,434600,0
2015-03-20,105.01,107.62,104.08,107.22,533300,0
2015-03-23,107.22,107.45,105.41,105.53,253400,0
2015-03-24,105.04,105.38,103.96,104.04,232400,0
2015-03-25,104.3,105.09,101.1,101.63,402700,0
2015-03-26,101.59,104.83,101.13,104.4,523300,0
2015-03-27,104.4,105.21,103.87,104.87,250100,0
2015-03-30,105.63,107.81,104.99,107.56,322600,0
2015-03-31,106.64,107.9,106.28,107.36,252214,0
2015-04-01,107.01,107.96,105.97,107.92,338600,0
2015-04-02,107.94,108.44,106.26,106.46,190500,0
2015-04-06,105.51,108.19,105.14,107.84,188300,0
2015-04-07,107.76,108.36,106.95,107.95,211805,0
2015-04-08,108.07,109.27,107.43,107.82,370700,0
2015-04-09,107.92,108.62,106.23,108.45,260171,0
2015-04-10,108.83,110.28,108.22,110.11,319200,0
2015-04-13,110.16,111.12,108.93,109.09,193700,0
2015-04-14,109.62,109.84,107.5,109.79,171200,0
2015-04-15,110.3,112.68,109.93,111.99,258719,0
2015-04-16,111.75,111.75,109.71,110.49,245025,0
2015-04-17,109.25,109.68,107.98,108.47,217400,0
2015-04-20,108.89,111.76,108.67,109.99,187241,0
2015-04-21,110.85,111.35,109.48,110.75,180833,0
