Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,9.1432,9.222,9.0633,9.1913,55168,0
2015-01-05,9.1346,9.222,9.0633,9.0962,143356,0
2015-01-06,9.1197,9.1605,8.8349,9.0492,214105,0
2015-01-07,9.0492,9.222,9.0013,9.2143,118028,0
2015-01-08,9.2699,9.2777,9.174,9.2613,123184,0
2015-01-09,9.2546,9.3027,9.1432,9.1913,67964,0
2015-01-12,9.2143,9.2777,9.1123,9.222,94390,0
2015-01-13,9.2546,9.4201,9.2066,9.4201,222221,0
2015-01-14,9.4054,9.602,9.2863,9.588,199322,0
2015-01-15,9.643,9.665,9.4682,9.643,172563,0
2015-01-16,9.602,9.802,9.548,9.784,160233,0
2015-01-20,9.731,9.784,9.54,9.571,124964,0
2015-01-21,9.58,9.665,9.4456,9.523,100113,0
2015-01-22,9.555,9.658,9.555,9.651,99342,0
2015-01-23,9.627,9.651,9.532,9.54,88436,0
2015-01-26,9.523,9.674,9.508,9.665,122875,0
2015-01-27,9.627,9.627,9.515,9.548,94887,0
2015-01-28,9.571,9.58,9.4936,9.563,165998,0
2015-01-29,9.58,9.611,9.4848,9.611,105323,0
2015-01-30,9.571,9.611,9.508,9.532,149960,0
2015-02-02,9.523,9.784,9.508,9.674,336642,0
2015-02-03,9.731,9.784,9.627,9.705,124695,0
2015-02-04,9.745,9.745,9.627,9.635,129813,0
2015-02-05,9.627,9.784,9.627,9.776,147821,0
2015-02-06,9.761,9.761,9.611,9.627,96916,0
2015-02-09,9.627,9.674,9.4682,9.4936,111866,0
2015-02-10,9.548,9.571,9.3888,9.563,97732,0
2015-02-11,9.555,9.665,9.523,9.595,73713,0
2015-02-12,9.548,9.691,9.548,9.682,93867,0
2015-02-13,9.731,9.731,9.627,9.643,88922,0
2015-02-17,9.619,9.802,9.619,9.745,131093,0
2015-02-18,9.745,9.761,9.619,9.698,91725,0
2015-02-19,9.705,9.722,9.619,9.651,64613,0
2015-02-20,9.665,9.665,9.54,9.555,111850,0
2015-02-23,9.523,9.571,9.4054,9.571,123463,0
2015-02-24,9.571,9.571,9.508,9.54,53432,0
2015-02-25,9.563,9.588,9.475,9.4848,111494,0
2015-02-26,9.4995,9.58,9.4456,9.532,119634,0
2015-02-27,9.548,9.58,9.4936,9.508,192286,0
2015-03-02,9.548,9.651,9.475,9.619,125456,0
2015-03-03,9.595,9.682,9.54,9.619,87592,0
2015-03-04,9.619,9.651,9.548,9.619,84815,0
2015-03-05,9.665,9.665,9.4054,9.4054,266054,0
2015-03-06,9.2939,9.3741,9.2009,9.222,180735,0
2015-03-09,9.2143,9.2306,8.9919,9.1672,385072,0
2015-03-10,9.1197,9.1913,9.0313,9.0407,145773,0
2015-03-11,9.0567,9.0962,8.9777,9.0171,139463,0
2015-03-12,9.0708,9.1346,9.0407,9.1123,172154,0
2015-03-13,9.1197,9.1197,9.0238,9.1029,153473,0
2015-03-16,9.1279,9.1432,9.0567,9.1123,110814,0
2015-03-17,9.0962,9.1432,9.0633,9.0802,148426,0
2015-03-18,9.0633,9.0708,8.9532,9.0171,356170,0
2015-03-19,8.9919,9.0492,8.9617,8.9777,168873,0
2015-03-20,9.0313,9.174,9.0097,9.1519,477838,0
2015-03-23,9.1432,9.222,9.1346,9.1432,171014,0
2015-03-24,9.1197,9.1672,9.0171,9.0238,292305,0
2015-03-25,9.0313,9.1123,8.905,8.905,428616,0
2015-03-26,8.8902,9.0013,8.8025,8.8654,483676,0
2015-03-27,8.8654,9.0455,8.8376,8.9551,278654,0
2015-03-30,9.0134,9.0265,8.9466,8.9862,198290,0
2015-03-31,8.9862,9.0265,8.8912,8.9551,540210,0
2015-04-01,8.9721,9.0539,8.9318,8.9551,416076,0
2015-04-02,8.9382,8.9956,8.9143,8.9382,339574,0
2015-04-06,8.9551,9.0539,8.8912,8.9862,159175,0
2015-04-07,9.005,9.0201,8.8829,8.9318,224090,0
2015-04-08,8.9235,9.126,8.8497,9.126,217417,0
2015-04-09,9.117,9.126,8.9235,9.036,139641,0
2015-04-10,9.0925,9.1413,9.068,9.1093,100319,0
2015-04-13,9.1009,9.1816,9.0859,9.1327,91309,0
2015-04-14,9.1413,9.222,9.1093,9.1903,97109,0
2015-04-15,9.2393,9.2393,9.1586,9.1999,169798,0
2015-04-16,9.2066,9.2795,9.1903,9.1999,158532,0
2015-04-17,9.1586,9.2306,9.1327,9.1999,120923,0
