Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,40.6,42.42,39.97,42.35,1526521,0
2015-01-05,41.95,42.09,38.32,38.48,2018183,0
2015-01-06,38.41,39.15,36.8,38.07,2669133,0
2015-01-07,38.57,38.57,35.87,36.64,2185699,0
2015-01-08,37.06,38.09,36.44,37.83,1422654,0
2015-01-09,37.67,39.71,37.38,39.33,2386825,0
2015-01-12,38.84,38.88,35.98,36.53,2618033,0
2015-01-13,36.59,37.26,35.67,36.28,2100785,0
2015-01-14,35.95,36.72,35.25,36.1,2749757,0
2015-01-15,36.92,36.97,34.85,35.18,2937596,0
2015-01-16,35.46,37.3,35.24,37.22,1312021,0
2015-01-20,36.63,36.99,35.25,36.55,1683945,0
2015-01-21,36.97,37.98,36.78,37.0,2134295,0
2015-01-22,37.02,37.5,35.63,35.91,2169483,0
2015-01-23,35.06,37.04,34.99,35.49,1473028,0
2015-01-26,35.68,37.89,35.58,36.65,2345663,0
2015-01-27,36.55,37.45,36.19,36.82,1525038,0
2015-01-28,36.48,36.5,34.24,34.59,1596859,0
2015-01-29,34.8,35.2,33.79,34.02,1821038,0
2015-01-30,33.47,34.9,33.25,34.65,1820255,0
2015-02-02,35.37,36.76,35.0,36.55,1997735,0
2015-02-03,37.58,38.72,36.67,38.58,2369895,0
2015-02-04,38.23,38.88,37.2,38.01,2077003,0
2015-02-05,37.7,40.5,37.7,40.41,2110116,0
2015-02-06,40.85,40.9,39.19,39.97,2360051,0
2015-02-09,40.03,41.93,39.96,40.67,2008571,0
2015-02-10,40.87,41.03,39.09,40.98,1612261,0
2015-02-11,40.85,41.25,39.29,39.77,1622055,0
2015-02-12,40.41,40.65,39.31,39.65,1354705,0
2015-02-13,40.21,40.57,39.55,40.34,1014650,0
2015-02-17,40.13,42.14,39.36,42.02,1437527,0
2015-02-18,41.41,42.26,40.63,41.04,1052417,0
2015-02-19,39.9,41.78,39.48,41.28,840532,0
2015-02-20,41.3,41.66,40.0,40.24,1143715,0
2015-02-23,40.16,40.62,39.45,40.15,1246987,0
2015-02-24,40.3,40.65,38.95,39.41,1515084,0
2015-02-25,39.57,41.07,39.33,41.03,1972115,0
2015-02-26,41.0,41.97,39.18,40.52,2525953,0
2015-02-27,40.9,40.94,38.95,39.45,1621607,0
2015-03-02,39.31,39.31,37.25,38.02,1735400,0
2015-03-03,38.25,38.73,37.76,37.85,1182500,0
2015-03-04,38.24,38.55,37.54,38.45,806500,0
2015-03-05,38.0,38.11,36.99,37.13,9993400,0
2015-03-06,37.0,37.37,36.65,36.89,3895800,0
2015-03-09,37.37,37.65,36.04,36.05,2813300,0
2015-03-10,35.72,36.06,35.22,35.53,1908200,0
2015-03-11,35.6,36.64,35.25,36.43,1635300,0
2015-03-12,36.57,37.14,35.88,36.38,1270600,0
2015-03-13,35.94,35.99,34.8,35.16,1349700,0
2015-03-16,34.86,35.08,33.68,34.93,1535300,0
2015-03-17,34.72,35.83,34.53,35.45,1412500,0
