Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,10.3,10.42,9.85,9.99,178225,0
2015-01-05,9.97,10.04,9.45,9.55,244618,0
2015-01-06,9.62,9.62,9.08,9.28,220171,0
2015-01-07,9.4,9.48,9.05,9.14,177889,0
2015-01-08,9.24,9.65,9.24,9.38,379070,0
2015-01-09,9.38,9.5,9.23,9.28,175920,0
2015-01-12,9.27,9.64,9.21,9.63,212724,0
2015-01-13,9.76,10.03,9.31,9.42,663137,0
2015-01-14,9.36,9.66,9.31,9.64,156574,0
2015-01-15,9.64,9.72,9.12,9.34,312023,0
2015-01-16,9.27,9.45,9.22,9.34,277161,0
2015-01-20,9.38,9.88,9.27,9.55,612607,0
2015-01-21,9.47,9.47,8.66,8.7,526522,0
2015-01-22,8.82,9.52,8.82,9.49,271365,0
2015-01-23,9.51,9.64,9.34,9.43,105775,0
2015-01-26,9.37,9.46,9.22,9.3,100100,0
2015-01-27,9.23,9.47,9.15,9.26,135299,0
2015-01-28,9.27,9.55,9.18,9.35,164309,0
2015-01-29,9.35,9.57,9.22,9.57,157008,0
2015-01-30,9.48,9.64,9.16,9.17,301429,0
2015-02-02,9.31,9.31,8.88,9.06,207418,0
2015-02-03,9.08,9.46,9.08,9.39,149545,0
2015-02-04,9.31,9.59,9.3,9.36,147714,0
2015-02-05,9.36,9.59,9.31,9.58,101271,0
2015-02-06,9.55,9.7,9.15,9.22,213122,0
2015-02-09,9.22,9.36,9.07,9.08,156025,0
2015-02-10,9.16,9.27,8.94,9.15,78325,0
2015-02-11,9.14,9.23,9.03,9.09,138272,0
2015-02-12,9.15,9.49,9.04,9.44,199278,0
2015-02-13,9.47,9.54,9.23,9.37,305190,0
2015-02-17,9.33,9.4,9.16,9.25,186560,0
2015-02-18,9.23,9.35,9.08,9.09,238133,0
2015-02-19,9.09,9.5,9.09,9.47,298863,0
2015-02-20,9.48,9.57,9.21,9.28,366266,0
2015-02-23,9.24,9.39,9.1,9.38,282654,0
2015-02-24,9.35,9.81,9.29,9.81,398033,0
2015-02-25,9.6,9.6,8.06,8.29,1957180,0
2015-02-26,8.3,9.12,8.3,8.67,712390,0
2015-02-27,8.64,8.73,8.43,8.46,691489,0
2015-03-02,8.44,8.92,8.44,8.87,372200,0
2015-03-03,8.85,8.99,8.54,8.55,303600,0
2015-03-04,8.49,8.57,8.38,8.51,174100,0
