Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,8.3507,8.3767,8.2291,8.2809,1975627,0
2015-01-05,7.9597,7.9683,7.8206,7.8642,4400762,0
2015-01-06,7.8728,7.9163,7.6731,7.7164,3099352,0
2015-01-07,7.7685,7.7946,7.638,7.7598,3731624,0
2015-01-08,7.6643,7.7946,7.6467,7.6554,3646080,0
2015-01-09,7.6467,7.6554,7.4383,7.5601,3622728,0
2015-01-12,7.5948,7.6467,7.4644,7.5686,2416656,0
2015-01-13,7.6643,7.7077,7.4991,7.5686,3274802,0
2015-01-14,7.5859,7.6467,7.5426,7.6208,4794930,0
2015-01-15,7.5773,7.5948,7.4818,7.5078,4908961,0
2015-01-16,7.5165,7.638,7.4644,7.6208,5239409,0
2015-01-20,7.8814,7.8901,7.8033,7.838,4559460,0
2015-01-21,7.7685,7.9248,7.7598,7.9074,3469525,0
2015-01-22,7.9422,8.0119,7.8642,7.9683,2795209,0
2015-01-23,7.7598,7.8206,7.7077,7.7598,2800312,0
2015-01-26,7.8555,7.8814,7.8033,7.838,2888368,0
2015-01-27,7.7772,7.8466,7.7164,7.8121,1745116,0
2015-01-28,7.5426,7.5513,7.334,7.334,3113231,0
2015-01-29,7.4383,7.534,7.4208,7.5165,3424646,0
2015-01-30,7.4818,7.534,7.3776,7.4035,3692662,0
2015-02-02,7.3948,7.5773,7.3948,7.5686,2526090,0
2015-02-03,7.8206,7.9683,7.8206,7.9509,5015119,0
2015-02-04,8.0553,8.116,7.9422,7.9597,5937173,0
2015-02-05,8.0206,8.0987,7.9856,8.0899,2445380,0
2015-02-06,8.0899,8.1421,8.0032,8.0206,3202228,0
2015-02-09,7.8206,7.9163,7.8033,7.8814,3157869,0
2015-02-10,8.0292,8.038,7.9248,8.0032,2988437,0
2015-02-11,7.9509,7.9509,7.8206,7.8901,4259572,0
2015-02-12,8.1248,8.2118,8.1073,8.2118,2703641,0
2015-02-13,8.3767,8.4819,8.3679,8.4198,3744940,0
2015-02-17,8.5068,8.5336,8.3767,8.489,2236414,0
2015-02-18,8.5937,8.6458,8.5507,8.6027,2915576,0
2015-02-19,8.6196,8.6894,8.5847,8.6196,1847093,0
2015-02-20,8.5336,8.8284,8.4729,8.7937,5040886,0
2015-02-23,8.6639,8.724,8.6376,8.6894,1974361,0
2015-02-24,8.6894,8.742,8.6549,8.7066,1876651,0
2015-02-25,8.6376,8.6812,8.6118,8.6549,1532733,0
2015-02-26,8.6639,8.6975,8.6118,8.6458,1774183,0
2015-02-27,8.6549,8.7329,8.5937,8.6731,2209958,0
2015-03-02,8.6975,8.7157,8.6549,8.7066,1495469,0
2015-03-03,8.6027,8.6196,8.5336,8.6027,1722406,0
2015-03-04,8.5507,8.5677,8.464,8.5677,1816888,0
2015-03-05,8.5766,8.6118,8.5244,8.5937,1407661,0
2015-03-06,8.489,8.5336,8.4198,8.4375,2082609,0
2015-03-09,8.4287,8.489,8.3944,8.4729,1453693,0
2015-03-10,8.2809,8.3071,8.2291,8.2552,1676489,0
2015-03-11,8.1681,8.2898,8.1421,8.2638,1459103,0
2015-03-12,8.3507,8.3944,8.3333,8.3944,1741508,0
2015-03-13,8.3333,8.3594,8.2552,8.3594,2045090,0
2015-03-16,8.3944,8.4552,8.3944,8.4287,1605024,0
2015-03-17,8.3245,8.3944,8.2724,8.3767,1745652,0
2015-03-18,8.2898,8.489,8.2203,8.4375,2890010,0
2015-03-19,8.3856,8.4119,8.3333,8.342,1643002,0
2015-03-20,8.6196,8.8108,8.5937,8.742,2693913,0
2015-03-23,8.8811,8.9331,8.846,8.9063,1419976,0
2015-03-24,8.9762,9.0543,8.9507,9.0025,2414499,0
2015-03-25,8.9997,9.0364,8.9572,8.9732,4124164,0
2015-03-26,8.9388,8.9732,8.8144,8.9478,1851723,0
2015-03-27,8.8849,8.9572,8.8506,8.9024,1912133,0
2015-03-30,8.9657,8.9902,8.8932,8.9024,2460713,0
2015-03-31,8.8144,8.9024,8.8054,8.833,1709037,0
2015-04-01,9.027,9.0965,8.9294,9.0703,2116190,0
2015-04-02,9.1769,9.2372,9.1673,9.2111,1993893,0
2015-04-06,9.2111,9.387,9.1769,9.3255,2297194,0
2015-04-07,9.2818,9.3438,9.2372,9.2372,17330239,0
2015-04-08,9.2037,9.2111,9.0798,9.1673,6440208,0
2015-04-09,9.0965,9.1051,9.0176,9.0798,7739504,0
2015-04-10,8.8932,8.9118,8.833,8.9024,4688298,0
2015-04-13,8.9732,9.0449,8.9478,8.9572,1485967,0
2015-04-14,8.9211,8.9902,8.9024,8.9657,2471387,0
2015-04-15,9.0449,9.0882,8.9732,9.0609,2687340,0
2015-04-16,8.9478,8.9572,8.8598,8.9118,4527880,0
2015-04-17,8.7002,8.7538,8.6658,8.7356,2047831,0
2015-04-20,8.6128,8.6921,8.5947,8.6385,1398371,0
2015-04-21,8.7538,8.7882,8.7184,8.7356,2456305,0
2015-04-22,8.7538,8.7972,8.6839,8.7882,1231488,0
2015-04-23,8.7629,8.9827,8.7447,8.9388,2013423,0
2015-04-24,8.9478,8.9732,8.833,8.9657,1931580,0
2015-04-27,9.0798,9.1338,9.0449,9.0449,1636424,0
2015-04-28,9.0798,9.1242,9.0524,9.1242,2138106,0
2015-04-29,8.9024,9.009,8.8506,8.8849,3209486,0
2015-04-30,8.8144,8.8932,8.7882,8.8237,3714801,0
2015-05-01,8.8775,8.9211,8.833,8.9024,1133383,0
2015-05-04,8.9118,8.9294,8.8412,8.8691,916607,0
2015-05-05,8.7808,8.7808,8.6475,8.6567,2682029,0
2015-05-06,8.8691,8.9732,8.8237,8.8849,2867148,0
2015-05-07,8.8849,8.9388,8.8144,8.8775,2232615,0
2015-05-08,8.9294,9.0449,8.9294,9.027,1228199,0
2015-05-11,8.9024,8.9478,8.8849,8.9118,1089436,0
2015-05-12,8.9118,8.9572,8.8775,8.9118,1228078,0
2015-05-13,9.0449,9.1051,8.9902,8.9997,1615304,0
2015-05-14,9.1405,9.2111,9.1146,9.1673,2309231,0
2015-05-15,9.0798,9.1577,9.0449,9.1577,1355319,0
2015-05-18,8.9827,9.0176,8.9388,8.9732,1750327,0
2015-05-19,8.9732,9.027,8.9572,8.9827,1516588,0
2015-05-20,9.0609,9.1051,9.027,9.0703,1116802,0
2015-05-21,9.0176,9.1338,8.9997,9.1051,1388310,0
2015-05-22,9.0449,9.0524,8.9902,8.9997,1031978,0
2015-05-26,8.7002,8.7002,8.5516,8.5947,2544350,0
2015-05-27,8.6128,8.7972,8.5776,8.7629,3393217,0
2015-05-28,8.7184,8.7808,8.6303,8.772,1600282,0
2015-05-29,8.7447,8.7808,8.6475,8.7093,1656411,0
2015-06-01,8.7265,8.7356,8.5947,8.6567,1636864,0
2015-06-02,8.9024,8.9294,8.8412,8.8849,1859396,0
2015-06-03,8.9732,9.1051,8.9732,9.027,1546491,0
2015-06-04,8.9657,9.1242,8.8412,8.8691,1699448,0
2015-06-05,8.7265,8.833,8.6839,8.7808,1845249,0
2015-06-08,8.7447,8.7538,8.6839,8.7093,1440202,0
2015-06-09,8.7002,8.772,8.6385,8.7184,1155422,0
2015-06-10,8.8506,9.0176,8.8412,8.9997,1977783,0
2015-06-11,8.9827,9.0364,8.9118,9.0176,1413671,0
2015-06-12,8.8598,8.9902,8.8054,8.9902,3683575,0
2015-06-15,8.7184,8.8412,8.7002,8.8237,3967800,0
2015-06-16,8.7538,8.8691,8.7447,8.833,3072428,0
2015-06-17,8.8506,8.8691,8.7093,8.772,2324790,0
2015-06-18,8.8598,9.1769,8.8506,8.9827,3431826,0
2015-06-19,8.9902,9.0449,8.9657,9.027,1847069,0
2015-06-22,9.3255,9.467,9.309,9.3801,3763062,0
2015-06-23,9.2818,9.3255,9.2285,9.2372,1751697,0
2015-06-24,9.1673,9.2111,9.1338,9.1338,1870800,0
2015-06-25,9.1769,9.1942,9.0965,9.1405,1730334,0
2015-06-26,9.2567,9.3167,9.1942,9.2285,2528051,0
2015-06-29,8.7356,8.7972,8.6128,8.6303,3700721,0
2015-06-30,8.8144,8.833,8.6037,8.6921,2842511,0
2015-07-01,8.772,8.7882,8.6567,8.7093,2212938,0
2015-07-02,8.6658,8.6748,8.5856,8.6385,1619392,0
2015-07-06,8.2604,8.4101,8.2515,8.3221,3058233,0
2015-07-07,8.1458,8.3924,8.0403,8.3573,4301534,0
2015-07-08,8.234,8.287,8.1636,8.234,3173716,0
2015-07-09,8.489,8.5425,8.4101,8.4455,2318543,0
2015-07-10,8.9118,8.9388,8.8412,8.9024,3218117,0
2015-07-13,8.9997,9.0176,8.9285,8.9285,1810155,0
2015-07-14,8.9378,9.027,8.9285,9.009,1697619,0
2015-07-15,8.9722,8.9817,8.8756,8.9201,1847960,0
2015-07-16,9.0524,9.1061,9.0449,9.0703,1876452,0
2015-07-17,9.0609,9.0609,8.9902,9.0176,958542,0
2015-07-20,9.0798,9.0965,9.0449,9.0524,1113084,0
2015-07-21,9.0449,9.1061,9.0364,9.0703,2192402,0
2015-07-22,9.1061,9.1414,9.0703,9.1348,1590217,0
2015-07-23,9.1491,9.196,9.0965,9.1155,1777964,0
2015-07-24,9.0364,9.0609,8.9722,8.9902,1734853,0
2015-07-27,9.0364,9.0449,8.9562,8.9817,1917648,0
2015-07-28,9.1061,9.1491,9.0609,9.1348,1546771,0
2015-07-29,9.0449,9.1414,9.0364,9.0798,3369531,0
2015-07-30,8.9647,8.9817,8.8841,8.9562,1948937,0
