Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,92.83,93.499,87.21,91.26,615673,0
2015-01-05,90.41,95.37,88.7,92.05,902589,0
2015-01-06,92.97,99.87,91.45,95.24,1269984,0
2015-01-07,97.54,99.15,96.09,96.86,771779,0
2015-01-08,97.9,98.67,93.13,97.92,731682,0
2015-01-09,97.68,103.83,96.12,103.63,1538029,0
2015-01-12,104.15,106.08,99.01,101.95,784834,0
2015-01-13,103.17,103.33,98.04,100.24,953092,0
2015-01-14,98.17,106.23,98.17,105.0,1169866,0
2015-01-15,102.75,104.5,93.05,94.29,1302325,0
2015-01-16,93.95,98.98,93.831,98.8,609404,0
2015-01-20,99.37,101.0,90.77,95.03,1307970,0
2015-01-21,95.06,97.89,91.16,92.34,1130509,0
2015-01-22,94.93,95.95,90.36,95.89,928075,0
2015-01-23,95.19,96.64,91.543,95.79,644651,0
2015-01-26,92.34,97.89,92.02,97.78,479797,0
2015-01-27,95.99,100.11,94.01,97.36,611382,0
2015-01-28,99.0,99.0,94.8,94.82,570794,0
2015-01-29,95.82,98.74,93.04,98.46,539033,0
2015-01-30,97.27,97.67,91.02,92.91,1054423,0
2015-02-02,98.49,98.97,89.33,91.7,1423406,0
2015-02-03,90.29,92.8,83.1,87.52,1543985,0
2015-02-04,85.01,89.3,83.0,86.56,824353,0
2015-02-05,87.24,88.99,84.9,87.98,502549,0
2015-02-06,87.01,88.79,84.58,86.13,497443,0
2015-02-09,85.33,86.66,84.14,84.44,375717,0
2015-02-10,84.94,89.66,84.6,87.99,625368,0
2015-02-11,88.23,92.76,86.86,87.84,682724,0
2015-02-12,88.76,89.88,86.53,89.77,532824,0
2015-02-13,89.53,90.99,87.02,90.7,388042,0
2015-02-17,91.0,92.12,89.54,90.34,420064,0
2015-02-18,89.86,92.56,88.17,91.89,283105,0
2015-02-19,91.7,94.56,91.7,92.46,416822,0
2015-02-20,92.44,93.83,92.02,93.32,428991,0
2015-02-23,94.4,96.5,93.33,94.73,730915,0
2015-02-24,95.0,95.37,92.04,93.8,331975,0
2015-02-25,93.37,96.5,92.53,96.3,552180,0
2015-02-26,95.89,96.5,92.22,96.22,510171,0
2015-02-27,96.59,97.0,94.43,95.32,395310,0
2015-03-02,95.0,97.69,93.9,97.4,447700,0
2015-03-03,97.4,99.46,96.26,98.93,589900,0
2015-03-04,98.1,101.41,96.7,100.05,560700,0
2015-03-05,101.5,112.53,101.5,112.23,1677200,0
2015-03-06,111.21,115.0,108.37,113.14,948600,0
2015-03-09,114.54,114.75,110.02,114.54,498100,0
2015-03-10,112.48,119.7,109.1,117.12,1122400,0
2015-03-11,117.97,122.7,115.2,118.22,1056800,0
2015-03-12,119.1,120.0,116.12,119.59,532100,0
2015-03-13,119.76,121.95,117.84,119.93,691300,0
2015-03-16,120.2,124.22,118.98,123.54,701000,0
2015-03-17,122.75,123.19,116.84,121.89,672200,0
2015-03-18,121.0,122.89,118.65,120.46,640400,0
2015-03-19,121.65,128.88,120.6,126.4,774200,0
2015-03-20,127.43,128.16,120.14,124.76,1348800,0
2015-03-23,124.54,124.54,116.72,119.99,1135400,0
2015-03-24,119.78,123.61,117.69,121.18,750900,0
2015-03-25,122.47,122.47,110.0,110.42,1465600,0
2015-03-26,108.57,113.98,106.44,111.68,873600,0
2015-03-27,112.02,115.32,111.25,114.41,381600,0
2015-03-30,117.01,123.99,117.01,123.89,766100,0
2015-03-31,122.65,124.99,119.9,120.77,470700,0
2015-04-01,120.42,121.04,116.0,120.51,639900,0
2015-04-02,119.99,120.55,116.53,118.49,312400,0
2015-04-06,118.09,121.98,117.1,120.03,396500,0
2015-04-07,120.11,125.22,119.57,120.5,360239,0
2015-04-08,120.66,128.46,120.66,125.67,469400,0
2015-04-09,125.02,127.0,121.7,124.85,298708,0
2015-04-10,125.04,127.0,124.03,126.34,246000,0
2015-04-13,126.86,130.24,125.81,128.62,393500,0
2015-04-14,128.48,132.32,128.31,130.1,665900,0
2015-04-15,131.14,135.61,129.67,132.35,763991,0
2015-04-16,132.36,134.86,130.49,133.93,285909,0
2015-04-17,135.0,135.0,130.5,132.51,350600,0
2015-04-20,131.73,132.26,123.14,131.67,926464,0
2015-04-21,132.48,136.4,132.05,135.27,411087,0
2015-04-22,138.16,141.48,136.17,136.49,608176,0
2015-04-23,137.25,140.45,137.02,140.08,612400,0
2015-04-24,140.08,140.93,136.0,136.26,439100,0
2015-04-27,131.33,137.28,129.48,132.12,1415900,0
2015-04-28,132.67,137.95,126.65,132.78,1078600,0
2015-04-29,135.49,139.95,132.34,132.57,717900,0
2015-04-30,132.37,136.94,129.31,133.19,900000,0
2015-05-01,133.34,139.1,133.02,138.94,635300,0
2015-05-04,132.26,137.99,128.22,136.98,1003700,0
2015-05-05,137.11,137.13,130.9,133.06,698300,0
2015-05-06,137.55,139.63,136.17,139.62,630376,0
2015-05-07,142.85,153.21,142.85,152.42,1673022,0
2015-05-08,155.0,168.05,155.0,163.72,1607100,0
2015-05-11,164.41,167.89,160.41,165.45,666400,0
2015-05-12,163.94,169.88,161.13,166.21,703773,0
2015-05-13,166.49,169.24,156.75,160.34,942900,0
2015-05-14,160.6,162.0,154.5,157.4,595700,0
2015-05-15,157.96,159.59,151.14,154.42,702898,0
2015-05-18,154.5,158.83,150.92,156.4,679065,0
2015-05-19,162.98,170.69,161.91,170.53,1423200,0
2015-05-20,173.89,174.85,164.64,165.71,1200500,0
2015-05-21,186.33,186.36,170.96,172.94,1898400,0
2015-05-22,173.0,179.48,166.0,178.38,994900,0
2015-05-26,178.48,189.06,177.06,183.69,1138553,0
2015-05-27,185.89,190.45,182.61,189.69,812300,0
2015-05-28,190.25,194.57,186.13,192.52,763390,0
2015-05-29,191.11,197.35,189.49,194.25,809700,0
2015-06-01,195.02,195.97,186.67,190.98,725500,0
2015-06-02,190.98,191.71,187.0,188.47,622938,0
2015-06-03,188.77,189.72,182.5,184.77,777900,0
2015-06-04,180.13,185.5,175.35,184.98,1017700,0
2015-06-05,185.13,191.55,184.02,189.63,607200,0
2015-06-08,189.32,190.74,185.25,188.61,468000,0
2015-06-09,189.05,189.05,181.06,186.63,675427,0
2015-06-10,180.93,185.29,178.02,182.28,1008639,0
2015-06-11,182.73,188.71,177.76,186.18,794775,0
2015-06-12,185.74,186.18,180.2,180.81,672000,0
2015-06-15,186.25,187.0,175.2,179.3,1933800,0
2015-06-16,179.0,180.87,170.33,170.64,1313600,0
2015-06-17,173.78,176.49,168.08,171.07,1146700,0
2015-06-18,171.23,175.4,170.45,171.98,806200,0
2015-06-19,172.65,172.99,169.62,170.14,1356100,0
2015-06-22,172.12,181.49,168.61,177.75,1188900,0
2015-06-23,178.14,179.0,172.53,174.31,651314,0
2015-06-24,171.03,175.0,169.01,170.1,2673200,0
2015-06-25,171.26,171.8,165.5,168.93,1371600,0
2015-06-26,169.8,170.15,163.96,165.67,3915600,0
2015-06-29,160.01,166.37,159.04,159.27,876900,0
2015-06-30,161.68,169.0,161.5,168.37,1190121,0
2015-07-01,169.95,170.69,162.41,163.07,841500,0
2015-07-02,164.0,164.98,160.54,163.21,828400,0
2015-07-06,161.64,164.67,159.37,163.22,1147600,0
2015-07-07,163.95,163.99,156.25,159.6,729600,0
2015-07-08,158.45,161.0,154.04,154.63,638200,0
2015-07-09,157.95,161.0,156.52,158.43,559600,0
2015-07-10,162.68,162.68,156.87,159.03,480200,0
2015-07-13,161.5,168.58,161.37,163.9,785000,0
2015-07-14,163.61,168.5,163.11,166.17,500041,0
2015-07-15,168.88,171.24,165.22,167.81,1028048,0
2015-07-16,170.66,170.99,164.0,166.59,623300,0
2015-07-17,166.16,166.31,162.2,164.19,571200,0
2015-07-20,164.33,166.0,161.64,165.33,435100,0
2015-07-21,165.41,165.5,157.08,160.63,496100,0
2015-07-22,158.01,162.78,158.0,162.0,397600,0
2015-07-23,162.11,165.67,161.32,163.54,541900,0
2015-07-24,162.01,165.0,158.7,158.91,556500,0
2015-07-27,157.79,160.99,154.12,159.49,423500,0
2015-07-28,159.75,161.13,154.39,160.32,665300,0
2015-07-29,160.64,160.67,155.31,159.02,445000,0
2015-07-30,159.0,160.0,153.63,159.17,384300,0
2015-07-31,159.58,168.2,156.03,165.83,678400,0
2015-08-03,165.71,167.49,162.32,164.6,480125,0
2015-08-04,165.65,166.42,162.21,164.47,326500,0
2015-08-05,164.4,169.16,162.78,166.51,470600,0
2015-08-06,167.0,168.03,154.75,156.83,573597,0
2015-08-07,154.75,157.5,129.01,154.84,3881200,0
2015-08-10,153.4,153.99,136.01,139.23,2167500,0
2015-08-11,136.02,143.3,132.01,135.89,980319,0
2015-08-12,133.03,140.0,124.73,134.86,1701900,0
2015-08-13,135.36,139.13,130.77,131.91,449100,0
2015-08-14,131.9,132.99,123.1,127.82,833300,0
2015-08-17,127.48,133.37,124.51,131.69,728800,0
2015-08-18,130.01,134.0,128.81,129.61,482600,0
2015-08-19,128.41,130.5,122.51,127.01,738600,0
2015-08-20,126.93,131.47,121.11,121.25,917400,0
