Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,13.858,14.073,13.858,13.929,122336,0
2015-01-05,13.885,13.922,13.798,13.831,82659,0
2015-01-06,13.868,13.868,13.665,13.665,100992,0
2015-01-07,13.728,13.749,13.693,13.693,109501,0
2015-01-08,13.749,13.78,13.728,13.763,55737,0
2015-01-09,13.831,13.893,13.749,13.868,85015,0
2015-01-12,13.814,13.929,13.814,13.868,51721,0
2015-01-13,13.893,13.901,13.814,13.831,130531,0
2015-01-14,13.757,13.831,13.703,13.763,182714,0
2015-01-15,13.72,13.72,13.652,13.652,170521,0
2015-01-16,13.592,13.674,13.592,13.665,96035,0
2015-01-20,13.674,13.712,13.634,13.652,180485,0
2015-01-21,13.674,13.758,13.652,13.75,131599,0
2015-01-22,13.75,13.791,13.743,13.758,66046,0
2015-01-23,13.72,13.758,13.693,13.712,53067,0
2015-01-26,13.728,13.764,13.703,13.72,127071,0
2015-01-27,13.737,13.743,13.684,13.737,37049,0
2015-01-28,13.712,13.743,13.703,13.703,33041,0
2015-01-29,13.693,13.72,13.674,13.712,63915,0
2015-01-30,13.684,13.737,13.684,13.728,41548,0
2015-02-02,13.737,13.791,13.728,13.791,60630,0
2015-02-03,13.764,13.809,13.72,13.809,70619,0
2015-02-04,13.772,13.841,13.743,13.743,64879,0
2015-02-05,13.764,13.85,13.764,13.815,70659,0
2015-02-06,13.809,13.859,13.799,13.832,59013,0
2015-02-09,13.824,13.94,13.824,13.94,65554,0
2015-02-10,13.94,13.981,13.903,13.981,71185,0
2015-02-11,13.962,13.99,13.931,13.948,40794,0
2015-02-12,13.948,13.999,13.948,13.972,49178,0
2015-02-13,13.99,14.035,13.962,13.972,73783,0
2015-02-17,13.962,14.017,13.948,13.981,60505,0
2015-02-18,13.955,13.972,13.948,13.948,67680,0
2015-02-19,13.962,14.026,13.931,14.008,130218,0
2015-02-20,13.999,14.05,13.972,14.05,62909,0
2015-02-23,14.05,14.288,14.05,14.288,77453,0
2015-02-24,14.306,14.315,14.2,14.306,60627,0
2015-02-25,14.315,14.409,14.298,14.367,55209,0
2015-02-26,14.359,14.391,14.244,14.273,80038,0
2015-02-27,14.279,14.298,14.192,14.26,76792,0
2015-03-02,14.26,14.273,14.192,14.26,72803,0
2015-03-03,14.226,14.306,14.226,14.288,45338,0
2015-03-04,14.279,14.35,14.273,14.342,63926,0
2015-03-05,14.35,14.35,14.273,14.279,60327,0
2015-03-06,14.279,14.315,14.266,14.298,68002,0
2015-03-09,14.333,14.333,14.279,14.288,77118,0
2015-03-10,14.288,14.342,14.279,14.279,53970,0
2015-03-11,14.279,14.367,14.279,14.324,48332,0
2015-03-12,14.324,14.342,14.185,14.192,55531,0
2015-03-13,14.2,14.4,14.2,14.384,110820,0
2015-03-16,14.4,14.427,14.288,14.288,109141,0
2015-03-17,14.306,14.35,14.217,14.273,89593,0
2015-03-18,14.235,14.315,14.207,14.315,71843,0
2015-03-19,14.315,14.315,14.235,14.266,56849,0
2015-03-20,14.315,14.427,14.288,14.419,58634,0
2015-03-23,14.368,14.586,14.359,14.561,95443,0
2015-03-24,14.561,14.561,14.464,14.552,30660,0
2015-03-25,14.526,14.577,14.518,14.526,39370,0
2015-03-26,14.51,14.577,14.501,14.561,26844,0
2015-03-27,14.526,14.569,14.501,14.518,40562,0
2015-03-30,14.491,14.534,14.482,14.491,45097,0
2015-03-31,14.501,14.51,14.441,14.456,125964,0
2015-04-01,14.427,14.501,14.427,14.464,57864,0
2015-04-02,14.441,14.526,14.401,14.419,99259,0
2015-04-06,14.441,14.482,14.41,14.456,55952,0
2015-04-07,14.482,14.544,14.474,14.534,23995,0
2015-04-08,14.569,14.616,14.534,14.616,44263,0
2015-04-09,14.626,14.632,14.586,14.616,39670,0
2015-04-10,14.595,14.632,14.595,14.595,29943,0
2015-04-13,14.616,14.642,14.526,14.603,41039,0
2015-04-14,14.552,14.632,14.552,14.603,40562,0
2015-04-15,14.595,14.595,14.561,14.577,66246,0
2015-04-16,14.534,14.595,14.526,14.552,53967,0
2015-04-17,14.561,14.561,14.518,14.544,26365,0
2015-04-20,14.586,14.642,14.577,14.642,50593,0
2015-04-21,14.694,14.703,14.632,14.684,20669,0
2015-04-22,14.666,14.694,14.651,14.694,49596,0
2015-04-23,14.666,14.786,14.666,14.778,51629,0
2015-04-24,14.795,14.795,14.711,14.711,18107,0
2015-04-27,14.711,14.772,14.703,14.703,44865,0
2015-04-28,14.72,14.763,14.694,14.729,47239,0
2015-04-29,14.666,14.737,14.66,14.694,41778,0
2015-04-30,14.666,14.684,14.626,14.632,45461,0
2015-05-01,14.703,14.703,14.616,14.642,84742,0
2015-05-04,14.626,14.651,14.577,14.577,68248,0
2015-05-05,14.551,14.632,14.525,14.595,52460,0
2015-05-06,14.551,14.61,14.551,14.595,41024,0
2015-05-07,14.551,14.66,14.543,14.651,45077,0
2015-05-08,14.666,14.684,14.586,14.684,45574,0
2015-05-11,14.675,14.729,14.632,14.72,91983,0
2015-05-12,14.666,14.729,14.616,14.711,47641,0
2015-05-13,14.626,14.795,14.603,14.737,79284,0
2015-05-14,14.72,14.825,14.72,14.754,51748,0
2015-05-15,14.778,14.825,14.778,14.804,74298,0
2015-05-18,14.872,14.872,14.795,14.853,66629,0
2015-05-19,14.905,14.905,14.844,14.88,74003,0
2015-05-20,14.863,14.914,14.853,14.863,67424,0
2015-05-21,14.889,15.004,14.889,14.964,81126,0
2015-05-22,14.921,15.004,14.921,14.949,56091,0
2015-05-26,14.979,15.032,14.964,14.987,49774,0
2015-05-27,14.995,15.064,14.972,15.041,39438,0
2015-05-28,15.014,15.051,14.979,14.995,44416,0
2015-05-29,14.987,15.004,14.941,14.941,37195,0
2015-06-01,15.004,15.004,14.931,14.979,67807,0
2015-06-02,14.964,14.987,14.931,14.964,22736,0
2015-06-03,14.921,15.022,14.921,14.949,52077,0
2015-06-04,14.964,14.964,14.914,14.941,53138,0
2015-06-05,14.941,15.032,14.88,15.032,46761,0
2015-06-08,14.905,15.083,14.853,15.032,51724,0
2015-06-09,15.032,15.064,15.014,15.051,44105,0
2015-06-10,15.014,15.064,15.004,15.041,39488,0
2015-06-11,15.083,15.11,14.987,15.004,64033,0
2015-06-12,14.987,15.051,14.972,15.041,63535,0
2015-06-15,14.987,15.051,14.987,14.995,28222,0
2015-06-16,14.987,15.014,14.949,14.979,31882,0
2015-06-17,14.949,14.995,14.931,14.941,34949,0
2015-06-18,14.921,14.964,14.889,14.905,46169,0
2015-06-19,14.88,14.931,14.844,14.898,46992,0
2015-06-22,14.921,14.931,14.834,14.863,42058,0
2015-06-23,14.834,14.898,14.818,14.889,22304,0
2015-06-24,14.889,14.921,14.844,14.88,43347,0
2015-06-25,14.834,14.88,14.77,14.77,28081,0
2015-06-26,14.786,14.81,14.607,14.658,51222,0
2015-06-29,14.607,14.639,14.514,14.566,74716,0
2015-06-30,14.658,14.658,14.496,14.613,35354,0
2015-07-01,14.711,14.711,14.623,14.692,45935,0
2015-07-02,14.702,14.702,14.63,14.682,12337,0
2015-07-06,14.6,14.702,14.6,14.682,19503,0
2015-07-07,14.649,14.77,14.623,14.673,57448,0
2015-07-08,14.607,14.711,14.514,14.539,40764,0
2015-07-09,14.574,14.613,14.514,14.514,44759,0
2015-07-10,14.53,14.6,14.506,14.548,138392,0
2015-07-13,14.639,14.639,14.583,14.6,25613,0
2015-07-14,14.591,14.6,14.548,14.591,23656,0
2015-07-15,14.591,14.6,14.522,14.591,38038,0
2015-07-16,14.607,14.649,14.566,14.6,63324,0
2015-07-17,14.574,14.607,14.557,14.557,40413,0
2015-07-20,14.548,14.574,14.53,14.53,18561,0
2015-07-21,14.522,14.522,14.443,14.486,31010,0
2015-07-22,14.421,14.477,14.413,14.421,23838,0
2015-07-23,14.43,14.514,14.368,14.468,24775,0
2015-07-24,14.496,14.496,14.43,14.43,31437,0
2015-07-27,14.451,14.451,14.334,14.377,29096,0
2015-07-28,14.421,14.43,14.272,14.298,127259,0
2015-07-29,14.324,14.386,14.298,14.359,10870,0
2015-07-30,14.334,14.403,14.224,14.359,61000,0
2015-07-31,14.386,14.496,14.324,14.496,52939,0
2015-08-03,14.53,14.53,14.421,14.506,51675,0
2015-08-04,14.496,14.496,14.386,14.443,13089,0
2015-08-05,14.43,14.468,14.315,14.334,61585,0
2015-08-06,14.315,14.343,14.288,14.288,44041,0
2015-08-07,14.306,14.306,14.204,14.224,59249,0
2015-08-10,14.233,14.265,14.094,14.125,148528,0
2015-08-11,14.087,14.125,14.087,14.117,54435,0
2015-08-12,14.061,14.125,14.052,14.125,51064,0
2015-08-13,14.144,14.154,14.079,14.087,43703,0
2015-08-14,14.045,14.108,13.955,14.079,76189,0
2015-08-17,14.052,14.108,14.027,14.027,31198,0
2015-08-18,13.981,14.069,13.962,14.037,42538,0
2015-08-19,14.0,14.087,13.981,14.045,66025,0
2015-08-20,14.045,14.061,13.972,14.0,42417,0
2015-08-21,13.938,13.954,13.844,13.89,53696,0
2015-08-24,13.718,13.81,13.69,13.758,147796,0
2015-08-25,13.89,13.913,13.853,13.853,49045,0
2015-08-26,13.873,13.929,13.735,13.783,58108,0
2015-08-27,13.735,13.853,13.727,13.835,71010,0
2015-08-28,13.783,13.972,13.773,13.954,46136,0
2015-08-31,13.981,13.981,13.81,13.954,61012,0
2015-09-01,13.89,13.938,13.863,13.913,54738,0
2015-09-02,13.938,13.938,13.899,13.913,14297,0
2015-09-03,13.899,13.929,13.89,13.913,23593,0
2015-09-04,13.793,13.883,13.793,13.873,35564,0
2015-09-08,13.899,13.899,13.853,13.853,37424,0
2015-09-09,13.835,13.835,13.765,13.793,54738,0
2015-09-10,13.773,13.863,13.765,13.853,42253,0
2015-09-11,13.835,13.947,13.793,13.947,47184,0
2015-09-14,13.947,13.954,13.89,13.954,70660,0
2015-09-15,13.981,14.069,13.954,14.061,65079,0
2015-09-16,14.045,14.108,13.981,14.108,98439,0
2015-09-17,14.117,14.173,14.037,14.087,40582,0
2015-09-18,14.027,14.233,14.027,14.19,33935,0
2015-09-21,14.233,14.282,14.224,14.266,54904,0
2015-09-22,14.25,14.25,14.06,14.087,58023,0
2015-09-23,14.101,14.182,14.068,14.101,29075,0
2015-09-24,14.078,14.108,14.017,14.017,49862,0
2015-09-25,14.044,14.126,14.026,14.126,19652,0
2015-09-28,14.108,14.108,13.871,13.871,35833,0
2015-09-29,13.871,13.927,13.747,13.747,61373,0
2015-09-30,13.871,13.871,13.687,13.724,56866,0
2015-10-01,13.809,13.852,13.724,13.732,41726,0
2015-10-02,13.724,13.732,13.635,13.661,32477,0
2015-10-05,13.678,13.755,13.678,13.755,33311,0
2015-10-06,13.755,13.771,13.581,13.598,52129,0
2015-10-07,13.661,13.747,13.617,13.678,39182,0
2015-10-08,13.653,13.898,13.644,13.843,62417,0
2015-10-09,13.861,13.945,13.755,13.799,64148,0
2015-10-12,13.816,13.898,13.755,13.881,36819,0
2015-10-13,13.825,13.898,13.799,13.861,29706,0
2015-10-14,13.833,13.898,13.833,13.871,48432,0
2015-10-15,13.852,13.936,13.799,13.898,39644,0
2015-10-16,13.912,13.971,13.871,13.89,38487,0
2015-10-19,13.912,13.98,13.905,13.927,27913,0
2015-10-20,13.927,13.971,13.861,13.905,17776,0
2015-10-21,13.927,13.927,13.852,13.852,21610,0
2015-10-22,13.881,13.945,13.833,13.927,51258,0
2015-10-23,13.912,13.962,13.898,13.953,33907,0
2015-10-26,13.936,13.981,13.927,13.936,33562,0
2015-10-27,13.936,14.0,13.89,14.0,38271,0
2015-10-28,13.981,14.079,13.981,14.061,34136,0
2015-10-29,14.0,14.079,14.0,14.079,29885,0
2015-10-30,14.094,14.094,13.962,14.018,52756,0
2015-11-02,14.101,14.127,14.037,14.069,44095,0
