Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,1.4373,1.44,1.331,1.4099,9894,0
2015-01-05,1.3845,1.4,1.3001,1.31,9109,0
2015-01-06,1.33,1.38,1.3,1.31,8305,0
2015-01-07,1.31,1.31,1.26,1.26,13589,0
2015-01-08,1.29,1.3,1.2,1.22,7279,0
2015-01-09,1.2,1.52,1.2,1.52,110797,0
2015-01-12,1.5408,1.71,1.5301,1.6714,46719,0
2015-01-13,1.7,1.71,1.65,1.71,26229,0
2015-01-14,1.66,1.757,1.66,1.69,21592,0
2015-01-15,1.69,1.7,1.56,1.7,1768,0
2015-01-16,1.55,1.67,1.55,1.65,13810,0
2015-01-20,1.61,1.69,1.601,1.61,5602,0
2015-01-21,1.6637,1.7,1.6428,1.68,3100,0
2015-01-22,1.65,1.6999,1.6,1.697,5600,0
2015-01-23,1.6101,1.6818,1.6101,1.6818,2472,0
2015-01-26,1.68,1.7,1.63,1.63,23927,0
2015-01-27,1.6785,1.71,1.6785,1.6884,26587,0
2015-01-28,1.62,1.6865,1.62,1.67,12959,0
2015-01-29,1.6683,1.6799,1.55,1.66,27573,0
2015-01-30,1.57,1.68,1.55,1.5901,36249,0
2015-02-02,1.6607,1.69,1.59,1.655,21315,0
2015-02-03,1.62,1.69,1.59,1.6599,4410,0
2015-02-04,1.62,1.66,1.62,1.66,1866,0
2015-02-05,1.7,1.7,1.6401,1.67,19434,0
2015-02-06,1.67,1.67,1.6201,1.67,12388,0
2015-02-09,1.7,1.7,1.6301,1.6836,25168,0
2015-02-10,1.6867,1.69,1.63,1.6301,21040,0
2015-02-11,1.63,1.69,1.63,1.68,19344,0
2015-02-12,1.65,1.6709,1.63,1.65,5372,0
2015-02-13,1.64,1.69,1.63,1.69,10989,0
2015-02-17,1.649,1.69,1.649,1.6768,12301,0
2015-02-18,1.69,1.69,1.63,1.6639,19616,0
2015-02-19,1.669,1.68,1.64,1.6401,3994,0
2015-02-20,1.62,1.67,1.62,1.6501,1242,0
2015-02-23,1.65,1.68,1.61,1.61,10799,0
2015-02-24,1.64,1.66,1.53,1.53,10670,0
2015-02-25,1.63,1.66,1.63,1.66,11744,0
2015-02-26,1.65,1.65,1.53,1.56,27139,0
2015-02-27,1.6066,1.6299,1.6,1.62,3326,0
2015-03-02,1.64,1.64,1.61,1.61,9900,0
2015-03-03,1.61,1.65,1.61,1.64,3600,0
2015-03-04,1.64,1.64,1.62,1.64,6700,0
2015-03-05,1.61,1.64,1.6,1.64,1500,0
2015-03-06,1.6,1.63,1.52,1.52,16300,0
2015-03-09,1.61,1.62,1.24,1.25,25400,0
2015-03-10,1.37,1.8,1.37,1.6,527400,0
2015-03-11,1.67,1.7,1.5,1.52,132500,0
2015-03-12,1.59,1.59,1.45,1.54,32500,0
2015-03-13,1.61,1.61,1.47,1.49,14600,0
2015-03-16,1.46,1.62,1.45,1.56,11900,0
2015-03-17,1.58,1.58,1.45,1.49,4700,0
2015-03-18,1.54,1.54,1.45,1.5,14500,0
2015-03-19,1.53,1.53,1.46,1.51,8900,0
2015-03-20,1.55,1.6,1.46,1.46,15200,0
2015-03-23,1.45,1.59,1.45,1.51,6400,0
2015-03-24,1.53,1.53,1.48,1.49,2000,0
2015-03-25,1.6,1.6,1.46,1.5,8200,0
2015-03-26,1.48,1.51,1.46,1.47,7100,0
2015-03-27,1.46,1.53,1.46,1.48,14100,0
