Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,70.015,70.382,68.303,69.07,2198013,0
2015-01-05,68.632,68.632,65.779,66.04,9006457,0
2015-01-06,67.255,67.304,64.759,65.18,4162742,0
2015-01-07,65.553,65.779,64.759,65.206,2210635,0
2015-01-08,66.107,68.192,66.069,68.134,3229304,0
2015-01-09,68.099,68.406,67.087,67.405,1332083,0
2015-01-12,67.78,68.806,67.332,68.192,1522491,0
2015-01-13,68.623,69.866,68.313,68.855,1898986,0
2015-01-14,68.303,68.724,67.706,68.258,1288668,0
2015-01-15,68.502,68.772,67.621,67.827,1221835,0
2015-01-16,67.827,68.792,67.35,68.704,898118,0
2015-01-20,68.893,69.052,67.658,68.164,1453462,0
2015-01-21,67.865,68.744,67.64,68.116,1102447,0
2015-01-22,68.555,70.063,68.323,69.904,1818910,0
2015-01-23,69.707,70.043,69.287,69.342,1122154,0
2015-01-26,69.156,69.858,68.772,69.82,756962,0
2015-01-27,68.996,69.321,68.293,68.975,1201943,0
2015-01-28,69.305,69.613,68.164,68.23,1045014,0
2015-01-29,68.154,68.642,67.275,68.575,1701457,0
2015-01-30,68.024,68.389,66.396,66.621,2604620,0
2015-02-02,67.359,68.828,67.06,68.696,4664989,0
2015-02-03,69.82,70.614,68.519,70.372,9820136,0
2015-02-04,67.35,67.35,62.776,65.948,10945634,0
2015-02-05,66.087,66.855,65.816,66.387,3582101,0
2015-02-06,66.593,66.612,65.799,65.958,2529109,0
2015-02-09,65.833,66.031,65.329,65.943,2046526,0
2015-02-10,66.32,66.865,65.816,66.554,1878923,0
2015-02-11,66.638,67.314,66.573,66.648,1951590,0
2015-02-12,66.928,67.472,66.718,67.191,1513735,0
2015-02-13,67.434,68.041,67.285,67.892,1461413,0
2015-02-17,67.677,67.79,67.024,67.174,1074522,0
2015-02-18,66.873,67.724,66.059,66.77,1329134,0
2015-02-19,66.77,67.715,66.405,67.2,966558,0
2015-02-20,67.041,67.912,66.461,67.817,1032323,0
2015-02-23,67.846,68.472,67.677,68.416,946207,0
2015-02-24,68.333,69.219,68.081,69.202,1263766,0
2015-02-25,69.37,69.736,68.734,68.802,1181966,0
2015-02-26,68.864,69.464,68.426,69.418,1378131,0
2015-02-27,69.315,69.772,68.996,69.502,1732402,0
2015-03-02,69.595,69.651,68.669,68.845,2200414,0
2015-03-03,69.707,70.353,69.455,69.848,3323446,0
2015-03-04,69.725,69.79,69.321,69.536,1383856,0
2015-03-05,69.585,69.866,69.198,69.688,991494,0
2015-03-06,69.161,69.68,69.001,69.179,1212083,0
2015-03-09,69.125,69.753,68.983,69.49,1034994,0
2015-03-10,68.738,68.796,67.996,68.155,1767924,0
2015-03-11,67.713,68.211,67.374,68.145,1783133,0
2015-03-12,68.315,69.64,68.268,69.546,1196980,0
2015-03-13,69.594,70.708,68.655,70.694,1457883,0
2015-03-16,70.233,70.918,69.566,70.845,2101999,0
2015-03-17,70.224,70.599,69.772,70.195,1239844,0
2015-03-18,69.79,70.882,69.348,70.694,1282601,0
2015-03-19,70.647,70.946,70.309,70.667,1588280,0
2015-03-20,71.126,71.512,70.561,70.891,3540843,0
2015-03-23,71.417,71.624,71.146,71.21,2194747,0
2015-03-24,71.097,71.465,70.337,70.57,2980538,0
2015-03-25,70.561,70.731,68.917,68.927,1660074,0
2015-03-26,68.522,69.161,68.099,68.766,1694109,0
2015-03-27,68.69,68.868,68.418,68.664,1561160,0
2015-03-30,68.738,69.293,68.446,68.823,1809406,0
2015-03-31,68.718,69.376,68.305,68.84,1518057,0
2015-04-01,68.655,68.718,67.619,67.685,1532654,0
2015-04-02,67.835,68.004,66.99,67.064,2157522,0
2015-04-06,66.614,67.337,66.425,67.019,1541909,0
2015-04-07,67.064,67.718,66.905,67.14,1288553,0
2015-04-08,66.859,67.581,66.135,66.96,1291321,0
2015-04-09,66.932,67.572,66.932,67.356,1212948,0
2015-04-10,67.535,67.948,67.233,67.751,1105510,0
2015-04-13,67.554,67.6,66.03,66.161,1584772,0
2015-04-14,66.378,66.849,65.42,66.547,1701979,0
2015-04-15,66.49,66.96,65.663,66.03,1684734,0
2015-04-16,65.841,65.975,65.23,65.351,1177084,0
2015-04-17,64.657,64.836,64.271,64.469,1964796,0
2015-04-20,64.882,66.472,64.741,65.898,1667135,0
2015-04-21,65.983,66.631,65.841,66.321,1439958,0
2015-04-22,66.312,66.425,65.831,66.218,986170,0
2015-04-23,65.87,66.755,65.851,66.397,996597,0
2015-04-24,66.614,66.679,66.03,66.425,1094290,0
2015-04-27,63.896,65.777,63.247,64.818,5609023,0
2015-04-28,62.194,62.521,61.058,61.799,6652341,0
2015-04-29,60.951,61.45,60.182,60.851,3206024,0
2015-04-30,60.568,60.851,60.182,60.541,2718042,0
2015-05-01,60.851,61.479,60.651,60.87,2016593,0
2015-05-04,61.892,62.541,61.404,62.129,3192090,0
2015-05-05,61.752,62.061,60.135,60.163,1918529,0
2015-05-06,60.596,60.889,60.051,60.691,1743244,0
