Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,3.0745,3.275,2.9,2.9975,124799,0
2015-01-05,3.0,3.2,2.975,3.15,76855,0
2015-01-06,3.2498,3.325,3.0002,3.075,131226,0
2015-01-07,3.175,3.2247,3.0,3.025,60488,0
2015-01-08,3.025,3.125,3.0,3.075,72151,0
2015-01-09,3.1,3.625,3.075,3.55,404704,0
2015-01-12,3.425,3.475,3.275,3.375,75088,0
2015-01-13,3.425,3.45,3.125,3.4247,82631,0
2015-01-14,3.25,3.375,3.25,3.275,57081,0
2015-01-15,3.325,3.45,3.25,3.375,90167,0
2015-01-16,3.45,3.625,3.375,3.625,245642,0
2015-01-20,3.925,5.025,3.901,4.675,2723898,0
2015-01-21,4.625,5.675,4.425,5.425,2354956,0
2015-01-22,5.425,5.675,4.9,5.65,1115019,0
2015-01-23,5.5,5.575,5.075,5.125,457900,0
2015-01-26,6.0,6.2,4.8,4.9,1709192,0
2015-01-27,4.875,4.875,4.5,4.775,340241,0
2015-01-28,4.875,5.0425,4.375,4.425,144991,0
2015-01-29,4.425,4.425,4.25,4.25,128500,0
2015-01-30,4.25,4.7,4.25,4.4,208182,0
2015-02-02,4.35,4.5095,4.25,4.35,91834,0
2015-02-03,4.425,4.425,4.25,4.275,88059,0
2015-02-04,4.275,4.6248,4.275,4.35,124890,0
2015-02-05,4.325,4.6,4.25,4.25,100820,0
2015-02-06,4.225,4.375,4.125,4.25,103470,0
2015-02-09,4.25,4.3425,4.0,4.05,84816,0
2015-02-10,4.125,4.22,4.0,4.1752,64577,0
2015-02-11,4.15,4.15,3.925,3.975,49591,0
2015-02-12,3.75,4.075,3.75,3.9002,149932,0
2015-02-13,3.95,4.05,3.875,3.95,59596,0
2015-02-17,3.875,4.3,3.825,4.15,95142,0
2015-02-18,4.225,4.375,4.05,4.123,40919,0
2015-02-19,4.025,4.175,3.825,4.05,57632,0
2015-02-20,3.975,4.1,3.95,3.975,25526,0
2015-02-23,4.0,4.0295,3.8,3.8,69566,0
2015-02-24,3.8,3.925,3.75,3.75,49026,0
2015-02-25,3.75,3.7502,3.525,3.6,65503,0
2015-02-26,3.6,4.025,3.575,3.8,66091,0
2015-02-27,3.875,3.95,3.75,3.925,28556,0
2015-03-02,4.025,4.375,4.0,4.2,185800,0
2015-03-03,4.25,4.45,3.95,4.075,140720,0
2015-03-04,4.125,4.3,4.125,4.125,37160,0
2015-03-05,4.2,4.225,3.925,4.025,71200,0
2015-03-06,4.075,4.075,3.875,3.9,37000,0
2015-03-09,3.975,4.05,3.75,3.8,26840,0
2015-03-10,3.775,3.825,3.65,3.675,29600,0
2015-03-11,3.75,3.825,3.6,3.75,30840,0
2015-03-12,3.75,3.875,3.725,3.85,12680,0
2015-03-13,3.625,4.25,3.625,3.825,65640,0
2015-03-16,3.95,3.95,3.725,3.75,14320,0
2015-03-17,4.0,4.0,3.675,3.725,36240,0
2015-03-18,3.625,3.825,3.625,3.65,18040,0
2015-03-19,3.675,3.8,3.65,3.725,39120,0
2015-03-20,3.75,4.025,3.75,3.975,35920,0
2015-03-23,4.0,4.075,3.825,3.95,12680,0
2015-03-24,3.8,3.925,3.775,3.775,8880,0
2015-03-25,3.775,4.0,3.7,3.75,32880,0
2015-03-26,3.7,3.85,3.7,3.75,11120,0
2015-03-27,3.75,3.9,3.75,3.775,13800,0
