Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,62.19,63.08,61.944,62.573,6280295,0
2015-01-05,61.473,61.72,59.402,59.594,12058709,0
2015-01-06,59.275,60.466,57.089,57.133,19886247,0
2015-01-07,58.114,58.313,57.061,57.515,13603632,0
2015-01-08,58.879,59.458,58.014,58.949,11396916,0
2015-01-09,58.959,59.321,58.114,58.939,8792884,0
2015-01-12,58.241,58.35,56.843,57.262,9160154,0
2015-01-13,57.369,57.95,55.846,56.689,11279893,0
2015-01-14,56.126,56.996,55.244,56.853,11017982,0
2015-01-15,57.752,57.986,55.725,55.754,11007185,0
2015-01-16,56.061,57.631,55.816,57.27,11049161,0
2015-01-20,57.025,57.451,56.07,57.369,7571469,0
2015-01-21,58.005,58.812,57.407,58.594,8787138,0
2015-01-22,59.103,59.539,58.104,59.284,9647193,0
2015-01-23,59.321,59.656,58.687,58.696,7041472,0
2015-01-26,58.91,59.919,58.005,59.756,6455761,0
2015-01-27,59.275,60.056,59.067,59.503,6542418,0
2015-01-28,59.248,59.42,56.744,56.815,9426197,0
2015-01-29,57.36,57.723,55.055,57.034,12510890,0
2015-01-30,56.434,57.932,55.517,57.178,11591884,0
2015-02-02,58.532,59.722,57.569,59.712,11097616,0
2015-02-03,60.764,61.7,60.382,61.5,17217315,0
2015-02-04,60.484,60.519,59.231,59.804,13484407,0
2015-02-05,60.845,61.364,60.184,61.346,9592349,0
2015-02-06,61.953,62.082,60.992,61.274,8429124,0
2015-02-09,61.71,62.289,61.41,61.601,8889273,0
2015-02-10,61.609,61.837,60.374,61.727,8675426,0
2015-02-11,61.045,62.163,60.648,61.627,9214123,0
2015-02-12,62.627,63.188,62.06,62.444,9415194,0
2015-02-13,63.169,64.343,63.051,64.133,9173626,0
2015-02-17,63.426,64.215,62.885,63.758,8338268,0
2015-02-18,62.434,63.38,62.05,62.159,9729983,0
2015-02-19,60.627,62.27,60.039,61.874,9831204,0
2015-02-20,61.663,61.874,60.873,61.839,9569275,0
2015-02-23,61.296,61.985,61.038,61.417,6616805,0
2015-02-24,61.923,61.932,61.271,61.573,5303745,0
2015-02-25,61.923,62.261,61.453,61.975,6702965,0
2015-02-26,61.387,61.387,60.194,60.435,8539324,0
2015-02-27,60.572,60.662,59.773,59.837,7586279,0
2015-03-02,59.984,59.984,58.579,59.103,8781320,0
2015-03-03,59.067,59.902,58.985,59.452,5910837,0
2015-03-04,59.462,59.462,58.433,58.967,5978830,0
2015-03-05,58.744,58.809,58.122,58.122,6524181,0
2015-03-06,57.818,58.441,57.516,57.625,7336162,0
2015-03-09,57.608,58.13,56.874,56.874,7074547,0
2015-03-10,55.973,56.644,55.699,55.864,9721874,0
2015-03-11,55.956,56.782,55.807,56.259,6909469,0
2015-03-12,56.515,56.818,56.278,56.313,6015657,0
2015-03-13,55.872,56.716,55.588,56.571,8995647,0
2015-03-16,56.195,57.322,55.827,57.268,6884082,0
2015-03-17,56.911,57.341,56.332,56.911,7070296,0
2015-03-18,56.45,59.021,56.45,58.405,10390899,0
2015-03-19,57.617,58.102,57.313,57.598,8615698,0
2015-03-20,57.901,58.847,57.818,58.588,10961313,0
2015-03-23,58.727,58.9,58.011,58.029,8094317,0
2015-03-24,58.232,58.389,57.387,57.407,6948914,0
2015-03-25,58.02,58.276,57.507,57.865,8348850,0
2015-03-26,58.691,58.866,57.746,58.039,7507342,0
2015-03-27,57.781,57.901,57.322,57.755,5665019,0
2015-03-30,58.414,58.876,58.186,58.736,6567438,0
2015-03-31,57.808,58.25,57.122,57.139,9991439,0
2015-04-01,57.553,58.267,57.488,57.837,9740397,0
2015-04-02,57.442,58.194,57.425,57.983,6437556,0
2015-04-06,58.204,60.462,58.186,60.012,11081278,0
2015-04-07,59.892,60.609,59.719,60.378,7820397,0
2015-04-08,60.637,60.784,59.471,59.479,9339748,0
2015-04-09,59.673,61.913,59.527,61.489,11963394,0
2015-04-10,61.82,61.856,60.931,61.058,6555016,0
2015-04-13,61.397,61.874,60.873,60.883,6251122,0
2015-04-14,61.325,62.914,61.251,62.738,9716644,0
2015-04-15,63.243,63.931,62.865,63.692,8469609,0
