Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,18.16,18.44,17.38,17.7,40538,0
2015-01-05,17.5,17.77,17.4,17.65,53780,0
2015-01-06,17.75,18.33,17.56,17.8,67178,0
2015-01-07,18.5,20.0,18.45,19.96,52048,0
2015-01-08,19.95,21.27,19.09,20.06,74168,0
2015-01-09,19.45,20.02,18.75,19.41,22766,0
2015-01-12,19.45,19.58,18.78,19.29,54110,0
2015-01-13,19.31,19.55,19.15,19.52,110794,0
2015-01-14,19.4,19.665,18.97,19.13,66551,0
2015-01-15,19.34,19.97,19.28,19.79,45953,0
2015-01-16,19.69,20.01,18.765,19.98,53409,0
2015-01-20,19.34,19.906,18.71,19.27,41653,0
2015-01-21,19.24,19.32,18.12,18.2,45281,0
2015-01-22,18.69,18.9,17.86,18.09,85890,0
2015-01-23,17.84,18.42,17.05,17.37,44642,0
2015-01-26,17.47,17.59,16.76,17.11,58020,0
2015-01-27,16.98,17.58,16.8,17.35,33084,0
2015-01-28,18.09,18.84,16.976,17.14,23185,0
2015-01-29,16.93,17.3,16.9,17.09,10894,0
2015-01-30,16.96,17.14,16.72,16.85,31051,0
2015-02-02,17.0,17.33,16.8,17.33,20529,0
2015-02-03,17.47,17.47,16.76,16.93,25001,0
2015-02-04,17.12,17.12,14.865,15.01,123015,0
2015-02-05,15.13,15.83,15.01,15.73,58822,0
2015-02-06,15.73,16.8,15.0,16.7,69225,0
2015-02-09,15.95,17.78,15.9,17.25,104409,0
2015-02-10,17.22,17.58,16.01,16.15,37412,0
2015-02-11,16.07,16.65,16.07,16.31,12355,0
2015-02-12,16.45,17.308,16.134,16.63,18015,0
2015-02-13,16.81,16.943,16.42,16.52,22851,0
2015-02-17,16.55,16.7,16.13,16.26,7628,0
2015-02-18,16.24,16.329,16.13,16.27,9521,0
2015-02-19,16.39,16.41,16.0,16.01,12158,0
2015-02-20,16.05,16.34,15.77,16.0,82684,0
2015-02-23,15.87,16.4,15.87,16.15,46229,0
2015-02-24,17.09,17.09,16.21,16.23,4294,0
2015-02-25,16.83,17.43,16.35,16.91,9732,0
2015-02-26,17.13,17.99,17.0,17.9,12419,0
2015-02-27,17.715,17.715,16.73,16.73,35056,0
2015-03-02,16.73,16.73,16.0,16.29,57400,0
2015-03-03,16.25,16.25,16.1,16.11,6400,0
2015-03-04,16.1,16.3,15.75,16.09,18100,0
2015-03-05,16.49,16.5,16.1,16.4,15000,0
2015-03-06,16.3,16.4,16.01,16.1,23700,0
2015-03-09,16.0,16.3,16.0,16.13,12800,0
2015-03-10,16.06,16.21,16.0,16.0,52900,0
2015-03-11,16.0,16.1,16.0,16.01,11700,0
2015-03-12,16.14,16.14,15.07,15.56,54700,0
2015-03-13,15.4,15.76,15.0,15.0,47300,0
2015-03-16,15.0,15.21,14.94,15.18,71800,0
2015-03-17,15.18,15.3,15.0,15.08,56500,0
2015-03-18,15.08,15.28,14.95,15.09,26900,0
2015-03-19,15.36,15.47,15.0,15.21,34600,0
2015-03-20,15.23,15.33,15.03,15.27,24800,0
2015-03-23,16.0,16.73,15.48,16.11,114800,0
2015-03-24,16.5,16.98,15.0,15.13,94100,0
2015-03-25,15.06,15.5,14.57,14.65,89000,0
2015-03-26,15.65,16.2,15.25,15.93,70600,0
2015-03-27,15.87,15.89,15.02,15.14,41700,0
2015-03-30,15.16,15.5,15.08,15.32,44900,0
2015-03-31,15.29,15.45,15.18,15.35,22400,0
2015-04-01,15.0,15.27,14.76,15.01,65100,0
2015-04-02,15.0,16.08,15.0,15.91,25700,0
2015-04-06,15.9,15.9,15.36,15.52,11000,0
2015-04-07,15.45,15.66,14.97,15.23,15725,0
2015-04-08,15.18,15.68,15.0,15.53,742200,0
2015-04-09,15.56,15.861,14.99,15.15,47307,0
2015-04-10,15.25,15.25,14.88,15.0,21200,0
2015-04-13,15.04,15.16,14.95,15.15,42000,0
2015-04-14,15.1,15.54,14.75,14.99,112000,0
2015-04-15,15.07,15.24,14.96,15.0,93488,0
2015-04-16,14.95,15.03,14.95,15.0,73104,0
2015-04-17,14.9,15.09,14.88,15.03,54100,0
2015-04-20,15.09,15.3,15.0,15.27,100598,0
2015-04-21,15.37,16.0,15.26,15.98,49601,0
2015-04-22,16.06,16.06,15.0,15.36,47379,0
2015-04-23,15.42,15.42,15.04,15.1,14300,0
2015-04-24,15.46,15.46,14.71,14.96,21600,0
2015-04-27,15.09,15.09,14.29,14.76,53200,0
2015-04-28,14.8,15.31,14.57,15.05,19200,0
2015-04-29,15.0,15.17,14.76,14.77,11500,0
2015-04-30,14.97,14.97,14.56,14.75,40300,0
2015-05-01,14.77,14.89,14.61,14.78,20400,0
2015-05-04,14.96,15.0,14.55,14.6,13600,0
2015-05-05,14.65,14.65,14.2,14.34,27100,0
2015-05-06,14.2,14.75,14.2,14.67,21404,0
2015-05-07,14.54,15.07,14.5,14.59,25507,0
2015-05-08,14.69,15.08,14.61,14.78,17100,0
2015-05-11,14.8,15.53,14.8,14.99,19400,0
2015-05-12,15.15,15.15,14.85,14.99,19253,0
2015-05-13,14.94,14.99,14.75,14.92,42500,0
2015-05-14,14.95,15.1,14.92,15.04,25700,0
2015-05-15,15.0,15.0,14.87,14.97,22514,0
2015-05-18,14.9,15.07,14.71,14.98,37794,0
2015-05-19,14.99,15.08,14.89,15.01,32400,0
2015-05-20,14.91,15.0,14.87,14.94,26900,0
2015-05-21,14.95,15.1,14.94,15.01,37500,0
2015-05-22,14.94,15.0,14.79,14.85,20400,0
2015-05-26,14.83,14.994,14.725,14.87,37552,0
2015-05-27,14.9,15.0,14.85,14.95,35400,0
2015-05-28,14.84,15.1,14.84,15.0,21851,0
2015-05-29,15.0,15.09,14.87,15.0,40800,0
2015-06-01,15.0,15.63,14.81,15.54,35800,0
2015-06-02,15.55,15.795,14.89,15.66,25647,0
2015-06-03,15.96,15.98,15.38,15.79,48400,0
2015-06-04,15.68,15.97,14.63,15.19,35600,0
2015-06-05,15.23,15.81,14.77,15.75,22300,0
2015-06-08,15.75,16.0,15.52,15.8,36300,0
2015-06-09,16.0,16.0,15.5,15.59,57520,0
2015-06-10,15.73,16.02,15.53,16.0,48807,0
2015-06-11,15.98,16.0,15.79,16.0,37549,0
2015-06-12,16.0,16.0,15.89,15.95,15900,0
2015-06-15,15.56,16.19,15.56,15.94,57000,0
2015-06-16,15.87,16.01,15.87,15.94,54800,0
2015-06-17,15.98,16.29,15.89,16.17,40900,0
2015-06-18,16.27,16.5,15.94,16.15,62000,0
2015-06-19,16.1,16.42,16.09,16.31,37700,0
2015-06-22,16.31,16.78,16.21,16.32,51700,0
2015-06-23,16.25,16.65,16.25,16.5,44503,0
2015-06-24,16.4,16.8,16.31,16.46,22900,0
2015-06-25,16.59,16.99,16.48,16.99,106300,0
2015-06-26,17.0,17.31,16.8,17.0,816000,0
2015-06-29,17.01,17.38,16.8,17.22,73100,0
2015-06-30,17.27,18.01,17.27,17.55,80016,0
2015-07-01,17.53,18.0,17.51,17.74,86800,0
2015-07-02,17.7,18.02,17.6,17.95,53200,0
2015-07-06,17.92,18.22,17.8,17.96,43400,0
2015-07-07,17.95,18.04,17.63,17.85,53600,0
2015-07-08,17.7,17.99,17.5,17.61,36900,0
2015-07-09,17.77,18.1,17.77,17.92,27100,0
2015-07-10,18.03,18.4,17.95,18.22,47700,0
2015-07-13,18.66,20.11,18.47,19.9,128200,0
2015-07-14,20.0,20.67,19.75,20.55,182625,0
2015-07-15,20.5,21.25,20.39,20.65,215921,0
2015-07-16,20.81,21.15,20.56,20.72,52000,0
