Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,0.95,1.0,0.95,0.99,467304,0
2015-01-05,0.98,1.0,0.93,0.93,654656,0
2015-01-06,0.93,0.95,0.92,0.93,510951,0
2015-01-07,0.93,0.95,0.92,0.95,721949,0
2015-01-08,0.95,0.98,0.94,0.97,322423,0
2015-01-09,0.98,0.98,0.93,0.95,201116,0
2015-01-12,0.95,0.95,0.9,0.95,773687,0
2015-01-13,0.94,0.95,0.9,0.95,617286,0
2015-01-14,0.9,0.9,0.85,0.89,1235293,0
2015-01-15,0.87,0.9,0.87,0.88,366245,0
2015-01-16,0.88,0.92,0.86,0.9,450175,0
2015-01-20,0.92,0.92,0.88,0.89,542153,0
2015-01-21,0.92,0.92,0.87,0.88,269530,0
2015-01-22,0.91,0.91,0.87,0.88,234377,0
2015-01-23,0.87,0.88,0.86,0.86,523785,0
2015-01-26,0.87,0.9,0.87,0.88,558876,0
2015-01-27,0.89,0.91,0.88,0.88,636712,0
2015-01-28,0.88,0.89,0.86,0.86,211384,0
2015-01-29,0.89,0.89,0.83,0.85,535439,0
2015-01-30,0.85,0.87,0.84,0.85,248869,0
2015-02-02,0.84,0.88,0.84,0.87,451942,0
2015-02-03,0.87,0.89,0.87,0.89,380713,0
2015-02-04,0.9,0.92,0.84,0.89,250529,0
2015-02-05,0.89,0.92,0.87,0.91,642312,0
2015-02-06,0.92,0.93,0.89,0.91,668901,0
2015-02-09,0.93,0.93,0.9,0.9,401486,0
2015-02-10,0.92,0.92,0.89,0.9,412753,0
2015-02-11,0.9,0.92,0.89,0.91,382457,0
2015-02-12,0.92,0.94,0.91,0.91,342119,0
2015-02-13,0.93,0.94,0.91,0.93,200039,0
2015-02-17,0.93,0.98,0.93,0.95,1449345,0
2015-02-18,0.96,0.97,0.93,0.96,563171,0
2015-02-19,0.95,0.95,0.92,0.93,254450,0
2015-02-20,0.94,0.94,0.9,0.9,673995,0
2015-02-23,0.92,0.92,0.87,0.9,495557,0
2015-02-24,0.91,0.91,0.89,0.9,303753,0
2015-02-25,0.89,0.92,0.88,0.92,461357,0
2015-02-26,0.91,0.91,0.87,0.89,333593,0
2015-02-27,0.9,0.9,0.88,0.89,185467,0
2015-03-02,0.9,0.91,0.88,0.89,286100,0
2015-03-03,0.88,0.9,0.88,0.89,226500,0
2015-03-04,0.9,0.9,0.87,0.88,640200,0
2015-03-05,0.87,0.9,0.87,0.88,284600,0
2015-03-06,0.89,0.9,0.86,0.87,644200,0
2015-03-09,0.87,0.88,0.85,0.85,438500,0
2015-03-10,0.85,0.85,0.81,0.82,552700,0
2015-03-11,0.83,0.83,0.81,0.82,258200,0
2015-03-12,0.82,0.84,0.82,0.83,192300,0
2015-03-13,0.84,0.84,0.81,0.82,561600,0
2015-03-16,0.81,0.82,0.8,0.81,485500,0
2015-03-17,0.8,0.82,0.8,0.82,311100,0
2015-03-18,0.82,0.84,0.81,0.83,258900,0
2015-03-19,0.83,0.83,0.77,0.79,511300,0
2015-03-20,0.81,0.82,0.79,0.81,155800,0
2015-03-23,0.8,0.82,0.8,0.8,261500,0
2015-03-24,0.79,0.82,0.79,0.81,317500,0
2015-03-25,0.83,0.85,0.8,0.83,649700,0
2015-03-26,0.82,0.84,0.81,0.82,177900,0
2015-03-27,0.81,0.82,0.79,0.8,357800,0
2015-03-30,0.8,0.82,0.79,0.79,236800,0
2015-03-31,0.8,0.8,0.77,0.79,275800,0
2015-04-01,0.79,0.81,0.78,0.8,205100,0
2015-04-02,0.8,0.81,0.79,0.81,248400,0
2015-04-06,0.8,0.82,0.8,0.82,478000,0
2015-04-07,0.82,0.82,0.81,0.81,311699,0
2015-04-08,0.81,0.82,0.76,0.79,1589800,0
2015-04-09,0.79,0.81,0.79,0.8,205570,0
2015-04-10,0.81,0.81,0.8,0.8,128500,0
2015-04-13,0.81,0.81,0.8,0.81,225800,0
2015-04-14,0.8,0.82,0.8,0.82,503600,0
2015-04-15,0.82,0.9,0.81,0.88,890830,0
2015-04-16,0.88,0.88,0.83,0.84,479296,0
2015-04-17,0.83,0.86,0.82,0.83,160800,0
2015-04-20,0.84,0.86,0.83,0.85,858747,0
2015-04-21,0.85,0.85,0.83,0.84,393204,0
2015-04-22,0.85,0.95,0.84,0.92,2133698,0
2015-04-23,0.95,0.99,0.93,0.97,2148300,0
2015-04-24,0.99,0.99,0.94,0.95,1110687,0
2015-04-27,0.97,0.99,0.95,0.95,1284500,0
2015-04-28,0.97,0.97,0.94,0.97,741220,0
2015-04-29,0.94,0.95,0.89,0.91,1805700,0
2015-04-30,0.9,0.91,0.87,0.89,1176000,0
2015-05-01,0.88,0.89,0.86,0.87,1028200,0
2015-05-04,0.89,0.89,0.87,0.89,667200,0
2015-05-05,0.89,0.91,0.88,0.91,661400,0
2015-05-06,0.89,0.9,0.86,0.86,1003000,0
2015-05-07,0.86,0.86,0.83,0.83,527118,0
2015-05-08,0.85,0.88,0.83,0.88,422100,0
2015-05-11,0.89,0.89,0.85,0.86,267900,0
2015-05-12,0.85,0.9,0.85,0.88,554648,0
2015-05-13,0.89,0.94,0.86,0.94,945678,0
2015-05-14,0.94,0.95,0.92,0.93,564300,0
2015-05-15,0.92,0.92,0.88,0.89,523985,0
2015-05-18,0.91,0.92,0.89,0.91,568498,0
2015-05-19,0.88,0.89,0.86,0.86,693741,0
2015-05-20,0.86,0.87,0.84,0.84,341465,0
2015-05-21,0.86,0.87,0.85,0.86,390600,0
2015-05-22,0.85,0.87,0.84,0.85,461400,0
2015-05-26,0.85,0.88,0.82,0.84,721835,0
2015-05-27,0.84,0.84,0.82,0.83,257300,0
2015-05-28,0.83,0.85,0.82,0.84,543875,0
2015-05-29,0.82,0.84,0.82,0.83,338900,0
2015-06-01,0.83,0.84,0.8,0.82,731421,0
2015-06-02,0.82,0.85,0.82,0.84,565141,0
2015-06-03,0.84,0.84,0.82,0.83,210100,0
2015-06-04,0.83,0.83,0.82,0.83,220100,0
2015-06-05,0.82,0.85,0.8,0.85,577900,0
2015-06-08,0.85,0.85,0.82,0.82,402900,0
2015-06-09,0.82,0.83,0.82,0.83,225156,0
2015-06-10,0.83,0.84,0.82,0.82,399446,0
2015-06-11,0.83,0.84,0.81,0.84,224893,0
2015-06-12,0.83,0.83,0.82,0.83,132500,0
2015-06-15,0.81,0.82,0.8,0.82,386200,0
2015-06-16,0.8,0.82,0.8,0.81,673000,0
2015-06-17,0.81,0.81,0.76,0.78,819400,0
2015-06-18,0.79,0.8,0.77,0.79,405100,0
2015-06-19,0.79,0.79,0.77,0.78,350300,0
2015-06-22,0.79,0.79,0.76,0.78,382300,0
2015-06-23,0.77,0.79,0.76,0.79,565208,0
2015-06-24,0.79,0.8,0.77,0.79,122000,0
2015-06-25,0.78,0.79,0.76,0.78,331200,0
2015-06-26,0.77,0.77,0.76,0.77,370400,0
2015-06-29,0.76,0.77,0.71,0.75,648800,0
2015-06-30,0.74,0.75,0.72,0.75,616638,0
2015-07-01,0.73,0.74,0.71,0.74,463400,0
2015-07-02,0.73,0.74,0.71,0.74,238600,0
2015-07-06,0.72,0.72,0.69,0.7,732400,0
2015-07-07,0.68,0.69,0.64,0.67,1490300,0
2015-07-08,0.67,0.69,0.65,0.67,902000,0
2015-07-09,0.66,0.67,0.64,0.64,552400,0
2015-07-10,0.64,0.66,0.63,0.64,770600,0
2015-07-13,0.64,0.64,0.61,0.62,657100,0
2015-07-14,0.62,0.64,0.61,0.62,826698,0
2015-07-15,0.61,0.61,0.58,0.59,949988,0
2015-07-16,0.6,0.61,0.59,0.61,386200,0
2015-07-17,0.6,0.6,0.56,0.58,721400,0
2015-07-20,0.57,0.57,0.52,0.53,1234900,0
2015-07-21,0.53,0.55,0.51,0.53,1135500,0
2015-07-22,0.52,0.53,0.51,0.52,465000,0
2015-07-23,0.52,0.53,0.49,0.51,551900,0
2015-07-24,0.5,0.51,0.48,0.48,549500,0
2015-07-27,0.48,0.49,0.43,0.44,884900,0
2015-07-28,0.45,0.47,0.42,0.46,1371900,0
2015-07-29,0.47,0.5,0.46,0.48,1457700,0
2015-07-30,0.49,0.52,0.49,0.5,748100,0
2015-07-31,0.51,0.54,0.51,0.53,906700,0
2015-08-03,0.54,0.55,0.53,0.54,620292,0
2015-08-04,0.54,0.54,0.5,0.5,439400,0
2015-08-05,0.5,0.51,0.49,0.5,365000,0
2015-08-06,0.5,0.51,0.48,0.5,376980,0
2015-08-07,0.5,0.5,0.47,0.49,378300,0
2015-08-10,0.49,0.55,0.48,0.54,1100300,0
2015-08-11,0.53,0.54,0.5,0.51,1165103,0
2015-08-12,0.51,0.53,0.5,0.52,393200,0
2015-08-13,0.52,0.52,0.49,0.5,373500,0
2015-08-14,0.5,0.52,0.49,0.51,884200,0
2015-08-17,0.51,0.53,0.51,0.51,568700,0
2015-08-18,0.52,0.52,0.5,0.52,329700,0
2015-08-19,0.51,0.51,0.49,0.49,737900,0
2015-08-20,0.49,0.5,0.47,0.48,464900,0
2015-08-21,0.48,0.5,0.46,0.49,1051700,0
2015-08-24,0.46,0.46,0.43,0.44,1274397,0
2015-08-25,0.46,0.47,0.43,0.43,732000,0
2015-08-26,0.44,0.44,0.41,0.43,1129300,0
2015-08-27,0.43,0.46,0.42,0.46,1087500,0
2015-08-28,0.46,0.49,0.46,0.49,592000,0
2015-08-31,0.48,0.5,0.46,0.49,1051600,0
2015-09-01,0.48,0.5,0.48,0.49,786700,0
2015-09-02,0.47,0.49,0.46,0.47,887300,0
2015-09-03,0.48,0.49,0.46,0.49,774200,0
2015-09-04,0.47,0.49,0.47,0.47,347400,0
2015-09-08,0.48,0.5,0.48,0.5,923700,0
2015-09-09,0.49,0.49,0.46,0.47,1132000,0
2015-09-10,0.47,0.48,0.46,0.47,319632,0
2015-09-11,0.46,0.46,0.44,0.45,388800,0
2015-09-14,0.45,0.45,0.43,0.44,763400,0
2015-09-15,0.43,0.45,0.43,0.43,413000,0
2015-09-16,0.43,0.46,0.43,0.45,854300,0
2015-09-17,0.45,0.45,0.44,0.44,413158,0
2015-09-18,0.45,0.45,0.42,0.43,372800,0
2015-09-21,0.44,0.44,0.42,0.42,319100,0
2015-09-22,0.42,0.42,0.39,0.42,1005300,0
2015-09-23,0.42,0.42,0.41,0.41,269699,0
2015-09-24,0.41,0.41,0.4,0.4,375257,0
2015-09-25,0.4,0.41,0.39,0.39,1093300,0
2015-09-28,0.4,0.4,0.36,0.36,782463,0
2015-09-29,0.37,0.39,0.36,0.37,1270900,0
2015-09-30,0.37,0.4,0.37,0.38,636200,0
2015-10-01,0.4,0.41,0.37,0.38,1223300,0
2015-10-02,0.38,0.4,0.38,0.39,456100,0
2015-10-05,0.4,0.45,0.4,0.44,1098353,0
2015-10-06,0.44,0.45,0.43,0.45,832200,0
2015-10-07,0.46,0.49,0.45,0.49,923244,0
2015-10-08,0.49,0.52,0.47,0.51,1099300,0
2015-10-09,0.51,0.53,0.48,0.53,779300,0
2015-10-12,0.52,0.52,0.49,0.5,206700,0
2015-10-13,0.49,0.53,0.48,0.51,854600,0
2015-10-14,0.51,0.53,0.49,0.53,559600,0
2015-10-15,0.5,0.56,0.5,0.54,677400,0
2015-10-16,0.54,0.55,0.53,0.53,386200,0
2015-10-19,0.52,0.53,0.48,0.48,589151,0
2015-10-20,0.49,0.5,0.49,0.49,312100,0
2015-10-21,0.47,0.49,0.45,0.46,391000,0
2015-10-22,0.46,0.46,0.42,0.43,548700,0
2015-10-23,0.43,0.44,0.42,0.44,504200,0
2015-10-26,0.43,0.47,0.43,0.44,217700,0
2015-10-27,0.44,0.45,0.42,0.43,286400,0
2015-10-28,0.44,0.46,0.43,0.43,314700,0
2015-10-29,0.43,0.44,0.43,0.43,156800,0
2015-10-30,0.44,0.44,0.41,0.41,427100,0
2015-11-02,0.41,0.42,0.39,0.39,687339,0
2015-11-03,0.39,0.42,0.39,0.41,674666,0
2015-11-04,0.42,0.43,0.41,0.42,456262,0
2015-11-05,0.42,0.43,0.42,0.42,160600,0
2015-11-06,0.42,0.42,0.4,0.4,187000,0
2015-11-09,0.41,0.41,0.4,0.4,215243,0
2015-11-10,0.41,0.42,0.4,0.4,427800,0
2015-11-11,0.4,0.41,0.4,0.41,349500,0
2015-11-12,0.41,0.41,0.39,0.4,233400,0
2015-11-13,0.4,0.41,0.39,0.39,526300,0
2015-11-16,0.38,0.4,0.37,0.39,270900,0
2015-11-17,0.39,0.39,0.37,0.39,372300,0
2015-11-18,0.39,0.39,0.37,0.38,484400,0
2015-11-19,0.38,0.38,0.37,0.38,388700,0
2015-11-20,0.38,0.38,0.37,0.37,199100,0
2015-11-23,0.38,0.38,0.36,0.37,320700,0
2015-11-24,0.37,0.38,0.36,0.37,413900,0
2015-11-25,0.37,0.4,0.36,0.38,680000,0
2015-11-27,0.39,0.39,0.37,0.38,235100,0
2015-11-30,0.37,0.39,0.37,0.38,415600,0
2015-12-01,0.4,0.41,0.38,0.4,1117037,0
2015-12-02,0.4,0.41,0.38,0.38,403864,0
2015-12-03,0.38,0.39,0.37,0.37,210331,0
2015-12-04,0.39,0.39,0.37,0.37,373300,0
2015-12-07,0.37,0.37,0.36,0.36,666900,0
2015-12-08,0.36,0.36,0.35,0.36,439396,0
2015-12-09,0.36,0.37,0.35,0.35,301500,0
2015-12-10,0.35,0.38,0.35,0.37,970100,0
2015-12-11,0.38,0.38,0.36,0.36,564000,0
2015-12-14,0.37,0.37,0.36,0.37,244797,0
2015-12-15,0.37,0.39,0.36,0.38,498500,0
2015-12-16,0.38,0.39,0.37,0.37,558100,0
2015-12-17,0.37,0.38,0.37,0.37,1091500,0
2015-12-18,0.37,0.4,0.37,0.4,510100,0
2015-12-21,0.41,0.44,0.4,0.43,851600,0
2015-12-22,0.43,0.45,0.43,0.44,483903,0
2015-12-23,0.45,0.45,0.43,0.43,596600,0
2015-12-24,0.43,0.4419,0.43,0.4331,96649,0
2015-12-28,0.435,0.4475,0.435,0.44,312121,0
2015-12-29,0.444,0.46,0.4317,0.4495,663479,0
2015-12-30,0.4448,0.453,0.44,0.4456,541807,0
2015-12-31,0.4456,0.499,0.44,0.498,905471,0
2016-01-04,0.5,0.5,0.4716,0.477,556814,0
2016-01-05,0.4726,0.4884,0.471,0.4779,140963,0
2016-01-06,0.48,0.4824,0.46,0.4674,589830,0
2016-01-07,0.46,0.46,0.4233,0.4253,948948,0
2016-01-08,0.4316,0.446,0.426,0.443,340768,0
2016-01-11,0.46,0.4698,0.43,0.4395,353274,0
2016-01-12,0.4518,0.4518,0.4185,0.427,468580,0
2016-01-13,0.4327,0.4327,0.4101,0.412,268478,0
2016-01-14,0.41,0.4193,0.4021,0.4116,367072,0
2016-01-15,0.4162,0.4162,0.3911,0.3951,312040,0
2016-01-19,0.4,0.42,0.38,0.39,555500,0
2016-01-20,0.3769,0.3879,0.3619,0.381,727509,0
2016-01-21,0.38,0.3913,0.374,0.3775,392314,0
2016-01-22,0.39,0.4115,0.39,0.41,383346,0
2016-01-25,0.41,0.417,0.4011,0.4137,163424,0
2016-01-26,0.41,0.42,0.4048,0.4195,330427,0
2016-01-27,0.42,0.428,0.4111,0.4263,262530,0
2016-01-28,0.43,0.4486,0.4278,0.44,372989,0
2016-01-29,0.44,0.45,0.4325,0.45,350570,0
2016-02-01,0.45,0.47,0.45,0.47,506486,0
2016-02-02,0.46,0.46,0.4398,0.4463,424998,0
2016-02-03,0.45,0.4647,0.439,0.4647,305338,0
2016-02-04,0.46,0.47,0.45,0.46,199146,0
2016-02-05,0.45,0.46,0.4402,0.4521,323736,0
2016-02-08,0.436,0.44,0.42,0.4304,626114,0
2016-02-09,0.43,0.44,0.413,0.4237,494093,0
2016-02-10,0.44,0.44,0.41,0.41,313471,0
2016-02-11,0.4138,0.4315,0.4138,0.423,216383,0
2016-02-12,0.4318,0.44,0.4239,0.4319,446438,0
2016-02-16,0.44,0.459,0.4373,0.4589,400381,0
2016-02-17,0.46,0.48,0.46,0.4777,905214,0
2016-02-18,0.48,0.49,0.4675,0.48,356324,0
2016-02-19,0.4785,0.479,0.4561,0.46,446996,0
2016-02-22,0.4657,0.4875,0.4657,0.4813,393239,0
2016-02-23,0.48,0.4837,0.4539,0.46,494962,0
2016-02-24,0.46,0.46,0.435,0.4487,176626,0
2016-02-25,0.4475,0.4566,0.4341,0.4449,201449,0
2016-02-26,0.445,0.4575,0.4425,0.444,121754,0
2016-02-29,0.443,0.4591,0.443,0.4591,78355,0
2016-03-01,0.4583,0.4709,0.444,0.4559,210443,0
2016-03-02,0.4436,0.4698,0.4436,0.4695,181504,0
2016-03-03,0.469,0.4898,0.4601,0.4825,663351,0
2016-03-04,0.4861,0.51,0.48,0.5,1028704,0
2016-03-07,0.475,0.5128,0.475,0.505,826068,0
