Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,50.9,51.2,48.73,50.2,105408,0
2015-01-05,49.88,50.5,49.05,49.5,122165,0
2015-01-06,49.47,49.47,47.12,47.76,197228,0
2015-01-07,48.25,48.96,47.25,48.08,86663,0
2015-01-08,48.54,50.24,48.0,50.07,206936,0
2015-01-09,49.91,50.12,47.51,47.7,148104,0
2015-01-12,47.44,47.453,42.61,42.74,227563,0
2015-01-13,42.91,44.42,41.72,42.59,208963,0
2015-01-14,42.672,42.672,39.6,40.8,162659,0
2015-01-15,41.6,42.006,39.72,39.82,125384,0
2015-01-16,39.75,40.33,39.6,40.11,139459,0
2015-01-20,40.2,40.24,39.12,39.31,148179,0
2015-01-21,39.19,39.58,38.94,39.5,441434,0
2015-01-22,39.93,40.45,39.85,40.05,225006,0
2015-01-23,40.18,40.465,39.15,39.7,186623,0
2015-01-26,40.06,41.83,39.5,41.7,121429,0
2015-01-27,41.1,41.53,40.331,41.12,121883,0
2015-01-28,41.38,41.38,40.4,40.7,203953,0
2015-01-29,40.61,41.515,39.725,40.98,196429,0
2015-01-30,40.67,41.6,40.67,41.02,137702,0
2015-02-02,41.17,41.82,40.4,41.67,96382,0
2015-02-03,41.94,44.52,41.94,44.27,100862,0
2015-02-04,43.99,44.31,42.01,42.53,134922,0
2015-02-05,42.84,44.35,41.89,44.21,89140,0
2015-02-06,44.35,44.75,43.66,44.71,116340,0
2015-02-09,44.5,45.65,44.49,45.11,57139,0
2015-02-10,44.91,45.36,44.16,44.97,150467,0
2015-02-11,44.68,44.97,42.78,44.43,74862,0
2015-02-12,44.95,46.05,44.43,45.15,75880,0
2015-02-13,45.26,47.05,45.17,46.57,106350,0
2015-02-17,46.51,46.94,45.26,46.84,87934,0
2015-02-18,46.53,47.73,46.28,47.66,75926,0
2015-02-19,47.34,47.78,47.06,47.35,81240,0
2015-02-20,47.48,47.76,46.21,47.11,195970,0
2015-02-23,46.74,46.92,45.01,45.84,173610,0
2015-02-24,46.03,47.33,45.47,46.88,117935,0
2015-02-25,46.77,46.97,46.38,46.68,88153,0
2015-02-26,46.54,47.11,46.19,46.43,81444,0
2015-02-27,46.36,46.86,45.74,45.8,112244,0
2015-03-02,45.63,45.63,43.99,44.74,199700,0
2015-03-03,43.34,48.83,42.75,47.3,288800,0
2015-03-04,46.68,46.89,45.58,46.0,147800,0
2015-03-05,45.85,47.82,44.93,47.46,175400,0
2015-03-06,47.18,48.27,46.62,47.84,138600,0
2015-03-09,47.97,48.61,45.47,45.53,156900,0
2015-03-10,44.75,45.11,44.07,44.81,128400,0
2015-03-11,44.79,45.3,44.12,44.55,106200,0
2015-03-12,44.99,45.41,43.99,44.88,104800,0
2015-03-13,44.57,45.14,43.9,44.56,152000,0
2015-03-16,44.57,44.97,43.71,44.6,121200,0
2015-03-17,44.29,45.09,44.29,44.83,76900,0
2015-03-18,44.83,45.84,44.15,45.3,105300,0
2015-03-19,44.89,45.11,43.82,44.47,96600,0
2015-03-20,44.83,45.85,43.86,45.08,166100,0
2015-03-23,44.63,45.62,44.63,45.23,132900,0
2015-03-24,45.0,46.59,44.88,46.28,52000,0
2015-03-25,45.92,46.63,44.9,45.85,107600,0
2015-03-26,45.86,46.48,45.05,45.62,124600,0
2015-03-27,45.26,45.69,42.7,43.17,220800,0
2015-03-30,44.22,44.23,42.23,43.79,338800,0
2015-03-31,43.45,44.54,43.0,44.09,158385,0
2015-04-01,43.84,45.34,43.74,44.48,134700,0
2015-04-02,44.49,45.76,44.37,45.28,132900,0
2015-04-06,45.12,45.92,45.12,45.85,130500,0
2015-04-07,45.79,46.72,45.53,46.2,86557,0
2015-04-08,46.15,46.65,43.6,43.76,236500,0
2015-04-09,43.64,45.29,43.61,45.25,142752,0
2015-04-10,45.42,45.66,44.65,45.21,73300,0
2015-04-13,45.31,46.19,44.91,45.62,82600,0
2015-04-14,45.7,47.25,45.41,46.9,99200,0
2015-04-15,47.14,49.06,47.14,48.85,75860,0
2015-04-16,48.62,48.67,47.53,47.75,132499,0
2015-04-17,47.06,47.59,47.0,47.33,119400,0
2015-04-20,47.49,48.06,47.21,47.42,89373,0
2015-04-21,47.49,47.55,45.54,45.66,74668,0
2015-04-22,45.27,45.5,44.1,44.71,80306,0
2015-04-23,44.78,45.4,44.24,44.89,47900,0
2015-04-24,44.77,44.77,43.83,44.0,64129,0
2015-04-27,44.06,45.15,44.06,44.63,76000,0
2015-04-28,44.71,45.97,44.63,45.71,85531,0
2015-04-29,45.51,46.64,44.9,46.19,64300,0
2015-04-30,45.67,46.04,44.2,45.05,148800,0
2015-05-01,45.04,45.86,44.69,45.53,63700,0
2015-05-04,45.7,46.95,45.57,46.58,96500,0
2015-05-05,46.7,47.25,45.1,45.46,106700,0
2015-05-06,45.79,45.79,44.8,45.4,111181,0
2015-05-07,45.85,46.63,42.6,46.46,109148,0
2015-05-08,45.47,46.65,42.5,44.15,250200,0
2015-05-11,44.06,44.1,42.27,43.33,167700,0
2015-05-12,42.84,43.95,42.16,43.88,124842,0
2015-05-13,44.18,44.55,43.15,44.17,104100,0
2015-05-14,44.49,44.57,43.49,44.04,96700,0
2015-05-15,43.83,44.948,43.04,44.11,84284,0
2015-05-18,44.08,44.77,43.25,44.16,77512,0
2015-05-19,43.85,44.248,42.65,42.87,168441,0
2015-05-20,42.87,43.27,41.51,42.08,73400,0
2015-05-21,42.57,42.59,41.37,41.75,132200,0
2015-05-22,43.21,43.21,41.31,41.58,98600,0
2015-05-26,41.25,41.988,39.9,40.46,141192,0
2015-05-27,40.49,41.49,40.3,41.36,78100,0
2015-05-28,41.38,41.38,40.65,41.11,60516,0
2015-05-29,41.01,41.51,40.43,41.01,100700,0
2015-06-01,41.19,42.33,40.72,41.29,95843,0
2015-06-02,41.13,43.16,40.71,41.99,63077,0
2015-06-03,42.52,43.0,41.43,42.35,87700,0
2015-06-04,42.11,42.64,40.88,41.1,55000,0
2015-06-05,41.11,42.09,40.76,41.29,51000,0
2015-06-08,41.06,41.59,39.78,39.94,129800,0
2015-06-09,40.01,41.34,40.01,40.86,165249,0
2015-06-10,41.19,42.28,40.9,42.25,100901,0
2015-06-11,42.19,42.76,41.78,42.23,114122,0
2015-06-12,42.19,43.58,41.53,42.27,126800,0
2015-06-15,42.44,42.59,41.31,42.48,109300,0
2015-06-16,41.59,43.45,41.59,43.3,119100,0
2015-06-17,43.49,44.04,43.49,43.97,101700,0
2015-06-18,44.25,44.33,43.77,44.05,75300,0
2015-06-19,44.15,44.4,43.72,44.04,139300,0
2015-06-22,44.29,45.21,44.1,45.18,72000,0
2015-06-23,45.32,46.08,44.67,46.05,95882,0
2015-06-24,46.47,46.9,46.05,46.8,120800,0
2015-06-25,47.0,47.35,46.58,47.15,105000,0
2015-06-26,47.02,47.93,46.44,47.81,433400,0
2015-06-29,47.42,47.78,46.02,46.63,128500,0
2015-06-30,47.28,47.28,45.71,46.5,103767,0
2015-07-01,46.88,46.88,44.76,45.26,104400,0
2015-07-02,45.2,46.25,44.54,44.59,88600,0
2015-07-06,44.09,44.21,42.48,43.04,93300,0
2015-07-07,42.93,45.31,40.68,42.96,119000,0
2015-07-08,42.7,42.87,40.93,41.79,103500,0
2015-07-09,42.22,43.2,41.9,42.38,133700,0
2015-07-10,42.73,42.73,41.06,41.17,161200,0
2015-07-13,41.27,41.85,41.27,41.55,107900,0
2015-07-14,41.51,42.19,41.35,41.98,105754,0
2015-07-15,41.8,42.33,39.79,39.86,93776,0
2015-07-16,40.23,41.85,40.04,41.63,119200,0
2015-07-17,41.52,41.52,40.83,41.1,70900,0
2015-07-20,41.24,41.35,40.37,40.69,147100,0
2015-07-21,40.55,41.02,39.82,39.87,171000,0
2015-07-22,39.64,40.02,38.17,38.35,127500,0
2015-07-23,38.35,40.25,37.55,37.82,116100,0
2015-07-24,37.7,37.99,36.22,37.09,143900,0
2015-07-27,37.0,37.33,36.18,37.07,137900,0
2015-07-28,37.36,37.52,36.74,37.19,149800,0
2015-07-29,37.01,37.39,36.73,37.15,175900,0
2015-07-30,37.12,37.22,36.26,37.03,84900,0
2015-07-31,37.09,37.26,36.39,36.7,68300,0
2015-08-03,36.76,37.05,35.7,36.03,98956,0
2015-08-04,36.09,36.77,35.25,35.7,122300,0
2015-08-05,35.82,36.73,35.4,35.9,132800,0
2015-08-06,35.91,36.852,35.73,36.23,105730,0
2015-08-07,36.1,36.83,35.2,35.83,191700,0
2015-08-10,33.5,34.87,31.78,32.3,454600,0
2015-08-11,32.13,32.566,30.98,31.24,347137,0
2015-08-12,31.09,31.61,29.97,30.75,130100,0
2015-08-13,30.78,30.92,29.78,30.15,145200,0
2015-08-14,30.02,30.84,29.48,30.0,187200,0
2015-08-17,29.99,30.36,29.49,29.75,179800,0
2015-08-18,29.79,30.05,29.45,29.92,395400,0
2015-08-19,29.9,29.9,28.7,29.03,85700,0
2015-08-20,28.49,29.84,28.11,28.36,283500,0
2015-08-21,27.85,28.96,27.77,28.59,218000,0
2015-08-24,27.26,28.996,27.05,27.86,206060,0
2015-08-25,28.12,29.09,27.42,27.57,210500,0
2015-08-26,28.01,28.01,26.46,26.53,254800,0
2015-08-27,26.87,27.37,25.8,26.32,488400,0
2015-08-28,26.42,28.4,26.42,28.01,303600,0
2015-08-31,27.76,30.02,27.68,29.75,261200,0
2015-09-01,29.09,29.96,28.94,29.56,312500,0
2015-09-02,29.76,30.64,29.55,29.79,202600,0
2015-09-03,29.9,30.4,29.24,29.5,198800,0
2015-09-04,29.17,29.92,29.05,29.58,141100,0
2015-09-08,29.96,31.26,29.8,30.31,165000,0
2015-09-09,30.52,31.37,30.11,30.36,222700,0
2015-09-10,30.32,30.99,30.24,30.55,118096,0
2015-09-11,30.27,30.6,29.92,30.32,187000,0
2015-09-14,30.16,30.49,28.28,28.9,205700,0
2015-09-15,29.04,29.82,28.94,29.7,87000,0
2015-09-16,29.73,31.1,29.73,30.9,123300,0
2015-09-17,31.0,31.062,29.65,29.78,102575,0
2015-09-18,29.36,29.82,28.36,28.74,347600,0
2015-09-21,28.83,29.34,28.52,28.75,121500,0
2015-09-22,28.38,28.91,27.76,28.22,158200,0
2015-09-23,28.26,28.446,27.113,27.42,119267,0
2015-09-24,27.15,27.99,26.798,27.95,138652,0
2015-09-25,28.21,29.06,27.71,28.31,139100,0
2015-09-28,28.23,28.37,27.58,27.98,146519,0
2015-09-29,28.1,28.22,27.63,28.01,183000,0
2015-09-30,28.02,28.14,27.05,27.28,149500,0
2015-10-01,27.42,27.92,26.85,27.19,157900,0
2015-10-02,26.97,28.21,26.39,28.0,133100,0
2015-10-05,28.31,29.74,28.31,29.32,382749,0
2015-10-06,29.4,30.32,29.35,29.88,237800,0
2015-10-07,30.12,31.558,29.77,30.03,324458,0
2015-10-08,30.11,33.67,30.11,33.44,277700,0
2015-10-09,33.59,34.08,33.18,33.34,111500,0
2015-10-12,33.29,34.494,32.14,32.31,107226,0
2015-10-13,32.13,33.79,31.86,32.47,120700,0
2015-10-14,32.38,33.63,31.93,32.22,106300,0
2015-10-15,32.22,33.15,31.3,32.75,139600,0
2015-10-16,32.72,33.82,30.81,31.22,111100,0
2015-10-19,30.94,31.192,29.73,29.77,132760,0
2015-10-20,29.82,31.28,29.61,30.53,106500,0
2015-10-21,30.57,30.75,29.7,29.82,76600,0
2015-10-22,29.9,32.18,29.9,31.66,107700,0
2015-10-23,31.89,32.18,31.21,31.58,72200,0
2015-10-26,31.45,32.69,30.7,30.78,58600,0
2015-10-27,30.53,30.61,29.25,29.72,106500,0
2015-10-28,29.79,31.61,29.79,31.36,142100,0
2015-10-29,31.34,31.95,28.88,29.74,173400,0
2015-10-30,29.7,30.4,29.0,30.26,182900,0
2015-11-02,30.16,31.14,29.86,30.88,87846,0
2015-11-03,30.94,31.7,30.77,31.46,113200,0
2015-11-04,31.62,32.34,31.22,32.0,93115,0
2015-11-05,31.91,32.2,31.26,31.5,138500,0
2015-11-06,31.0,33.68,29.25,32.26,139900,0
2015-11-09,32.26,32.26,28.61,29.92,184005,0
2015-11-10,29.89,30.69,29.46,30.58,89800,0
2015-11-11,30.7,30.7,29.44,29.94,59500,0
2015-11-12,29.55,30.24,28.83,28.94,92400,0
2015-11-13,28.71,29.93,28.6,29.23,114000,0
2015-11-16,29.27,29.96,28.91,29.87,75200,0
2015-11-17,29.88,30.11,28.63,29.2,84500,0
2015-11-18,29.17,30.91,29.17,30.66,110800,0
2015-11-19,30.55,30.99,29.83,30.92,77300,0
2015-11-20,31.12,31.37,30.16,31.16,158700,0
2015-11-23,30.99,31.17,30.52,31.05,81800,0
2015-11-24,31.03,33.2,30.88,32.54,124800,0
2015-11-25,32.47,32.75,32.03,32.46,59800,0
2015-11-27,32.38,32.62,32.28,32.4,25700,0
2015-11-30,32.59,33.04,32.29,32.75,178400,0
2015-12-01,32.82,32.89,32.31,32.5,104954,0
2015-12-02,32.31,32.58,30.84,31.16,82999,0
2015-12-03,31.34,31.57,30.42,30.96,74598,0
2015-12-04,30.79,31.0,30.17,30.71,62100,0
2015-12-07,30.35,30.6,29.09,29.4,112800,0
2015-12-08,28.98,29.0,27.57,28.2,152288,0
2015-12-09,28.24,29.23,27.78,28.58,95000,0
2015-12-10,28.5,28.9,27.8,28.35,86200,0
2015-12-11,27.84,28.41,27.74,28.31,147000,0
2015-12-14,28.23,28.25,27.05,27.66,149491,0
2015-12-15,27.87,28.05,26.68,26.74,166100,0
2015-12-16,26.85,27.07,26.09,26.21,126500,0
2015-12-17,26.41,26.79,25.23,26.18,173400,0
2015-12-18,26.21,26.75,25.4,25.7,255000,0
2015-12-21,25.66,25.96,22.39,23.26,324600,0
2015-12-22,23.39,24.08,22.325,23.88,115166,0
2015-12-23,24.05,24.93,23.64,24.69,117400,0
2015-12-24,24.64,25.09,24.57,24.71,55160,0
2015-12-28,24.64,24.78,22.93,23.14,107996,0
2015-12-29,23.34,23.965,22.34,22.66,100578,0
2015-12-30,22.52,23.36,22.35,23.25,63608,0
2015-12-31,23.3,23.43,22.77,22.8,93452,0
2016-01-04,22.5,23.69,21.345,21.91,189367,0
2016-01-05,21.86,22.65,21.56,21.77,130532,0
2016-01-06,21.2,21.67,20.63,21.34,119063,0
2016-01-07,20.89,21.332,19.6,19.6,82154,0
2016-01-08,19.67,20.475,18.82,18.92,75215,0
2016-01-11,19.01,19.12,17.821,18.38,132024,0
2016-01-12,18.73,18.73,17.35,18.12,115284,0
2016-01-13,18.24,18.86,16.07,16.74,251024,0
2016-01-14,16.87,17.84,16.064,17.02,139947,0
2016-01-15,16.34,16.93,15.57,16.19,139982,0
2016-01-19,16.41,17.04,15.74,15.77,227300,0
2016-01-20,15.46,16.62,14.34,14.82,222536,0
2016-01-21,15.03,15.7695,14.97,15.48,144022,0
2016-01-22,15.88,16.9,15.68,16.38,127354,0
2016-01-25,16.33,16.38,15.43,15.46,84352,0
