Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,8.75,9.0495,8.6,8.75,11693,0
2015-01-05,8.75,8.95,8.5,8.5,17114,0
2015-01-06,8.65,8.7,8.25,8.45,12161,0
2015-01-07,8.45,8.5,8.05,8.3,18418,0
2015-01-08,8.5,8.5,8.2,8.25,10759,0
2015-01-09,8.2,8.225,7.8,7.9,22675,0
2015-01-12,8.0,8.0,7.65,7.65,12180,0
2015-01-13,7.7,8.34,7.5,7.9,50657,0
2015-01-14,7.85,8.0,7.55,7.9,35128,0
2015-01-15,7.9,8.05,7.75,7.95,8970,0
2015-01-16,7.9,7.9,7.6,7.65,9537,0
2015-01-20,7.65,7.925,7.55,7.75,26096,0
2015-01-21,7.7,7.802,7.55,7.65,6936,0
2015-01-22,7.6,7.7,7.5,7.55,22161,0
2015-01-23,7.1,7.5,7.1,7.35,22607,0
2015-01-26,7.15,7.45,7.0,7.35,41781,0
2015-01-27,7.35,7.45,7.1,7.35,30293,0
2015-01-28,8.2,8.75,7.3,7.35,132437,0
2015-01-29,7.5,7.5,6.55,7.2,76739,0
2015-01-30,7.2,7.25,6.6,6.6,29712,0
2015-02-02,6.65,7.0,6.6,6.85,17235,0
2015-02-03,6.8,7.25,6.65,6.95,25796,0
2015-02-04,6.9,7.05,6.75,6.8,13136,0
2015-02-05,7.0,7.05,6.75,6.8,13020,0
2015-02-06,6.75,6.9,6.35,6.75,31904,0
2015-02-09,6.6,6.8,6.5,6.65,19115,0
2015-02-10,6.6,6.6505,6.4,6.5,17164,0
2015-02-11,6.55,6.8,6.5,6.75,8162,0
2015-02-12,6.8,7.2,6.7,6.825,48066,0
2015-02-13,6.8,7.15,6.8,7.0,21838,0
2015-02-17,6.95,7.3,6.9,7.0,22042,0
2015-02-18,7.05,7.2,6.8,7.1,14625,0
2015-02-19,6.95,8.15,6.95,7.9,67531,0
2015-02-20,7.8,8.1,7.65,7.7,14706,0
2015-02-23,7.8,7.95,7.5,7.5,13959,0
2015-02-24,7.5,7.55,7.15,7.15,17888,0
2015-02-25,7.15,7.45,7.05,7.05,17475,0
2015-02-26,7.1,7.3,6.9,6.9,13357,0
2015-02-27,6.95,7.25,6.95,7.025,11069,0
2015-03-02,7.1,7.15,6.8,6.9,16940,0
2015-03-03,6.95,7.25,6.8,6.95,5480,0
2015-03-04,7.0,7.05,6.65,6.7,17500,0
2015-03-05,6.8,6.8,6.6,6.7,13660,0
2015-03-06,6.7,6.75,6.55,6.6,11200,0
2015-03-09,6.6,6.8,6.5,6.5,9320,0
2015-03-10,6.4,6.9,6.35,6.4,15180,0
2015-03-11,6.35,6.5,6.3,6.4,10280,0
2015-03-12,6.35,6.65,6.25,6.6,19840,0
2015-03-13,6.55,6.8,6.35,6.5,9860,0
2015-03-16,6.4,6.5,6.05,6.05,19000,0
2015-03-17,6.1,6.3,6.0,6.25,16260,0
2015-03-18,6.15,6.4,6.1,6.4,6340,0
2015-03-19,6.45,6.75,6.35,6.7,11820,0
2015-03-20,6.6,6.7,6.25,6.25,9280,0
2015-03-23,6.3,6.7,6.3,6.6,3400,0
2015-03-24,6.6,6.75,6.3,6.65,14420,0
2015-03-25,6.7,6.9,6.45,6.85,17480,0
2015-03-26,6.85,6.85,6.55,6.7,10160,0
2015-03-27,6.75,6.75,6.4,6.6,4460,0
2015-03-30,6.5,6.6,6.4,6.4,9240,0
