Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.3,11.356,11.252,11.356,5725264,0
2015-01-05,11.234,11.271,11.177,11.234,6405645,0
2015-01-06,11.234,11.262,11.14,11.177,5460579,0
2015-01-07,11.102,11.196,11.074,11.153,9014539,0
2015-01-08,11.347,11.517,11.347,11.432,3272555,0
2015-01-09,11.498,11.526,11.375,11.45,2684103,0
2015-01-12,11.488,11.498,11.384,11.45,2545875,0
2015-01-13,11.441,11.507,11.196,11.3,4137132,0
2015-01-14,11.356,11.404,11.262,11.356,3298784,0
2015-01-15,11.252,11.328,11.224,11.271,3437410,0
2015-01-16,11.262,11.404,11.248,11.394,3871146,0
2015-01-20,11.583,11.657,11.488,11.629,2560995,0
2015-01-21,11.517,11.531,11.441,11.479,3905992,0
2015-01-22,11.432,11.553,11.413,11.553,5495355,0
2015-01-23,11.545,11.723,11.545,11.611,5214989,0
2015-01-26,11.545,11.723,11.517,11.705,4974272,0
2015-01-27,11.573,11.583,11.384,11.441,4111996,0
2015-01-28,11.3,11.483,11.271,11.29,6624183,0
2015-01-29,11.667,11.687,11.526,11.648,4788372,0
2015-01-30,11.583,11.611,11.432,11.432,4375574,0
2015-02-02,11.459,11.535,11.413,11.526,1791343,0
2015-02-03,11.715,11.865,11.715,11.865,4680089,0
2015-02-04,11.517,11.639,11.498,11.517,4656400,0
2015-02-05,11.507,11.629,11.459,11.62,3279921,0
2015-02-06,11.583,11.592,11.404,11.45,3688206,0
2015-02-09,11.338,11.45,11.318,11.404,4472052,0
2015-02-10,11.733,11.827,11.71,11.799,2758664,0
2015-02-11,11.875,11.885,11.733,11.809,1689996,0
2015-02-12,12.002,12.087,11.979,12.054,5503593,0
2015-02-13,12.063,12.073,11.997,12.034,2865064,0
2015-02-17,11.969,12.204,11.95,12.138,4592653,0
2015-02-18,12.11,12.214,12.026,12.186,1992559,0
2015-02-19,12.167,12.28,12.148,12.252,2705817,0
2015-02-20,12.054,12.298,12.026,12.27,2030803,0
2015-02-23,12.138,12.186,12.082,12.158,1656871,0
2015-02-24,12.167,12.28,12.148,12.262,1879093,0
2015-02-25,12.252,12.317,12.176,12.186,4003386,0
2015-02-26,12.148,12.232,12.11,12.148,1620216,0
2015-02-27,12.138,12.27,12.11,12.186,1168552,0
2015-03-02,12.092,12.176,12.044,12.167,3155467,0
2015-03-03,12.176,12.186,11.988,12.026,1615933,0
2015-03-04,11.969,12.11,11.865,12.082,3326089,0
2015-03-05,12.092,12.138,12.034,12.034,1852555,0
2015-03-06,11.818,11.885,11.723,11.752,3317707,0
2015-03-09,11.885,11.893,11.723,11.771,4022376,0
2015-03-10,11.629,11.657,11.526,11.553,2681902,0
2015-03-11,11.687,11.79,11.573,11.705,3548176,0
2015-03-12,11.771,11.979,11.733,11.95,3757210,0
2015-03-13,11.846,11.931,11.827,11.922,2577597,0
2015-03-16,12.026,12.186,12.026,12.176,7556758,0
2015-03-17,12.007,12.092,11.969,12.082,2453450,0
2015-03-18,12.044,12.384,12.026,12.374,6043645,0
2015-03-19,12.204,12.27,12.196,12.262,4123181,0
2015-03-20,12.242,12.308,12.196,12.242,23318493,0
2015-03-23,12.298,12.346,12.232,12.29,3404079,0
2015-03-24,12.29,12.308,12.186,12.204,3785966,0
2015-03-25,12.28,12.308,12.11,12.128,3318556,0
2015-03-26,12.016,12.128,11.903,12.092,3519844,0
2015-03-27,12.092,12.138,11.94,11.959,4332639,0
2015-03-30,12.044,12.063,11.931,11.969,3565471,0
2015-03-31,11.799,11.885,11.771,11.827,4028446,0
2015-04-01,11.865,11.865,11.733,11.827,3235367,0
2015-04-02,11.875,11.922,11.79,11.837,2119419,0
2015-04-06,11.922,12.073,11.893,12.026,2822178,0
2015-04-07,12.138,12.176,12.054,12.073,3277944,0
2015-04-08,12.063,12.101,11.959,11.988,2762545,0
2015-04-09,12.073,12.167,12.063,12.148,1838753,0
2015-04-10,12.026,12.128,11.969,12.12,1521920,0
2015-04-13,12.128,12.29,12.082,12.204,3749252,0
2015-04-14,12.327,12.346,12.101,12.148,4756544,0
2015-04-15,12.346,12.366,12.125,12.269,14156611,0
2015-04-16,12.25,12.356,12.173,12.26,4706155,0
2015-04-17,12.038,12.067,11.885,11.952,4866845,0
2015-04-20,12.048,12.125,12.028,12.058,2195901,0
2015-04-21,12.269,12.462,12.26,12.297,3699264,0
2015-04-22,12.25,12.279,12.139,12.211,3333925,0
2015-04-23,10.866,11.337,10.807,11.135,31002994,0
2015-04-24,11.009,11.029,10.913,10.971,6798399,0
2015-04-27,11.029,11.039,10.942,10.962,7170786,0
2015-04-28,10.866,10.952,10.798,10.913,7793543,0
2015-04-29,10.884,10.962,10.827,10.874,5441868,0
2015-04-30,10.673,10.692,10.452,10.499,6022923,0
2015-05-01,10.558,10.605,10.49,10.558,3900985,0
2015-05-04,10.596,10.596,10.471,10.548,5008911,0
2015-05-05,10.432,10.568,10.394,10.442,4359214,0
2015-05-06,10.644,10.664,10.442,10.49,12119250,0
2015-05-07,10.548,10.682,10.529,10.654,6954334,0
2015-05-08,10.962,11.125,10.874,11.029,6308199,0
2015-05-11,10.923,10.962,10.856,10.884,3172768,0
2015-05-12,10.837,10.874,10.77,10.837,2851307,0
2015-05-13,10.933,11.005,10.846,10.866,1683443,0
2015-05-14,10.942,11.029,10.923,11.009,1614724,0
2015-05-15,10.98,11.153,10.952,11.135,3243597,0
2015-05-18,11.096,11.115,11.04,11.067,1470663,0
2015-05-19,10.884,10.98,10.866,10.962,1823185,0
2015-05-20,10.904,11.029,10.894,10.971,1991374,0
2015-05-21,10.817,10.933,10.798,10.913,2485423,0
2015-05-22,10.76,10.77,10.673,10.76,2969757,0
2015-05-26,10.77,10.77,10.605,10.673,2737061,0
2015-05-27,10.519,10.692,10.519,10.673,3379418,0
2015-05-28,10.866,11.048,10.846,11.0,3749747,0
2015-05-29,10.866,10.913,10.77,10.827,3877896,0
2015-06-01,10.837,10.866,10.74,10.817,3984334,0
2015-06-02,10.827,10.942,10.788,10.899,8446867,0
2015-06-03,10.807,10.942,10.807,10.904,3277185,0
2015-06-04,11.241,11.355,11.144,11.163,3667294,0
2015-06-05,10.942,11.058,10.933,11.029,4541632,0
2015-06-08,10.846,10.874,10.788,10.874,2657233,0
2015-06-09,10.817,10.884,10.74,10.846,6215772,0
2015-06-10,10.913,11.067,10.884,10.99,2721655,0
2015-06-11,10.894,10.952,10.788,10.904,4082681,0
2015-06-12,10.837,10.933,10.807,10.894,1440106,0
2015-06-15,10.615,10.711,10.596,10.692,2317565,0
2015-06-16,10.731,10.837,10.682,10.788,1931304,0
2015-06-17,10.673,10.702,10.568,10.664,2050385,0
2015-06-18,10.568,10.692,10.538,10.635,4698258,0
2015-06-19,10.692,10.692,10.577,10.596,2815835,0
2015-06-22,10.75,10.807,10.692,10.692,2810843,0
2015-06-23,10.856,10.874,10.807,10.846,1757190,0
2015-06-24,10.702,10.711,10.529,10.568,2215331,0
2015-06-25,10.548,10.596,10.509,10.558,3807591,0
2015-06-26,10.558,10.558,10.423,10.49,2371854,0
2015-06-29,10.298,10.385,10.25,10.269,3892872,0
2015-06-30,10.173,10.18,9.932,10.038,6006574,0
2015-07-01,10.221,10.25,10.067,10.087,3780031,0
2015-07-02,10.038,10.048,9.961,10.019,3574524,0
2015-07-06,9.644,9.846,9.644,9.788,6071907,0
2015-07-07,9.683,9.836,9.539,9.808,6958935,0
2015-07-08,9.779,9.818,9.673,9.759,7422885,0
2015-07-09,9.885,9.932,9.75,9.75,3092479,0
2015-07-10,10.183,10.211,10.048,10.077,3900777,0
2015-07-13,10.087,10.173,10.087,10.115,3022901,0
2015-07-14,10.058,10.154,10.058,10.125,1589236,0
2015-07-15,10.0,10.048,9.942,9.991,3898446,0
2015-07-16,10.23,10.25,10.106,10.144,5446964,0
2015-07-17,10.568,10.596,10.327,10.385,6149285,0
2015-07-20,10.586,10.605,10.509,10.529,4362854,0
2015-07-21,10.625,10.654,10.577,10.596,3855224,0
2015-07-22,10.432,10.481,10.394,10.432,2742931,0
2015-07-23,10.327,10.442,10.327,10.385,2506327,0
2015-07-24,10.49,10.519,10.346,10.346,1373961,0
2015-07-27,10.375,10.432,10.317,10.327,2997837,0
2015-07-28,10.221,10.26,10.163,10.183,5127576,0
2015-07-29,10.183,10.26,10.106,10.202,2632201,0
2015-07-30,10.173,10.356,10.125,10.327,4167852,0
2015-07-31,10.327,10.385,10.298,10.317,1769790,0
2015-08-03,10.221,10.25,10.134,10.154,2299420,0
2015-08-04,10.144,10.154,10.019,10.048,2894356,0
2015-08-05,10.106,10.154,10.077,10.115,1463610,0
2015-08-06,10.067,10.067,9.927,9.981,2637111,0
2015-08-07,9.788,9.855,9.769,9.846,2285429,0
2015-08-10,10.01,10.183,10.0,10.144,2495823,0
2015-08-11,9.942,9.942,9.808,9.855,2596587,0
2015-08-12,9.788,9.846,9.712,9.836,3161743,0
2015-08-13,9.932,10.058,9.932,9.981,4325414,0
2015-08-14,9.981,10.019,9.942,9.981,2708193,0
2015-08-17,9.942,10.028,9.932,10.019,1834374,0
2015-08-18,10.096,10.134,10.067,10.077,2273885,0
2015-08-19,9.788,9.836,9.692,9.759,2993677,0
2015-08-20,9.653,9.683,9.4514,9.4613,2369150,0
2015-08-21,9.567,9.625,9.4514,9.4514,5662767,0
2015-08-24,9.2019,9.3845,9.0672,9.1345,7229679,0
2015-08-25,9.4514,9.4514,9.0576,9.0672,5076512,0
2015-08-26,9.4514,9.4613,9.1153,9.3268,5599326,0
2015-08-27,9.4712,9.519,9.3556,9.519,3238080,0
2015-08-28,9.4039,9.577,9.4039,9.567,3231737,0
2015-08-31,9.3652,9.4227,9.3172,9.3845,2597225,0
2015-09-01,9.2019,9.2883,9.1249,9.1826,5794640,0
2015-09-02,9.2307,9.2787,9.1345,9.2691,3439115,0
2015-09-03,9.4326,9.586,9.4039,9.4514,2740331,0
2015-09-04,9.2403,9.2883,9.1345,9.1826,1798911,0
2015-09-08,9.4138,9.4514,9.3556,9.4326,2235403,0
2015-09-09,9.625,9.653,9.3749,9.3749,2263172,0
2015-09-10,9.3845,9.4999,9.3364,9.4326,2009480,0
2015-09-11,9.49,9.529,9.4227,9.49,3754654,0
2015-09-14,9.4138,9.4514,9.3749,9.4326,2169363,0
2015-09-15,9.2883,9.3845,9.2691,9.3364,2896020,0
2015-09-16,9.3652,9.3845,9.3268,9.3556,2197131,0
2015-09-17,9.3941,9.548,9.3749,9.4712,3084905,0
2015-09-18,9.2691,9.2883,9.0961,9.0961,2870851,0
2015-09-21,9.0865,9.1057,8.9999,9.0576,6635803,0
2015-09-22,9.0095,9.0288,8.923,9.0095,2699353,0
2015-09-23,8.9903,9.048,8.9518,8.9903,1499083,0
2015-09-24,8.9999,9.0384,8.9134,9.0095,1839709,0
2015-09-25,9.2595,9.2787,9.1153,9.1634,2536175,0
2015-09-28,8.9999,9.0191,8.8749,8.9422,3376217,0
2015-09-29,8.9807,9.1249,8.9711,9.0768,4499408,0
2015-09-30,9.3749,9.4326,9.3364,9.4039,2877508,0
2015-10-01,9.4227,9.4425,9.2691,9.3556,4460928,0
2015-10-02,9.3941,9.539,9.3172,9.539,2377469,0
2015-10-05,9.702,9.808,9.692,9.784,1907066,0
2015-10-06,9.865,9.922,9.846,9.885,2660041,0
2015-10-07,9.942,10.019,9.875,9.971,2264266,0
2015-10-08,9.961,10.125,9.942,10.115,1783518,0
2015-10-09,10.115,10.163,10.067,10.115,1737758,0
2015-10-12,10.106,10.163,10.067,10.125,1610842,0
2015-10-13,9.991,10.058,9.961,9.981,1471410,0
2015-10-14,9.961,9.981,9.855,9.932,2120899,0
2015-10-15,10.048,10.115,10.0,10.115,1683157,0
2015-10-16,10.087,10.173,10.038,10.154,1543380,0
2015-10-19,9.991,10.0,9.927,9.991,1794584,0
2015-10-20,9.904,9.991,9.885,9.961,1891771,0
2015-10-21,10.0,10.038,9.932,9.942,2667217,0
2015-10-22,9.981,10.154,9.971,10.144,4838764,0
2015-10-23,9.2498,9.49,9.1826,9.4227,10303408,0
2015-10-26,9.4039,9.4712,9.4039,9.4138,4825973,0
2015-10-27,9.2691,9.2787,9.1057,9.1249,2889468,0
2015-10-28,9.1922,9.2787,9.1249,9.2019,3438075,0
2015-10-29,9.2691,9.3652,9.2691,9.3364,3089254,0
2015-10-30,9.3075,9.4039,9.3075,9.3652,2122043,0
2015-11-02,9.3556,9.3941,9.3124,9.3749,2331435,0
2015-11-03,9.4613,9.567,9.4326,9.548,2020840,0
2015-11-04,9.653,9.673,9.548,9.577,2869984,0
2015-11-05,9.539,9.567,9.4811,9.51,2847764,0
2015-11-06,9.4712,9.4811,9.3749,9.4514,1699381,0
2015-11-09,9.721,9.759,9.551,9.606,5643721,0
2015-11-10,9.0576,9.0768,8.9518,8.9999,7712216,0
2015-11-11,9.048,9.0865,8.9999,9.0191,4395303,0
2015-11-12,8.9134,8.9903,8.8845,8.8941,2583705,0
2015-11-13,8.7691,9.759,8.7114,8.8845,18654504,0
2015-11-16,9.0095,9.2019,8.9903,9.173,6868974,0
2015-11-17,9.1538,9.1826,9.0961,9.1153,3368290,0
2015-11-18,9.1442,9.1922,9.0865,9.1826,1626580,0
2015-11-19,9.1153,9.1345,9.0288,9.1153,3735726,0
2015-11-20,9.1634,9.2403,9.1538,9.2019,4459992,0
2015-11-23,9.1249,9.2019,9.0961,9.1057,3438698,0
2015-11-24,9.1249,9.1634,9.0672,9.1153,2491559,0
2015-11-25,9.0288,9.1249,8.9999,9.0672,2398270,0
2015-11-27,9.2403,9.2498,9.2019,9.2019,1377914,0
2015-11-30,9.3364,9.3749,9.2979,9.3172,2717762,0
2015-12-01,9.173,9.1826,9.1057,9.1634,4021892,0
2015-12-02,9.1442,9.2498,9.1297,9.173,2461043,0
2015-12-03,9.4227,9.4326,9.2403,9.2691,3717020,0
2015-12-04,9.173,9.2787,9.1634,9.2691,2700705,0
2015-12-07,9.2883,9.3172,9.2307,9.2595,2412310,0
2015-12-08,9.048,9.1057,8.923,8.9614,4016020,0
2015-12-09,8.8941,9.0095,8.7787,8.8364,3500267,0
2015-12-10,8.8076,8.8364,8.7403,8.7787,2800339,0
2015-12-11,8.721,8.7306,8.596,8.6056,5354715,0
2015-12-14,8.5768,8.6345,8.5287,8.5575,3824168,0
2015-12-15,8.6537,8.7114,8.6152,8.6729,3979506,0
2015-12-16,8.8557,8.9326,8.7787,8.923,3290393,0
2015-12-17,8.8749,8.9037,8.7883,8.8076,3275417,0
2015-12-18,8.7883,8.8268,8.7499,8.7787,2701226,0
2015-12-21,9.3941,9.4138,9.0576,9.1442,7351955,0
2015-12-22,9.1153,9.2211,9.1057,9.2115,2057351,0
2015-12-23,9.2883,9.4227,9.2787,9.4138,2579752,0
2015-12-24,9.4138,9.4811,9.3509,9.4425,846130,0
2015-12-28,9.3749,9.4138,9.322,9.3652,2966767,0
2015-12-29,9.4514,9.4811,9.3893,9.4613,2760354,0
2015-12-30,9.3941,9.4277,9.3364,9.3556,1403919,0
2015-12-31,9.2883,9.3075,9.2307,9.2403,1404492,0
2016-01-04,9.1442,9.1538,8.9518,9.1249,4105617,0
2016-01-05,8.9999,9.0288,8.8941,8.923,3167807,0
2016-01-06,8.8076,8.8557,8.7595,8.798,2706502,0
2016-01-07,8.6441,8.7786,8.6152,8.7114,4398447,0
2016-01-08,8.846,8.8941,8.7403,8.7499,4416118,0
2016-01-11,8.846,8.8653,8.7499,8.8364,3966274,0
2016-01-12,8.9134,8.9614,8.7883,8.8845,4446809,0
2016-01-13,8.9326,8.9999,8.7451,8.7499,3345661,0
2016-01-14,8.7595,8.9277,8.6922,8.8653,3252501,0
2016-01-15,8.298,8.4038,8.2211,8.3557,10297101,0
2016-01-19,8.7403,8.7691,8.4711,8.5287,9687721,0
2016-01-20,8.423,8.5191,8.2884,8.4615,5193787,0
2016-01-21,8.2788,8.4903,8.2307,8.4422,3951854,0
2016-01-22,8.8941,9.0095,8.8653,8.9807,4744244,0
2016-01-25,8.9614,9.0384,8.9277,8.9662,4211186,0
2016-01-26,9.173,9.2691,9.1345,9.2403,5619564,0
2016-01-27,8.6537,8.7595,8.6056,8.6441,7357186,0
2016-01-28,8.4903,8.4999,8.3461,8.4134,5738075,0
2016-01-29,8.3749,8.5672,8.3557,8.5575,5401583,0
2016-02-01,8.3942,8.4519,8.3461,8.4422,6355449,0
2016-02-02,8.2788,8.3076,8.1826,8.2114,4668416,0
2016-02-03,8.4807,8.4903,8.298,8.4519,4366789,0
2016-02-04,8.4807,8.6201,8.4615,8.5768,2626232,0
2016-02-05,8.5383,8.5528,8.423,8.423,3529503,0
2016-02-08,8.3172,8.3412,8.173,8.2788,4305579,0
2016-02-09,8.1153,8.298,8.1057,8.2307,4540198,0
2016-02-10,8.298,8.3893,8.2788,8.2884,5295489,0
2016-02-11,8.2403,8.2691,8.1345,8.2114,3473655,0
2016-02-12,8.2499,8.3942,8.2403,8.3749,2563554,0
2016-02-16,8.6441,8.7403,8.5768,8.7114,4381052,0
2016-02-17,8.7018,8.8268,8.7018,8.8076,4786909,0
2016-02-18,8.9422,8.9518,8.846,8.9037,4308918,0
2016-02-19,8.8653,8.8845,8.8076,8.8749,3088764,0
2016-02-22,8.9711,9.0288,8.9518,8.9711,2359789,0
2016-02-23,8.9326,8.9422,8.8364,8.8653,2761901,0
2016-02-24,8.7114,8.8845,8.6922,8.8557,2371891,0
2016-02-25,8.846,8.9989,8.7884,8.9807,2837492,0
2016-02-26,8.9614,8.9614,8.8268,8.846,4615712,0
2016-02-29,8.8749,8.923,8.8172,8.822,1586761,0
2016-03-01,8.8557,9.0191,8.846,8.9807,3273780,0
2016-03-02,8.923,8.9518,8.8364,8.9422,2230815,0
2016-03-03,8.8653,8.9999,8.8653,8.9903,2489453,0
2016-03-04,8.9614,9.0288,8.8749,8.9711,3520132,0
2016-03-07,8.923,9.0191,8.9037,8.9999,1784411,0
2016-03-08,8.9422,8.9494,8.8605,8.8941,1753517,0
2016-03-09,8.923,8.9422,8.8557,8.8941,2240705,0
2016-03-10,8.8845,8.9711,8.7883,8.8268,2616170,0
2016-03-11,9.0288,9.0961,8.9999,9.0865,2203521,0
2016-03-14,9.0961,9.1442,9.048,9.1249,1915514,0
2016-03-15,9.1057,9.1634,9.0865,9.1489,2955268,0
