Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.363,11.437,11.319,11.389,50572,0
2015-01-05,11.363,11.498,11.337,11.498,153275,0
2015-01-06,11.558,11.667,11.515,11.667,58414,0
2015-01-07,11.685,11.761,11.657,11.727,56071,0
2015-01-08,11.723,11.723,11.611,11.662,62483,0
2015-01-09,11.708,11.757,11.51,11.578,109068,0
2015-01-12,11.621,11.638,11.578,11.594,54346,0
2015-01-13,11.662,11.681,11.621,11.672,53655,0
2015-01-14,11.716,11.814,11.716,11.757,83838,0
2015-01-15,11.798,11.814,11.716,11.814,81768,0
2015-01-16,11.853,11.853,11.662,11.708,79986,0
2015-01-20,11.766,11.766,11.672,11.741,76741,0
2015-01-21,11.757,11.972,11.662,11.662,68257,0
2015-01-22,11.708,11.741,11.638,11.654,65375,0
2015-01-23,11.708,11.757,11.646,11.654,65473,0
2015-01-26,11.716,11.732,11.621,11.621,95947,0
2015-01-27,11.699,11.766,11.646,11.766,52189,0
2015-01-28,11.814,11.954,11.791,11.897,84595,0
2015-01-29,11.928,11.972,11.862,11.954,86385,0
2015-01-30,11.972,12.03,11.972,11.988,81844,0
2015-02-02,12.039,12.168,12.005,12.092,56874,0
2015-02-03,12.117,12.185,12.082,12.108,81439,0
2015-02-04,12.1,12.1,11.954,12.005,106376,0
2015-02-05,12.03,12.055,11.954,12.03,60667,0
2015-02-06,12.005,12.03,11.798,11.988,234503,0
2015-02-09,11.988,12.03,11.862,11.862,77072,0
2015-02-10,11.867,11.875,11.752,11.848,59157,0
2015-02-11,11.848,11.848,11.743,11.779,48756,0
2015-02-12,11.769,11.906,11.769,11.779,120860,0
2015-02-13,11.81,11.81,11.769,11.779,41985,0
2015-02-17,11.743,11.743,11.202,11.304,298487,0
2015-02-18,11.297,11.416,11.264,11.384,132360,0
2015-02-19,11.393,11.589,11.366,11.555,147809,0
2015-02-20,11.606,11.649,11.574,11.606,46478,0
2015-02-23,11.606,11.718,11.606,11.718,51106,0
2015-02-24,11.736,11.736,11.649,11.726,69587,0
2015-02-25,11.76,11.802,11.736,11.76,39201,0
2015-02-26,11.794,11.794,11.703,11.718,35412,0
2015-02-27,11.76,11.794,11.726,11.794,51624,0
2015-03-02,11.81,11.848,11.693,11.693,89328,0
2015-03-03,11.718,11.779,11.656,11.676,67343,0
2015-03-04,11.703,11.794,11.703,11.752,45016,0
2015-03-05,11.76,11.819,11.752,11.769,56528,0
2015-03-06,11.693,11.736,11.589,11.632,81655,0
2015-03-09,11.676,11.788,11.641,11.788,43621,0
2015-03-10,11.805,11.805,11.706,11.722,37536,0
2015-03-11,11.715,11.715,11.618,11.636,30306,0
2015-03-12,11.715,11.722,11.652,11.66,28341,0
2015-03-13,11.715,11.715,11.618,11.636,45344,0
2015-03-16,11.67,11.706,11.452,11.533,84331,0
2015-03-17,11.559,11.559,11.342,11.377,74496,0
2015-03-18,11.377,11.559,11.306,11.559,88958,0
2015-03-19,11.559,11.576,11.452,11.524,92429,0
2015-03-20,11.524,11.66,11.515,11.652,46273,0
2015-03-23,11.679,11.715,11.645,11.715,36438,0
2015-03-24,11.756,11.756,11.627,11.722,36558,0
2015-03-25,11.765,11.765,11.618,11.66,44075,0
2015-03-26,11.679,11.688,11.601,11.688,30306,0
2015-03-27,11.697,11.756,11.67,11.706,57841,0
2015-03-30,11.747,11.774,11.706,11.774,56798,0
2015-03-31,11.783,11.99,11.74,11.99,110232,0
2015-04-01,11.998,12.042,11.956,11.998,31118,0
2015-04-02,11.998,11.998,11.898,11.92,34240,0
2015-04-06,11.981,11.981,11.911,11.929,44305,0
2015-04-07,11.911,12.103,11.89,11.99,54836,0
2015-04-08,12.033,12.033,11.938,11.981,46965,0
2015-04-09,12.01,12.01,11.875,11.907,60702,0
2015-04-10,11.866,11.9,11.778,11.801,77084,0
2015-04-13,11.818,11.837,11.801,11.828,41074,0
2015-04-14,11.847,11.925,11.759,11.801,127365,0
2015-04-15,11.857,11.875,11.801,11.875,40087,0
2015-04-16,11.875,11.875,11.801,11.828,28270,0
2015-04-17,11.818,11.875,11.793,11.875,28879,0
2015-04-20,11.875,11.884,11.818,11.857,91672,0
2015-04-21,11.9,11.9,11.734,11.778,156484,0
2015-04-22,11.787,11.787,11.734,11.751,32320,0
2015-04-23,11.778,11.866,11.725,11.847,42455,0
2015-04-24,11.818,11.818,11.778,11.801,9199,0
2015-04-27,11.828,11.837,11.768,11.828,19790,0
2015-04-28,11.751,11.847,11.751,11.801,31182,0
2015-04-29,11.778,11.847,11.742,11.837,37967,0
2015-04-30,11.809,11.837,11.778,11.818,43260,0
2015-05-01,11.847,11.847,11.751,11.793,42225,0
2015-05-04,11.793,11.809,11.734,11.768,53963,0
2015-05-05,11.778,11.778,11.663,11.725,90778,0
2015-05-06,11.7,11.717,11.396,11.472,277063,0
2015-05-07,11.495,11.505,11.391,11.442,109473,0
2015-05-08,11.477,11.53,11.451,11.521,42785,0
2015-05-11,11.505,11.557,11.458,11.505,61890,0
2015-05-12,11.495,11.505,11.391,11.408,91226,0
2015-05-13,11.458,11.521,11.442,11.477,56055,0
2015-05-14,11.451,11.512,11.433,11.495,65435,0
2015-05-15,11.477,11.6,11.458,11.6,43973,0
2015-05-18,11.6,11.6,11.505,11.557,91978,0
2015-05-19,11.521,11.566,11.451,11.467,73068,0
2015-05-20,11.512,11.512,11.382,11.425,52053,0
2015-05-21,11.425,11.467,11.425,11.467,37981,0
2015-05-22,11.433,11.486,11.32,11.338,69897,0
2015-05-26,11.364,11.505,11.338,11.458,71960,0
2015-05-27,11.425,11.477,11.391,11.391,31688,0
2015-05-28,11.382,11.458,11.382,11.408,18058,0
2015-05-29,11.391,11.566,11.391,11.53,68525,0
2015-06-01,11.547,11.574,11.442,11.505,45373,0
2015-06-02,11.467,11.557,11.467,11.53,31881,0
2015-06-03,11.467,11.505,11.364,11.372,39467,0
2015-06-04,11.408,11.425,11.328,11.328,30203,0
2015-06-05,11.278,11.347,11.232,11.347,103077,0
2015-06-08,11.328,11.364,10.995,10.995,196311,0
2015-06-09,10.955,10.982,10.686,10.743,275172,0
2015-06-10,10.701,10.846,10.693,10.736,129087,0
2015-06-11,10.771,10.896,10.726,10.808,194801,0
2015-06-12,10.818,10.896,10.771,10.846,97229,0
2015-06-15,10.887,10.982,10.887,10.982,27065,0
2015-06-16,10.998,11.046,10.998,11.046,25815,0
2015-06-17,11.056,11.098,10.946,11.073,62205,0
2015-06-18,11.082,11.127,11.073,11.127,63111,0
2015-06-19,11.136,11.143,11.056,11.117,115762,0
2015-06-22,11.089,11.127,11.037,11.037,130890,0
2015-06-23,11.007,11.108,11.007,11.108,38358,0
2015-06-24,11.098,11.127,10.992,11.007,161481,0
2015-06-25,11.046,11.056,10.998,11.027,82105,0
2015-06-26,10.982,11.017,10.955,10.992,63796,0
2015-06-29,10.964,10.998,10.862,10.964,239262,0
2015-06-30,10.929,11.007,10.808,10.998,169886,0
2015-07-01,10.982,11.017,10.964,11.017,115991,0
2015-07-02,11.007,11.065,11.007,11.027,87450,0
2015-07-06,11.065,11.192,11.065,11.157,88019,0
2015-07-07,11.22,11.389,11.202,11.362,108713,0
2015-07-08,11.398,11.431,11.284,11.38,34343,0
2015-07-09,11.393,11.409,11.279,11.279,47599,0
2015-07-10,11.214,11.279,11.214,11.251,16619,0
2015-07-13,11.261,11.279,11.204,11.261,57432,0
2015-07-14,11.214,11.279,11.176,11.242,50818,0
2015-07-15,11.271,11.303,11.242,11.279,61128,0
2015-07-16,11.261,11.312,11.251,11.296,62859,0
2015-07-17,11.279,11.34,11.271,11.288,62296,0
2015-07-20,11.303,11.349,11.271,11.288,41152,0
2015-07-21,11.296,11.303,11.176,11.223,79481,0
2015-07-22,11.242,11.251,11.186,11.233,51439,0
2015-07-23,11.214,11.251,11.161,11.186,35161,0
