Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,75.757,77.245,74.643,75.936,477763,0
2015-01-05,74.485,74.918,71.273,71.895,1068292,0
2015-01-06,72.111,72.328,70.01,70.66,1001140,0
2015-01-07,71.558,72.86,70.988,71.737,674464,0
2015-01-08,72.19,75.078,72.111,74.436,1118455,0
2015-01-09,74.829,74.829,73.086,73.904,549194,0
2015-01-12,73.539,73.539,70.318,71.677,723003,0
2015-01-13,72.543,73.304,69.451,70.377,922076,0
2015-01-14,69.065,70.65,68.554,70.278,1143409,0
2015-01-15,70.769,71.885,69.017,69.174,745506,0
2015-01-16,68.828,72.279,68.828,72.23,720936,0
2015-01-20,72.24,72.496,69.726,71.057,481480,0
2015-01-21,70.968,72.741,70.968,72.661,592534,0
2015-01-22,73.007,73.096,69.608,69.982,1265700,0
2015-01-23,69.834,71.223,69.716,70.447,845517,0
2015-01-26,70.929,71.577,69.884,71.461,775764,0
2015-01-27,70.229,72.061,69.796,71.381,748558,0
2015-01-28,71.825,72.368,68.505,68.779,659207,0
2015-01-29,69.144,70.367,67.539,69.982,999260,0
2015-01-30,69.273,71.263,68.653,70.179,791212,0
2015-02-02,70.948,73.047,70.497,72.84,963296,0
2015-02-03,73.647,76.477,73.411,75.567,1464079,0
2015-02-04,75.687,77.697,73.786,75.856,1360900,0
2015-02-05,75.866,76.368,73.974,75.227,1056354,0
2015-02-06,76.15,77.54,75.285,77.492,1299174,0
2015-02-09,77.59,78.161,76.918,77.423,921886,0
2015-02-10,78.034,78.544,75.876,76.714,626927,0
2015-02-11,76.536,76.752,75.275,75.777,731743,0
2015-02-12,76.584,78.271,76.239,78.004,564410,0
2015-02-13,78.781,80.557,78.713,80.378,897310,0
2015-02-17,80.21,80.957,79.236,80.358,711082,0
2015-02-18,79.915,80.666,79.167,80.488,575542,0
2015-02-19,79.393,80.408,79.206,80.023,361061,0
2015-02-20,79.944,80.22,78.831,79.256,389639,0
2015-02-23,78.762,78.801,77.027,78.594,561440,0
2015-02-24,78.742,79.787,78.614,79.284,309751,0
2015-02-25,79.313,79.313,77.205,78.034,623381,0
2015-02-26,77.717,77.894,76.83,77.364,368380,0
2015-02-27,77.658,78.261,76.878,77.354,427928,0
2015-03-02,77.255,79.303,76.239,79.226,692114,0
2015-03-03,79.008,79.817,78.082,79.787,791261,0
2015-03-04,79.196,79.856,78.358,79.442,800600,0
2015-03-05,79.492,82.398,79.067,82.084,979411,0
2015-03-06,81.59,82.408,80.811,81.59,803440,0
2015-03-09,81.747,82.585,81.424,82.044,652028,0
2015-03-10,81.276,82.181,78.496,79.256,928772,0
2015-03-11,79.403,82.941,78.88,82.921,1087795,0
2015-03-12,82.97,84.653,82.97,83.661,1277264,0
2015-03-13,83.404,84.044,79.521,81.027,1452120,0
2015-03-16,81.266,81.62,79.422,81.057,883306,0
2015-03-17,80.733,81.856,80.478,81.58,893151,0
2015-03-18,80.398,81.365,77.775,80.686,1509863,0
2015-03-19,79.757,79.915,77.964,78.811,859459,0
2015-03-20,79.393,79.669,77.994,78.772,1365046,0
2015-03-23,79.117,79.915,78.447,78.457,791261,0
2015-03-24,78.261,79.157,77.954,78.959,580787,0
2015-03-25,79.246,79.689,78.29,79.264,627265,0
2015-03-26,79.422,82.26,78.437,81.56,1054611,0
2015-03-27,81.482,82.269,80.111,81.246,576726,0
2015-03-30,81.689,82.822,81.186,82.595,662581,0
2015-03-31,82.161,83.096,81.325,82.338,607455,0
2015-04-01,82.358,83.434,80.947,82.852,727632,0
2015-04-02,82.645,83.057,80.616,81.54,714338,0
2015-04-06,81.404,83.483,81.404,83.255,602099,0
2015-04-07,83.037,83.205,81.236,81.325,563345,0
2015-04-08,81.057,81.444,79.647,80.878,463519,0
2015-04-09,80.713,83.177,80.586,83.107,728642,0
2015-04-10,83.407,84.116,83.197,84.037,547343,0
2015-04-13,84.394,84.394,81.965,82.725,415474,0
2015-04-14,83.011,83.127,80.307,81.709,931802,0
2015-04-15,82.231,85.744,81.365,84.995,919604,0
2015-04-16,84.915,84.915,82.617,83.701,788053,0
2015-04-17,83.001,83.257,82.085,82.449,595794,0
2015-04-20,82.795,83.437,82.349,82.913,369487,0
2015-04-21,83.367,83.575,81.53,81.59,346867,0
2015-04-22,81.62,83.039,81.296,82.143,397505,0
2015-04-23,82.241,83.167,81.186,82.814,657423,0
2015-04-24,82.775,83.297,81.472,83.227,404435,0
2015-04-27,83.525,84.836,83.257,83.998,652149,0
2015-04-28,83.918,84.047,81.817,82.045,707390,0
2015-04-29,81.896,84.777,80.898,83.664,822740,0
2015-04-30,82.953,84.225,81.679,82.27,905245,0
2015-05-01,82.162,84.747,81.887,83.898,658026,0
2015-05-04,83.74,84.826,82.943,83.197,521496,0
2015-05-05,83.059,84.354,82.537,82.785,606032,0
2015-05-06,83.476,84.165,82.261,83.167,534930,0
2015-05-07,82.706,83.059,81.807,82.963,805184,0
2015-05-08,84.324,86.05,83.818,85.379,642624,0
2015-05-11,85.419,85.774,84.539,84.856,394798,0
2015-05-12,84.492,85.289,83.585,83.968,595102,0
2015-05-13,84.136,87.066,84.136,85.803,1012585,0
2015-05-14,86.77,87.616,85.893,86.504,939202,0
2015-05-15,82.874,84.502,80.407,81.226,2453392,0
2015-05-18,80.848,81.669,80.081,81.54,1390759,0
2015-05-19,81.709,82.567,80.928,81.53,814284,0
2015-05-20,81.54,82.075,80.041,81.797,673232,0
2015-05-21,81.857,83.858,81.699,83.818,677186,0
2015-05-22,83.357,84.106,82.172,82.517,443045,0
2015-05-26,81.847,82.617,80.839,81.315,472061,0
2015-05-27,81.472,83.417,81.147,83.277,532950,0
2015-05-28,82.834,83.247,81.639,82.28,657585,0
2015-05-29,82.065,82.735,81.444,82.359,815542,0
2015-06-01,82.735,83.267,81.306,81.689,493912,0
2015-06-02,81.659,84.057,81.365,83.127,407769,0
2015-06-03,83.187,83.545,81.797,82.085,429056,0
2015-06-04,81.59,81.877,80.566,80.839,798717,0
2015-06-05,80.179,81.887,79.825,81.206,613837,0
2015-06-08,81.157,81.53,79.587,79.894,434124,0
2015-06-09,79.647,80.888,79.301,80.387,341423,0
2015-06-10,81.276,81.62,79.923,80.467,646576,0
2015-06-11,80.497,81.027,79.577,80.081,595331,0
2015-06-12,79.894,79.894,78.631,78.897,671205,0
2015-06-15,77.663,79.253,77.595,78.74,827301,0
2015-06-16,78.857,79.134,77.042,77.16,731413,0
2015-06-17,76.953,77.3,75.75,76.491,732224,0
2015-06-18,76.785,77.942,76.055,77.546,457354,0
2015-06-19,77.645,78.07,77.261,77.695,594014,0
2015-06-22,77.972,78.259,77.281,78.259,339724,0
2015-06-23,77.962,78.811,77.872,78.279,331469,0
2015-06-24,78.219,78.654,77.083,78.002,477497,0
2015-06-25,78.051,78.13,77.221,77.221,441967,0
2015-06-26,77.488,77.488,75.898,76.717,580347,0
2015-06-29,76.203,76.864,74.683,74.799,513637,0
2015-06-30,75.276,76.094,74.484,75.403,703345,0
2015-07-01,75.799,76.292,74.278,74.731,757397,0
2015-07-02,74.523,75.519,74.523,74.978,365741,0
2015-07-06,74.049,74.751,72.815,73.112,764989,0
2015-07-07,72.992,75.393,71.579,75.346,989211,0
2015-07-08,74.741,75.138,73.723,74.248,549269,0
2015-07-09,75.188,75.986,74.435,75.413,633795,0
2015-07-10,76.203,77.705,75.986,77.399,807708,0
2015-07-13,77.291,78.07,76.805,77.36,688157,0
2015-07-14,77.151,78.229,77.112,77.251,693904,0
2015-07-15,77.191,77.39,75.108,75.452,682443,0
2015-07-16,75.739,76.362,75.078,75.529,660217,0
2015-07-17,75.501,75.829,74.759,75.078,737455,0
2015-07-20,75.078,75.967,73.545,75.078,1000246,0
2015-07-21,75.108,76.944,75.108,76.401,599277,0
2015-07-22,76.104,77.783,75.038,75.355,986579,0
2015-07-23,75.799,76.372,74.839,74.928,613346,0
2015-07-24,74.928,75.462,73.082,73.783,652928,0
2015-07-27,73.477,73.477,70.227,70.759,1059466,0
2015-07-28,71.462,73.358,70.759,72.665,686739,0
2015-07-29,72.885,76.362,72.381,76.065,1193593,0
2015-07-30,75.589,76.481,75.068,76.401,505539,0
2015-07-31,77.033,77.36,75.947,76.203,661331,0
2015-08-03,76.302,76.302,74.387,74.397,904158,0
2015-08-04,71.127,80.204,71.127,78.524,2095647,0
2015-08-05,78.594,79.848,77.468,78.288,1273464,0
2015-08-06,78.269,79.551,77.606,78.762,684032,0
2015-08-07,78.544,79.365,77.862,78.356,680159,0
