Date,Open,High,Low,Close,Volume,OpenInt
2015-01-06,13.959,13.959,13.887,13.913,1210,0
2015-01-07,13.891,13.891,13.887,13.887,1427,0
2015-01-20,13.132,13.155,13.132,13.155,1491,0
2015-01-21,12.945,13.279,12.945,13.18,1865,0
2015-01-22,13.18,13.839,13.18,13.839,793,0
2015-01-23,13.811,13.811,13.477,13.477,639,0
2015-01-26,13.844,13.844,13.844,13.844,220,0
2015-01-27,13.84,13.84,13.566,13.575,1578,0
2015-01-28,13.83,13.83,13.254,13.382,1059,0
2015-02-04,13.195,13.863,13.195,13.863,3358,0
2015-02-05,13.887,13.887,13.887,13.887,533,0
2015-02-10,13.863,13.887,13.863,13.887,941,0
2015-02-18,13.734,13.734,13.734,13.734,549,0
2015-02-19,13.497,13.497,13.497,13.497,1053,0
2015-02-20,13.379,13.428,13.248,13.248,5275,0
2015-02-24,13.175,13.26,13.175,13.26,2625,0
2015-02-25,13.734,13.734,13.734,13.734,214,0
2015-02-26,13.728,13.734,13.285,13.734,10973,0
2015-02-27,13.734,13.734,13.728,13.728,3764,0
2015-03-02,13.399,13.497,13.399,13.497,420,0
2015-03-03,13.52,13.52,13.497,13.497,2958,0
2015-03-09,13.497,13.497,13.497,13.497,1687,0
2015-03-11,13.294,13.308,13.294,13.308,635,0
2015-03-16,13.497,13.497,13.497,13.497,3168,0
2015-03-20,13.26,13.26,13.26,13.26,845,0
2015-03-23,13.285,13.285,13.285,13.285,214,0
2015-03-25,13.285,13.285,13.285,13.285,635,0
2015-03-30,13.715,13.715,13.715,13.715,420,0
2015-03-31,13.497,13.497,13.497,13.497,438,0
2015-04-06,13.715,13.734,13.331,13.331,4011,0
2015-04-17,13.601,13.601,13.601,13.601,1053,0
2015-04-23,13.734,13.734,13.601,13.601,845,0
2015-04-28,13.308,13.308,13.308,13.308,451,0
2015-04-30,13.497,13.497,13.497,13.497,214,0
2015-05-04,13.335,13.335,13.214,13.214,9714,0
2015-05-05,13.26,13.26,13.023,13.119,2743,0
2015-05-06,13.26,13.26,13.26,13.26,4155,0
2015-05-14,13.266,13.346,13.266,13.346,6713,0
2015-05-15,13.461,13.461,13.461,13.461,418,0
2015-05-20,13.26,13.26,13.037,13.037,11117,0
2015-05-22,13.093,13.228,13.093,13.228,3776,0
2015-05-27,13.228,13.241,13.228,13.241,1047,0
2015-05-28,12.894,12.894,12.894,12.894,3677,0
2015-05-29,13.285,13.466,13.204,13.466,3986,0
2015-06-01,13.407,13.407,13.407,13.407,345,0
2015-06-02,13.346,13.346,13.346,13.346,420,0
2015-06-03,13.327,13.346,12.923,12.923,11117,0
2015-06-08,12.974,12.974,12.918,12.918,1047,0
2015-06-09,12.955,13.155,12.933,13.155,1047,0
2015-06-11,13.308,13.308,12.955,12.955,1259,0
2015-06-15,12.923,13.346,12.923,13.346,14057,0
2015-06-16,13.341,13.466,13.204,13.461,12588,0
2015-06-17,13.461,13.823,13.395,13.823,4406,0
2015-06-18,13.823,14.776,13.823,14.157,3568,0
2015-06-19,12.012,12.012,12.012,12.012,5456,0
2015-06-22,12.894,13.765,12.894,13.584,4827,0
2015-06-24,14.024,14.024,14.024,14.024,631,0
2015-06-25,13.579,13.579,13.579,13.579,631,0
2015-07-10,13.466,13.466,13.466,13.466,212,0
2015-07-17,13.37,13.37,13.37,13.37,418,0
2015-07-20,13.346,13.37,13.346,13.37,1259,0
2015-07-21,13.346,13.346,13.346,13.346,212,0
2015-07-22,13.579,13.579,12.87,12.87,2307,0
