Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,23.84,24.05,23.39,23.72,326311,0
2015-01-05,23.63,24.19,23.47,23.82,266194,0
2015-01-06,23.85,23.9,23.28,23.45,277647,0
2015-01-07,24.0,25.42,24.0,24.61,764643,0
2015-01-08,24.74,24.92,24.4,24.55,381816,0
2015-01-09,24.54,24.56,24.2,24.24,154098,0
2015-01-12,24.35,24.35,24.04,24.21,255193,0
2015-01-13,24.34,24.74,23.92,24.16,312025,0
2015-01-14,23.97,24.28,23.74,23.99,203502,0
2015-01-15,23.99,24.14,23.42,23.48,295921,0
2015-01-16,23.68,24.2,23.19,24.17,246149,0
2015-01-20,24.24,24.25,23.85,24.1,252186,0
2015-01-21,24.09,24.23,23.82,24.04,321344,0
2015-01-22,24.24,24.58,23.72,24.53,386859,0
2015-01-23,24.43,24.77,24.3,24.47,411912,0
2015-01-26,24.34,24.61,23.92,24.51,185833,0
2015-01-27,24.31,24.86,24.14,24.68,247434,0
2015-01-28,24.83,25.0,24.47,24.55,388702,0
2015-01-29,24.58,25.0,24.12,24.97,410514,0
2015-01-30,24.77,24.98,23.15,23.58,928531,0
2015-02-02,23.57,23.74,23.04,23.69,352381,0
2015-02-03,23.8,23.99,23.52,23.88,276970,0
2015-02-04,23.66,24.13,23.54,23.7,236576,0
2015-02-05,23.85,24.56,23.85,24.4,234461,0
2015-02-06,24.36,25.04,24.15,24.94,552359,0
2015-02-09,24.76,24.95,24.08,24.14,200996,0
2015-02-10,24.21,24.65,24.01,24.62,273084,0
2015-02-11,24.6,25.14,24.11,24.52,231296,0
2015-02-12,24.68,25.03,24.04,24.4,152862,0
2015-02-13,24.34,24.87,24.34,24.85,202278,0
2015-02-17,24.85,24.98,24.45,24.61,185379,0
2015-02-18,24.61,25.0,24.4,24.91,153670,0
2015-02-19,24.87,24.99,24.69,24.95,206984,0
2015-02-20,24.84,24.87,24.39,24.8,261917,0
2015-02-23,24.81,25.34,24.48,25.32,368937,0
2015-02-24,25.26,25.5,24.95,25.28,267752,0
2015-02-25,25.28,25.28,24.89,25.01,281317,0
2015-02-26,26.0,26.0,23.96,25.06,1054962,0
2015-02-27,25.01,25.01,24.07,24.28,454381,0
2015-03-02,24.22,24.47,24.01,24.37,419300,0
2015-03-03,24.28,24.43,23.76,23.96,326900,0
2015-03-04,23.81,24.24,23.53,24.03,293400,0
2015-03-05,24.01,24.07,23.61,23.76,371900,0
2015-03-06,23.72,23.83,23.36,23.64,438600,0
2015-03-09,23.72,23.99,23.26,23.88,431400,0
2015-03-10,23.54,23.85,23.4,23.62,419000,0
2015-03-11,23.81,23.81,23.31,23.52,378900,0
2015-03-12,23.67,24.42,23.46,24.41,652900,0
2015-03-13,24.44,24.92,24.13,24.89,720800,0
2015-03-16,24.89,25.21,24.52,24.8,446800,0
2015-03-17,24.72,25.12,24.59,24.95,410300,0
2015-03-18,24.94,25.06,24.62,24.8,1834100,0
2015-03-19,24.78,25.23,24.6,25.14,864200,0
2015-03-20,25.32,25.39,23.93,24.61,2128200,0
2015-03-23,24.61,24.7,24.09,24.16,377600,0
2015-03-24,24.08,24.42,23.97,24.03,353100,0
2015-03-25,24.08,24.14,23.4,23.56,369800,0
2015-03-26,23.56,24.16,23.49,24.07,657000,0
2015-03-27,24.04,24.62,23.99,24.58,322600,0
2015-03-30,24.72,24.99,24.6,24.86,308700,0
2015-03-31,25.12,25.33,24.88,25.24,545500,0
2015-04-01,25.15,25.81,25.04,25.8,1082100,0
2015-04-02,25.91,25.93,25.26,25.39,429900,0
2015-04-06,25.2,25.82,24.95,25.61,317400,0
2015-04-07,25.63,25.85,25.1,25.16,313932,0
2015-04-08,25.08,25.58,25.08,25.4,219200,0
2015-04-09,25.45,25.77,25.05,25.39,401477,0
2015-04-10,25.47,25.56,25.26,25.28,188500,0
2015-04-13,25.14,26.07,25.14,25.47,454700,0
2015-04-14,25.49,25.58,25.3,25.4,136700,0
2015-04-15,25.65,25.91,25.31,25.37,179093,0
2015-04-16,25.34,25.46,25.19,25.3,187361,0
2015-04-17,25.3,25.35,24.75,24.85,398600,0
2015-04-20,24.9,25.36,24.58,25.3,301541,0
2015-04-21,25.31,25.77,25.21,25.25,505084,0
2015-04-22,25.21,25.4,24.99,25.09,273900,0
2015-04-23,24.22,24.88,23.7,24.64,1924600,0
2015-04-24,24.75,24.92,24.53,24.79,404000,0
2015-04-27,24.8,25.17,24.6,24.94,360000,0
2015-04-28,25.0,25.47,24.71,25.09,400000,0
2015-04-29,24.88,25.21,24.54,24.64,417500,0
2015-04-30,24.45,24.83,23.89,23.89,536700,0
2015-05-01,23.93,24.35,23.15,23.3,984100,0
2015-05-04,23.33,24.13,23.2,23.86,572700,0
2015-05-05,23.9,23.97,23.26,23.51,629300,0
2015-05-06,25.0,25.62,24.3,25.01,2107016,0
2015-05-07,25.07,25.27,24.67,24.71,833434,0
2015-05-08,24.59,25.18,24.54,24.9,798200,0
2015-05-11,24.93,25.1,24.7,24.72,437000,0
2015-05-12,24.66,24.76,24.44,24.63,284268,0
2015-05-13,24.64,24.72,24.28,24.62,454500,0
2015-05-14,24.74,25.27,24.52,25.17,502000,0
2015-05-15,25.2,25.33,24.9,25.12,901269,0
2015-05-18,25.17,25.85,24.87,25.79,435442,0
2015-05-19,25.9,25.99,25.64,25.8,432900,0
2015-05-20,25.8,26.0,25.67,25.73,338000,0
2015-05-21,25.75,25.83,25.43,25.77,267200,0
2015-05-22,25.68,25.84,25.49,25.51,234200,0
2015-05-26,25.4,25.48,24.94,25.18,429087,0
2015-05-27,25.21,25.73,25.09,25.69,344100,0
2015-05-28,25.64,25.94,25.55,25.75,265960,0
2015-05-29,25.79,26.0,25.58,25.94,531500,0
2015-06-01,25.98,26.0,25.43,25.53,305540,0
2015-06-02,25.35,25.71,25.3,25.47,210487,0
2015-06-03,25.73,25.88,25.4,25.81,302300,0
2015-06-04,25.63,25.99,25.53,25.81,339100,0
2015-06-05,25.67,26.07,25.66,26.04,215300,0
2015-06-08,26.0,26.25,25.76,25.92,442300,0
2015-06-09,25.93,26.0,25.63,25.76,265582,0
2015-06-10,26.0,26.05,25.81,25.9,463110,0
2015-06-11,25.85,26.18,25.85,26.16,585676,0
2015-06-12,26.12,26.3,25.88,25.92,304100,0
2015-06-15,25.83,25.87,25.05,25.31,716300,0
2015-06-16,25.25,25.54,25.09,25.43,247000,0
2015-06-17,25.55,25.86,25.32,25.58,476800,0
2015-06-18,25.67,26.12,25.67,25.9,251100,0
2015-06-19,25.98,25.98,25.75,25.78,332100,0
2015-06-22,25.86,25.95,25.65,25.8,245800,0
2015-06-23,25.89,25.92,25.59,25.75,298740,0
2015-06-24,25.73,25.77,25.47,25.54,204000,0
2015-06-25,25.67,25.89,25.54,25.8,368900,0
2015-06-26,25.85,26.24,25.71,26.16,676900,0
2015-06-29,26.0,26.25,25.47,25.58,411900,0
2015-06-30,25.94,26.0,25.55,25.67,495754,0
2015-07-01,25.85,25.97,25.79,25.83,375500,0
2015-07-02,25.99,25.99,25.5,25.57,269600,0
2015-07-06,25.4,25.67,25.21,25.4,231200,0
2015-07-07,25.52,25.67,25.17,25.65,306000,0
2015-07-08,25.46,25.59,25.02,25.17,327700,0
2015-07-09,25.43,25.43,24.97,24.97,173600,0
2015-07-10,25.22,25.42,25.1,25.39,158600,0
2015-07-13,25.52,25.84,25.41,25.82,262900,0
2015-07-14,25.81,26.12,25.58,26.08,313528,0
2015-07-15,26.09,26.46,25.85,26.31,838784,0
2015-07-16,26.47,26.84,26.41,26.84,504900,0
2015-07-17,26.84,26.99,26.63,26.87,296700,0
2015-07-20,26.9,27.0,26.68,26.84,263400,0
2015-07-21,26.77,27.07,26.63,26.98,408100,0
2015-07-22,26.94,27.25,26.93,27.21,546700,0
2015-07-23,27.24,27.46,26.73,26.81,287200,0
2015-07-24,26.7,26.94,26.7,26.87,502100,0
2015-07-27,26.74,27.22,26.68,27.16,551500,0
2015-07-28,27.29,27.42,26.72,27.29,339300,0
2015-07-29,27.3,27.56,27.22,27.37,440100,0
2015-07-30,27.31,27.89,27.16,27.85,801100,0
