Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,68.85,69.28,66.37,67.56,92411,0
2015-01-05,67.03,68.28,66.64,67.07,137175,0
2015-01-06,67.67,67.87,66.56,66.8,173555,0
2015-01-07,67.42,67.55,66.43,67.38,144980,0
2015-01-08,67.94,68.99,67.76,68.4,70492,0
2015-01-09,68.58,69.41,67.84,69.19,150455,0
2015-01-12,68.99,69.58,68.18,69.54,120319,0
2015-01-13,69.86,71.28,68.12,69.64,154786,0
2015-01-14,69.71,70.25,68.78,69.64,104886,0
2015-01-15,69.67,70.04,69.11,69.2,122540,0
2015-01-16,68.97,70.43,68.85,70.305,107983,0
2015-01-20,70.2,70.9,69.07,70.46,130881,0
2015-01-21,70.34,71.42,69.6,71.0,178274,0
2015-01-22,71.525,71.71,70.285,71.47,174465,0
2015-01-23,71.39,72.23,71.09,71.57,87645,0
2015-01-26,71.87,72.31,71.01,71.67,146403,0
2015-01-27,75.01,76.08,74.31,75.84,399897,0
2015-01-28,78.888,78.888,75.15,75.77,276524,0
2015-01-29,75.77,77.99,74.89,77.89,232355,0
2015-01-30,77.19,78.26,74.39,75.22,276616,0
2015-02-02,75.15,75.36,73.4,75.13,129138,0
2015-02-03,74.84,76.2,74.45,75.3,246575,0
2015-02-04,74.78,75.43,73.72,74.17,206853,0
2015-02-05,74.36,76.0,73.776,75.82,172717,0
2015-02-06,75.81,76.59,74.92,76.03,175022,0
2015-02-09,75.72,77.278,75.72,76.35,173503,0
2015-02-10,76.85,77.59,76.17,77.15,169078,0
2015-02-11,76.99,77.32,75.78,76.63,110967,0
2015-02-12,76.94,77.57,75.85,77.35,152794,0
2015-02-13,76.94,78.04,76.48,77.7,124323,0
2015-02-17,77.8,77.8,76.34,76.96,78539,0
2015-02-18,76.65,77.55,76.1,77.27,96354,0
2015-02-19,77.16,77.78,76.92,77.45,64357,0
2015-02-20,77.61,78.15,76.33,77.8,113644,0
2015-02-23,77.71,77.71,73.235,74.68,420162,0
2015-02-24,74.39,75.42,74.0,74.47,165968,0
2015-02-25,70.0,70.0,62.36,64.86,1674164,0
2015-02-26,64.57,67.04,64.09,66.01,487450,0
2015-02-27,66.01,67.08,65.76,66.65,320512,0
2015-03-02,66.65,67.54,65.71,66.9,365200,0
2015-03-03,67.1,67.39,66.71,67.07,213900,0
2015-03-04,66.72,67.8,66.25,66.86,240600,0
2015-03-05,66.38,66.45,64.12,64.15,278500,0
2015-03-06,63.7,64.11,62.29,62.54,204400,0
2015-03-09,62.37,64.3,62.37,63.76,346900,0
2015-03-10,63.5,64.78,62.51,64.33,243700,0
2015-03-11,64.33,65.21,63.49,64.64,329200,0
2015-03-12,65.0,66.86,64.92,66.79,207900,0
2015-03-13,66.99,67.18,65.95,66.21,275800,0
2015-03-16,66.36,67.52,66.23,67.35,200600,0
2015-03-17,67.01,67.58,66.82,67.27,152600,0
2015-03-18,67.25,67.63,66.07,66.76,306200,0
2015-03-19,66.8,67.69,66.29,67.38,262700,0
2015-03-20,67.81,67.81,66.37,66.5,288300,0
2015-03-23,66.62,66.65,66.0,66.11,177400,0
2015-03-24,65.9,67.4,65.9,66.51,260900,0
2015-03-25,67.16,67.17,65.28,65.32,318000,0
2015-03-26,65.39,65.72,63.15,63.38,306800,0
2015-03-27,63.52,65.63,63.52,65.15,207200,0
2015-03-30,65.41,66.91,65.12,66.26,89200,0
2015-03-31,65.95,66.51,64.9,66.15,198400,0
2015-04-01,65.44,66.15,64.95,65.86,155100,0
2015-04-02,66.06,66.94,65.54,66.1,122700,0
2015-04-06,66.14,67.35,65.75,67.1,132700,0
2015-04-07,67.03,67.15,66.17,66.24,144053,0
2015-04-08,66.42,68.29,66.22,67.58,143500,0
2015-04-09,67.43,67.81,66.1,67.1,77904,0
2015-04-10,67.49,67.96,66.94,67.91,87000,0
2015-04-13,68.06,68.79,67.69,68.46,121400,0
2015-04-14,68.13,68.32,67.48,68.07,96600,0
2015-04-15,68.37,69.09,67.95,68.84,143606,0
2015-04-16,68.84,68.925,66.78,67.16,132342,0
2015-04-17,66.69,67.26,65.42,66.47,158800,0
2015-04-20,66.71,67.83,66.05,67.15,129925,0
2015-04-21,67.34,67.5,66.65,67.16,133146,0
2015-04-22,67.35,67.35,65.866,66.98,98602,0
2015-04-23,66.7,67.58,66.27,67.29,120500,0
2015-04-24,67.11,68.31,66.99,68.2,211501,0
2015-04-27,67.88,68.33,67.36,67.73,147600,0
2015-04-28,68.01,68.09,66.95,67.69,157794,0
2015-04-29,69.19,69.19,58.13,62.26,1798300,0
2015-04-30,61.55,62.47,60.15,60.62,949500,0
2015-05-01,60.51,60.74,59.3,60.71,366600,0
2015-05-04,60.42,61.47,60.33,61.0,629700,0
2015-05-05,60.72,61.19,60.35,60.72,352000,0
2015-05-06,61.05,61.05,59.99,60.25,239617,0
2015-05-07,60.15,60.56,59.98,60.2,186529,0
2015-05-08,60.92,61.34,60.5,60.66,147900,0
2015-05-11,60.75,60.98,60.53,60.65,149500,0
2015-05-12,60.11,60.96,60.05,60.65,136715,0
2015-05-13,60.91,61.36,60.4,61.16,135300,0
2015-05-14,61.55,62.5,60.99,62.36,145900,0
2015-05-15,62.27,62.7,62.14,62.7,130664,0
2015-05-18,62.5,63.84,62.44,63.38,233489,0
2015-05-19,63.78,64.01,63.15,63.88,152477,0
2015-05-20,64.06,64.32,63.73,64.1,180900,0
2015-05-21,64.12,64.57,63.78,64.16,131200,0
2015-05-22,63.86,63.96,63.33,63.54,117000,0
2015-05-26,63.17,63.43,62.64,63.04,241561,0
2015-05-27,63.2,63.83,62.63,63.59,107600,0
2015-05-28,63.31,64.14,63.0,64.02,108504,0
2015-05-29,63.84,64.68,63.83,64.3,158500,0
2015-06-01,64.62,64.62,62.82,62.88,149384,0
2015-06-02,62.57,63.22,62.13,62.47,189124,0
2015-06-03,62.68,63.49,62.4,63.32,105100,0
2015-06-04,62.99,63.82,62.49,62.77,239200,0
2015-06-05,62.73,63.76,62.17,62.9,191800,0
2015-06-08,62.91,63.96,62.91,63.3,300600,0
2015-06-09,63.35,64.12,63.06,64.05,292733,0
2015-06-10,64.48,67.53,64.08,66.71,345856,0
2015-06-11,66.75,67.2,66.11,66.78,217364,0
2015-06-12,66.87,67.66,66.04,67.63,222600,0
2015-06-15,66.97,67.47,66.27,67.26,137900,0
2015-06-16,67.38,68.81,67.37,68.63,235900,0
2015-06-17,68.72,69.35,68.56,69.04,260700,0
2015-06-18,69.23,70.0,69.02,69.68,154300,0
2015-06-19,69.65,69.69,68.67,68.93,306800,0
2015-06-22,69.59,70.04,69.11,69.65,147000,0
2015-06-23,69.75,70.26,69.53,70.05,155096,0
2015-06-24,69.99,70.63,69.9,70.58,153600,0
2015-06-25,70.75,70.84,68.18,70.76,154400,0
2015-06-26,70.99,71.92,68.17,71.5,440400,0
2015-06-29,71.29,71.29,67.32,70.4,172500,0
2015-06-30,70.74,71.46,69.626,70.09,242757,0
2015-07-01,70.81,71.06,70.0,71.0,164200,0
2015-07-02,70.99,71.18,70.4,70.52,190300,0
2015-07-06,70.06,71.1,69.72,70.88,89800,0
2015-07-07,70.75,71.71,70.02,70.84,209400,0
2015-07-08,70.52,70.82,69.84,70.28,182100,0
2015-07-09,70.91,71.28,69.56,69.71,178500,0
2015-07-10,70.5,70.89,69.93,70.76,110100,0
2015-07-13,71.35,71.71,70.77,71.38,97500,0
2015-07-14,71.46,71.88,70.73,70.75,199638,0
2015-07-15,70.88,71.16,70.29,70.54,117804,0
2015-07-16,70.77,71.69,70.51,71.6,144600,0
2015-07-17,71.74,71.86,70.9,71.26,137000,0
2015-07-20,71.45,71.76,70.53,70.77,175000,0
2015-07-21,70.59,71.0,69.49,69.84,270500,0
2015-07-22,69.64,70.0,69.42,69.73,232700,0
2015-07-23,69.74,69.99,68.62,69.07,190200,0
2015-07-24,68.86,69.37,68.57,68.95,181500,0
2015-07-27,69.06,69.26,67.35,67.48,217300,0
2015-07-28,67.87,68.79,66.76,67.14,291800,0
2015-07-29,73.0,74.99,68.94,74.73,1083900,0
2015-07-30,74.42,77.29,74.42,76.46,544100,0
2015-07-31,76.72,78.13,75.89,76.47,268000,0
2015-08-03,76.47,76.47,74.76,75.29,259431,0
2015-08-04,75.42,77.14,74.88,76.03,253100,0
2015-08-05,76.5,77.14,75.67,75.81,236400,0
2015-08-06,76.12,76.12,73.72,74.29,170730,0
2015-08-07,73.94,74.35,73.07,73.59,113600,0
2015-08-10,73.95,75.31,73.95,74.94,171100,0
2015-08-11,74.35,74.85,74.035,74.24,261922,0
2015-08-12,73.82,74.68,73.62,74.41,163200,0
2015-08-13,74.38,75.24,73.91,74.81,132200,0
2015-08-14,74.6,75.81,74.33,75.5,121200,0
2015-08-17,75.22,76.25,74.8,75.89,172600,0
2015-08-18,75.69,76.97,75.08,75.4,88700,0
2015-08-19,74.92,75.75,74.5,75.04,56200,0
2015-08-20,74.71,75.09,73.71,74.18,111000,0
2015-08-21,73.07,74.01,72.47,73.02,160100,0
2015-08-24,68.7,73.54,66.996,72.14,272742,0
2015-08-25,74.26,74.8,71.76,72.01,219600,0
2015-08-26,73.53,73.88,71.52,73.53,237800,0
2015-08-27,74.02,74.17,71.44,73.27,199800,0
2015-08-28,72.95,73.6,72.32,73.36,123600,0
2015-08-31,72.97,74.25,72.3,72.39,229100,0
2015-09-01,71.18,72.28,70.71,71.36,378200,0
2015-09-02,72.11,73.19,71.4,72.52,152400,0
2015-09-03,72.72,73.26,72.2,72.94,188600,0
2015-09-04,72.06,72.9,71.87,72.22,107200,0
2015-09-08,73.15,74.31,72.29,73.9,113600,0
2015-09-09,74.47,74.47,72.91,72.99,111300,0
2015-09-10,72.92,74.09,72.688,73.64,239047,0
2015-09-11,73.19,73.86,72.81,73.6,127100,0
2015-09-14,73.63,73.63,72.52,72.87,103100,0
2015-09-15,73.41,74.15,72.69,73.93,144500,0
2015-09-16,73.91,75.05,73.91,74.61,164300,0
2015-09-17,74.63,74.85,72.12,72.18,472745,0
2015-09-18,71.19,71.53,68.15,68.55,286900,0
2015-09-21,68.93,69.93,67.4,67.51,342900,0
2015-09-22,66.89,67.47,66.0,66.75,329400,0
2015-09-23,66.88,66.88,65.0,65.67,372427,0
2015-09-24,65.31,66.19,65.195,65.58,240889,0
2015-09-25,66.19,66.19,64.14,64.16,245500,0
2015-09-28,64.06,64.18,62.68,62.76,215441,0
2015-09-29,62.93,62.93,61.66,61.86,192900,0
2015-09-30,62.51,63.17,61.37,62.53,201000,0
2015-10-01,62.51,63.02,61.85,62.63,168600,0
2015-10-02,62.12,63.45,61.41,63.4,145400,0
2015-10-05,63.71,64.37,63.25,63.75,151040,0
2015-10-06,63.6,63.83,62.17,62.25,152300,0
2015-10-07,62.57,64.29,62.33,63.8,345900,0
2015-10-08,63.6,64.58,63.53,63.66,147400,0
2015-10-09,63.85,64.6,63.78,64.24,271100,0
2015-10-12,64.3,64.66,63.89,64.49,71322,0
2015-10-13,64.3,65.03,63.93,64.22,201100,0
2015-10-14,64.42,64.44,62.33,62.49,76900,0
2015-10-15,62.67,63.6,62.18,63.27,110800,0
2015-10-16,63.36,64.36,62.99,63.28,197600,0
2015-10-19,63.0,63.41,62.41,63.07,110336,0
2015-10-20,62.93,63.58,62.79,63.28,149700,0
2015-10-21,63.51,63.61,61.48,61.53,118000,0
2015-10-22,61.7,62.36,60.92,61.48,258000,0
2015-10-23,52.2,55.0,43.35,46.62,2258300,0
2015-10-26,46.29,47.61,46.29,46.81,836600,0
2015-10-27,46.54,47.26,44.53,45.7,829300,0
2015-10-28,45.94,47.36,43.53,46.27,732500,0
2015-10-29,46.13,48.08,45.96,47.59,257100,0
2015-10-30,47.42,48.5,45.47,48.3,366400,0
2015-11-02,48.28,49.08,47.63,48.95,384062,0
2015-11-03,49.58,52.18,49.02,51.08,453500,0
2015-11-04,51.05,53.99,50.38,51.33,249736,0
2015-11-05,51.44,52.75,51.28,52.6,205400,0
2015-11-06,52.35,54.4,52.14,54.37,288300,0
2015-11-09,54.26,54.26,52.51,52.54,222870,0
2015-11-10,52.27,52.79,51.81,52.64,343000,0
2015-11-11,52.96,53.44,52.31,52.94,101900,0
2015-11-12,52.58,53.23,51.94,52.81,197000,0
2015-11-13,52.4,53.63,52.09,53.46,174000,0
2015-11-16,53.37,54.29,52.85,54.25,169400,0
2015-11-17,54.43,54.82,53.66,54.33,176200,0
2015-11-18,54.35,55.24,53.9,54.58,202400,0
2015-11-19,54.44,56.85,53.87,54.19,118100,0
2015-11-20,54.46,55.01,54.1,54.16,101500,0
2015-11-23,54.2,54.62,53.68,54.07,100700,0
2015-11-24,53.78,55.53,53.51,55.49,197000,0
2015-11-25,55.5,57.37,55.02,56.62,187900,0
2015-11-27,56.49,57.03,56.23,56.6,67200,0
2015-11-30,56.83,58.12,56.67,58.01,191700,0
2015-12-01,58.41,58.41,55.98,56.13,163915,0
2015-12-02,56.2,56.53,54.89,55.06,207631,0
2015-12-03,55.31,55.63,54.46,54.57,174352,0
2015-12-04,54.56,55.52,54.03,54.32,110400,0
2015-12-07,54.15,54.15,52.4,52.95,282400,0
2015-12-08,52.62,52.8,51.63,52.43,213094,0
2015-12-09,52.38,53.24,52.18,53.09,116000,0
2015-12-10,52.92,53.56,52.8,53.46,140600,0
2015-12-11,52.57,54.15,51.95,53.0,290900,0
2015-12-14,53.15,53.46,52.39,52.85,205301,0
2015-12-15,53.25,54.6,52.89,54.3,168900,0
2015-12-16,54.54,56.49,54.47,56.34,322800,0
2015-12-17,56.45,57.26,56.03,57.04,343600,0
2015-12-18,56.68,57.3,56.33,56.73,349400,0
2015-12-21,57.19,58.44,57.05,57.42,210000,0
2015-12-22,57.57,58.06,56.8,57.08,170148,0
2015-12-23,57.27,58.17,57.06,57.75,160100,0
2015-12-24,57.58,59.06,57.58,58.11,133258,0
2015-12-28,57.8,59.87,57.65,59.55,141979,0
2015-12-29,59.77,60.41,59.04,59.31,113401,0
2015-12-30,59.37,59.92,58.97,59.0,84829,0
2015-12-31,58.63,59.9199,58.13,59.4,186198,0
2016-01-04,58.54,58.96,56.56,56.63,211039,0
2016-01-05,56.66,58.4,56.37,58.25,215141,0
2016-01-06,57.53,59.01,57.42,57.83,141710,0
2016-01-07,56.96,57.15,55.26,55.27,205467,0
2016-01-08,55.47,56.5,54.38,55.4,127916,0
2016-01-11,55.43,56.57,54.74,55.91,183322,0
2016-01-12,56.22,57.12,55.8,56.68,123716,0
2016-01-13,56.83,57.08,53.01,53.22,164429,0
2016-01-14,53.62,56.51,52.73,55.24,243638,0
2016-01-15,53.74,55.15,53.74,54.93,160973,0
2016-01-19,55.1,55.63,52.08,54.37,325900,0
2016-01-20,53.51,55.49,52.6,54.52,229952,0
2016-01-21,54.33,55.815,53.62,53.67,172046,0
2016-01-22,54.27,54.66,53.65,54.16,221979,0
2016-01-25,53.76,54.58,53.31,54.14,144478,0
2016-01-26,54.26,57.47,54.26,56.76,136267,0
2016-01-27,56.41,57.98,55.92,56.11,152569,0
2016-01-28,56.53,57.245,54.67,54.86,128072,0
2016-01-29,55.21,56.38,55.21,56.11,178367,0
2016-02-01,55.85,56.74,55.0,56.2,170223,0
2016-02-02,55.58,56.535,54.81,54.95,82106,0
2016-02-03,55.47,56.285,53.35,54.31,99378,0
2016-02-04,54.08,54.98,53.99,54.13,66813,0
2016-02-05,53.79,54.69,51.67,51.84,111948,0
2016-02-08,51.64,51.72,50.0,51.03,206280,0
2016-02-09,50.37,52.12,48.065,50.95,177866,0
2016-02-10,51.34,52.865,50.04,50.22,123794,0
2016-02-11,49.38,50.75,49.12,50.33,94080,0
2016-02-12,50.98,55.16,48.83,50.87,188269,0
2016-02-16,51.38,52.54,50.9,51.38,109435,0
2016-02-17,51.62,53.17,51.48,52.31,123877,0
2016-02-18,52.49,52.7,49.63,49.95,182902,0
2016-02-19,49.99,54.19,49.99,52.05,110507,0
2016-02-22,52.58,54.15,49.8,50.52,182265,0
2016-02-23,46.0,52.695,46.0,50.45,641247,0
2016-02-24,50.06,52.96,49.37,52.75,194650,0
2016-02-25,52.73,56.2,52.32,55.11,217919,0
2016-02-26,55.18,56.08,54.21,55.42,186920,0
2016-02-29,55.59,56.68,54.95,55.52,160441,0
2016-03-01,56.07,57.84,55.275,57.7,257128,0
2016-03-02,57.52,58.6399,57.05,58.18,258136,0
2016-03-03,58.39,58.98,56.94,58.87,282302,0
2016-03-04,58.4,59.9,58.13,59.54,209586,0
2016-03-07,59.4,60.0,58.44,58.68,175944,0
2016-03-08,57.68,58.38,56.7,56.77,231427,0
2016-03-09,57.15,57.62,56.61,57.33,185973,0
2016-03-10,57.7,59.03,55.62,56.45,234085,0
2016-03-11,57.02,58.12,56.13,57.87,155164,0
2016-03-14,57.74,58.1,56.68,56.84,194619,0
2016-03-15,56.68,57.58,54.81,55.59,186155,0
2016-03-16,55.26,55.82,51.1104,54.78,172957,0
2016-03-17,54.85,57.13,53.98,56.9,217012,0
2016-03-18,57.22,58.83,57.14,58.42,325328,0
2016-03-21,58.36,58.84,57.49,57.72,191461,0
2016-03-22,57.36,58.025,57.09,57.48,128263,0
2016-03-23,57.53,58.22,55.95,55.97,230036,0
2016-03-24,55.87,57.14,55.48,56.98,319828,0
2016-03-28,56.95,56.95,54.91,56.13,209739,0
2016-03-29,56.17,58.8,55.48,58.76,190164,0
2016-03-30,58.92,59.48,57.85,58.03,147984,0
2016-03-31,58.16,58.47,57.16,58.19,261814,0
2016-04-01,57.5,58.97,56.16,58.67,170975,0
2016-04-04,58.81,58.88,57.65,57.8,151523,0
2016-04-05,57.52,58.57,57.4,57.47,153060,0
2016-04-06,57.42,57.9599,56.43,56.63,141727,0
2016-04-07,56.1,56.8173,54.26,54.72,270802,0
2016-04-08,55.04,55.69,54.28,54.38,114576,0
2016-04-11,54.68,55.65,54.46,54.98,134598,0
2016-04-12,54.91,55.79,54.14,55.14,144300,0
2016-04-13,55.56,56.67,55.03,56.59,99932,0
2016-04-14,56.68,57.0,56.01,56.99,121997,0
2016-04-15,56.69,58.05,56.69,57.87,80275,0
2016-04-18,57.58,59.3,57.5,59.16,109882,0
2016-04-19,59.42,59.74,58.38,59.59,131891,0
2016-04-20,59.43,59.8,57.7,59.01,139618,0
2016-04-21,58.84,59.49,57.575,58.69,100734,0
2016-04-22,58.9,59.73,58.56,59.32,93405,0
2016-04-25,59.03,59.63,58.22,59.29,109207,0
2016-04-26,59.39,59.765,58.33,58.82,99178,0
2016-04-27,58.93,59.42,58.44,59.18,53792,0
2016-04-28,59.01,60.67,58.2,59.21,169903,0
2016-04-29,62.15,62.15,55.6,55.61,241689,0
2016-05-02,55.96,56.47,55.665,56.1,144990,0
2016-05-03,55.48,56.4,55.019,55.42,115253,0
2016-05-04,55.26,57.38,54.72,56.88,171810,0
2016-05-05,57.24,58.1,56.39,56.47,118422,0
2016-05-06,56.3,57.65,56.3,57.63,71628,0
2016-05-09,57.51,58.27,57.48,57.54,82696,0
2016-05-10,57.75,58.655,57.0,58.46,79671,0
2016-05-11,58.25,58.28,56.855,57.44,91136,0
2016-05-12,57.72,58.36,56.58,57.25,92937,0
2016-05-13,57.0,58.18,54.705,56.09,106210,0
2016-05-16,56.24,57.55,56.09,56.73,113705,0
2016-05-17,56.65,56.94,54.72,54.87,131096,0
2016-05-18,54.83,56.5,54.28,55.91,103271,0
2016-05-19,55.63,56.81,54.78,55.95,79492,0
2016-05-20,56.31,56.86,55.73,56.52,49727,0
2016-05-23,56.63,57.195,55.85,55.88,80563,0
2016-05-24,56.33,58.79,56.035,57.99,136530,0
2016-05-25,58.01,58.69,57.52,58.6,115737,0
2016-05-26,58.61,59.22,56.971,58.67,63165,0
2016-05-27,58.77,59.42,57.595,58.96,52851,0
2016-05-31,59.26,59.26,57.895,58.57,84529,0
2016-06-01,58.4,59.17,57.675,59.05,101519,0
2016-06-02,58.36,59.26,58.36,59.26,134757,0
2016-06-03,58.93,59.45,57.63,58.96,183950,0
2016-06-06,59.06,60.36,58.0,60.25,123426,0
2016-06-07,60.36,60.56,59.44,59.95,170399,0
