Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,11.878,11.892,11.65,11.788,102777,0
2015-01-05,11.69,11.756,11.439,11.476,81909,0
2015-01-06,11.485,11.636,11.432,11.553,193655,0
2015-01-07,11.666,11.788,11.597,11.628,127764,0
2015-01-08,11.72,11.839,11.65,11.832,91346,0
2015-01-09,11.81,11.909,11.628,11.862,83677,0
2015-01-12,11.856,11.862,11.606,11.666,127087,0
2015-01-13,11.749,11.793,11.423,11.468,84255,0
2015-01-14,11.393,11.536,11.265,11.498,144323,0
2015-01-15,11.588,11.615,11.414,11.439,121307,0
2015-01-16,11.476,11.65,11.455,11.65,75533,0
2015-01-20,11.696,11.696,11.498,11.65,64064,0
2015-01-21,11.65,11.839,11.615,11.666,60678,0
2015-01-22,11.78,11.884,11.703,11.871,76282,0
2015-01-23,11.773,11.871,11.69,11.749,57401,0
2015-01-26,11.773,11.773,11.666,11.72,65191,0
2015-01-27,11.659,11.818,11.577,11.742,131648,0
2015-01-28,11.818,11.818,11.583,11.597,89695,0
2015-01-29,11.659,11.703,11.553,11.666,40589,0
2015-01-30,11.636,11.673,11.432,11.515,87595,0
2015-02-02,11.515,11.597,11.462,11.553,87653,0
2015-02-03,11.65,11.788,11.583,11.749,69638,0
2015-02-04,11.726,11.788,11.62,11.628,69627,0
2015-02-05,11.62,11.734,11.62,11.72,72441,0
2015-02-06,11.756,11.756,11.553,11.553,76951,0
2015-02-09,11.553,11.583,11.455,11.455,68852,0
2015-02-10,11.529,11.577,11.476,11.577,62069,0
2015-02-11,11.529,11.615,11.355,11.529,58946,0
2015-02-12,11.615,11.703,11.597,11.666,101097,0
2015-02-13,11.703,11.773,11.643,11.756,73906,0
2015-02-17,11.734,11.749,11.643,11.681,46645,0
2015-02-18,11.643,11.825,11.643,11.749,66781,0
2015-02-19,11.756,11.81,11.696,11.78,63633,0
2015-02-20,11.773,11.862,11.711,11.839,84189,0
2015-02-23,11.856,11.901,11.81,11.856,68364,0
2015-02-24,11.847,11.937,11.802,11.916,92179,0
2015-02-25,11.916,11.99,11.839,11.931,83126,0
2015-02-26,11.916,11.916,11.832,11.884,91792,0
2015-02-27,11.832,11.937,11.81,11.909,88436,0
2015-03-02,11.901,12.015,11.884,12.007,54292,0
2015-03-03,11.909,11.962,11.847,11.901,63273,0
2015-03-04,11.825,11.884,11.78,11.847,27871,0
2015-03-05,11.839,12.076,11.825,11.884,34477,0
2015-03-06,11.763,11.818,11.72,11.763,53102,0
2015-03-09,11.788,11.81,11.742,11.81,25229,0
2015-03-10,11.666,11.696,11.553,11.559,54818,0
2015-03-11,11.553,11.567,11.491,11.507,63404,0
2015-03-12,11.498,11.62,11.491,11.588,67898,0
2015-03-13,11.553,11.553,11.432,11.476,51517,0
2015-03-16,11.522,11.583,11.439,11.536,71860,0
2015-03-17,11.515,11.545,11.455,11.498,71333,0
2015-03-18,11.462,11.69,11.455,11.681,91411,0
2015-03-19,11.62,11.636,11.559,11.588,50197,0
2015-03-20,11.659,11.703,11.583,11.615,143985,0
2015-03-23,11.615,11.711,11.588,11.673,71461,0
2015-03-24,11.65,11.696,11.62,11.673,64196,0
2015-03-25,11.681,11.681,11.597,11.615,61294,0
2015-03-26,11.536,11.62,11.507,11.615,75955,0
2015-03-27,11.567,11.628,11.567,11.606,55349,0
2015-03-30,11.65,11.773,11.65,11.703,97090,0
2015-03-31,11.636,11.734,11.636,11.69,159681,0
2015-04-01,11.748,11.748,11.589,11.731,69460,0
2015-04-02,11.786,11.801,11.7,11.739,61358,0
2015-04-06,11.723,11.879,11.723,11.839,65343,0
2015-04-07,11.863,11.94,11.817,11.817,79031,0
2015-04-08,11.817,11.885,11.786,11.832,65214,0
2015-04-09,11.839,11.848,11.739,11.848,70968,0
2015-04-10,11.848,11.903,11.817,11.872,125929,0
2015-04-13,11.817,11.863,11.7,11.778,83866,0
2015-04-14,11.839,11.879,11.754,11.872,102903,0
2015-04-15,11.933,11.981,11.912,11.972,107100,0
2015-04-16,11.912,11.965,11.885,11.919,97110,0
2015-04-17,11.786,11.809,11.739,11.762,65472,0
2015-04-20,11.817,11.863,11.817,11.817,43982,0
2015-04-21,11.839,11.863,11.778,11.832,69355,0
2015-04-22,11.809,11.839,11.7,11.825,67783,0
2015-04-23,11.839,11.957,11.832,11.933,53768,0
2015-04-24,11.933,11.965,11.885,11.965,65051,0
2015-04-27,12.012,12.027,11.926,11.926,60200,0
2015-04-28,11.926,11.995,11.919,11.988,62770,0
2015-04-29,11.926,11.965,11.885,11.912,39747,0
2015-04-30,11.872,11.919,11.817,11.817,70104,0
2015-05-01,11.848,11.957,11.848,11.926,83866,0
2015-05-04,11.949,12.003,11.903,11.919,51323,0
2015-05-05,11.879,11.919,11.817,11.825,52995,0
2015-05-06,11.848,11.872,11.7,11.731,59594,0
2015-05-07,11.754,11.801,11.723,11.748,85896,0
2015-05-08,11.778,11.926,11.778,11.872,102390,0
2015-05-11,11.894,11.926,11.832,11.832,90041,0
2015-05-12,11.748,11.872,11.748,11.872,85481,0
2015-05-13,11.857,11.919,11.825,11.872,64958,0
2015-05-14,11.965,12.05,11.965,12.05,113324,0
2015-05-15,12.012,12.05,11.981,12.012,84436,0
2015-05-18,11.981,12.066,11.965,12.05,75877,0
2015-05-19,12.019,12.057,11.981,12.033,61486,0
2015-05-20,12.027,12.033,11.988,12.019,34987,0
2015-05-21,12.057,12.089,12.019,12.066,54282,0
2015-05-22,12.033,12.083,12.027,12.066,50809,0
2015-05-26,11.995,12.003,11.817,11.857,67664,0
2015-05-27,11.832,11.972,11.825,11.919,71647,0
2015-05-28,11.863,11.933,11.857,11.903,67277,0
2015-05-29,11.839,11.879,11.809,11.817,63800,0
2015-06-01,11.839,11.839,11.723,11.748,82837,0
2015-06-02,11.778,11.832,11.748,11.792,69998,0
2015-06-03,11.879,11.949,11.825,11.949,136218,0
2015-06-04,11.879,11.912,11.771,11.817,75505,0
2015-06-05,11.731,11.754,11.676,11.739,51839,0
2015-06-08,11.7,11.748,11.662,11.669,67787,0
2015-06-09,11.707,11.723,11.631,11.654,84618,0
2015-06-10,11.692,11.801,11.692,11.748,83790,0
2015-06-11,11.748,11.825,11.731,11.825,45237,0
2015-06-12,11.754,11.754,11.676,11.707,72932,0
2015-06-15,11.631,11.771,11.589,11.686,49651,0
2015-06-16,11.616,11.692,11.584,11.692,34345,0
2015-06-17,11.669,11.676,11.584,11.637,27012,0
2015-06-18,11.616,11.771,11.616,11.762,70360,0
2015-06-19,11.717,11.717,11.645,11.669,42448,0
2015-06-22,11.786,11.792,11.754,11.771,70747,0
2015-06-23,11.771,11.839,11.739,11.832,64647,0
2015-06-24,11.817,11.817,11.748,11.771,71903,0
2015-06-25,11.801,11.801,11.622,11.645,59425,0
2015-06-26,11.622,11.622,11.553,11.553,50424,0
2015-06-29,11.398,11.437,11.295,11.325,91328,0
2015-06-30,11.46,11.483,11.312,11.365,85294,0
2015-07-01,11.49,11.49,11.274,11.378,85921,0
2015-07-02,11.37,11.45,11.315,11.354,133696,0
2015-07-06,11.283,11.305,11.227,11.241,65410,0
2015-07-07,11.241,11.296,11.019,11.193,146078,0
2015-07-08,11.065,11.114,10.978,11.001,58655,0
2015-07-09,11.139,11.139,10.97,10.987,86171,0
2015-07-10,11.186,11.227,11.091,11.179,65410,0
2015-07-13,11.193,11.321,11.153,11.274,50902,0
2015-07-14,11.258,11.361,11.258,11.354,61131,0
2015-07-15,11.378,11.426,11.305,11.339,138732,0
2015-07-16,11.378,11.458,11.378,11.409,103556,0
2015-07-17,11.37,11.403,11.315,11.329,87048,0
2015-07-20,11.305,11.361,11.305,11.321,49275,0
2015-07-21,11.305,11.378,11.266,11.274,41773,0
2015-07-22,11.201,11.283,11.201,11.235,86421,0
2015-07-23,11.274,11.296,11.179,11.179,78666,0
2015-07-24,11.161,11.161,10.897,10.946,103181,0
2015-07-27,10.891,10.891,10.715,10.755,82292,0
2015-07-28,10.747,10.858,10.73,10.849,126441,0
2015-07-29,10.818,11.034,10.818,11.01,76792,0
2015-07-30,10.978,11.058,10.954,11.058,85671,0
2015-07-31,11.083,11.171,11.034,11.091,97552,0
2015-08-03,11.13,11.13,11.01,11.034,78174,0
2015-08-04,10.994,11.105,10.994,11.105,69037,0
2015-08-05,11.146,11.235,11.123,11.186,64909,0
2015-08-06,11.186,11.201,11.083,11.186,90331,0
2015-08-07,11.146,11.179,11.105,11.114,33643,0
2015-08-10,11.171,11.274,11.13,11.274,37521,0
2015-08-11,11.161,11.218,11.091,11.13,53725,0
2015-08-12,11.058,11.091,10.978,10.994,119064,0
2015-08-13,10.962,11.043,10.962,10.987,127818,0
2015-08-14,10.954,11.001,10.931,10.954,172717,0
2015-08-17,10.914,10.954,10.875,10.891,98052,0
2015-08-18,10.884,10.891,10.849,10.858,82169,0
2015-08-19,10.826,10.826,10.737,10.77,70913,0
2015-08-20,10.667,10.747,10.554,10.554,96925,0
2015-08-21,10.505,10.505,10.156,10.234,177344,0
2015-08-24,9.3793,9.867,8.8993,9.652,211210,0
2015-08-25,9.762,10.027,9.747,9.795,143578,0
2015-08-26,9.979,10.057,9.826,10.034,88172,0
2015-08-27,10.083,10.283,10.083,10.219,70413,0
2015-08-28,10.162,10.211,9.994,10.138,78042,0
2015-08-31,10.018,10.043,9.883,10.01,130320,0
2015-09-01,9.779,9.906,9.698,9.892,75414,0
2015-09-02,9.892,9.97,9.883,9.961,62283,0
2015-09-03,10.027,10.066,9.994,10.066,48401,0
2015-09-04,9.883,9.961,9.859,9.955,68538,0
2015-09-08,10.074,10.107,9.994,10.057,79670,0
2015-09-09,10.219,10.219,9.988,10.003,143326,0
2015-09-10,10.027,10.113,9.97,10.113,43078,0
2015-09-11,10.034,10.074,9.988,10.066,48651,0
2015-09-14,10.027,10.027,9.979,9.979,40772,0
2015-09-15,10.018,10.051,10.003,10.003,68411,0
2015-09-16,10.027,10.138,9.979,10.13,148327,0
2015-09-17,10.1,10.188,10.091,10.122,37983,0
2015-09-18,9.994,10.203,9.947,10.203,90048,0
2015-09-21,10.091,10.122,10.051,10.113,115938,0
2015-09-22,9.955,10.066,9.924,10.01,96552,0
2015-09-23,9.994,10.138,9.979,10.138,55654,0
2015-09-24,9.979,10.091,9.874,10.074,200700,0
2015-09-25,10.113,10.122,9.939,9.988,81044,0
2015-09-28,9.955,9.955,9.683,9.714,77493,0
2015-09-29,9.675,9.739,9.588,9.665,78792,0
2015-09-30,9.747,9.81,9.683,9.803,92924,0
2015-10-01,9.84,9.872,9.684,9.732,115277,0
2015-10-02,9.634,9.815,9.576,9.808,91613,0
2015-10-05,9.872,10.071,9.831,10.071,84161,0
2015-10-06,10.078,10.203,10.071,10.177,82028,0
2015-10-07,10.245,10.343,10.235,10.277,91493,0
2015-10-08,10.277,10.401,10.245,10.343,100834,0
2015-10-09,10.384,10.541,10.384,10.541,64675,0
2015-10-12,10.506,10.606,10.5,10.581,75360,0
2015-10-13,10.483,10.541,10.418,10.442,89065,0
2015-10-14,10.432,10.459,10.351,10.374,62614,0
