Date,Open,High,Low,Close,Volume,OpenInt
2015-01-02,6.7886,6.824,6.7534,6.7534,51502,0
2015-01-05,6.6653,6.7534,6.6472,6.7268,59647,0
2015-01-06,6.7447,6.8063,6.7357,6.8063,61940,0
2015-01-07,6.7886,6.8416,6.7712,6.7886,96192,0
2015-01-08,6.7712,6.7975,6.7621,6.7886,42447,0
2015-01-09,6.7621,6.8329,6.7447,6.8153,37135,0
2015-01-12,6.7975,6.8505,6.7183,6.7183,36487,0
2015-01-13,6.7268,6.7799,6.7268,6.7357,42927,0
2015-01-14,6.7621,6.8063,6.7092,6.7183,56050,0
2015-01-15,6.7712,6.7975,6.7183,6.7886,72556,0
2015-01-16,6.8329,6.8329,6.7268,6.7447,51789,0
2015-01-20,6.7621,6.7975,6.7183,6.7268,47009,0
2015-01-21,6.7259,6.85,6.7259,6.85,71641,0
2015-01-22,6.8325,6.9033,6.8148,6.8767,82082,0
2015-01-23,6.8767,6.8942,6.8767,6.8857,34354,0
2015-01-26,6.8767,6.9033,6.7526,6.7881,102166,0
2015-01-27,6.8234,6.8325,6.7613,6.8148,73444,0
2015-01-28,6.7881,6.8857,6.7881,6.8857,76206,0
2015-01-29,6.8411,6.8767,6.7881,6.7968,93566,0
2015-01-30,6.8148,6.8411,6.7793,6.7881,114565,0
2015-02-02,6.7881,6.8325,6.7705,6.7968,77628,0
2015-02-03,6.7793,6.8325,6.7613,6.8325,69274,0
2015-02-04,6.8234,6.8325,6.7705,6.7793,57904,0
2015-02-05,6.7793,6.8148,6.7705,6.7793,32741,0
2015-02-06,6.7705,6.8234,6.7613,6.7705,87222,0
2015-02-09,6.7705,6.8148,6.7349,6.7349,56154,0
2015-02-10,6.7173,6.8058,6.7083,6.7968,106461,0
2015-02-11,6.7793,6.7968,6.7441,6.7705,47173,0
2015-02-12,6.7441,6.7613,6.7349,6.7441,46121,0
2015-02-13,6.7349,6.7441,6.6642,6.6816,34885,0
2015-02-17,6.7173,6.7173,6.584,6.6019,62150,0
2015-02-18,6.6543,6.7345,6.6367,6.7345,49991,0
2015-02-19,6.7523,6.7967,6.7078,6.7523,30336,0
2015-02-20,6.7437,6.8325,6.7437,6.8325,35437,0
2015-02-23,6.7967,6.8859,6.7967,6.8859,65825,0
2015-02-24,6.8591,6.9303,6.8325,6.8768,54975,0
2015-02-25,6.8501,6.8945,6.7879,6.7967,44934,0
2015-02-26,6.7879,6.8147,6.7078,6.7437,104984,0
2015-02-27,6.7254,6.8325,6.7254,6.8058,33767,0
2015-03-02,6.7879,6.8234,6.7702,6.8234,33500,0
2015-03-03,6.8058,6.8412,6.7702,6.7791,37319,0
2015-03-04,6.8234,6.9036,6.8058,6.8859,92960,0
2015-03-05,6.8859,6.9212,6.8591,6.9212,32938,0
2015-03-06,6.8678,6.8859,6.7345,6.7702,112406,0
2015-03-09,6.7611,6.8501,6.7437,6.8325,42151,0
2015-03-10,6.8147,6.8501,6.8058,6.8147,44625,0
